Homelands|HM
Saviors of Kamigawa|SOK
Revised Edition|3E
Onslaught|ONS
Limited Edition Beta|2E
Legends|LE
Scourge|SCG
Planar Chaos|PLC|en-us
Urza's Saga|UZ
Torment|TOR
Unhinged|UNH
Eventide|EVE
Exodus|EX
Invasion|IN
Urza's Legacy|GU
Tempest|TE
Ice Age|IA
Odyssey|OD
Chronicles|CH
Fifth Edition|5E
Lorwyn|LRW
Weatherlight|WL
Mirage|MI
Ninth Edition|9ED
Eighth Edition|8ED
Champions of Kamigawa|CHK
Future Sight|FUT
Morningtide|MOR
Beatdown Box Set|BD
Tenth Edition|10E
Masters Edition|MED
Apocalypse|AP
Dissension|DIS
Magic Online Promo Cards|PRM
Mercadian Masques|MM
Battle Royale Box Set|BR
Nemesis|NE
Darksteel|DST
Planeshift|PS
Betrayers of Kamigawa|BOK
Coldsnap|CSP
Classic Sixth Edition|6E
Ravnica: City of Guilds|RAV
The Dark|DK
Visions|VI
Time Spiral|TSP
Stronghold|ST
Time Spiral "Timeshifted"|TSB
Shadowmoor|SHM
Limited Edition Alpha|1E
Prophecy|PR
Judgment|JUD
Promo set for Gatherer|PPR
Guildpact|GPT
Fallen Empires|FE
Urza's Destiny|CG
Alliances|AL
Arabian Nights|AN
Mirrodin|MRD
Unlimited Edition|2U
Antiquities|AQ
