id|name|cost|type|power|toughness|oracleText|edition|rarity|colorType|cmc
31761|Abandoned Outpost| |Land| | |Abandoned Outpost comes into play tapped. <br> <br>{T}: Add {W} to your mana pool. <br> <br>{T}, Sacrifice Abandoned Outpost: Add one mana of any color to your mana pool.|Odyssey|Common|null|0
116725|Academy Ruins| |Legendary Land| | |{T}: Add {1} to your mana pool. <br>{1}{U}, {T}: Put target artifact card in your graveyard on top of your library.|Time Spiral|Rare|null|0
129458|Adarkar Wastes| |Land| | |{T}: Add {1} to your mana pool. <br>{T}: Add {W} or {U} to your mana pool. Adarkar Wastes deals 1 damage to you.|Tenth Edition|Rare|null|0
1698|Adventurers' Guildhouse| |Land| | |Green legendary creatures you control have "bands with other legendary creatures."|Legends|Uncommon|null|0
153454|Ancient Amphitheater| |Land| | |As Ancient Amphitheater comes into play, you may reveal a Giant card from your hand. If you don't, Ancient Amphitheater comes into play tapped. <br>{T}: Add {R} or {W} to your mana pool.|Lorwyn|Rare|null|0
46063|Ancient Den| |Artifact Land| | |<i>(Ancient Den isn't a spell.)</i> <br>{T}: Add {W} to your mana pool.|Mirrodin|Common|null|0
23236|Ancient Spring| |Land| | |Ancient Spring comes into play tapped. <br> <br>{T}: Add {U} to your mana pool. <br> <br>{T}, Sacrifice Ancient Spring: Add {W}{B} to your mana pool.|Invasion|Common|null|0
4636|Ancient Tomb| |Land| | |{T}: Add {2} to your mana pool. Ancient Tomb deals 2 damage to you.|Tempest|Uncommon|null|0
3035|An-Havva Township| |Land| | |{T}: Add {1} to your mana pool. <br> <br>{1}, {T}: Add {G} to your mana pool. <br> <br>{2}, {T}: Add {R} or {W} to your mana pool.|Homelands|Uncommon|null|0
23245|Archaeological Dig| |Land| | |{T}: Add {1} to your mana pool. <br> <br>{T}, Sacrifice Archaeological Dig: Add one mana of any color to your mana pool.|Invasion|Uncommon|null|0
121158|Arctic Flats| |Snow Land| | |Arctic Flats comes into play tapped. <br>{T}: Add {G} or {W} to your mana pool.|Coldsnap|Uncommon|null|0
97042|Arena| |Land| | |{3}, {T}: Tap target creature you control and target creature of an opponent's choice he or she controls. Each of those creatures deals damage equal to its power to the other.|Promo set for Gatherer|Common|null|0
153457|Auntie's Hovel| |Land| | |As Auntie's Hovel comes into play, you may reveal a Goblin card from your hand. If you don't, Auntie's Hovel comes into play tapped. <br>{T}: Add {B} or {R} to your mana pool.|Lorwyn|Rare|null|0
3036|Aysen Abbey| |Land| | |{T}: Add {1} to your mana pool. <br> <br>{1}, {T}: Add {W} to your mana pool. <br> <br>{2}, {T}: Add {G} or {U} to your mana pool.|Homelands|Uncommon|null|0
97087|Azorius Chancery| |Land| | |Azorius Chancery comes into play tapped. <br>When Azorius Chancery comes into play, return a land you control to its owner's hand. <br>{T}: Add {W}{U} to your mana pool.|Dissension|Common|null|0
3570|Bad River| |Land| | |Bad River comes into play tapped. <br> <br>{T}, Sacrifice Bad River: Search your library for an Island or Swamp card and put it into play. Then shuffle your library.|Mirage|Uncommon|null|0
878|Badlands| |Land - Mountain Swamp| | | |Unlimited Edition|Rare|null|0
3231|Balduvian Trading Post| |Land| | |If Balduvian Trading Post would come into play, sacrifice an untapped Mountain instead. If you do, put Balduvian Trading Post into play. If you don't, put it into its owner's graveyard. <br>{T}: Add {1}{R} to your mana pool. <br>{1}, {T}: Balduvian Trading Post deals 1 damage to target attacking creature.|Alliances|Rare|null|0
29906|Barbarian Ring| |Land| | |{T}: Add {R} to your mana pool. Barbarian Ring deals 1 damage to you. <br><i>Threshold</i> - {R}, {T}, Sacrifice Barbarian Ring: Barbarian Ring deals 2 damage to target creature or player. Play this ability only if seven or more cards are in your graveyard.|Odyssey|Uncommon|null|0
41139|Barren Moor| |Land| | |Barren Moor comes into play tapped. <br>{T}: Add {B} to your mana pool. <br>Cycling {B} <I>(</I>{B}<I>, Discard this card: Draw a card.)</I>|Onslaught|Common|null|0
84443|Battlefield Forge| |Land| | |{T}: Add {1} to your mana pool. <br>{T}: Add {R} or {W} to your mana pool. Battlefield Forge deals 1 damage to you.|Ninth Edition|Rare|null|0
577|Bayou| |Land - Swamp Forest| | | |Limited Edition Beta|Rare|null|0
984|Bazaar of Baghdad| |Land| | |{T}: Draw two cards, then discard three cards.|Arabian Nights|Uncommon|null|0
5612|Blasted Landscape| |Land| | |{T}: Add {1} to your mana pool. <br>Cycling {2} <I>(</I>{2}<I>, Discard this card: Draw a card.)</I>|Urza's Saga|Uncommon|null|0
39439|Blinkmoth Nexus| |Land| | |{T}: Add {1} to your mana pool. <br>{1}: Blinkmoth Nexus becomes a 1/1 Blinkmoth artifact creature with flying until end of turn. It's still a land. <br>{1}, {T}: Target Blinkmoth creature gets +1/+1 until end of turn.|Darksteel|Rare|null|0
48916|Blinkmoth Well| |Land| | |{T}: Add {1} to your mana pool. <br>{2}, {T}: Tap target noncreature artifact.|Mirrodin|Uncommon|null|0
97102|Blood Crypt| |Land - Swamp Mountain| | |<i>({T}: Add {B} or {R} to your mana pool.)</i> <br>As Blood Crypt comes into play, you may pay 2 life. If you don't, Blood Crypt comes into play tapped.|Dissension|Rare|null|0
39505|Bloodstained Mire| |Land| | |{T}, Pay 1 life, Sacrifice Bloodstained Mire: Search your library for a Swamp or Mountain card and put it into play. Then shuffle your library.|Onslaught|Rare|null|0
31763|Bog Wreckage| |Land| | |Bog Wreckage comes into play tapped. <br> <br>{T}: Add {B} to your mana pool. <br> <br>{T}, Sacrifice Bog Wreckage: Add one mana of any color to your mana pool.|Odyssey|Common|null|0
