id|name|cost|type|power|toughness|oracleText|edition|rarity|colorType|cmc
73935|"Ach! Hans, Run!"|{2}{R}{R}{G}{G}|Enchantment| | |At the beginning of your upkeep, you may say "Ach! Hans, run! It's the . . ." and name a creature card. If you do, search your library for the named card, put it into play, then shuffle your library. That creature has haste. Remove it from the game at end of turn.|Unhinged|Rare|null|0
23155|Absorb|{W}{U}{U}|Instant| | |Counter target spell. You gain 3 life.|Invasion|Rare|null|0
5108|Acidic Sliver|{B}{R}|Creature - Sliver|2|2|All Slivers have "{2}, Sacrifice this permanent: This permanent deals 2 damage to target creature or player."|Stronghold|Uncommon|null|0
159294|Adun Oakenshield|{B}{R}{G}|Legendary Creature - Human Knight|1|2|{B}{R}{G}, {T}: Return target creature card from your graveyard to your hand.|Masters Edition|Magic Online only|null|0
28669|Æther Mutation|{3}{G}{U}|Sorcery| | |Return target creature to its owner's hand. Put X 1/1 green Saproling creature tokens into play, where X is its converted mana cost.|Apocalypse|Uncommon|null|0
23194|Æther Rift|{1}{R}{G}|Enchantment| | |At the beginning of your upkeep, reveal a card at random from your hand. If you reveal a noncreature card this way, discard that card. If you reveal a creature card this way, put that card into play unless any player pays 5 life. If a player pays 5 life, discard that card.|Invasion|Rare|null|0
111192|Æthermage's Touch|{2}{W}{U}|Instant| | |Reveal the top four cards of your library. You may put a creature card from among them into play. It has "At the end of your turn, return this creature to its owner's hand." Then put the rest of the cards revealed this way on the bottom of your library in any order.|Dissension|Rare|null|0
96892|Agent of Masks|{3}{W}{B}|Creature - Human Advisor|2|3|At the beginning of your upkeep, each opponent loses 1 life. You gain life equal to the life lost this way.|Guildpact|Uncommon|null|0
89101|Agrus Kos, Wojek Veteran|{3}{R}{W}|Legendary Creature - Human Soldier|3|3|Whenever Agrus Kos, Wojek Veteran attacks, attacking red creatures get +2/+0 and attacking white creatures get +0/+2 until end of turn.|Ravnica: City of Guilds|Rare|null|0
2717|Altar of Bone|{G}{W}|Sorcery| | |As an additional cost to play Altar of Bone, sacrifice a creature. <br> <br>Search your library for a creature card, reveal that card, and put it into your hand. Then shuffle your library.|Ice Age|Rare|null|0
19149|Ancient Spider|{2}{G}{W}|Creature - Spider|2|5|First strike, reach <i>(This creature can block creatures with flying.)</i>|Planeshift|Rare|null|0
83869|Angel of Despair|{3}{W}{W}{B}{B}|Creature - Angel|5|5|Flying <br>When Angel of Despair comes into play, destroy target permanent.|Guildpact|Rare|null|0
23177|Angelic Shield|{W}{U}|Enchantment| | |Creatures you control get +0/+1. <br> <br>Sacrifice Angelic Shield: Return target creature to its owner's hand.|Invasion|Uncommon|null|0
1643|Angus Mackenzie|{G}{W}{U}|Legendary Creature - Human Cleric|2|2|{G}{W}{U}, {T}: Prevent all combat damage that would be dealt this turn.|Legends|Rare|null|0
