ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
603|Chaos Orb|{2}|Artifact|||{1}, {T}: If Chaos Orb is on the battlefield, flip Chaos Orb onto the battlefield from a height of at least one foot. If Chaos Orb turns over completely at least once during the flip, destroy all permanents it touches. Then destroy Chaos Orb.|Unlimited Edition|Rare|0.0||4.072|Mark Tedin|1||{1}, {T}: If Chaos Orb is on the battlefield, flip Chaos Orb onto the battlefield from a height of at least one foot. If Chaos Orb turns over completely at least once during the flip, destroy all permanents it touches. Then destroy Chaos Orb.|0|
617|Illusionary Mask|{2}|Artifact|||{X}: You may choose a creature card in your hand whose mana cost could be paid by some amount of, or all of, the mana you spent on {X}. If you do, you may cast that card face down as a 2/2 creature spell without paying its mana cost. If the creature that spell becomes as it resolves has not been turned face up and would assign or deal damage, be dealt damage, or become tapped, instead it's turned face up and assigns or deals damage, is dealt damage, or becomes tapped. Activate this ability only any time you could cast a sorcery.|Unlimited Edition|Rare|0.0||3.562|Amy Weber|2||{X}: You may choose a creature card in your hand whose mana cost could be paid by some amount of, or all of, the mana you spent on {X}. If you do, you may cast that card face down as a 2/2 creature spell without paying its mana cost. If the creature that spell becomes as it resolves has not been turned face up and would assign or deal damage, be dealt damage, or become tapped, instead it's turned face up and assigns or deals damage, is dealt damage, or becomes tapped. Activate this ability only any time you could cast a sorcery.|0|
621|Jade Statue|{4}|Artifact|||{2}: Jade Statue becomes a 3/6 Golem artifact creature until end of combat. Activate this ability only during combat.|Unlimited Edition|Uncommon|0.0||2.867|Dan Frazier|3||{2}: Jade Statue becomes a 3/6 Golem artifact creature until end of combat. Activate this ability only during combat.|0|
682|Sinkhole|{B}{B}|Sorcery|||Destroy target land.|Unlimited Edition|Common|0.0||4.795|Sandra Everingham|4||Destroy target land.|0|
754|Ice Storm|{2}{G}|Sorcery|||Destroy target land.|Unlimited Edition|Uncommon|0.0||3.952|Dan Frazier|5||Destroy target land.|0|
760|Lifelace|{G}|Instant|||Target spell or permanent becomes green. <i>(Mana symbols on that permanent remain unchanged.)</i>|Unlimited Edition|Rare|0.0||0.947|Amy Weber|6||Target spell or permanent becomes green. <i>(Mana symbols on that permanent remain unchanged.)</i>|0|
762|Living Lands|{3}{G}|Enchantment|||All Forests are 1/1 creatures that are still lands.|Unlimited Edition|Rare|0.0||2.5|Jesper Myrfors|7||All Forests are 1/1 creatures that are still lands.|0|
772|Timber Wolves|{G}|Creature - Wolf|1|1|Banding <i>(Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)</i>|Unlimited Edition|Rare|0.0||2.033|Melissa Benson|8||Banding <i>(Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)</i>|0|
790|Earthbind|{R}|Enchantment - Aura|||Enchant creature<br>When Earthbind enters the battlefield, if enchanted creature has flying, Earthbind deals 2 damage to that creature and Earthbind gains "Enchanted creature loses flying."|Unlimited Edition|Common|0.0||2.462|Quinton Hoover|9||Enchant creature<br>When Earthbind enters the battlefield, if enchanted creature has flying, Earthbind deals 2 damage to that creature and Earthbind gains "Enchanted creature loses flying."|0|
792|False Orders|{R}|Instant|||Cast False Orders only during the declare blockers step.<br>Remove target creature defending player controls from combat. Creatures it was blocking that had become blocked by only that creature this combat become unblocked. You may have it block an attacking creature of your choice.|Unlimited Edition|Common|0.0||3.0|Anson Maddocks|10||Cast False Orders only during the declare blockers step. <br>Remove target creature defending player controls from combat. Creatures it was blocking that had become blocked by only that creature this combat become unblocked. You may have it block an attacking creature of your choice.|0|
