ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
1093|Aladdin's Ring|{8}|Artifact|||{8}, {T}: Aladdin's Ring deals 4 damage to target creature or player.|Revised Edition|Rare|Dan Frazier|1|{8}, {T}: Aladdin's Ring deals 4 damage to target creature or player.|
1096|Basalt Monolith|{3}|Artifact|||Basalt Monolith doesn't untap during your untap step.<br>{T}: Add {3} to your mana pool.<br>{3}: Untap Basalt Monolith.|Revised Edition|Uncommon|Jesper Myrfors|2|Basalt Monolith doesn't untap during your untap step.<br>{T}: Add {3} to your mana pool.<br>{3}: Untap Basalt Monolith.|
1099|Brass Man|{1}|Artifact Creature - Construct|1|3|Brass Man doesn't untap during your untap step.<br>At the beginning of your upkeep, you may pay {1}. If you do, untap Brass Man.|Revised Edition|Uncommon|Christopher Rush|3|Brass Man doesn't untap during your untap step.<br>At the beginning of your upkeep, you may pay {1}. If you do, untap Brass Man.|
1100|Celestial Prism|{3}|Artifact|||{2}, {T}: Add one mana of any color to your mana pool.|Revised Edition|Uncommon|Amy Weber|4|{2}, {T}: Add one mana of any color to your mana pool.|
1116|Jade Monolith|{4}|Artifact|||{1}: The next time a source of your choice would deal damage to target creature this turn, that source deals that damage to you instead.|Revised Edition|Rare|Anson Maddocks|5|{1}: The next time a source of your choice would deal damage to target creature this turn, that source deals that damage to you instead.|
1117|Jandor's Ring|{6}|Artifact|||{2}, {T}, Discard the last card you drew this turn: Draw a card.|Revised Edition|Rare|Dan Frazier|6|{2}, {T}, Discard the last card you drew this turn: Draw a card.|
1118|Jandor's Saddlebags|{2}|Artifact|||{3}, {T}: Untap target creature.|Revised Edition|Rare|Dameon Willich|7|{3}, {T}: Untap target creature.|
1120|Juggernaut|{4}|Artifact Creature - Juggernaut|5|3|Juggernaut attacks each turn if able.<br>Juggernaut can't be blocked by Walls.|Revised Edition|Uncommon|Dan Frazier|8|Juggernaut attacks each turn if able.<br>Juggernaut can't be blocked by Walls.|
1123|Living Wall|{4}|Artifact Creature - Wall|0|6|Defender <i>(This creature can't attack.)</i><br>{1}: Regenerate Living Wall.|Revised Edition|Uncommon|Anson Maddocks|9|Defender <i>(This creature can't attack.)</i><br>{1}: Regenerate Living Wall.|
1124|Mana Vault|{1}|Artifact|||Mana Vault doesn't untap during your untap step.<br>At the beginning of your upkeep, you may pay {4}. If you do, untap Mana Vault.<br>At the beginning of your draw step, if Mana Vault is tapped, it deals 1 damage to you.<br>{T}: Add {3} to your mana pool.|Revised Edition|Rare|Mark Tedin|10|Mana Vault doesn't untap during your untap step.<br>At the beginning of your upkeep, you may pay {4}. If you do, untap Mana Vault.<br>At the beginning of your draw step, if Mana Vault is tapped, it deals 1 damage to you.<br>{T}: Add {3} to your mana pool.|
1129|Obsianus Golem|{6}|Artifact Creature - Golem|4|6||Revised Edition|Uncommon|Jesper Myrfors|11||
1133|Rocket Launcher|{4}|Artifact|||{2}: Rocket Launcher deals 1 damage to target creature or player. Destroy Rocket Launcher at the beginning of the next end step. Activate this ability only if you've controlled Rocket Launcher continuously since the beginning of your most recent turn.|Revised Edition|Rare|Pete Venters|12|{2}: Rocket Launcher deals 1 damage to target creature or player. Destroy Rocket Launcher at the beginning of the next end step. Activate this ability only if you've controlled Rocket Launcher continuously since the beginning of your most recent turn.|
1134|Rod of Ruin|{4}|Artifact|||{3}, {T}: Rod of Ruin deals 1 damage to target creature or player.|Revised Edition|Uncommon|Christopher Rush|13|{3}, {T}: Rod of Ruin deals 1 damage to target creature or player.|
1135|Sol Ring|{1}|Artifact|||{T}: Add {2} to your mana pool.|Revised Edition|Uncommon|Mark Tedin|14|{T}: Add {2} to your mana pool.|
