ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
39667|Avarice Totem|{1}|Artifact|||{5}: Exchange control of Avarice Totem and target nonland permanent.|Fifth Dawn|Uncommon|Ben Thompson|104|{5}: Exchange control of Avarice Totem and target nonland permanent.|
43529|Cosmic Larva|{1}{R}{R}|Creature - Beast|7|6|Trample<br>At the beginning of your upkeep, sacrifice Cosmic Larva unless you sacrifice two lands.|Fifth Dawn|Rare|Jeff Easley|63|Trample<br>At the beginning of your upkeep, sacrifice Cosmic Larva unless you sacrifice two lands.|
43574|Relic Barrier|{2}|Artifact|||{T}: Tap target artifact.|Fifth Dawn|Uncommon|Nottsuo|147|{T}: Tap target artifact.|
44608|Iron-Barb Hellion|{5}{R}|Creature - Hellion Beast|5|4|Haste<br>Iron-Barb Hellion can't block.|Fifth Dawn|Uncommon|Doug Chaffee|69|Haste<br>Iron-Barb Hellion can't block.|
46108|Feedback Bolt|{4}{R}|Instant|||Feedback Bolt deals damage to target player equal to the number of artifacts you control.|Fifth Dawn|Uncommon|Ron Spencer|64|Feedback Bolt deals damage to target player equal to the number of artifacts you control.|
46159|Fill with Fright|{3}{B}|Sorcery|||Target player discards two cards.<br>Scry 2. <i>(To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>|Fifth Dawn|Common|Luca Zontini|50|Target player discards two cards.<br>Scry 2. <i>(To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>|
46175|Auriok Windwalker|{3}{W}|Creature - Human Wizard|2|3|Flying<br>{T}: Attach target Equipment you control to target creature you control.|Fifth Dawn|Rare|Jeremy Jarvis|5|Flying<br>{T}: Attach target Equipment you control to target creature you control.|
47438|Energy Chamber|{2}|Artifact|||At the beginning of your upkeep, choose one- Put a +1/+1 counter on target artifact creature; or put a charge counter on target noncreature artifact.|Fifth Dawn|Uncommon|Kev Walker|117|At the beginning of your upkeep, choose one- Put a +1/+1 counter on target artifact creature; or put a charge counter on target noncreature artifact.|
47449|Helm of Kaldra|{3}|Legendary Artifact - Equipment|||Equipped creature has first strike, trample, and haste.<br>{1}: If you control Equipment named Helm of Kaldra, Sword of Kaldra, and Shield of Kaldra, put a legendary 4/4 colorless Avatar creature token named Kaldra onto the battlefield and attach those Equipment to it.<br>Equip {2}|Fifth Dawn|Rare|Donato Giancola|131|Equipped creature has first strike, trample, and haste.<br>{1}: If you control Equipment named Helm of Kaldra, Sword of Kaldra, and Shield of Kaldra, put a legendary 4/4 colorless Avatar creature token named Kaldra onto the battlefield and attach those Equipment to it.<br>Equip {2}|
47800|Qumulox|{6}{U}{U}|Creature - Beast|5|4|Affinity for artifacts <i>(This spell costs {1} less to cast for each artifact you control.)</i><br>Flying|Fifth Dawn|Uncommon|Carl Critchlow|35|Affinity for artifacts <i>(This spell costs {1} less to cast for each artifact you control.)</i><br>Flying|
48177|Suncrusher|{9}|Artifact Creature - Construct|3|3|Sunburst <i>(This enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.)</i><br>{4}, {T}, Remove a +1/+1 counter from Suncrusher: Destroy target creature.<br>{2}, Remove a +1/+1 counter from Suncrusher: Return Suncrusher to its owner's hand.|Fifth Dawn|Rare|Dave Dorman|159|Sunburst <i>(This enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.)</i><br>{4}, {T}, Remove a +1/+1 counter from Suncrusher: Destroy target creature.<br>{2}, Remove a +1/+1 counter from Suncrusher: Return Suncrusher to its owner's hand.|
48215|Goblin Cannon|{4}|Artifact|||{2}: Goblin Cannon deals 1 damage to target creature or player. Sacrifice Goblin Cannon.|Fifth Dawn|Uncommon|Doug Chaffee|125|{2}: Goblin Cannon deals 1 damage to target creature or player. Sacrifice Goblin Cannon.|
50117|Fist of Suns|{3}|Artifact|||You may pay {W}{U}{B}{R}{G} rather than pay the mana cost for spells that you cast.|Fifth Dawn|Rare|Arnie Swekel|123|You may pay {W}{U}{B}{R}{G} rather than pay the mana cost for spells that you cast.|
50119|Possessed Portal|{8}|Artifact|||If a player would draw a card, that player skips that draw instead.<br>At the beginning of each end step, each player sacrifices a permanent unless he or she discards a card.|Fifth Dawn|Rare|Tony Szczudlo|144|If a player would draw a card, that player skips that draw instead.<br>At the beginning of each end step, each player sacrifices a permanent unless he or she discards a card.|
50120|Vedalken Shackles|{3}|Artifact|||You may choose not to untap Vedalken Shackles during your untap step.<br>{2}, {T}: Gain control of target creature with power less than or equal to the number of Islands you control for as long as Vedalken Shackles remains tapped.|Fifth Dawn|Rare|Mark Zug|164|You may choose not to untap Vedalken Shackles during your untap step.<br>{2}, {T}: Gain control of target creature with power less than or equal to the number of Islands you control for as long as Vedalken Shackles remains tapped.|
50129|Endless Whispers|{2}{B}{B}|Enchantment|||Each creature has "When this creature dies, choose target opponent. That player puts this card from its owner's graveyard onto the battlefield under his or her control at the beginning of the next end step."|Fifth Dawn|Rare|Carl Critchlow|49|Each creature has "When this creature dies, choose target opponent. That player puts this card from its owner's graveyard onto the battlefield under his or her control at the beginning of the next end step."|
50134|Vedalken Orrery|{4}|Artifact|||You may cast nonland cards as though they had flash.|Fifth Dawn|Rare|John Avon|163|You may cast nonland cards as though they had flash.|
50137|Loxodon Anchorite|{2}{W}{W}|Creature - Elephant Cleric|2|3|{T}: Prevent the next 2 damage that would be dealt to target creature or player this turn.|Fifth Dawn|Common|Jim Nelson|10|{T}: Prevent the next 2 damage that would be dealt to target creature or player this turn.|
50138|Stand Firm|{W}|Instant|||Target creature gets +1/+1 until end of turn.<br>Scry 2. <i>(To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>|Fifth Dawn|Common|Matt Cavotta|17|Target creature gets +1/+1 until end of turn.<br>Scry 2. <i>(To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>|
50139|Engineered Explosives|{X}|Artifact|||Sunburst <i>(This enters the battlefield with a charge counter on it for each color of mana spent to cast it.)</i><br>{2}, Sacrifice Engineered Explosives: Destroy each nonland permanent with converted mana cost equal to the number of charge counters on Engineered Explosives.|Fifth Dawn|Rare|Ron Spears|118|Sunburst <i>(This enters the battlefield with a charge counter on it for each color of mana spent to cast it.)</i><br>{2}, Sacrifice Engineered Explosives: Destroy each nonland permanent with converted mana cost equal to the number of charge counters on Engineered Explosives.|
50144|Advanced Hoverguard|{3}{U}|Creature - Drone|2|2|Flying<br>{U}: Advanced Hoverguard gains shroud until end of turn. <i>(It can't be the target of spells or abilities.)</i>|Fifth Dawn|Common|Scott M. Fischer|22|Flying<br>{U}: Advanced Hoverguard gains shroud until end of turn. <i>(It can't be the target of spells or abilities.)</i>|
50145|Serum Visions|{U}|Sorcery|||Draw a card.<br>Scry 2. <i>(To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>|Fifth Dawn|Common|Ben Thompson|36|Draw a card.<br>Scry 2. <i>(To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>|
50147|Into Thin Air|{5}{U}|Instant|||Affinity for artifacts <i>(This spell costs {1} less to cast for each artifact you control.)</i><br>Return target artifact to its owner's hand.|Fifth Dawn|Common|Ittoku|33|Affinity for artifacts <i>(This spell costs {1} less to cast for each artifact you control.)</i><br>Return target artifact to its owner's hand.|
50150|Gemstone Array|{4}|Artifact|||{2}: Put a charge counter on Gemstone Array.<br>Remove a charge counter from Gemstone Array: Add one mana of any color to your mana pool.|Fifth Dawn|Uncommon|Ittoku|124|{2}: Put a charge counter on Gemstone Array.<br>Remove a charge counter from Gemstone Array: Add one mana of any color to your mana pool.|
50155|Razormane Masticore|{5}|Artifact Creature - Masticore|5|5|First strike <i>(This creature deals combat damage before creatures without first strike.)</i><br>At the beginning of your upkeep, sacrifice Razormane Masticore unless you discard a card.<br>At the beginning of your draw step, you may have Razormane Masticore deal 3 damage to target creature.|Fifth Dawn|Rare|Jim Murray|146|First strike <i>(This creature deals combat damage before creatures without first strike.)</i><br>At the beginning of your upkeep, sacrifice Razormane Masticore unless you discard a card.<br>At the beginning of your draw step, you may have Razormane Masticore deal 3 damage to target creature.|
50156|Chimeric Coils|{1}|Artifact|||{X}{1}: Chimeric Coils becomes an X/X Construct artifact creature. Sacrifice it at the beginning of the next end step.|Fifth Dawn|Uncommon|Michael Sutfin|108|{X}{1}: Chimeric Coils becomes an X/X Construct artifact creature. Sacrifice it at the beginning of the next end step.|
