ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
10816|Prosperity|{X}{U}|Sorcery|||Each player draws X cards.|Classic Sixth Edition|Uncommon|0.0||3.88|Dan Frazier|89||Each player draws X cards.|0|
11158|Ashnod's Altar|{3}|Artifact|||Sacrifice a creature: Add {2} to your mana pool.|Classic Sixth Edition|Uncommon|0.0||3.976|Anson Maddocks|274||Sacrifice a creature: Add {2} to your mana pool.|0|
11295|Tranquil Grove|{1}{G}|Enchantment|||{1}{G}{G}: Destroy all other enchantments.|Classic Sixth Edition|Rare|0.0||4.077|Dylan Martens|258||{1}{G}{G}: Destroy all other enchantments.|0|
11303|Giant Strength|{R}{R}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2.|Classic Sixth Edition|Common|0.0||2.742|Kev Walker|181||Enchant creature<br>Enchanted creature gets +2/+2.|0|
11371|Kjeldoran Royal Guard|{3}{W}{W}|Creature - Human Soldier|2|5|{T}: All combat damage that would be dealt to you by unblocked creatures this turn is dealt to Kjeldoran Royal Guard instead.|Classic Sixth Edition|Rare|0.0||3.067|L. A. Williams|28||{T}: All combat damage that would be dealt to you by unblocked creatures this turn is dealt to Kjeldoran Royal Guard instead.|0|
11429|Order of the Sacred Torch|{1}{W}{W}|Creature - Human Knight|2|2|{T}, Pay 1 life: Counter target black spell.|Classic Sixth Edition|Rare|0.0||3.25|Ruth Thompson|32||{T}, Pay 1 life: Counter target black spell.|0|
11438|Pestilence|{2}{B}{B}|Enchantment|||At the beginning of the end step, if no creatures are on the battlefield, sacrifice Pestilence.<br>{B}: Pestilence deals 1 damage to each creature and each player.|Classic Sixth Edition|Uncommon|0.0||4.466|Kev Walker|149||At the beginning of the end step, if no creatures are on the battlefield, sacrifice Pestilence.<br>{B}: Pestilence deals 1 damage to each creature and each player.|0|
11453|Pradesh Gypsies|{2}{G}|Creature - Human Nomad|1|1|{1}{G}, {T}: Target creature gets -2/-0 until end of turn.|Classic Sixth Edition|Common|0.0||1.071|Quinton Hoover|244||{1}{G}, {T}: Target creature gets -2/-0 until end of turn.|0|
11472|Reverse Damage|{1}{W}{W}|Instant|||The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way.|Classic Sixth Edition|Rare|0.0||3.263|Thomas Gianni|39||The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way.|0|
11506|Rag Man|{2}{B}{B}|Creature - Human Minion|2|1|{B}{B}{B}, {T}: Target opponent reveals his or her hand and discards a creature card at random. Activate this ability only during your turn.|Classic Sixth Edition|Rare|0.0||2.324|Daniel Gelon|151||{B}{B}{B}, {T}: Target opponent reveals his or her hand and discards a creature card at random. Activate this ability only during your turn.|0|
11518|Stromgald Cabal|{1}{B}{B}|Creature - Human Knight|2|2|{T}, Pay 1 life: Counter target white spell.|Classic Sixth Edition|Rare|0.0||3.273|Anson Maddocks|157||{T}, Pay 1 life: Counter target white spell.|0|
12966|Rampant Growth|{1}{G}|Sorcery|||Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.|Classic Sixth Edition|Common|0.0||3.524|Tom Kyffin|246||Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.|0|
12974|Viashino Warrior|{3}{R}|Creature - Viashino Warrior|4|2||Classic Sixth Edition|Common|0.0||2.071|Roger Raupp|213|||0|
14454|Venerable Monk|{2}{W}|Creature - Human Monk Cleric|2|2|When Venerable Monk enters the battlefield, you gain 2 life.|Classic Sixth Edition|Common|0.0||2.447|D. Alexander Gregory|50||When Venerable Monk enters the battlefield, you gain 2 life.|0|
14455|Circle of Protection: White|{1}{W}|Enchantment|||{1}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.|Classic Sixth Edition|Common|0.0||2.056|Gerry Grace|12||{1}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.|0|
14457|Circle of Protection: Black|{1}{W}|Enchantment|||{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.|Classic Sixth Edition|Common|0.0||1.833|Gerry Grace|8||{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.|0|
14459|Circle of Protection: Green|{1}{W}|Enchantment|||{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.|Classic Sixth Edition|Common|0.0||1.861|Gerry Grace|10||{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.|0|
14463|Disenchant|{1}{W}|Instant|||Destroy target artifact or enchantment.|Classic Sixth Edition|Common|0.0||3.977|Brian Snoddy|16||Destroy target artifact or enchantment.|0|
14464|Remedy|{1}{W}|Instant|||Prevent the next 5 damage that would be dealt this turn to any number of target creatures and/or players, divided as you choose.|Classic Sixth Edition|Common|0.0||2.231|Zina Saunders|36||Prevent the next 5 damage that would be dealt this turn to any number of target creatures and/or players, divided as you choose.|0|
14465|Warrior's Honor|{2}{W}|Instant|||Creatures you control get +1/+1 until end of turn.|Classic Sixth Edition|Common|0.0||1.115|D. Alexander Gregory|53||Creatures you control get +1/+1 until end of turn.|0|
14469|Armored Pegasus|{1}{W}|Creature - Pegasus|1|2|Flying|Classic Sixth Edition|Common|0.0||2.139|Andrew Robinson|5||Flying|0|
14472|D'Avenant Archer|{2}{W}|Creature - Human Soldier Archer|1|2|{T}: D'Avenant Archer deals 1 damage to target attacking or blocking creature.|Classic Sixth Edition|Common|0.0||2.381|Douglas Shuler|14||{T}: D'Avenant Archer deals 1 damage to target attacking or blocking creature.|0|
14473|Regal Unicorn|{2}{W}|Creature - Unicorn|2|3||Classic Sixth Edition|Common|0.0||2.167|Zina Saunders|35|||0|
14474|Ekundu Griffin|{3}{W}|Creature - Griffin|2|2|Flying, first strike|Classic Sixth Edition|Common|0.0||2.684|David A. Cherry|18||Flying, first strike|0|
14475|Longbow Archer|{W}{W}|Creature - Human Soldier Archer|2|2|First strike; reach <i>(This creature can block creatures with flying.)</i>|Classic Sixth Edition|Uncommon|0.0||4.089|Eric Peterson|30||First strike; reach <i>(This creature can block creatures with flying.)</i>|0|
14476|Serra's Blessing|{1}{W}|Enchantment|||Creatures you control have vigilance. <i>(Attacking doesn't cause them to tap.)</i>|Classic Sixth Edition|Uncommon|0.0||4.417|Rebecca Guay|42||Creatures you control have vigilance. <i>(Attacking doesn't cause them to tap.)</i>|0|
14481|Light of Day|{3}{W}|Enchantment|||Black creatures can't attack or block.|Classic Sixth Edition|Uncommon|0.0||4.13|Drew Tucker|29||Black creatures can't attack or block.|0|
14482|Warmth|{1}{W}|Enchantment|||Whenever an opponent casts a red spell, you gain 2 life.|Classic Sixth Edition|Uncommon|0.0||2.722|Drew Tucker|52||Whenever an opponent casts a red spell, you gain 2 life.|0|
14486|Heavy Ballista|{3}{W}|Creature - Human Soldier|2|3|{T}: Heavy Ballista deals 2 damage to target attacking or blocking creature.|Classic Sixth Edition|Uncommon|0.0||2.75|Ron Spencer|23||{T}: Heavy Ballista deals 2 damage to target attacking or blocking creature.|0|
14489|Ardent Militia|{4}{W}|Creature - Human Soldier|2|5|Vigilance|Classic Sixth Edition|Uncommon|0.0||2.156|Zina Saunders|3||Vigilance|0|
14493|Archangel|{5}{W}{W}|Creature - Angel|5|5|Flying, vigilance|Classic Sixth Edition|Rare|0.0||2.381|Quinton Hoover|2||Flying, vigilance|0|
14503|Crusade|{W}{W}|Enchantment|||White creatures get +1/+1.|Classic Sixth Edition|Rare|0.0||3.865|D. Alexander Gregory|13||White creatures get +1/+1.|0|
14507|Inspiration|{3}{U}|Instant|||Target player draws two cards.|Classic Sixth Edition|Common|0.0||2.294|Zina Saunders|76||Target player draws two cards.|0|
14523|Prodigal Sorcerer|{2}{U}|Creature - Human Wizard|1|1|{T}: Prodigal Sorcerer deals 1 damage to target creature or player.|Classic Sixth Edition|Common|0.0||3.941|Douglas Shuler|88||{T}: Prodigal Sorcerer deals 1 damage to target creature or player.|0|
14526|Abduction|{2}{U}{U}|Enchantment - Aura|||Enchant creature<br>When Abduction enters the battlefield, untap enchanted creature.<br>You control enchanted creature.<br>When enchanted creature dies, return that card to the battlefield under its owner's control.|Classic Sixth Edition|Uncommon|0.0||3.192|Colin MacNeil|55||Enchant creature<br>When Abduction enters the battlefield, untap enchanted creature.<br>You control enchanted creature.<br>When enchanted creature dies, return that card to the battlefield under its owner's control.|0|
14560|Fear|{B}{B}|Enchantment - Aura|||Enchant creature <i>(Target a creature as you cast this. This card enters the battlefield attached to that creature.)</i><br>Enchanted creature has fear. <i>(It can't be blocked except by artifact creatures and/or black creatures.)</i>|Classic Sixth Edition|Common|0.0||2.524|Doug Keith|129||Enchant creature <i>(Target a creature as you cast this. This card enters the battlefield attached to that creature.)</i><br>Enchanted creature has fear. <i>(It can't be blocked except by artifact creatures and/or black creatures.)</i>|0|
14564|Painful Memories|{1}{B}|Sorcery|||Look at target opponent's hand and choose a card from it. Put that card on top of that player's library.|Classic Sixth Edition|Common|0.0||2.05|John Coulthart|147||Look at target opponent's hand and choose a card from it. Put that card on top of that player's library.|0|
14572|Razortooth Rats|{2}{B}|Creature - Rat|2|1|Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i>|Classic Sixth Edition|Common|0.0||2.357|Brian Horton|153||Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i>|0|
14578|Hidden Horror|{1}{B}{B}|Creature - Horror|4|4|When Hidden Horror enters the battlefield, sacrifice it unless you discard a creature card.|Classic Sixth Edition|Uncommon|0.0||3.5|Clint Langley|137||When Hidden Horror enters the battlefield, sacrifice it unless you discard a creature card.|0|
14580|Dread of Night|{B}|Enchantment|||White creatures get -1/-1.|Classic Sixth Edition|Uncommon|0.0||3.865|Richard Thomas|122||White creatures get -1/-1.|0|
14581|Perish|{2}{B}|Sorcery|||Destroy all green creatures. They can't be regenerated.|Classic Sixth Edition|Uncommon|0.0||4.258|Rebecca Guay|148||Destroy all green creatures. They can't be regenerated.|0|
14585|Leshrac's Rite|{B}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has swampwalk.|Classic Sixth Edition|Uncommon|0.0||1.821|Mike Raabe|141||Enchant creature<br>Enchanted creature has swampwalk.|0|
14589|Bog Wraith|{3}{B}|Creature - Wraith|3|3|Swampwalk <i>(This creature is unblockable as long as defending player controls a Swamp.)</i>|Classic Sixth Edition|Uncommon|0.0||2.667|Jeff A. Menges|118||Swampwalk <i>(This creature is unblockable as long as defending player controls a Swamp.)</i>|0|
14599|Zombie Master|{1}{B}{B}|Creature - Zombie|2|3|Other Zombie creatures have swampwalk.<br>Other Zombies have "{B}: Regenerate this permanent."|Classic Sixth Edition|Rare|0.0||4.6|Jeff A. Menges|162||Other Zombie creatures have swampwalk.<br>Other Zombies have "{B}: Regenerate this permanent."|0|
14604|Infernal Contract|{B}{B}{B}|Sorcery|||Draw four cards. You lose half your life, rounded up.|Classic Sixth Edition|Rare|0.0||3.119|Roger Raupp|139||Draw four cards. You lose half your life, rounded up.|0|
14612|Spitting Earth|{1}{R}|Sorcery|||Spitting Earth deals damage to target creature equal to the number of Mountains you control.|Classic Sixth Edition|Common|0.0||2.842|Brian Snoddy|208||Spitting Earth deals damage to target creature equal to the number of Mountains you control.|0|
14624|Talruum Minotaur|{2}{R}{R}|Creature - Minotaur Berserker|3|3|Haste|Classic Sixth Edition|Common|0.0||2.556|Pete Venters|210||Haste|0|
14626|Flame Spirit|{4}{R}|Creature - Elemental Spirit|2|3|{R}: Flame Spirit gets +1/+0 until end of turn.|Classic Sixth Edition|Common|0.0||1.917|Justin Hampton|179||{R}: Flame Spirit gets +1/+0 until end of turn.|0|
14632|Volcanic Geyser|{X}{R}{R}|Instant|||Volcanic Geyser deals X damage to target creature or player.|Classic Sixth Edition|Uncommon|0.0||3.932|David O'Connor|215||Volcanic Geyser deals X damage to target creature or player.|0|
14648|Fervor|{2}{R}|Enchantment|||Creatures you control have haste.|Classic Sixth Edition|Rare|0.0||3.955|Franz Vohwinkel|174||Creatures you control have haste.|0|
14654|Manabarbs|{3}{R}|Enchantment|||Whenever a player taps a land for mana, Manabarbs deals 1 damage to that player.|Classic Sixth Edition|Rare|0.0||3.308|Christopher Rush|194||Whenever a player taps a land for mana, Manabarbs deals 1 damage to that player.|0|
14660|Volcanic Dragon|{4}{R}{R}|Creature - Dragon|4|4|Flying<br>Haste <i>(This creature can attack and {T} as soon as it comes under your control.)</i>|Classic Sixth Edition|Rare|0.0||3.281|Janine Johnston|214||Flying<br>Haste <i>(This creature can attack and {T} as soon as it comes under your control.)</i>|0|
14667|Vitalize|{G}|Instant|||Untap all creatures you control.|Classic Sixth Edition|Common|0.0||4.471|Pete Venters|265||Untap all creatures you control.|0|
14677|Stalking Tiger|{3}{G}|Creature - Cat|3|3|Stalking Tiger can't be blocked by more than one creature.|Classic Sixth Edition|Common|0.0||2.921|Terese Nielsen|253||Stalking Tiger can't be blocked by more than one creature.|0|
14682|Fog|{G}|Instant|||Prevent all combat damage that would be dealt this turn.|Classic Sixth Edition|Common|0.0||3.75|Harold McNeill|230||Prevent all combat damage that would be dealt this turn.|0|
14684|Regeneration|{1}{G}|Enchantment - Aura|||Enchant creature <i>(Target a creature as you cast this. This card enters the battlefield attached to that creature.)</i><br>{G}: Regenerate enchanted creature. <i>(The next time that creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)</i>|Classic Sixth Edition|Common|0.0||2.591|Quinton Hoover|248||Enchant creature <i>(Target a creature as you cast this. This card enters the battlefield attached to that creature.)</i><br>{G}: Regenerate enchanted creature. <i>(The next time that creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)</i>|0|
14685|Tranquility|{2}{G}|Sorcery|||Destroy all enchantments.|Classic Sixth Edition|Common|0.0||2.618|Douglas Shuler|259||Destroy all enchantments.|0|
14686|Elven Cache|{2}{G}{G}|Sorcery|||Return target card from your graveyard to your hand.|Classic Sixth Edition|Common|0.0||2.958|Rebecca Guay|224||Return target card from your graveyard to your hand.|0|
14690|Uktabi Orangutan|{2}{G}|Creature - Ape|2|2|When Uktabi Orangutan enters the battlefield, destroy target artifact.|Classic Sixth Edition|Uncommon|0.0||3.951|Una Fricker|260||When Uktabi Orangutan enters the battlefield, destroy target artifact.|0|
14691|Familiar Ground|{2}{G}|Enchantment|||Each creature you control can't be blocked by more than one creature.|Classic Sixth Edition|Uncommon|0.0||3.231|Jeff Miracola|228||Each creature you control can't be blocked by more than one creature.|0|
14695|Untamed Wilds|{2}{G}|Sorcery|||Search your library for a basic land card and put that card onto the battlefield. Then shuffle your library.|Classic Sixth Edition|Uncommon|0.0||2.559|NéNé Thomas|263||Search your library for a basic land card and put that card onto the battlefield. Then shuffle your library.|0|
14699|Fyndhorn Elder|{2}{G}|Creature - Elf Druid|1|1|{T}: Add {G}{G} to your mana pool.|Classic Sixth Edition|Uncommon|0.0||3.235|Donato Giancola|232||{T}: Add {G}{G} to your mana pool.|0|
14705|Elven Riders|{3}{G}{G}|Creature - Elf|3|3|Elven Riders can't be blocked except by Walls and/or creatures with flying.|Classic Sixth Edition|Uncommon|0.0||2.464|Dan Frazier|225||Elven Riders can't be blocked except by Walls and/or creatures with flying.|0|
14711|Rowen|{2}{G}{G}|Enchantment|||Reveal the first card you draw each turn. Whenever you reveal a basic land card this way, draw a card.|Classic Sixth Edition|Rare|0.0||3.455|Jon J. Muth|250||Reveal the first card you draw each turn. Whenever you reveal a basic land card this way, draw a card.|0|
14714|Early Harvest|{1}{G}{G}|Instant|||Target player untaps all basic lands he or she controls.|Classic Sixth Edition|Rare|0.0||2.9|Janine Johnston|222||Target player untaps all basic lands he or she controls.|0|
14718|Maro|{2}{G}{G}|Creature - Elemental|*|*|Maro's power and toughness are each equal to the number of cards in your hand.|Classic Sixth Edition|Rare|0.0||3.231|Stuart Griffin|241||Maro's power and toughness are each equal to the number of cards in your hand.|0|
14720|Wyluli Wolf|{1}{G}|Creature - Wolf|1|1|{T}: Target creature gets +1/+1 until end of turn.|Classic Sixth Edition|Rare|0.0||3.053|Susan Van Camp|270||{T}: Target creature gets +1/+1 until end of turn.|0|
14721|Uktabi Wildcats|{4}{G}|Creature - Cat|*|*|Uktabi Wildcats's power and toughness are each equal to the number of Forests you control.<br>{G}, Sacrifice a Forest: Regenerate Uktabi Wildcats.|Classic Sixth Edition|Rare|0.0||3.458|John Matson|261||Uktabi Wildcats's power and toughness are each equal to the number of Forests you control.<br>{G}, Sacrifice a Forest: Regenerate Uktabi Wildcats.|0|
14784|Pentagram of the Ages|{4}|Artifact|||{4}, {T}: The next time a source of your choice would deal damage to you this turn, prevent that damage.|Classic Sixth Edition|Rare|0.0||2.553|Douglas Shuler|305||{4}, {T}: The next time a source of your choice would deal damage to you this turn, prevent that damage.|0|
15350|Exile|{2}{W}|Instant|||Exile target nonwhite attacking creature. You gain life equal to its toughness.|Classic Sixth Edition|Rare|0.0||4.158|Rob Alexander|21||Exile target nonwhite attacking creature. You gain life equal to its toughness.|0|
15352|Reprisal|{1}{W}|Instant|||Destroy target creature with power 4 or greater. It can't be regenerated.|Classic Sixth Edition|Uncommon|0.0||4.087|Randy Asplund|37||Destroy target creature with power 4 or greater. It can't be regenerated.|0|
15354|Celestial Dawn|{1}{W}{W}|Enchantment|||Lands you control are Plains.<br>Nonland cards you own that aren't on the battlefield, spells you control, and nonland permanents you control are white.<br>You may spend white mana as though it were mana of any color. You may spend other mana only as though it were colorless mana.|Classic Sixth Edition|Rare|0.0||3.31|Liz Danforth|7||Lands you control are Plains.<br>Nonland cards you own that aren't on the battlefield, spells you control, and nonland permanents you control are white.<br>You may spend white mana as though it were mana of any color. You may spend other mana only as though it were colorless mana.|0|
15355|Enlightened Tutor|{W}|Instant|||Search your library for an artifact or enchantment card and reveal that card. Shuffle your library, then put the card on top of it.|Classic Sixth Edition|Uncommon|0.0||4.636|Dan Frazier|19||Search your library for an artifact or enchantment card and reveal that card. Shuffle your library, then put the card on top of it.|0|
15356|Ethereal Champion|{2}{W}{W}{W}|Creature - Avatar|3|4|Pay 1 life: Prevent the next 1 damage that would be dealt to Ethereal Champion this turn.|Classic Sixth Edition|Rare|0.0||1.7|Terese Nielsen|20||Pay 1 life: Prevent the next 1 damage that would be dealt to Ethereal Champion this turn.|0|
15357|Unyaro Griffin|{3}{W}|Creature - Griffin|2|2|Flying<br>Sacrifice Unyaro Griffin: Counter target red instant or sorcery spell.|Classic Sixth Edition|Uncommon|0.0||2.425|Al Davidson|49||Flying<br><br>Sacrifice Unyaro Griffin: Counter target red instant or sorcery spell.|0|
15358|Daraja Griffin|{3}{W}|Creature - Griffin|2|2|Flying<br>Sacrifice Daraja Griffin: Destroy target black creature.|Classic Sixth Edition|Uncommon|0.0||3.088|Stuart Griffin|15||Flying<br>Sacrifice Daraja Griffin: Destroy target black creature.|0|
15359|Infantry Veteran|{W}|Creature - Human Soldier|1|1|{T}: Target attacking creature gets +1/+1 until end of turn.|Classic Sixth Edition|Common|0.0||2.531|Christopher Rush|26||{T}: Target attacking creature gets +1/+1 until end of turn.|0|
15360|Serenity|{1}{W}|Enchantment|||At the beginning of your upkeep, destroy all artifacts and enchantments. They can't be regenerated.|Classic Sixth Edition|Rare|0.0||4.0|Cliff Nielsen|41||At the beginning of your upkeep, destroy all artifacts and enchantments. They can't be regenerated.|0|
15361|Tariff|{1}{W}|Sorcery|||Each player sacrifices the creature he or she controls with the highest converted mana cost unless he or she pays that creature's mana cost. If two creatures a player controls are tied for highest cost, that player chooses one.|Classic Sixth Edition|Rare|0.0||3.344|Kev Walker|47||Each player sacrifices the creature he or she controls with the highest converted mana cost unless he or she pays that creature's mana cost. If two creatures a player controls are tied for highest cost, that player chooses one.|0|
15362|Resistance Fighter|{W}|Creature - Human Soldier|1|1|Sacrifice Resistance Fighter: Prevent all combat damage target creature would deal this turn.|Classic Sixth Edition|Common|0.0||2.875|Cecil Fernando|38||Sacrifice Resistance Fighter: Prevent all combat damage target creature would deal this turn.|0|
15363|Diminishing Returns|{2}{U}{U}|Sorcery|||Each player shuffles his or her hand and graveyard into his or her library. You exile the top ten cards of your library. Then each player draws up to seven cards.|Classic Sixth Edition|Rare|0.0||3.115|L. A. Williams|65||Each player shuffles his or her hand and graveyard into his or her library. You exile the top ten cards of your library. Then each player draws up to seven cards.|0|
15364|Library of Lat-Nam|{4}{U}|Sorcery|||An opponent chooses one- You draw three cards at the beginning of the next turn's upkeep; or you search your library for a card, put that card into your hand, then shuffle your library.|Classic Sixth Edition|Rare|0.0||2.625|Alan Rabinowitz|78||An opponent chooses one- You draw three cards at the beginning of the next turn's upkeep; or you search your library for a card, put that card into your hand, then shuffle your library.|0|
15365|Dream Cache|{2}{U}|Sorcery|||Draw three cards, then put two cards from your hand both on top of your library or both on the bottom of your library.|Classic Sixth Edition|Common|0.0||3.119|D. Alexander Gregory|66||Draw three cards, then put two cards from your hand both on top of your library or both on the bottom of your library.|0|
15366|Harmattan Efreet|{2}{U}{U}|Creature - Efreet|2|2|Flying<br>{1}{U}{U}: Target creature gains flying until end of turn.|Classic Sixth Edition|Uncommon|0.0||1.5|Drew Tucker|73||Flying<br><br>{1}{U}{U}: Target creature gains flying until end of turn.|0|
15367|Mystical Tutor|{U}|Instant|||Search your library for an instant or sorcery card and reveal that card. Shuffle your library, then put the card on top of it.|Classic Sixth Edition|Uncommon|0.0||4.719|David O'Connor|83||Search your library for an instant or sorcery card and reveal that card. Shuffle your library, then put the card on top of it.|0|
15368|Psychic Transfer|{4}{U}|Sorcery|||If the difference between your life total and target player's life total is 5 or less, exchange life totals with that player.|Classic Sixth Edition|Rare|0.0||1.176|Dom|90||If the difference between your life total and target player's life total is 5 or less, exchange life totals with that player.|0|
15370|Desertion|{3}{U}{U}|Instant|||Counter target spell. If an artifact or creature spell is countered this way, put that card onto the battlefield under your control instead of into its owner's graveyard.|Classic Sixth Edition|Rare|0.0||4.357|Richard Kane Ferguson|64||Counter target spell. If an artifact or creature spell is countered this way, put that card onto the battlefield under your control instead of into its owner's graveyard.|0|
15375|Relearn|{1}{U}{U}|Sorcery|||Return target instant or sorcery card from your graveyard to your hand.|Classic Sixth Edition|Uncommon|0.0||3.7|Zina Saunders|93||Return target instant or sorcery card from your graveyard to your hand.|0|
15376|Insight|{2}{U}|Enchantment|||Whenever an opponent casts a green spell, you draw a card.|Classic Sixth Edition|Uncommon|0.0||3.079|Ron Chironna|75||Whenever an opponent casts a green spell, you draw a card.|0|
15377|Spell Blast|{X}{U}|Instant|||Counter target spell with converted mana cost X.|Classic Sixth Edition|Common|0.0||1.674|Greg Simanson|100||Counter target spell with converted mana cost X.|0|
15380|Syphon Soul|{2}{B}|Sorcery|||Syphon Soul deals 2 damage to each other player. You gain life equal to the damage dealt this way.|Classic Sixth Edition|Common|0.0||3.029|Melissa A. Benson|159||Syphon Soul deals 2 damage to each other player. You gain life equal to the damage dealt this way.|0|
15381|Abyssal Specter|{2}{B}{B}|Creature - Specter|2|3|Flying<br>Whenever Abyssal Specter deals damage to a player, that player discards a card.|Classic Sixth Edition|Uncommon|0.0||3.111|George Pratt|110||Flying<br>Whenever Abyssal Specter deals damage to a player, that player discards a card.|0|
15382|Dry Spell|{1}{B}|Sorcery|||Dry Spell deals 1 damage to each creature and each player.|Classic Sixth Edition|Common|0.0||2.857|Brian Snoddy|124||Dry Spell deals 1 damage to each creature and each player.|0|
