ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
10844|Hurricane|{X}{G}|Sorcery|||Hurricane deals X damage to each creature with flying and each player.|Seventh Edition|Rare|John Howe|252|Hurricane deals X damage to each creature with flying and each player.|
11179|Bog Imp|{1}{B}|Creature - Imp|1|1|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i>|Seventh Edition|Common|Carl Critchlow|122|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i>|
11256|Elder Druid|{3}{G}|Creature - Elf Cleric Druid|2|2|{3}{G}, {T}: You may tap or untap target artifact, creature, or land.|Seventh Edition|Rare|Alan Pollack|238|{3}{G}, {T}: You may tap or untap target artifact, creature, or land.|
11280|Flight|{U}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has flying.|Seventh Edition|Common|Bradley Williams|75|Enchant creature<br>Enchanted creature has flying.|
11285|Force Spike|{U}|Instant|||Counter target spell unless its controller pays {1}.|Seventh Edition|Common|Nelson DeCastro|76|Counter target spell unless its controller pays {1}.|
11307|Goblin Digging Team|{R}|Creature - Goblin|1|1|{T}, Sacrifice Goblin Digging Team: Destroy target Wall.|Seventh Edition|Common|Ben Thompson|186|{T}, Sacrifice Goblin Digging Team: Destroy target Wall.|
11326|Howl from Beyond|{X}{B}|Instant|||Target creature gets +X/+0 until end of turn.|Seventh Edition|Common|Dave Dorman|142|Target creature gets +X/+0 until end of turn.|
11356|Jalum Tome|{3}|Artifact|||{2}, {T}: Draw a card, then discard a card.|Seventh Edition|Rare|Jerry Tiritilli|303|{2}, {T}: Draw a card, then discard a card.|
11398|Meekstone|{1}|Artifact|||Creatures with power 3 or greater don't untap during their controllers' untap steps.|Seventh Edition|Rare|David Martin|307|Creatures with power 3 or greater don't untap during their controllers' untap steps.|
11478|Samite Healer|{1}{W}|Creature - Human Cleric|1|1|{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.|Seventh Edition|Common|Anson Maddocks|38|{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.|
11482|Elvish Lyrist|{G}|Creature - Elf|1|1|{G}, {T}, Sacrifice Elvish Lyrist: Destroy target enchantment.|Seventh Edition|Uncommon|Michael Koelsch|241|{G}, {T}, Sacrifice Elvish Lyrist: Destroy target enchantment.|
11494|Shanodin Dryads|{G}|Creature - Dryad|1|1|Forestwalk|Seventh Edition|Common|Eric Peterson|269|Forestwalk|
11544|Twiddle|{U}|Instant|||You may tap or untap target artifact, creature, or land.|Seventh Edition|Common|Rebecca Guay|107|You may tap or untap target artifact, creature, or land.|
12963|Femeref Archers|{2}{G}|Creature - Human Archer|2|2|{T}: Femeref Archers deals 4 damage to target attacking creature with flying.|Seventh Edition|Uncommon|Gary Ruddell|244|{T}: Femeref Archers deals 4 damage to target attacking creature with flying.|
12970|Final Fortune|{R}{R}|Instant|||Take an extra turn after this one. At the beginning of that turn's end step, you lose the game.|Seventh Edition|Rare|Greg & Tim Hildebrandt|182|Take an extra turn after this one. At the beginning of that turn's end step, you lose the game.|
12975|Trained Orgg|{6}{R}|Creature - Orgg|6|6||Seventh Edition|Rare|Alex Horley-Orlandelli|224||
12980|Ostracize|{B}|Sorcery|||Target opponent reveals his or her hand. You choose a creature card from it. That player discards that card.|Seventh Edition|Common|Hannibal King|153|Target opponent reveals his or her hand. You choose a creature card from it. That player discards that card.|
12988|Tremor|{R}|Sorcery|||Tremor deals 1 damage to each creature without flying.|Seventh Edition|Common|Michael Koelsch|225|Tremor deals 1 damage to each creature without flying.|
12998|Nature's Resurgence|{2}{G}{G}|Sorcery|||Each player draws a card for each creature card in his or her graveyard.|Seventh Edition|Rare|Gary Ruddell|259|Each player draws a card for each creature card in his or her graveyard.|
12999|Redwood Treefolk|{4}{G}|Creature - Treefolk|3|6||Seventh Edition|Common|D. J. Cleland-Hura|264||
13018|Southern Paladin|{2}{W}{W}|Creature - Human Knight|3|3|{W}{W}, {T}: Destroy target red permanent.|Seventh Edition|Rare|Greg Staples|46|{W}{W}, {T}: Destroy target red permanent.|
13021|Dregs of Sorrow|{X}{4}{B}|Sorcery|||Destroy X target nonblack creatures. Draw X cards.|Seventh Edition|Rare|Massimilano Frezzato|129|Destroy X target nonblack creatures. Draw X cards.|
13030|Benthic Behemoth|{5}{U}{U}{U}|Creature - Serpent|7|6|Islandwalk|Seventh Edition|Rare|Heather Hudson|63|Islandwalk|
13035|Mawcor|{3}{U}{U}|Creature - Beast|3|3|Flying<br><br>{T}: Mawcor deals 1 damage to target creature or player.|Seventh Edition|Rare|Kev Walker|87|Flying<br><br>{T}: Mawcor deals 1 damage to target creature or player.|
13038|Wind Dancer|{1}{U}|Creature - Faerie|1|1|Flying<br><br>{T}: Target creature gains flying until end of turn.|Seventh Edition|Uncommon|Rob Alexander|113|Flying<br><br>{T}: Target creature gains flying until end of turn.|
