ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|CTYPE|CMC|DBPRICE|LANG|EDITION_ABBR|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID
82943|Order of the Sacred Bell|{3}{G}|Creature - Human Monk|4|3||Ninth Edition|Common|mono|4|0.0|||2.568|Carl Critchlow|261|||0
82950|Ancient Silverback|{4}{G}{G}|Creature - Ape|6|5|{G}: Regenerate Ancient Silverback. <i>(The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)</i>|Ninth Edition|Rare|mono|6|0.0|||3.872|Scott M. Fischer|230||{G}: Regenerate Ancient Silverback. <i>(The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)</i>|0
82951|Paladin en-Vec|{1}{W}{W}|Creature - Human Knight|2|2|First strike, protection from black and from red <i>(This creature deals combat damage before creatures without first strike. It can't be blocked, targeted, dealt damage, or enchanted by anything black or red.)</i>|Ninth Edition|Rare|mono|3|0.0|||3.773|Simon Bisley|32||First strike, protection from black and from red <i>(This creature deals combat damage before creatures without first strike. It can't be blocked, targeted, dealt damage, or enchanted by anything black or red.)</i>|0
82955|Karplusan Yeti|{3}{R}{R}|Creature - Yeti|3|3|{T}: Karplusan Yeti deals damage equal to its power to target creature. That creature deals damage equal to its power to Karplusan Yeti.|Ninth Edition|Rare|mono|5|0.0|||3.143|Wayne England|198||{T}: Karplusan Yeti deals damage equal to its power to target creature. That creature deals damage equal to its power to Karplusan Yeti.|0
82957|Goblin Piker|{1}{R}|Creature - Goblin Warrior|2|1||Ninth Edition|Common|mono|2|0.0|||1.667|DiTerlizzi|194|||0
82960|Elvish Bard|{3}{G}{G}|Creature - Elf Shaman|2|4|All creatures able to block Elvish Bard do so.|Ninth Edition|Uncommon|mono|5|0.0|||3.219|Rob Alexander|236||All creatures able to block Elvish Bard do so.|0
82967|Pegasus Charger|{2}{W}|Creature - Pegasus|2|1|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>First strike <i>(This creature deals combat damage before creatures without first strike.)</i>|Ninth Edition|Common|mono|3|0.0|||3.2|Val Mayerik|34||Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>First strike <i>(This creature deals combat damage before creatures without first strike.)</i>|0
82968|Lumengrid Warden|{1}{U}|Creature - Human Wizard|1|3||Ninth Edition|Common|mono|2|0.0|||2.0|Francis Tsai|84|||0
82973|Enfeeblement|{B}{B}|Enchantment - Aura|||Enchant creature <i>(Target a creature as you cast this. This card enters the battlefield attached to that creature.)</i><br>Enchanted creature gets -2/-2.|Ninth Edition|Common|mono|2|0.0|||2.692|John Bolton|127||Enchant creature <i>(Target a creature as you cast this. This card enters the battlefield attached to that creature.)</i><br>Enchanted creature gets -2/-2.|0
82999|Aven Flock|{4}{W}|Creature - Bird Soldier|2|3|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>{W}: Aven Flock gets +0/+1 until end of turn.|Ninth Edition|Common|mono|5|0.0|||1.538|Greg & Tim Hildebrandt|4||Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>{W}: Aven Flock gets +0/+1 until end of turn.|0
83001|Balduvian Barbarians|{1}{R}{R}|Creature - Human Barbarian|3|2||Ninth Edition|Common|mono|3|0.0|||2.263|Jim Nelson|174|||0
83002|Beast of Burden|{6}|Artifact Creature - Golem|*|*|Beast of Burden's power and toughness are each equal to the number of creatures on the battlefield.|Ninth Edition|Rare|colorless|6|0.0|||3.354|Chippy|288||Beast of Burden's power and toughness are each equal to the number of creatures on the battlefield.|0
83008|Blood Moon|{2}{R}|Enchantment|||Nonbasic lands are Mountains.|Ninth Edition|Rare|mono|3|0.0|||4.58|Franz Vohwinkel|176||Nonbasic lands are Mountains.|0
83012|Boiling Seas|{3}{R}|Sorcery|||Destroy all Islands.|Ninth Edition|Uncommon|mono|4|0.0|||3.479|Tom Wänerstrand|178||Destroy all Islands.|0
83018|Goblin Mountaineer|{R}|Creature - Goblin Scout|1|1|Mountainwalk|Ninth Edition|Common|mono|1|0.0|||2.167|Pete Venters|193||Mountainwalk|0
83021|Chastise|{3}{W}|Instant|||Destroy target attacking creature. You gain life equal to its power.|Ninth Edition|Uncommon|mono|4|0.0|||3.82|Carl Critchlow|9||Destroy target attacking creature. You gain life equal to its power.|0
83022|River Bear|{3}{G}|Creature - Bear|3|3|Islandwalk <i>(This creature is unblockable as long as defending player controls an Island.)</i>|Ninth Edition|Uncommon|mono|4|0.0|||3.326|Una Fricker|266||Islandwalk <i>(This creature is unblockable as long as defending player controls an Island.)</i>|0
83035|Greater Good|{2}{G}{G}|Enchantment|||Sacrifice a creature: Draw cards equal to the sacrificed creature's power, then discard three cards.|Ninth Edition|Rare|mono|4|0.0|||4.054|Douglas Shuler|245||Sacrifice a creature: Draw cards equal to the sacrificed creature's power, then discard three cards.|0
83039|Cowardice|{3}{U}{U}|Enchantment|||Whenever a creature becomes the target of a spell or ability, return that creature to its owner's hand. <i>(It won't be affected by the spell or ability.)</i>|Ninth Edition|Rare|mono|5|0.0|||3.522|Michael Sutfin|70||Whenever a creature becomes the target of a spell or ability, return that creature to its owner's hand. <i>(It won't be affected by the spell or ability.)</i>|0
83051|Defense Grid|{2}|Artifact|||Each spell costs {3} more to cast except during its controller's turn.|Ninth Edition|Rare|colorless|2|0.0|||4.089|Mark Tedin|293||Each spell costs {3} more to cast except during its controller's turn.|0
83056|Diabolic Tutor|{2}{B}{B}|Sorcery|||Search your library for a card and put that card into your hand. Then shuffle your library.|Ninth Edition|Uncommon|mono|4|0.0|||4.0|Rick Farrell|125||Search your library for a card and put that card into your hand. Then shuffle your library.|0
83074|Emperor Crocodile|{3}{G}|Creature - Crocodile|5|5|When you control no other creatures, sacrifice Emperor Crocodile.|Ninth Edition|Rare|mono|4|0.0|||3.574|Kev Walker|241||When you control no other creatures, sacrifice Emperor Crocodile.|0
83079|Execute|{2}{B}|Instant|||Destroy target white creature. It can't be regenerated.<br>Draw a card.|Ninth Edition|Uncommon|mono|3|0.0|||1.875|Gary Ruddell|128||Destroy target white creature. It can't be regenerated.<br>Draw a card.|0
83098|Furnace of Rath|{1}{R}{R}{R}|Enchantment|||If a source would deal damage to a creature or player, it deals double that damage to that creature or player instead.|Ninth Edition|Rare|mono|4|0.0|||4.267|John Matson|188||If a source would deal damage to a creature or player, it deals double that damage to that creature or player instead.|0
83106|Glorious Anthem|{1}{W}{W}|Enchantment|||Creatures you control get +1/+1.|Ninth Edition|Rare|mono|3|0.0|||4.326|Kev Walker|16||Creatures you control get +1/+1.|0
83109|Goblin Chariot|{2}{R}|Creature - Goblin Warrior|2|2|Haste <i>(This creature can attack the turn it comes under your control.)</i>|Ninth Edition|Common|mono|3|0.0|||2.261|John Howe|191||Haste <i>(This creature can attack the turn it comes under your control.)</i>|0
83113|Grave Pact|{1}{B}{B}{B}|Enchantment|||Whenever a creature you control dies, each other player sacrifices a creature.|Ninth Edition|Rare|mono|4|0.0|||4.814|Puddnhead|135||Whenever a creature you control dies, each other player sacrifices a creature.|0
83115|Grizzly Bears|{1}{G}|Creature - Bear|2|2||Ninth Edition|Common|mono|2|0.0|||3.875|D. J. Cleland-Hura|246|||0
83122|Holy Strength|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +1/+2.|Ninth Edition|Common|mono|1|0.0|||2.368|Scott M. Fischer|19||Enchant creature<br>Enchanted creature gets +1/+2.|0
83133|Battle of Wits|{3}{U}{U}|Enchantment|||At the beginning of your upkeep, if you have 200 or more cards in your library, you win the game.|Ninth Edition|Rare|mono|5|0.0|||3.947|Edward P. Beard, Jr.|65||At the beginning of your upkeep, if you have 200 or more cards in your library, you win the game.|0
83142|Booby Trap|{6}|Artifact|||As Booby Trap enters the battlefield, name a card other than a basic land card and choose an opponent.<br>The chosen player reveals each card he or she draws.<br>When the chosen player draws the named card, sacrifice Booby Trap. If you do, Booby Trap deals 10 damage to that player.|Ninth Edition|Rare|colorless|6|0.0|||3.923|Doug Chaffee|289||As Booby Trap enters the battlefield, name a card other than a basic land card and choose an opponent.<br>The chosen player reveals each card he or she draws.<br>When the chosen player draws the named card, sacrifice Booby Trap. If you do, Booby Trap deals 10 damage to that player.|0
83145|Lava Axe|{4}{R}|Sorcery|||Lava Axe deals 5 damage to target player.|Ninth Edition|Common|mono|5|0.0|||3.211|Brian Snoddy|200||Lava Axe deals 5 damage to target player.|0
83151|Rootbreaker Wurm|{5}{G}{G}|Creature - Wurm|6|6|Trample <i>(If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)</i>|Ninth Edition|Uncommon|mono|7|0.0|||2.7|Richard Kane Ferguson|267||Trample <i>(If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)</i>|0
83156|Creeping Mold|{2}{G}{G}|Sorcery|||Destroy target artifact, enchantment, or land.|Ninth Edition|Uncommon|mono|4|0.0|||3.824|Rob Alexander|234||Destroy target artifact, enchantment, or land.|0
83157|Festering Goblin|{B}|Creature - Zombie Goblin|1|1|When Festering Goblin dies, target creature gets -1/-1 until end of turn.|Ninth Edition|Common|mono|1|0.0|||3.8|Thomas M. Baxa|130||When Festering Goblin dies, target creature gets -1/-1 until end of turn.|0
83159|Mana Clash|{R}|Sorcery|||You and target opponent each flip a coin. Mana Clash deals 1 damage to each player whose coin comes up tails. Repeat this process until both players' coins come up heads on the same flip.|Ninth Edition|Rare|mono|1|0.0|||3.179|Ron Spencer|203||You and target opponent each flip a coin. Mana Clash deals 1 damage to each player whose coin comes up tails. Repeat this process until both players' coins come up heads on the same flip.|0
83162|Master Decoy|{1}{W}|Creature - Human Soldier|1|2|{W}, {T}: Tap target creature.|Ninth Edition|Common|mono|2|0.0|||3.848|Ben Thompson|27||{W}, {T}: Tap target creature.|0
83165|Crafty Pathmage|{2}{U}|Creature - Human Wizard|1|1|{T}: Target creature with power 2 or less is unblockable this turn.|Ninth Edition|Common|mono|3|0.0|||2.158|Wayne England|71||{T}: Target creature with power 2 or less is unblockable this turn.|0
83166|Withering Gaze|{2}{U}|Sorcery|||Target opponent reveals his or her hand. You draw a card for each Forest and green card in it.|Ninth Edition|Uncommon|mono|3|0.0|||2.474|Randy Gallegos|113||Target opponent reveals his or her hand. You draw a card for each Forest and green card in it.|0
83183|Naturalize|{1}{G}|Instant|||Destroy target artifact or enchantment.|Ninth Edition|Common|mono|2|0.0|||3.947|Jeff Miracola|258||Destroy target artifact or enchantment.|0
83188|Norwood Ranger|{G}|Creature - Elf Scout|1|2||Ninth Edition|Common|mono|1|0.0|||2.636|Ron Spencer|260|||0
83229|Reclaim|{G}|Instant|||Put target card from your graveyard on top of your library.|Ninth Edition|Common|mono|1|0.0|||3.935|Andrew Robinson|264||Put target card from your graveyard on top of your library.|0
83236|Rukh Egg|{3}{R}|Creature - Bird|0|3|When Rukh Egg dies, put a 4/4 red Bird creature token with flying onto the battlefield at the beginning of the next end step.|Ninth Edition|Rare|mono|4|0.0|||3.441|Mark Zug|214||When Rukh Egg dies, put a 4/4 red Bird creature token with flying onto the battlefield at the beginning of the next end step.|0
83237|Zodiac Monkey|{1}{G}|Creature - Ape|2|1|Forestwalk <i>(This creature is unblockable as long as defending player controls a Forest.)</i>|Ninth Edition|Common|mono|2|0.0|||2.3|Richard Sardinha|285||Forestwalk <i>(This creature is unblockable as long as defending player controls a Forest.)</i>|0
83257|Shatter|{1}{R}|Instant|||Destroy target artifact.|Ninth Edition|Common|mono|2|0.0|||2.571|Jason Alexander Behnke|218||Destroy target artifact.|0
83258|Dream Prowler|{2}{U}{U}|Creature - Illusion|1|5|Dream Prowler is unblockable as long as it's attacking alone.|Ninth Edition|Uncommon|mono|4|0.0|||2.271|Matt Cavotta|74||Dream Prowler is unblockable as long as it's attacking alone.|0
83311|Weathered Wayfarer|{W}|Creature - Human Nomad Cleric|1|1|{W}, {T}: Search your library for a land card, reveal it, and put it into your hand. Then shuffle your library. Activate this ability only if an opponent controls more lands than you.|Ninth Edition|Rare|mono|1|0.0|||4.145|Greg & Tim Hildebrandt|54||{W}, {T}: Search your library for a land card, reveal it, and put it into your hand. Then shuffle your library. Activate this ability only if an opponent controls more lands than you.|0
83320|Verduran Enchantress|{1}{G}{G}|Creature - Human Druid|0|2|Whenever you cast an enchantment spell, you may draw a card.|Ninth Edition|Rare|mono|3|0.0|||3.839|Rob Alexander|279||Whenever you cast an enchantment spell, you may draw a card.|0
83353|Horror of Horrors|{3}{B}{B}|Enchantment|||Sacrifice a Swamp: Regenerate target black creature. <i>(The next time that creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)</i>|Ninth Edition|Uncommon|mono|5|0.0|||1.618|Simon Bisley|140||Sacrifice a Swamp: Regenerate target black creature. <i>(The next time that creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)</i>|0
83374|Goblin Brigand|{1}{R}|Creature - Goblin Warrior|2|2|Goblin Brigand attacks each turn if able.|Ninth Edition|Common|mono|2|0.0|||2.333|Arnie Swekel|190||Goblin Brigand attacks each turn if able.|0
83377|Seething Song|{2}{R}|Instant|||Add {R}{R}{R}{R}{R} to your mana pool.|Ninth Edition|Common|mono|3|0.0|||4.486|Martina Pilcerova|216||Add {R}{R}{R}{R}{R} to your mana pool.|0
