ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
442029|Accumulated Knowledge|{1}{U}|Instant|||Draw a card, then draw cards equal to the number of cards named Accumulated Knowledge in all graveyards.|Masters 25|Common|Randy Gallegos|40|Draw a card, then draw cards equal to the number of cards named Accumulated Knowledge in all graveyards.|
441990|Act of Heroism|{1}{W}|Instant|||Untap target creature. It gets +2/+2 until end of turn and can block an additional creature this turn.|Masters 25|Common|Magali Villeneuve|1|Untap target creature. It gets +2/+2 until end of turn and can block an additional creature this turn.|
442107|Act of Treason|{2}{R}|Sorcery|||Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.|Masters 25|Common|Eric Deschamps|118|Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.|
442146|Ainok Survivalist|{1}{G}|Creature - Hound Shaman|2|1|Megamorph {1}{G} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)</i><br>When Ainok Survivalist is turned face up, destroy target artifact or enchantment an opponent controls.|Masters 25|Common|Craig J Spearing|157|Megamorph {1}{G} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)</i><br>When Ainok Survivalist is turned face up, destroy target artifact or enchantment an opponent controls.|
442108|Akroma, Angel of Fury|{5}{R}{R}{R}|Legendary Creature - Angel|6|6|This spell can't be countered.<br>Flying, trample, protection from white and from blue<br>{R}: Akroma, Angel of Fury gets +1/+0 until end of turn.<br>Morph {3}{R}{R}{R} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|Masters 25|Mythic Rare|Terese Nielsen|119|This spell can't be countered.<br>Flying, trample, protection from white and from blue<br>{R}: Akroma, Angel of Fury gets +1/+0 until end of turn.<br>Morph {3}{R}{R}{R} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|
441991|Akroma, Angel of Wrath|{5}{W}{W}{W}|Legendary Creature - Angel|6|6|Flying, first strike, vigilance, trample, haste, protection from black and from red|Masters 25|Mythic Rare|Terese Nielsen|2|Flying, first strike, vigilance, trample, haste, protection from black and from red|
441992|Akroma's Vengeance|{4}{W}{W}|Sorcery|||Destroy all artifacts, creatures, and enchantments.<br>Cycling {3} <i>({3}, Discard this card: Draw a card.)</i>|Masters 25|Rare|Aleksi Briclot|3|Destroy all artifacts, creatures, and enchantments.<br>Cycling {3} <i>({3}, Discard this card: Draw a card.)</i>|
442147|Ambassador Oak|{3}{G}|Creature - Treefolk Warrior|3|3|When Ambassador Oak enters the battlefield, create a 1/1 green Elf Warrior creature token.|Masters 25|Common|Steve Prescott|158|When Ambassador Oak enters the battlefield, create a 1/1 green Elf Warrior creature token.|
442068|Ancient Craving|{3}{B}|Sorcery|||You draw three cards and you lose 3 life.|Masters 25|Uncommon|Rob Alexander|79|You draw three cards and you lose 3 life.|
442148|Ancient Stirrings|{G}|Sorcery|||Look at the top five cards of your library. You may reveal a colorless card from among them and put it into your hand. Then put the rest on the bottom of your library in any order. <i>(Cards with no colored mana in their mana costs are colorless. Lands are also colorless.)</i>|Masters 25|Uncommon|Vincent Proce|159|Look at the top five cards of your library. You may reveal a colorless card from among them and put it into your hand. Then put the rest on the bottom of your library in any order. <i>(Cards with no colored mana in their mana costs are colorless. Lands are also colorless.)</i>|
