ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
423808|Aegis Automaton|{2}|Artifact Creature - Construct|0|3|{4}{W}: Return another target creature you control to its owner's hand.|Aether Revolt|Common|Kieran Yanner|141|{4}{W}: Return another target creature you control to its owner's hand.|
423668|Aerial Modification|{4}{W}|Enchantment - Aura|||Enchant creature or Vehicle<br>As long as enchanted permanent is a Vehicle, it's a creature in addition to its other types.<br>Enchanted creature gets +2/+2 and has flying.|Aether Revolt|Uncommon|Jung Park|1|Enchant creature or Vehicle<br>As long as enchanted permanent is a Vehicle, it's a creature in addition to its other types.<br>Enchanted creature gets +2/+2 and has flying.|
423669|Aeronaut Admiral|{3}{W}|Creature - Human Pilot|3|1|Flying<br>Vehicles you control have flying.|Aether Revolt|Uncommon|E. M. Gist|2|Flying<br>Vehicles you control have flying.|
423743|Aether Chaser|{1}{R}|Creature - Human Artificer|2|1|First strike<br>When Aether Chaser enters the battlefield, you get {e}{e} <i>(two energy counters)</i>.<br>Whenever Aether Chaser attacks, you may pay {e}{e}. If you do, create a 1/1 colorless Servo artifact creature token.|Aether Revolt|Common|Jason Rainville|76|First strike<br>When Aether Chaser enters the battlefield, you get {e}{e} <i>(two energy counters)</i>.<br>Whenever Aether Chaser attacks, you may pay {e}{e}. If you do, create a 1/1 colorless Servo artifact creature token.|
423769|Aether Herder|{3}{G}|Creature - Elf Artificer Druid|3|3|When Aether Herder enters the battlefield, you get {e}{e} <i>(two energy counters)</i>.<br>Whenever Aether Herder attacks, you may pay {e}{e}. If you do, create a 1/1 colorless Servo artifact creature token.|Aether Revolt|Common|Victor Adame Minguez|102|When Aether Herder enters the battlefield, you get {e}{e} <i>(two energy counters)</i>.<br>Whenever Aether Herder attacks, you may pay {e}{e}. If you do, create a 1/1 colorless Servo artifact creature token.|
423670|Aether Inspector|{3}{W}|Creature - Dwarf Artificer|2|3|Vigilance<br>When Aether Inspector enters the battlefield, you get {e}{e} <i>(two energy counters)</i>.<br>Whenever Aether Inspector attacks, you may pay {e}{e}. If you do, create a 1/1 colorless Servo artifact creature token.|Aether Revolt|Common|Sidharth Chaturvedi|3|Vigilance<br>When Aether Inspector enters the battlefield, you get {e}{e} <i>(two energy counters)</i>.<br>Whenever Aether Inspector attacks, you may pay {e}{e}. If you do, create a 1/1 colorless Servo artifact creature token.|
423718|Aether Poisoner|{1}{B}|Creature - Human Artificer|1|1|Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i><br>When Aether Poisoner enters the battlefield, you get {e}{e} <i>(two energy counters)</i>.<br>Whenever Aether Poisoner attacks, you may pay {e}{e}. If you do, create a 1/1 colorless Servo artifact creature token.|Aether Revolt|Common|Yongjae Choi|51|Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i><br>When Aether Poisoner enters the battlefield, you get {e}{e} <i>(two energy counters)</i>.<br>Whenever Aether Poisoner attacks, you may pay {e}{e}. If you do, create a 1/1 colorless Servo artifact creature token.|
423693|Aether Swooper|{1}{U}|Creature - Vedalken Artificer|1|2|Flying<br>When Aether Swooper enters the battlefield, you get {e}{e} <i>(two energy counters)</i>.<br>Whenever Aether Swooper attacks, you may pay {e}{e}. If you do, create a 1/1 colorless Servo artifact creature token.|Aether Revolt|Common|James Ryman|26|Flying<br>When Aether Swooper enters the battlefield, you get {e}{e} <i>(two energy counters)</i>.<br>Whenever Aether Swooper attacks, you may pay {e}{e}. If you do, create a 1/1 colorless Servo artifact creature token.|
423671|Aethergeode Miner|{1}{W}|Creature - Dwarf Scout|3|1|Whenever Aethergeode Miner attacks, you get {e}{e} <i>(two energy counters)</i>.<br>Pay {e}{e}: Exile Aethergeode Miner, then return it to the battlefield under its owner's control.|Aether Revolt|Rare|Winona Nelson|4|Whenever Aethergeode Miner attacks, you get {e}{e} <i>(two energy counters)</i>.<br>Pay {e}{e}: Exile Aethergeode Miner, then return it to the battlefield under its owner's control.|
423809|Aethersphere Harvester|{3}|Artifact - Vehicle|3|5|Flying<br>When Aethersphere Harvester enters the battlefield, you get {e}{e} <i>(two energy counters)</i>.<br>Pay {e}: Aethersphere Harvester gains lifelink until end of turn.<br>Crew 1 <i>(Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)</i>|Aether Revolt|Rare|Christine Choi|142|Flying<br>When Aethersphere Harvester enters the battlefield, you get {e}{e} <i>(two energy counters)</i>.<br>Pay {e}: Aethersphere Harvester gains lifelink until end of turn.<br>Crew 1 <i>(Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)</i>|
