ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
426969|Forest||Basic Land - Forest|||G|Amonkhet|Land|Titus Lunter|267|G|
426960|Island||Basic Land - Island|||U|Amonkhet|Land|Jonas De Ro|258|U|
426966|Mountain||Basic Land - Mountain|||R|Amonkhet|Land|Jonas De Ro|264|R|
426957|Plains||Basic Land - Plains|||W|Amonkhet|Land|Volkan Baga|255|W|
426963|Swamp||Basic Land - Swamp|||B|Amonkhet|Land|Steven Belledin|261|B|
426896|Ahn-Crop Champion|{2}{G}{W}|Creature - Human Warrior|4|4|You may exert Ahn-Crop Champion as it attacks. When you do, untap all other creatures you control. <i>(An exerted creature won't untap during your next untap step.)</i>|Amonkhet|Uncommon|Craig J Spearing|194|You may exert Ahn-Crop Champion as it attacks. When you do, untap all other creatures you control. <i>(An exerted creature won't untap during your next untap step.)</i>|
426819|Ahn-Crop Crasher|{2}{R}|Creature - Minotaur Warrior|3|2|Haste<br>You may exert Ahn-Crop Crasher as it attacks. When you do, target creature can't block this turn. <i>(An exerted creature won't untap during your next untap step.)</i>|Amonkhet|Uncommon|Seb McKinnon|117|Haste<br>You may exert Ahn-Crop Crasher as it attacks. When you do, target creature can't block this turn. <i>(An exerted creature won't untap during your next untap step.)</i>|
426742|Ancient Crab|{1}{U}{U}|Creature - Crab|1|5||Amonkhet|Common|James Paick|40||
426703|Angel of Sanctions|{3}{W}{W}|Creature - Angel|3|4|Flying<br>When Angel of Sanctions enters the battlefield, you may exile target nonland permanent an opponent controls until Angel of Sanctions leaves the battlefield.<br>Embalm {5}{W} <i>({5}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Angel with no mana cost. Embalm only as a sorcery.)</i>|Amonkhet|Mythic Rare|Min Yum|1|Flying<br>When Angel of Sanctions enters the battlefield, you may exile target nonland permanent an opponent controls until Angel of Sanctions leaves the battlefield.<br>Embalm {5}{W} <i>({5}{W}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Angel with no mana cost. Embalm only as a sorcery.)</i>|
426743|Angler Drake|{4}{U}{U}|Creature - Drake|4|4|Flying<br>When Angler Drake enters the battlefield, you may return target creature to its owner's hand.|Amonkhet|Uncommon|Svetlin Velinov|41|Flying<br>When Angler Drake enters the battlefield, you may return target creature to its owner's hand.|
