ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|CTYPE|CMC|DBPRICE|LANG|EDITION_ABBR|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID
3040|Aesthir Glider|{3}|Artifact Creature - Bird|2|1|Flying<br>Aesthir Glider can't block.|Alliances|Common|colorless|3|0.0|||1.42|Ruth Thompson|||Flying<br>Aesthir Glider can't block.|0
3042|Ashnod's Cylix|{2}|Artifact|||{3}, {T}: Target player looks at the top three cards of his or her library, puts one of them back on top of his or her library, then exiles the rest.|Alliances|Rare|colorless|2|0.0|||2.048|Nicola Leonard|||{3}, {T}: Target player looks at the top three cards of his or her library, puts one of them back on top of his or her library, then exiles the rest.|0
3043|Astrolabe|{3}|Artifact|||{1}, {T}, Sacrifice Astrolabe: Add two mana of any one color to your mana pool. Draw a card at the beginning of the next turn's upkeep.|Alliances|Common|colorless|3|0.0|||2.5|Amy Weber|||{1}, {T}, Sacrifice Astrolabe: Add two mana of any one color to your mana pool. Draw a card at the beginning of the next turn's upkeep.|0
3045|Floodwater Dam|{3}|Artifact|||{X}{X}{1}, {T}: Tap X target lands.|Alliances|Rare|colorless|3|0.0|||2.472|Randy Gallegos|||{X}{X}{1}, {T}: Tap X target lands.|0
3046|Gustha's Scepter|{0}|Artifact|||{T}: Exile a card from your hand face down. You may look at it for as long as it remains exiled.<br>{T}: Return a card you own exiled with Gustha's Scepter to your hand.<br>When you lose control of Gustha's Scepter, put all cards exiled with Gustha's Scepter into their owner's graveyard.|Alliances|Rare|colorless|0|0.0|||3.053|Sandra Everingham|||{T}: Exile a card from your hand face down. You may look at it for as long as it remains exiled.<br>{T}: Return a card you own exiled with Gustha's Scepter to your hand.<br>When you lose control of Gustha's Scepter, put all cards exiled with Gustha's Scepter into their owner's graveyard.|0
3047|Helm of Obedience|{4}|Artifact|||{X}, {T}: Target opponent puts cards from the top of his or her library into his or her graveyard until a creature card or X cards are put into that graveyard this way, whichever comes first. If a creature card is put into that graveyard this way, sacrifice Helm of Obedience and put that card onto the battlefield under your control. X can't be 0.|Alliances|Rare|colorless|4|0.0|||4.042|Brian Snoddy|||{X}, {T}: Target opponent puts cards from the top of his or her library into his or her graveyard until a creature card or X cards are put into that graveyard this way, whichever comes first. If a creature card is put into that graveyard this way, sacrifice Helm of Obedience and put that card onto the battlefield under your control. X can't be 0.|0
3048|Lodestone Bauble|{0}|Artifact|||{1}, {T}, Sacrifice Lodestone Bauble: Put up to four target basic land cards from a player's graveyard on top of his or her library in any order. That player draws a card at the beginning of the next turn's upkeep.|Alliances|Rare|colorless|0|0.0|||3.25|Douglas Shuler|||{1}, {T}, Sacrifice Lodestone Bauble: Put up to four target basic land cards from a player's graveyard on top of his or her library in any order. That player draws a card at the beginning of the next turn's upkeep.|0
3049|Mishra's Groundbreaker|{4}|Artifact|||{T}, Sacrifice Mishra's Groundbreaker: Target land becomes a 3/3 artifact creature that's still a land. <i>(This effect lasts indefinitely.)</i>|Alliances|Uncommon|colorless|4|0.0|||2.219|Randy Gallegos|||{T}, Sacrifice Mishra's Groundbreaker: Target land becomes a 3/3 artifact creature that's still a land. <i>(This effect lasts indefinitely.)</i>|0
3051|Phyrexian Devourer|{6}|Artifact Creature - Construct|1|1|When Phyrexian Devourer's power is 7 or greater, sacrifice it.<br>Exile the top card of your library: Put X +1/+1 counters on Phyrexian Devourer, where X is the exiled card's converted mana cost. If Phyrexian Devourer's power is 7 or greater, sacrifice it.|Alliances|Rare|colorless|6|0.0|||1.75|Mark Tedin|||When Phyrexian Devourer's power is 7 or greater, sacrifice it.<br>Exile the top card of your library: Put X +1/+1 counters on Phyrexian Devourer, where X is the exiled card's converted mana cost. If Phyrexian Devourer's power is 7 or greater, sacrifice it.|0
3052|Phyrexian Portal|{3}|Artifact|||{3}: Target opponent looks at the top ten cards of your library and separates them into two face-down piles. Exile one of those piles. Search the other pile for a card, put it into your hand, then shuffle the rest of that pile into your library. Activate this ability only if your library has ten or more cards in it.|Alliances|Rare|colorless|3|0.0|||2.333|Pete Venters|||{3}: Target opponent looks at the top ten cards of your library and separates them into two face-down piles. Exile one of those piles. Search the other pile for a card, put it into your hand, then shuffle the rest of that pile into your library. Activate this ability only if your library has ten or more cards in it.|0
3055|Scarab of the Unseen|{2}|Artifact|||{T}, Sacrifice Scarab of the Unseen: Return all Auras attached to target permanent you own to their owners' hands. Draw a card at the beginning of the next turn's upkeep.|Alliances|Uncommon|colorless|2|0.0|||1.6|Sandra Everingham|||{T}, Sacrifice Scarab of the Unseen: Return all Auras attached to target permanent you own to their owners' hands. Draw a card at the beginning of the next turn's upkeep.|0
3057|Sol Grail|{3}|Artifact|||As Sol Grail enters the battlefield, choose a color.<br>{T}: Add one mana of the chosen color to your mana pool.|Alliances|Uncommon|colorless|3|0.0|||2.021|Christopher Rush|||As Sol Grail enters the battlefield, choose a color.<br>{T}: Add one mana of the chosen color to your mana pool.|0
3058|Soldevi Digger|{2}|Artifact|||{2}: Put the top card of your graveyard on the bottom of your library.|Alliances|Rare|colorless|2|0.0|||2.852|Amy Weber|||{2}: Put the top card of your graveyard on the bottom of your library.|0
3059|Soldevi Sentry|{1}|Artifact Creature - Soldier|1|1|{1}: Choose target opponent. Regenerate Soldevi Sentry. When it regenerates this way, that player may draw a card.|Alliances|Common|colorless|1|0.0|||1.5|Alan Rabinowitz|||{1}: Choose target opponent. Regenerate Soldevi Sentry. When it regenerates this way, that player may draw a card.|0
3061|Soldevi Steam Beast|{5}|Artifact Creature - Beast|4|2|Whenever Soldevi Steam Beast becomes tapped, target opponent gains 2 life.<br>{2}: Regenerate Soldevi Steam Beast.|Alliances|Common|colorless|5|0.0|||0.788|Bill Sienkiewicz|||Whenever Soldevi Steam Beast becomes tapped, target opponent gains 2 life.<br>{2}: Regenerate Soldevi Steam Beast.|0
3064|Urza's Engine|{5}|Artifact Creature - Juggernaut|1|5|Trample<br>{3}: Urza's Engine gains banding until end of turn. <i>(Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)</i><br>{3}: Attacking creatures banded with Urza's Engine gain trample until end of turn.|Alliances|Uncommon|colorless|5|0.0|||2.385|Greg Simanson|||Trample<br>{3}: Urza's Engine gains banding until end of turn. <i>(Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)</i><br>{3}: Attacking creatures banded with Urza's Engine gain trample until end of turn.|0
3065|Whirling Catapult|{4}|Artifact|||{2}, Exile the top two cards of your library: Whirling Catapult deals 1 damage to each creature with flying and each player.|Alliances|Uncommon|colorless|4|0.0|||1.917|Dan Frazier|||{2}, Exile the top two cards of your library: Whirling Catapult deals 1 damage to each creature with flying and each player.|0
3066|Balduvian Dead|{3}{B}|Creature - Zombie|2|3|{2}{R}, Exile a creature card from your graveyard: Put a 3/1 black and red Graveborn creature token with haste onto the battlefield. Sacrifice it at the beginning of the next end step.|Alliances|Uncommon|mono|4|0.0|||3.05|Mike Kimble|||{2}{R}, Exile a creature card from your graveyard: Put a 3/1 black and red Graveborn creature token with haste onto the battlefield. Sacrifice it at the beginning of the next end step.|0
3067|Casting of Bones|{2}{B}|Enchantment - Aura|||Enchant creature<br>When enchanted creature dies, draw three cards, then discard one of them.|Alliances|Common|mono|3|0.0|||3.212|Anson Maddocks|||Enchant creature<br>When enchanted creature dies, draw three cards, then discard one of them.|0
3069|Contagion|{3}{B}{B}|Instant|||You may pay 1 life and exile a black card from your hand rather than pay Contagion's mana cost.<br>Distribute two -2/-1 counters among one or two target creatures.|Alliances|Uncommon|mono|5|0.0|||3.86|Mike Raabe|||You may pay 1 life and exile a black card from your hand rather than pay Contagion's mana cost.<br>Distribute two -2/-1 counters among one or two target creatures.|0
