ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
137900|Jund Charm|{B}{R}{G}|Instant|||Choose one- Exile all cards from target player's graveyard; or Jund Charm deals 2 damage to each creature; or put two +1/+1 counters on target creature.|Shards of Alara|Uncommon|Brandon Kitkouski|175|Choose one- Exile all cards from target player's graveyard; or Jund Charm deals 2 damage to each creature; or put two +1/+1 counters on target creature.|
137905|Naya Charm|{R}{G}{W}|Instant|||Choose one- Naya Charm deals 3 damage to target creature; or return target card from a graveyard to its owner's hand; or tap all creatures target player controls.|Shards of Alara|Uncommon|Jesper Ejsing|180|Choose one- Naya Charm deals 3 damage to target creature; or return target card from a graveyard to its owner's hand; or tap all creatures target player controls.|
137913|Esper Charm|{W}{U}{B}|Instant|||Choose one- Destroy target enchantment; or draw two cards; or target player discards two cards.|Shards of Alara|Uncommon|Michael Bruinsma|167|Choose one- Destroy target enchantment; or draw two cards; or target player discards two cards.|
137927|Grixis Charm|{U}{B}{R}|Instant|||Choose one- Return target permanent to its owner's hand; or target creature gets -4/-4 until end of turn; or creatures you control get +2/+0 until end of turn.|Shards of Alara|Uncommon|Lars Grant-West|171|Choose one- Return target permanent to its owner's hand; or target creature gets -4/-4 until end of turn; or creatures you control get +2/+0 until end of turn.|
137931|Bant Charm|{G}{W}{U}|Instant|||Choose one- Destroy target artifact; or put target creature on the bottom of its owner's library; or counter target instant spell.|Shards of Alara|Uncommon|Randy Gallegos|155|Choose one- Destroy target artifact; or put target creature on the bottom of its owner's library; or counter target instant spell.|
174787|Mosstodon|{4}{G}|Creature - Plant Elephant|5|3|{1}: Target creature with power 5 or greater gains trample until end of turn.|Shards of Alara|Common|Parente|139|{1}: Target creature with power 5 or greater gains trample until end of turn.|
174789|Cradle of Vitality|{3}{W}|Enchantment|||Whenever you gain life, you may pay {1}{W}. If you do, put a +1/+1 counter on target creature for each 1 life you gained.|Shards of Alara|Rare|Trevor Hairsine|7|Whenever you gain life, you may pay {1}{W}. If you do, put a +1/+1 counter on target creature for each 1 life you gained.|
174796|Minion Reflector|{5}|Artifact|||Whenever a nontoken creature enters the battlefield under your control, you may pay {2}. If you do, put a token that's a copy of that creature onto the battlefield. That token has haste and "At the beginning of the end step, sacrifice this permanent."|Shards of Alara|Rare|Mark Tedin|211|Whenever a nontoken creature enters the battlefield under your control, you may pay {2}. If you do, put a token that's a copy of that creature onto the battlefield. That token has haste and "At the beginning of the end step, sacrifice this permanent."|
174800|Courier's Capsule|{1}{U}|Artifact|||{1}{U}, {T}, Sacrifice Courier's Capsule: Draw two cards.|Shards of Alara|Common|Andrew Murray|37|{1}{U}, {T}, Sacrifice Courier's Capsule: Draw two cards.|
174805|Gustrider Exuberant|{2}{W}|Creature - Human Wizard|1|2|Flying<br>Sacrifice Gustrider Exuberant: Creatures you control with power 5 or greater gain flying until end of turn.|Shards of Alara|Common|Wayne Reynolds|13|Flying<br>Sacrifice Gustrider Exuberant: Creatures you control with power 5 or greater gain flying until end of turn.|
174806|Incurable Ogre|{3}{R}|Creature - Ogre Mutant|5|1||Shards of Alara|Common|Carl Critchlow|105||
174808|Soul's Might|{4}{G}|Sorcery|||Put X +1/+1 counters on target creature, where X is that creature's power.|Shards of Alara|Common|Kev Walker|149|Put X +1/+1 counters on target creature, where X is that creature's power.|
174813|Soul's Grace|{1}{W}|Instant|||You gain life equal to target creature's power.|Shards of Alara|Common|Christopher Moeller|28|You gain life equal to target creature's power.|
174814|Cloudheath Drake|{4}{U}|Artifact Creature - Drake|3|3|Flying<br>{1}{W}: Cloudheath Drake gains vigilance until end of turn.|Shards of Alara|Common|Izzy|35|Flying<br>{1}{W}: Cloudheath Drake gains vigilance until end of turn.|
174816|Glaze Fiend|{1}{B}|Artifact Creature - Illusion|0|1|Flying<br>Whenever another artifact enters the battlefield under your control, Glaze Fiend gets +2/+2 until end of turn.|Shards of Alara|Common|Joshua Hagler|77|Flying<br>Whenever another artifact enters the battlefield under your control, Glaze Fiend gets +2/+2 until end of turn.|
174817|Banewasp Affliction|{1}{B}|Enchantment - Aura|||Enchant creature<br>When enchanted creature dies, that creature's controller loses life equal to its toughness.|Shards of Alara|Common|Dave Allsop|65|Enchant creature<br>When enchanted creature dies, that creature's controller loses life equal to its toughness.|
174818|Lich's Mirror|{5}|Artifact|||If you would lose the game, instead shuffle your hand, your graveyard, and all permanents you own into your library, then draw seven cards and your life total becomes 20.|Shards of Alara|Mythic Rare|Ash Wood|210|If you would lose the game, instead shuffle your hand, your graveyard, and all permanents you own into your library, then draw seven cards and your life total becomes 20.|
174821|Bloodthorn Taunter|{1}{R}|Creature - Human Scout|1|1|Haste<br>{T}: Target creature with power 5 or greater gains haste until end of turn.|Shards of Alara|Common|Jesper Ejsing|94|Haste<br>{T}: Target creature with power 5 or greater gains haste until end of turn.|
174822|Godtoucher|{3}{G}|Creature - Elf Cleric|2|2|{1}{W}, {T}: Prevent all damage that would be dealt to target creature with power 5 or greater this turn.|Shards of Alara|Common|Jesper Ejsing|133|{1}{W}, {T}: Prevent all damage that would be dealt to target creature with power 5 or greater this turn.|
174823|Ranger of Eos|{3}{W}|Creature - Human Soldier|3|2|When Ranger of Eos enters the battlefield, you may search your library for up to two creature cards with converted mana cost 1 or less, reveal them, and put them into your hand. If you do, shuffle your library.|Shards of Alara|Rare|Volkan Baga|21|When Ranger of Eos enters the battlefield, you may search your library for up to two creature cards with converted mana cost 1 or less, reveal them, and put them into your hand. If you do, shuffle your library.|
174824|Relic of Progenitus|{1}|Artifact|||{T}: Target player exiles a card from his or her graveyard.<br>{1}, Exile Relic of Progenitus: Exile all cards from all graveyards. Draw a card.|Shards of Alara|Common|Jean-Sébastien Rossbach|218|{T}: Target player exiles a card from his or her graveyard.<br>{1}, Exile Relic of Progenitus: Exile all cards from all graveyards. Draw a card.|
174826|Angelic Benediction|{3}{W}|Enchantment|||Exalted <i>(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)</i><br>Whenever a creature you control attacks alone, you may tap target creature.|Shards of Alara|Uncommon|Michael Komarck|3|Exalted <i>(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)</i><br>Whenever a creature you control attacks alone, you may tap target creature.|
174828|Sacellum Godspeaker|{2}{G}|Creature - Elf Druid|2|2|{T}: Reveal any number of creature cards with power 5 or greater from your hand. Add {G} to your mana pool for each card revealed this way.|Shards of Alara|Rare|Wayne Reynolds|146|{T}: Reveal any number of creature cards with power 5 or greater from your hand. Add {G} to your mana pool for each card revealed this way.|
174830|Dispeller's Capsule|{W}|Artifact|||{2}{W}, {T}, Sacrifice Dispeller's Capsule: Destroy target artifact or enchantment.|Shards of Alara|Common|Franz Vohwinkel|8|{2}{W}, {T}, Sacrifice Dispeller's Capsule: Destroy target artifact or enchantment.|
174831|Onyx Goblet|{2}{B}|Artifact|||{T}: Target player loses 1 life.|Shards of Alara|Common|rk post|81|{T}: Target player loses 1 life.|
174833|Protomatter Powder|{2}{U}|Artifact|||{4}{W}, {T}, Sacrifice Protomatter Powder: Return target artifact card from your graveyard to the battlefield.|Shards of Alara|Uncommon|Francis Tsai|53|{4}{W}, {T}, Sacrifice Protomatter Powder: Return target artifact card from your graveyard to the battlefield.|
174835|Dregscape Zombie|{1}{B}|Creature - Zombie|2|1|Unearth {B} <i>({B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)</i>|Shards of Alara|Common|Lars Grant-West|74|Unearth {B} <i>({B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)</i>|
174837|Kathari Screecher|{2}{U}|Creature - Bird Soldier|2|2|Flying<br>Unearth {2}{U} <i>({2}{U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)</i>|Shards of Alara|Common|Pete Venters|47|Flying<br>Unearth {2}{U} <i>({2}{U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)</i>|
174838|Sedraxis Specter|{U}{B}{R}|Creature - Specter|3|2|Flying<br>Whenever Sedraxis Specter deals combat damage to a player, that player discards a card.<br>Unearth {1}{B} <i>({1}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)</i>|Shards of Alara|Rare|Cole Eastburn|192|Flying<br>Whenever Sedraxis Specter deals combat damage to a player, that player discards a card.<br>Unearth {1}{B} <i>({1}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)</i>|
174839|Titanic Ultimatum|{R}{R}{G}{G}{G}{W}{W}|Sorcery|||Until end of turn, creatures you control get +5/+5 and gain first strike, lifelink, and trample.|Shards of Alara|Rare|Steve Prescott|204|Until end of turn, creatures you control get +5/+5 and gain first strike, lifelink, and trample.|
174842|Bant Panorama||Land|||{T}: Add {1} to your mana pool.<br>{1}, {T}, Sacrifice Bant Panorama: Search your library for a basic Forest, Plains, or Island card and put it onto the battlefield tapped. Then shuffle your library.|Shards of Alara|Common|Donato Giancola|221|{T}: Add {1} to your mana pool.<br>{1}, {T}, Sacrifice Bant Panorama: Search your library for a basic Forest, Plains, or Island card and put it onto the battlefield tapped. Then shuffle your library.|
