ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
3040|Aesthir Glider|{3}|Artifact Creature - Bird|2|1|Flying<br>Aesthir Glider can't block.|Alliances|Common|Ruth Thompson|1|Flying<br>Aesthir Glider can't block.|
3042|Ashnod's Cylix|{2}|Artifact|||{3}, {T}: Target player looks at the top three cards of his or her library, puts one of them back on top of his or her library, then exiles the rest.|Alliances|Rare|Nicola Leonard|2|{3}, {T}: Target player looks at the top three cards of his or her library, puts one of them back on top of his or her library, then exiles the rest.|
3043|Astrolabe|{3}|Artifact|||{1}, {T}, Sacrifice Astrolabe: Add two mana of any one color to your mana pool. Draw a card at the beginning of the next turn's upkeep.|Alliances|Common|Amy Weber|3|{1}, {T}, Sacrifice Astrolabe: Add two mana of any one color to your mana pool. Draw a card at the beginning of the next turn's upkeep.|
3045|Floodwater Dam|{3}|Artifact|||{X}{X}{1}, {T}: Tap X target lands.|Alliances|Rare|Randy Gallegos|4|{X}{X}{1}, {T}: Tap X target lands.|
3046|Gustha's Scepter|{0}|Artifact|||{T}: Exile a card from your hand face down. You may look at it for as long as it remains exiled.<br>{T}: Return a card you own exiled with Gustha's Scepter to your hand.<br>When you lose control of Gustha's Scepter, put all cards exiled with Gustha's Scepter into their owner's graveyard.|Alliances|Rare|Sandra Everingham|5|{T}: Exile a card from your hand face down. You may look at it for as long as it remains exiled.<br>{T}: Return a card you own exiled with Gustha's Scepter to your hand.<br>When you lose control of Gustha's Scepter, put all cards exiled with Gustha's Scepter into their owner's graveyard.|
3047|Helm of Obedience|{4}|Artifact|||{X}, {T}: Target opponent puts cards from the top of his or her library into his or her graveyard until a creature card or X cards are put into that graveyard this way, whichever comes first. If a creature card is put into that graveyard this way, sacrifice Helm of Obedience and put that card onto the battlefield under your control. X can't be 0.|Alliances|Rare|Brian Snoddy|6|{X}, {T}: Target opponent puts cards from the top of his or her library into his or her graveyard until a creature card or X cards are put into that graveyard this way, whichever comes first. If a creature card is put into that graveyard this way, sacrifice Helm of Obedience and put that card onto the battlefield under your control. X can't be 0.|
3048|Lodestone Bauble|{0}|Artifact|||{1}, {T}, Sacrifice Lodestone Bauble: Put up to four target basic land cards from a player's graveyard on top of his or her library in any order. That player draws a card at the beginning of the next turn's upkeep.|Alliances|Rare|Douglas Shuler|7|{1}, {T}, Sacrifice Lodestone Bauble: Put up to four target basic land cards from a player's graveyard on top of his or her library in any order. That player draws a card at the beginning of the next turn's upkeep.|
3049|Mishra's Groundbreaker|{4}|Artifact|||{T}, Sacrifice Mishra's Groundbreaker: Target land becomes a 3/3 artifact creature that's still a land. <i>(This effect lasts indefinitely.)</i>|Alliances|Uncommon|Randy Gallegos|8|{T}, Sacrifice Mishra's Groundbreaker: Target land becomes a 3/3 artifact creature that's still a land. <i>(This effect lasts indefinitely.)</i>|
3051|Phyrexian Devourer|{6}|Artifact Creature - Construct|1|1|When Phyrexian Devourer's power is 7 or greater, sacrifice it.<br>Exile the top card of your library: Put X +1/+1 counters on Phyrexian Devourer, where X is the exiled card's converted mana cost.|Alliances|Rare|Mark Tedin|9|When Phyrexian Devourer's power is 7 or greater, sacrifice it.<br>Exile the top card of your library: Put X +1/+1 counters on Phyrexian Devourer, where X is the exiled card's converted mana cost.|
3052|Phyrexian Portal|{3}|Artifact|||{3}: If your library has ten or more cards in it, target opponent looks at the top ten cards of your library and separates them into two face-down piles. Exile one of those piles. Search the other pile for a card, put it into your hand, then shuffle the rest of that pile into your library.|Alliances|Rare|Pete Venters|10|{3}: If your library has ten or more cards in it, target opponent looks at the top ten cards of your library and separates them into two face-down piles. Exile one of those piles. Search the other pile for a card, put it into your hand, then shuffle the rest of that pile into your library.|
