ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
904|City in a Bottle|{2}|Artifact|||Whenever a nontoken permanent from the Arabian Nights expansion other than City in a Bottle is on the battlefield, its controller sacrifices it.<br>Players can't play cards from the Arabian Nights expansion.|Arabian Nights|Rare|0.0||2.82|Drew Tucker|1||Whenever a nontoken permanent from the Arabian Nights expansion other than City in a Bottle is on the battlefield, its controller sacrifices it. <br>Players can't play cards from the Arabian Nights expansion.|0|
910|Jeweled Bird|{1}|Artifact|||Remove Jeweled Bird from your deck before playing if you're not playing for ante.<br>{T}: Put Jeweled Bird into the ante. If you do, put all other cards you own from the ante into your graveyard, then draw a card.|Arabian Nights|Uncommon|0.0||1.804|Amy Weber|2||Remove Jeweled Bird from your deck before playing if you're not playing for ante.<br>{T}: Put Jeweled Bird into the ante. If you do, put all other cards you own from the ante into your graveyard, then draw a card.|0|
911|Pyramids|{6}|Artifact|||{2}: Choose one- Destroy target Aura attached to a land; or the next time target land would be destroyed this turn, remove all damage marked on it instead.|Arabian Nights|Rare|0.0||1.771|Amy Weber|3||{2}: Choose one- Destroy target Aura attached to a land; or the next time target land would be destroyed this turn, remove all damage marked on it instead.|0|
913|Sandals of Abdallah|{4}|Artifact|||{2}, {T}: Target creature gains islandwalk until end of turn. When that creature dies this turn, destroy Sandals of Abdallah.|Arabian Nights|Uncommon|0.0||1.106|Dan Frazier|4||{2}, {T}: Target creature gains islandwalk until end of turn. When that creature dies this turn, destroy Sandals of Abdallah.|0|
914|Cuombajj Witches|{B}{B}|Creature - Human Wizard|1|3|{T}: Cuombajj Witches deals 1 damage to target creature or player and 1 damage to target creature or player of an opponent's choice.|Arabian Nights|Common|0.0||2.737|Kaja Foglio|5||{T}: Cuombajj Witches deals 1 damage to target creature or player and 1 damage to target creature or player of an opponent's choice.|0|
918|Guardian Beast|{3}{B}|Creature - Beast|2|4|As long as Guardian Beast is untapped, noncreature artifacts you control can't be enchanted, they're indestructible, and other players can't gain control of them. This effect doesn't remove Auras already attached to those artifacts.|Arabian Nights|Rare|0.0||4.333|Ken Meyer Jr.|6||As long as Guardian Beast is untapped, noncreature artifacts you control can't be enchanted, they're indestructible, and other players can't gain control of them. This effect doesn't remove Auras already attached to those artifacts.|0|
919|Hasran Ogress|{B}{B}|Creature - Ogre|3|2|Whenever Hasran Ogress attacks, it deals 3 damage to you unless you pay {2}.|Arabian Nights|Common|0.0||2.074|Dan Frazier|7||Whenever Hasran Ogress attacks, it deals 3 damage to you unless you pay {2}.|0|
922|Juzám Djinn|{2}{B}{B}|Creature - Djinn|5|5|At the beginning of your upkeep, Juzám Djinn deals 1 damage to you.|Arabian Nights|Rare|0.0||4.196|Mark Tedin|8||At the beginning of your upkeep, Juzám Djinn deals 1 damage to you.|0|
923|Khabál Ghoul|{2}{B}|Creature - Zombie|1|1|At the beginning of each end step, put a +1/+1 counter on Khabál Ghoul for each creature that died this turn.|Arabian Nights|Uncommon|0.0||3.574|Douglas Shuler|9||At the beginning of each end step, put a +1/+1 counter on Khabál Ghoul for each creature that died this turn.|0|
925|Oubliette|{1}{B}{B}|Enchantment|||When Oubliette enters the battlefield, exile target creature and all Auras attached to it. Note the number and kind of counters that were on that creature.<br>When Oubliette leaves the battlefield, return the exiled card to the battlefield under its owner's control tapped with the noted number and kind of counters on it. If you do, return the exiled Aura cards to the battlefield under their owner's control attached to that permanent.|Arabian Nights|Common|0.0||3.661|Douglas Shuler|10||When Oubliette enters the battlefield, exile target creature and all Auras attached to it. Note the number and kind of counters that were on that creature.<br>When Oubliette leaves the battlefield, return the exiled card to the battlefield under its owner's control tapped with the noted number and kind of counters on it. If you do, return the exiled Aura cards to the battlefield under their owner's control attached to that permanent.|0|
927|Stone-Throwing Devils|{B}|Creature - Devil|1|1|First strike|Arabian Nights|Common|0.0||3.875|Ken Meyer Jr.|11||First strike|0|
932|Flying Men|{U}|Creature - Human|1|1|Flying|Arabian Nights|Common|0.0||4.235|Christopher Rush|12||Flying|0|
936|Merchant Ship|{U}|Creature - Human|0|2|Merchant Ship can't attack unless defending player controls an Island.<br>Whenever Merchant Ship attacks and isn't blocked, you gain 2 life.<br>When you control no Islands, sacrifice Merchant Ship.|Arabian Nights|Uncommon|0.0||1.871|Tom Wänerstrand|13||Merchant Ship can't attack unless defending player controls an Island.<br>Whenever Merchant Ship attacks and isn't blocked, you gain 2 life.<br>When you control no Islands, sacrifice Merchant Ship.|0|
937|Old Man of the Sea|{1}{U}{U}|Creature - Djinn|2|3|You may choose not to untap Old Man of the Sea during your untap step.<br>{T}: Gain control of target creature with power less than or equal to Old Man of the Sea's power for as long as Old Man of the Sea remains tapped and that creature's power remains less than or equal to Old Man of the Sea's power.|Arabian Nights|Rare|0.0||3.779|Susan Van Camp|14||You may choose not to untap Old Man of the Sea during your untap step.<br>{T}: Gain control of target creature with power less than or equal to Old Man of the Sea's power for as long as Old Man of the Sea remains tapped and that creature's power remains less than or equal to Old Man of the Sea's power.|0|
938|Serendib Djinn|{2}{U}{U}|Creature - Djinn|5|6|Flying<br>At the beginning of your upkeep, sacrifice a land. If you sacrifice an Island this way, Serendib Djinn deals 3 damage to you.<br>When you control no lands, sacrifice Serendib Djinn.|Arabian Nights|Rare|0.0||3.117|Anson Maddocks|15||Flying<br>At the beginning of your upkeep, sacrifice a land. If you sacrifice an Island this way, Serendib Djinn deals 3 damage to you.<br>When you control no lands, sacrifice Serendib Djinn.|0|
942|Cyclone|{2}{G}{G}|Enchantment|||At the beginning of your upkeep, put a wind counter on Cyclone, then sacrifice Cyclone unless you pay {G} for each wind counter on it. If you pay, Cyclone deals damage equal to the number of wind counters on it to each creature and each player.|Arabian Nights|Uncommon|0.0||2.775|Mark Tedin|16||At the beginning of your upkeep, put a wind counter on Cyclone, then sacrifice Cyclone unless you pay {G} for each wind counter on it. If you pay, Cyclone deals damage equal to the number of wind counters on it to each creature and each player.|0|
944|Drop of Honey|{G}|Enchantment|||At the beginning of your upkeep, destroy the creature with the least power. It can't be regenerated. If two or more creatures are tied for least power, you choose one of them.<br>When there are no creatures on the battlefield, sacrifice Drop of Honey.|Arabian Nights|Rare|0.0||4.319|Anson Maddocks|17||At the beginning of your upkeep, destroy the creature with the least power. It can't be regenerated. If two or more creatures are tied for least power, you choose one of them.<br>When there are no creatures on the battlefield, sacrifice Drop of Honey.|0|
945|Erhnam Djinn|{3}{G}|Creature - Djinn|4|5|At the beginning of your upkeep, target non-Wall creature an opponent controls gains forestwalk until your next upkeep.|Arabian Nights|Rare|0.0||3.91|Ken Meyer Jr.|18||At the beginning of your upkeep, target non-Wall creature an opponent controls gains forestwalk until your next upkeep.|0|
947|Ifh-Bíff Efreet|{2}{G}{G}|Creature - Efreet|3|3|Flying<br>{G}: Ifh-Bíff Efreet deals 1 damage to each creature with flying and each player. Any player may activate this ability.|Arabian Nights|Rare|0.0||3.75|Jesper Myrfors|19||Flying<br>{G}: Ifh-Bíff Efreet deals 1 damage to each creature with flying and each player. Any player may activate this ability.|0|
948|Metamorphosis|{G}|Sorcery|||As an additional cost to cast Metamorphosis, sacrifice a creature.<br>Add X mana of any one color to your mana pool, where X is one plus the sacrificed creature's converted mana cost. Spend this mana only to cast creature spells.|Arabian Nights|Common|0.0||2.5|Christopher Rush|20||As an additional cost to cast Metamorphosis, sacrifice a creature.<br>Add X mana of any one color to your mana pool, where X is one plus the sacrificed creature's converted mana cost. Spend this mana only to cast creature spells.|0|
952|Singing Tree|{3}{G}|Creature - Plant|0|3|{T}: Target attacking creature's power becomes 0 until end of turn.|Arabian Nights|Rare|0.0||3.455|Rob Alexander|21||{T}: Target attacking creature's power becomes 0 until end of turn.|0|
