ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
19117|Flowstone Charger|{2}{R}{W}|Creature - Beast|2|5|Whenever Flowstone Charger attacks, it gets +3/-3 until end of turn.|Apocalypse|Uncommon|John Gallagher|99|Whenever Flowstone Charger attacks, it gets +3/-3 until end of turn.|
19132|Yavimaya's Embrace|{5}{G}{U}{U}|Enchantment - Aura|||Enchant creature<br>You control enchanted creature.<br>Enchanted creature gets +2/+2 and has trample.|Apocalypse|Rare|Eric Peterson|127|Enchant creature<br>You control enchanted creature.<br>Enchanted creature gets +2/+2 and has trample.|
19135|Vindicate|{1}{W}{B}|Sorcery|||Destroy target permanent.|Apocalypse|Rare|Brian Snoddy|126|Destroy target permanent.|
19163|Consume Strength|{1}{B}{G}|Instant|||Target creature gets +2/+2 until end of turn. Another target creature gets -2/-2 until end of turn.|Apocalypse|Common|Adam Rex|93|Target creature gets +2/+2 until end of turn. Another target creature gets -2/-2 until end of turn.|
21253|Angelfire Crusader|{3}{W}|Creature - Human Soldier Knight|2|3|{R}: Angelfire Crusader gets +1/+0 until end of turn.|Apocalypse|Common|Edward P. Beard, Jr.|1|{R}: Angelfire Crusader gets +1/+0 until end of turn.|
23056|Wild Research|{2}{R}|Enchantment|||{1}{W}: Search your library for an enchantment card and reveal that card. Put it into your hand, then discard a card at random. Then shuffle your library.<br>{1}{U}: Search your library for an instant card and reveal that card. Put it into your hand, then discard a card at random. Then shuffle your library.|Apocalypse|Rare|Gary Ruddell|72|{1}{W}: Search your library for an enchantment card and reveal that card. Put it into your hand, then discard a card at random. Then shuffle your library.<br>{1}{U}: Search your library for an instant card and reveal that card. Put it into your hand, then discard a card at random. Then shuffle your library.|
23198|Powerstone Minefield|{2}{R}{W}|Enchantment|||Whenever a creature attacks or blocks, Powerstone Minefield deals 2 damage to it.|Apocalypse|Rare|Greg & Tim Hildebrandt|115|Whenever a creature attacks or blocks, Powerstone Minefield deals 2 damage to it.|
23246|Caves of Koilos||Land|||{T}: Add {1} to your mana pool.<br>{T}: Add {W} or {B} to your mana pool. Caves of Koilos deals 1 damage to you.|Apocalypse|Rare|Jim Nelson|140|{T}: Add {1} to your mana pool.<br>{T}: Add {W} or {B} to your mana pool. Caves of Koilos deals 1 damage to you.|
23248|Llanowar Wastes||Land|||{T}: Add {1} to your mana pool.<br>{T}: Add {B} or {G} to your mana pool. Llanowar Wastes deals 1 damage to you.|Apocalypse|Rare|Rob Alexander|141|{T}: Add {1} to your mana pool.<br>{T}: Add {B} or {G} to your mana pool. Llanowar Wastes deals 1 damage to you.|
23249|Yavimaya Coast||Land|||{T}: Add {1} to your mana pool.<br>{T}: Add {G} or {U} to your mana pool. Yavimaya Coast deals 1 damage to you.|Apocalypse|Rare|Anthony S. Waters|143|{T}: Add {1} to your mana pool.<br>{T}: Add {G} or {U} to your mana pool. Yavimaya Coast deals 1 damage to you.|
