ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
1007|Golgothian Sylex|{4}|Artifact|||{1}, {T}: Each nontoken permanent from the Antiquities expansion is sacrificed by its controller.|Antiquities|Rare|0.0||2.143|Kerstin Kaman|1||{1}, {T}: Each nontoken permanent from the Antiquities expansion is sacrificed by its controller.|0|
1011|Mightstone|{4}|Artifact|||Attacking creatures get +1/+0.|Antiquities|Uncommon|0.0||2.229|Pete Venters|2||Attacking creatures get +1/+0.|0|
1018|Rakalite|{6}|Artifact|||{2}: Prevent the next 1 damage that would be dealt to target creature or player this turn. Return Rakalite to its owner's hand at the beginning of the next end step.|Antiquities|Uncommon|0.0||0.773|Christopher Rush|3||{2}: Prevent the next 1 damage that would be dealt to target creature or player this turn. Return Rakalite to its owner's hand at the beginning of the next end step.|0|
1021|Staff of Zegon|{4}|Artifact|||{3}, {T}: Target creature gets -2/-0 until end of turn.|Antiquities|Common|0.0||1.333|Mark Poole|4||{3}, {T}: Target creature gets -2/-0 until end of turn.|0|
1022|Su-Chi|{4}|Artifact Creature - Construct|4|4|When Su-Chi dies, add {4} to your mana pool.|Antiquities|Uncommon|0.0||3.917|Christopher Rush|5||When Su-Chi dies, add {4} to your mana pool.|0|
1023|Tablet of Epityr|{1}|Artifact|||Whenever an artifact you control is put into a graveyard from the battlefield, you may pay {1}. If you do, you gain 1 life.|Antiquities|Common|0.0||2.286|Christopher Rush|6||Whenever an artifact you control is put into a graveyard from the battlefield, you may pay {1}. If you do, you gain 1 life.|0|
1024|Tawnos's Coffin|{4}|Artifact|||You may choose not to untap Tawnos's Coffin during your untap step.<br>{3}, {T}: Exile target creature and all Auras attached to it. Note the number and kind of counters that were on that creature. When Tawnos's Coffin leaves the battlefield or becomes untapped, return the exiled card to the battlefield under its owner's control tapped with the noted number and kind of counters on it, and if you do, return the exiled Aura cards to the battlefield under their owner's control attached to that permanent.|Antiquities|Rare|0.0||3.553|Christopher Rush|7||You may choose not to untap Tawnos's Coffin during your untap step.<br>{3}, {T}: Exile target creature and all Auras attached to it. Note the number and kind of counters that were on that creature. When Tawnos's Coffin leaves the battlefield or becomes untapped, return the exiled card to the battlefield under its owner's control tapped with the noted number and kind of counters on it, and if you do, return the exiled Aura cards to the battlefield under their owner's control attached to that permanent.|0|
1031|Urza's Chalice|{1}|Artifact|||Whenever a player casts an artifact spell, you may pay {1}. If you do, you gain 1 life.|Antiquities|Common|0.0||1.429|Jeff A. Menges|8||Whenever a player casts an artifact spell, you may pay {1}. If you do, you gain 1 life.|0|
1032|Urza's Miter|{3}|Artifact|||Whenever an artifact you control is put into a graveyard from the battlefield, if it wasn't sacrificed, you may pay {3}. If you do, draw a card.|Antiquities|Rare|0.0||1.733|Randy Asplund-Faith|9||Whenever an artifact you control is put into a graveyard from the battlefield, if it wasn't sacrificed, you may pay {3}. If you do, draw a card.|0|
1034|Weakstone|{4}|Artifact|||Attacking creatures get -1/-0.|Antiquities|Uncommon|0.0||1.808|Justin Hampton|10||Attacking creatures get -1/-0.|0|
1036|Artifact Possession|{2}{B}|Enchantment - Aura|||Enchant artifact<br>Whenever enchanted artifact becomes tapped or a player activates an ability of enchanted artifact without {T} in its activation cost, Artifact Possession deals 2 damage to that artifact's controller.|Antiquities|Common|0.0||1.75|Christopher Rush|11||Enchant artifact<br>Whenever enchanted artifact becomes tapped or a player activates an ability of enchanted artifact without {T} in its activation cost, Artifact Possession deals 2 damage to that artifact's controller.|0|
1037|Drafna's Restoration|{U}|Sorcery|||Return any number of target artifact cards from target player's graveyard to the top of his or her library in any order.|Antiquities|Common|0.0||3.672|Amy Weber|12||Return any number of target artifact cards from target player's graveyard to the top of his or her library in any order.|0|
1039|Gate to Phyrexia|{B}{B}|Enchantment|||Sacrifice a creature: Destroy target artifact. Activate this ability only during your upkeep and only once each turn.|Antiquities|Uncommon|0.0||3.62|Sandra Everingham|13||Sacrifice a creature: Destroy target artifact. Activate this ability only during your upkeep and only once each turn.|0|
1040|Haunting Wind|{3}{B}|Enchantment|||Whenever an artifact becomes tapped or a player activates an artifact's ability without {T} in its activation cost, Haunting Wind deals 1 damage to that artifact's controller.|Antiquities|Uncommon|0.0||2.553|Jeff A. Menges|14||Whenever an artifact becomes tapped or a player activates an artifact's ability without {T} in its activation cost, Haunting Wind deals 1 damage to that artifact's controller.|0|
1042|Phyrexian Gremlins|{2}{B}|Creature - Gremlin|1|1|You may choose not to untap Phyrexian Gremlins during your untap step.<br>{T}: Tap target artifact. It doesn't untap during its controller's untap step for as long as Phyrexian Gremlins remains tapped.|Antiquities|Common|0.0||3.375|Amy Weber|15||You may choose not to untap Phyrexian Gremlins during your untap step.<br>{T}: Tap target artifact. It doesn't untap during its controller's untap step for as long as Phyrexian Gremlins remains tapped.|0|
1043|Power Artifact|{U}{U}|Enchantment - Aura|||Enchant artifact<br>Enchanted artifact's activated abilities cost {2} less to activate. This effect can't reduce the amount of mana an ability costs to activate to less than one mana.|Antiquities|Uncommon|0.0||4.212|Douglas Shuler|16||Enchant artifact<br>Enchanted artifact's activated abilities cost {2} less to activate. This effect can't reduce the amount of mana an ability costs to activate to less than one mana.|0|
1044|Priest of Yawgmoth|{1}{B}|Creature - Human Cleric|1|2|{T}, Sacrifice an artifact: Add to your mana pool an amount of {B} equal to the sacrificed artifact's converted mana cost.|Antiquities|Common|0.0||3.604|Mark Tedin|17||{T}, Sacrifice an artifact: Add to your mana pool an amount of {B} equal to the sacrificed artifact's converted mana cost.|0|
1047|Transmute Artifact|{U}{U}|Sorcery|||Sacrifice an artifact. If you do, search your library for an artifact card. If that card's converted mana cost is less than or equal to the sacrificed artifact's converted mana cost, put it onto the battlefield. If it's greater, you may pay {X}, where X is the difference. If you do, put it onto the battlefield. If you don't, put it into its owner's graveyard. Then shuffle your library.|Antiquities|Uncommon|0.0||3.741|Anson Maddocks|18||Sacrifice an artifact. If you do, search your library for an artifact card. If that card's converted mana cost is less than or equal to the sacrificed artifact's converted mana cost, put it onto the battlefield. If it's greater, you may pay {X}, where X is the difference. If you do, put it onto the battlefield. If you don't, put it into its owner's graveyard. Then shuffle your library.|0|
1049|Yawgmoth Demon|{4}{B}{B}|Creature - Demon|6|6|Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>First strike <i>(This creature deals combat damage before creatures without first strike.)</i><br>At the beginning of your upkeep, you may sacrifice an artifact. If you don't, tap Yawgmoth Demon and it deals 2 damage to you.|Antiquities|Rare|0.0||2.909|Sandra Everingham|19||Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i><br>First strike <i>(This creature deals combat damage before creatures without first strike.)</i><br>At the beginning of your upkeep, you may sacrifice an artifact. If you don't, tap Yawgmoth Demon and it deals 2 damage to you.|0|
1050|Argothian Pixies|{1}{G}|Creature - Faerie|2|1|Argothian Pixies can't be blocked by artifact creatures.<br>Prevent all damage that would be dealt to Argothian Pixies by artifact creatures.|Antiquities|Common|0.0||2.196|Amy Weber|20||Argothian Pixies can't be blocked by artifact creatures.<br>Prevent all damage that would be dealt to Argothian Pixies by artifact creatures.|0|
1051|Argothian Treefolk|{3}{G}{G}|Creature - Treefolk|3|5|Prevent all damage that would be dealt to Argothian Treefolk by artifact sources.|Antiquities|Common|0.0||1.957|Amy Weber|21||Prevent all damage that would be dealt to Argothian Treefolk by artifact sources.|0|
1052|Citanul Druid|{1}{G}|Creature - Human Druid|1|1|Whenever an opponent casts an artifact spell, put a +1/+1 counter on Citanul Druid.|Antiquities|Uncommon|0.0||3.37|Jeff A. Menges|22||Whenever an opponent casts an artifact spell, put a +1/+1 counter on Citanul Druid.|0|
1054|Gaea's Avenger|{1}{G}{G}|Creature - Treefolk|1+*|1+*|Gaea's Avenger's power and toughness are each equal to 1 plus the number of artifacts your opponents control.|Antiquities|Rare|0.0||2.909|Pete Venters|23||Gaea's Avenger's power and toughness are each equal to 1 plus the number of artifacts your opponents control.|0|
1055|Powerleech|{G}{G}|Enchantment|||Whenever an artifact an opponent controls becomes tapped or an opponent activates an artifact's ability without {T} in its activation cost, you gain 1 life.|Antiquities|Uncommon|0.0||2.719|Christopher Rush|24||Whenever an artifact an opponent controls becomes tapped or an opponent activates an artifact's ability without {T} in its activation cost, you gain 1 life.|0|
1057|Artifact Blast|{R}|Instant|||Counter target artifact spell.|Antiquities|Common|0.0||2.75|Mark Poole|25||Counter target artifact spell.|0|
1062|Orcish Mechanics|{2}{R}|Creature - Orc|1|1|{T}, Sacrifice an artifact: Orcish Mechanics deals 2 damage to target creature or player.|Antiquities|Common|0.0||1.92|Pete Venters|26||{T}, Sacrifice an artifact: Orcish Mechanics deals 2 damage to target creature or player.|0|
1064|Argivian Archaeologist|{1}{W}{W}|Creature - Human Artificer|1|1|{W}{W}, {T}: Return target artifact card from your graveyard to your hand.|Antiquities|Rare|0.0||3.987|Amy Weber|27||{W}{W}, {T}: Return target artifact card from your graveyard to your hand.|0|
1065|Argivian Blacksmith|{1}{W}{W}|Creature - Human Artificer|2|2|{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.|Antiquities|Common|0.0||1.92|Kerstin Kaman|28||{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.|0|
1066|Artifact Ward|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't be blocked by artifact creatures. <br>Prevent all damage that would be dealt to enchanted creature by artifact sources.<br>Enchanted creature can't be the target of abilities from artifact sources.|Antiquities|Common|0.0||2.028|Douglas Shuler|29||Enchant creature<br>Enchanted creature can't be blocked by artifact creatures. <br>Prevent all damage that would be dealt to enchanted creature by artifact sources.<br>Enchanted creature can't be the target of abilities from artifact sources.|0|
1068|Damping Field|{2}{W}|Enchantment|||Players can't untap more than one artifact during their untap steps.|Antiquities|Uncommon|0.0||2.694|Justin Hampton|30||Players can't untap more than one artifact during their untap steps.|0|
