ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
179538|Anathemancer|{1}{B}{R}|Creature - Zombie Wizard|2|2|When Anathemancer enters the battlefield, it deals damage to target player equal to the number of nonbasic lands that player controls.<br>Unearth {5}{B}{R} <i>({5}{B}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)</i>|Alara Reborn|Uncommon|Richard Whitters|33|When Anathemancer enters the battlefield, it deals damage to target player equal to the number of nonbasic lands that player controls.<br>Unearth {5}{B}{R} <i>({5}{B}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)</i>|
179597|Architects of Will|{2}{U}{B}|Artifact Creature - Human Wizard|3|3|When Architects of Will enters the battlefield, look at the top three cards of target player's library, then put them back in any order.<br>Cycling {U/B} <i>({U/B}, Discard this card: Draw a card.)</i>|Alara Reborn|Common|Matt Stewart|17|When Architects of Will enters the battlefield, look at the top three cards of target player's library, then put them back in any order.<br>Cycling {U/B} <i>({U/B}, Discard this card: Draw a card.)</i>|
185054|Ardent Plea|{1}{W}{U}|Enchantment|||Exalted <i>(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)</i><br>Cascade <i>(When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)</i>|Alara Reborn|Uncommon|Chippy|1|Exalted <i>(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)</i><br>Cascade <i>(When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)</i>|
189652|Arsenal Thresher|{2}{W/B}{U}|Artifact Creature - Construct|2|2|As Arsenal Thresher enters the battlefield, you may reveal any number of other artifact cards from your hand. Arsenal Thresher enters the battlefield with a +1/+1 counter on it for each card revealed this way.|Alara Reborn|Common|Ralph Horsley|131|As Arsenal Thresher enters the battlefield, you may reveal any number of other artifact cards from your hand. Arsenal Thresher enters the battlefield with a +1/+1 counter on it for each card revealed this way.|
180608|Aven Mimeomancer|{1}{W}{U}|Creature - Bird Wizard|3|1|Flying<br>At the beginning of your upkeep, you may put a feather counter on target creature. If you do, that creature is 3/1 and has flying for as long as it has a feather counter on it.|Alara Reborn|Rare|Jesper Ejsing|2|Flying<br>At the beginning of your upkeep, you may put a feather counter on target creature. If you do, that creature is 3/1 and has flying for as long as it has a feather counter on it.|
188963|Bant Sojourners|{1}{G}{W}{U}|Creature - Human Soldier|2|4|When you cycle Bant Sojourners or it dies, you may put a 1/1 white Soldier creature token onto the battlefield.<br>Cycling {2}{W} <i>({2}{W}, Discard this card: Draw a card.)</i>|Alara Reborn|Common|John Avon|125|When you cycle Bant Sojourners or it dies, you may put a 1/1 white Soldier creature token onto the battlefield.<br>Cycling {2}{W} <i>({2}{W}, Discard this card: Draw a card.)</i>|
188975|Bant Sureblade|{G/U}{W}|Creature - Human Soldier|2|1|As long as you control another multicolored permanent, Bant Sureblade gets +1/+1 and has first strike.|Alara Reborn|Common|Michael Komarck|143|As long as you control another multicolored permanent, Bant Sureblade gets +1/+1 and has first strike.|
179545|Behemoth Sledge|{1}{G}{W}|Artifact - Equipment|||Equipped creature gets +2/+2 and has lifelink and trample.<br>Equip {3}|Alara Reborn|Uncommon|Steve Prescott|65|Equipped creature gets +2/+2 and has lifelink and trample.<br>Equip {3}|
185057|Bituminous Blast|{3}{B}{R}|Instant|||Cascade <i>(When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)</i><br>Bituminous Blast deals 4 damage to target creature.|Alara Reborn|Uncommon|Raymond Swanland|34|Cascade <i>(When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)</i><br>Bituminous Blast deals 4 damage to target creature.|
179406|Blitz Hellion|{3}{R}{G}|Creature - Hellion|7|7|Trample, haste<br>At the beginning of the end step, Blitz Hellion's owner shuffles it into his or her library.|Alara Reborn|Rare|Anthony S. Waters|49|Trample, haste<br>At the beginning of the end step, Blitz Hellion's owner shuffles it into his or her library.|
