ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
904|City in a Bottle|{2}|Artifact|||Whenever a nontoken permanent from the Arabian Nights expansion other than City in a Bottle is on the battlefield, its controller sacrifices it. <br>Players can't play cards from the Arabian Nights expansion.|Arabian Nights|Rare|Drew Tucker|1|Whenever a nontoken permanent from the Arabian Nights expansion other than City in a Bottle is on the battlefield, its controller sacrifices it. <br>Players can't play cards from the Arabian Nights expansion.|
910|Jeweled Bird|{1}|Artifact|||Remove Jeweled Bird from your deck before playing if you're not playing for ante.<br>{T}: Put Jeweled Bird into the ante. If you do, put all other cards you own from the ante into your graveyard, then draw a card.|Arabian Nights|Uncommon|Amy Weber|2|Remove Jeweled Bird from your deck before playing if you're not playing for ante.<br>{T}: Put Jeweled Bird into the ante. If you do, put all other cards you own from the ante into your graveyard, then draw a card.|
911|Pyramids|{6}|Artifact|||{2}: Choose one- Destroy target Aura attached to a land; or the next time target land would be destroyed this turn, remove all damage marked on it instead.|Arabian Nights|Rare|Amy Weber|3|{2}: Choose one- Destroy target Aura attached to a land; or the next time target land would be destroyed this turn, remove all damage marked on it instead.|
913|Sandals of Abdallah|{4}|Artifact|||{2}, {T}: Target creature gains islandwalk until end of turn. When that creature dies this turn, destroy Sandals of Abdallah.|Arabian Nights|Uncommon|Dan Frazier|4|{2}, {T}: Target creature gains islandwalk until end of turn. When that creature dies this turn, destroy Sandals of Abdallah.|
914|Cuombajj Witches|{B}{B}|Creature - Human Wizard|1|3|{T}: Cuombajj Witches deals 1 damage to target creature or player and 1 damage to target creature or player of an opponent's choice.|Arabian Nights|Common|Kaja Foglio|5|{T}: Cuombajj Witches deals 1 damage to target creature or player and 1 damage to target creature or player of an opponent's choice.|
918|Guardian Beast|{3}{B}|Creature - Beast|2|4|As long as Guardian Beast is untapped, noncreature artifacts you control can't be enchanted, they're indestructible, and other players can't gain control of them. This effect doesn't remove Auras already attached to those artifacts.|Arabian Nights|Rare|Ken Meyer Jr.|6|As long as Guardian Beast is untapped, noncreature artifacts you control can't be enchanted, they're indestructible, and other players can't gain control of them. This effect doesn't remove Auras already attached to those artifacts.|
919|Hasran Ogress|{B}{B}|Creature - Ogre|3|2|Whenever Hasran Ogress attacks, it deals 3 damage to you unless you pay {2}.|Arabian Nights|Common|Dan Frazier|7|Whenever Hasran Ogress attacks, it deals 3 damage to you unless you pay {2}.|
922|Juzám Djinn|{2}{B}{B}|Creature - Djinn|5|5|At the beginning of your upkeep, Juzám Djinn deals 1 damage to you.|Arabian Nights|Rare|Mark Tedin|8|At the beginning of your upkeep, Juzám Djinn deals 1 damage to you.|
923|Khabál Ghoul|{2}{B}|Creature - Zombie|1|1|At the beginning of each end step, put a +1/+1 counter on Khabál Ghoul for each creature that died this turn.|Arabian Nights|Uncommon|Douglas Shuler|9|At the beginning of each end step, put a +1/+1 counter on Khabál Ghoul for each creature that died this turn.|
925|Oubliette|{1}{B}{B}|Enchantment|||When Oubliette enters the battlefield, exile target creature and all Auras attached to it. Note the number and kind of counters that were on that creature.<br>When Oubliette leaves the battlefield, return the exiled card to the battlefield under its owner's control tapped with the noted number and kind of counters on it. If you do, return the exiled Aura cards to the battlefield under their owner's control attached to that permanent.|Arabian Nights|Common|Douglas Shuler|10|When Oubliette enters the battlefield, exile target creature and all Auras attached to it. Note the number and kind of counters that were on that creature.<br>When Oubliette leaves the battlefield, return the exiled card to the battlefield under its owner's control tapped with the noted number and kind of counters on it. If you do, return the exiled Aura cards to the battlefield under their owner's control attached to that permanent.|
