ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
-2146729983|Nevinyrral's Disk|{4}|Artifact|||Nevinyrral's Disk enters the battlefield tapped.<br><br>{1}, {T}: Destroy all artifacts, creatures, and enchantments.|Anthologies|Special|Mark Tedin|1|Nevinyrral's Disk enters the battlefield tapped.<br><br>{1}, {T}: Destroy all artifacts, creatures, and enchantments.|{IMAGE_URL=http://magiccards.info/scans/en/at/1.jpg}
-2146729982|Goblin King|{1}{R}{R}|Creature - Goblin|2|2|Other Goblin creatures get +1/+1 and have mountainwalk. (They can't be blocked as long as defending player controls a Mountain.)|Anthologies|Special|Jesper Myrfors|2|Other Goblin creatures get +1/+1 and have mountainwalk. (They can't be blocked as long as defending player controls a Mountain.)|{IMAGE_URL=http://magiccards.info/scans/en/at/2.jpg}
-2146729981|Goblin Warrens|{2}{R}|Enchantment|||{2}{R}, Sacrifice two Goblins: Put three 1/1 red Goblin creature tokens onto the battlefield.|Anthologies|Special|Dan Frazier|3|{2}{R}, Sacrifice two Goblins: Put three 1/1 red Goblin creature tokens onto the battlefield.|{IMAGE_URL=http://magiccards.info/scans/en/at/3.jpg}
-2146729980|Volcanic Dragon|{4}{R}{R}|Creature - Dragon|4|4|Flying<br><br>Haste (This creature can attack and {T} as soon as it comes under your control.)|Anthologies|Special|Janine Johnston|4|Flying<br><br>Haste (This creature can attack and {T} as soon as it comes under your control.)|{IMAGE_URL=http://magiccards.info/scans/en/at/4.jpg}
-2146729979|Strip Mine||Land|||{T}: Add {1} to your mana pool.<br><br>{T}, Sacrifice Strip Mine: Destroy target land.|Anthologies|Special|Daniel Gelon|5|{T}: Add {1} to your mana pool.<br><br>{T}, Sacrifice Strip Mine: Destroy target land.|{IMAGE_URL=http://magiccards.info/scans/en/at/5.jpg}
-2146729978|Lady Orca|{5}{B}{R}|Legendary Creature - Demon|7|4||Anthologies|Special|Sandra Everingham|6||{IMAGE_URL=http://magiccards.info/scans/en/at/6.jpg}
-2146729977|Black Knight|{B}{B}|Creature - Human Knight|2|2|First strike (This creature deals combat damage before creatures without first strike.)<br><br>Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)|Anthologies|Special|Adrian Smith|7|First strike (This creature deals combat damage before creatures without first strike.)<br><br>Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)|{IMAGE_URL=http://magiccards.info/scans/en/at/7.jpg}
-2146729976|Hypnotic Specter|{1}{B}{B}|Creature - Specter|2|2|Flying<br><br>Whenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.|Anthologies|Special|Douglas Shuler|8|Flying<br><br>Whenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.|{IMAGE_URL=http://magiccards.info/scans/en/at/8.jpg}
-2146729975|Knight of Stromgald|{B}{B}|Creature - Human Knight|2|1|Protection from white<br><br>{B}: Knight of Stromgald gains first strike until end of turn.<br><br>{B}{B}: Knight of Stromgald gets +1/+0 until end of turn.|Anthologies|Special|Mark Poole|9|Protection from white<br><br>{B}: Knight of Stromgald gains first strike until end of turn.<br><br>{B}{B}: Knight of Stromgald gets +1/+0 until end of turn.|{IMAGE_URL=http://magiccards.info/scans/en/at/9.jpg}
-2146729974|Ihsan's Shade|{3}{B}{B}{B}|Legendary Creature - Shade Knight|5|5|Protection from white|Anthologies|Special|Christopher Rush|10|Protection from white|{IMAGE_URL=http://magiccards.info/scans/en/at/10.jpg}
