ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
1007|Golgothian Sylex|{4}|Artifact|||{1}, {T}: Each nontoken permanent from the Antiquities expansion is sacrificed by its controller.|Antiquities|Rare|Kerstin Kaman|1|{1}, {T}: Each nontoken permanent from the Antiquities expansion is sacrificed by its controller.|
1011|Mightstone|{4}|Artifact|||Attacking creatures get +1/+0.|Antiquities|Uncommon|Pete Venters|2|Attacking creatures get +1/+0.|
1018|Rakalite|{6}|Artifact|||{2}: Prevent the next 1 damage that would be dealt to target creature or player this turn. Return Rakalite to its owner's hand at the beginning of the next end step.|Antiquities|Uncommon|Christopher Rush|3|{2}: Prevent the next 1 damage that would be dealt to target creature or player this turn. Return Rakalite to its owner's hand at the beginning of the next end step.|
1021|Staff of Zegon|{4}|Artifact|||{3}, {T}: Target creature gets -2/-0 until end of turn.|Antiquities|Common|Mark Poole|4|{3}, {T}: Target creature gets -2/-0 until end of turn.|
1022|Su-Chi|{4}|Artifact Creature - Construct|4|4|When Su-Chi dies, add {4} to your mana pool.|Antiquities|Uncommon|Christopher Rush|5|When Su-Chi dies, add {4} to your mana pool.|
1023|Tablet of Epityr|{1}|Artifact|||Whenever an artifact you control is put into a graveyard from the battlefield, you may pay {1}. If you do, you gain 1 life.|Antiquities|Common|Christopher Rush|6|Whenever an artifact you control is put into a graveyard from the battlefield, you may pay {1}. If you do, you gain 1 life.|
1024|Tawnos's Coffin|{4}|Artifact|||You may choose not to untap Tawnos's Coffin during your untap step.<br>{3}, {T}: Exile target creature and all Auras attached to it. Note the number and kind of counters that were on that creature. When Tawnos's Coffin leaves the battlefield or becomes untapped, return the exiled card to the battlefield under its owner's control tapped with the noted number and kind of counters on it, and if you do, return the exiled Aura cards to the battlefield under their owner's control attached to that permanent.|Antiquities|Rare|Christopher Rush|7|You may choose not to untap Tawnos's Coffin during your untap step.<br>{3}, {T}: Exile target creature and all Auras attached to it. Note the number and kind of counters that were on that creature. When Tawnos's Coffin leaves the battlefield or becomes untapped, return the exiled card to the battlefield under its owner's control tapped with the noted number and kind of counters on it, and if you do, return the exiled Aura cards to the battlefield under their owner's control attached to that permanent.|
1031|Urza's Chalice|{1}|Artifact|||Whenever a player casts an artifact spell, you may pay {1}. If you do, you gain 1 life.|Antiquities|Common|Jeff A. Menges|8|Whenever a player casts an artifact spell, you may pay {1}. If you do, you gain 1 life.|
1032|Urza's Miter|{3}|Artifact|||Whenever an artifact you control is put into a graveyard from the battlefield, if it wasn't sacrificed, you may pay {3}. If you do, draw a card.|Antiquities|Rare|Randy Asplund-Faith|9|Whenever an artifact you control is put into a graveyard from the battlefield, if it wasn't sacrificed, you may pay {3}. If you do, draw a card.|
1034|Weakstone|{4}|Artifact|||Attacking creatures get -1/-0.|Antiquities|Uncommon|Justin Hampton|10|Attacking creatures get -1/-0.|
1036|Artifact Possession|{2}{B}|Enchantment - Aura|||Enchant artifact<br>Whenever enchanted artifact becomes tapped or a player activates an ability of enchanted artifact without {T} in its activation cost, Artifact Possession deals 2 damage to that artifact's controller.|Antiquities|Common|Christopher Rush|11|Enchant artifact<br>Whenever enchanted artifact becomes tapped or a player activates an ability of enchanted artifact without {T} in its activation cost, Artifact Possession deals 2 damage to that artifact's controller.|
1037|Drafna's Restoration|{U}|Sorcery|||Return any number of target artifact cards from target player's graveyard to the top of his or her library in any order.|Antiquities|Common|Amy Weber|12|Return any number of target artifact cards from target player's graveyard to the top of his or her library in any order.|
1039|Gate to Phyrexia|{B}{B}|Enchantment|||Sacrifice a creature: Destroy target artifact. Activate this ability only during your upkeep and only once each turn.|Antiquities|Uncommon|Sandra Everingham|13|Sacrifice a creature: Destroy target artifact. Activate this ability only during your upkeep and only once each turn.|
1040|Haunting Wind|{3}{B}|Enchantment|||Whenever an artifact becomes tapped or a player activates an artifact's ability without {T} in its activation cost, Haunting Wind deals 1 damage to that artifact's controller.|Antiquities|Uncommon|Jeff A. Menges|14|Whenever an artifact becomes tapped or a player activates an artifact's ability without {T} in its activation cost, Haunting Wind deals 1 damage to that artifact's controller.|
