ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
240070|Tamiyo, the Moon Sage|{3}{U}{U}|Planeswalker - Tamiyo||4|+1: Tap target permanent. It doesn't untap during its controller's next untap step.<br>-2: Draw a card for each tapped creature target player controls.<br>-8: You get an emblem with "You have no maximum hand size" and "Whenever a card is put into your graveyard from anywhere, you may return it to your hand."|Avacyn Restored|Mythic Rare|Eric Deschamps|79|+1: Tap target permanent. It doesn't untap during its controller's next untap step.<br>-2: Draw a card for each tapped creature target player controls.<br>-8: You get an emblem with "You have no maximum hand size" and "Whenever a card is put into your graveyard from anywhere, you may return it to your hand."|
240203|Tandem Lookout|{2}{U}|Creature - Human Scout|2|1|Soulbond <i>(You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.)</i><br>As long as Tandem Lookout is paired with another creature, each of those creatures has "Whenever this creature deals damage to an opponent, draw a card."|Avacyn Restored|Uncommon|Kev Walker|80|Soulbond <i>(You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.)</i><br>As long as Tandem Lookout is paired with another creature, each of those creatures has "Whenever this creature deals damage to an opponent, draw a card."|
240133|Temporal Mastery|{5}{U}{U}|Sorcery|||Take an extra turn after this one. Exile Temporal Mastery.<br>Miracle {1}{U} <i>(You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)</i>|Avacyn Restored|Mythic Rare|Franz Vohwinkel|81|Take an extra turn after this one. Exile Temporal Mastery.<br>Miracle {1}{U} <i>(You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)</i>|
262703|Terminus|{4}{W}{W}|Sorcery|||Put all creatures on the bottom of their owners' libraries.<br>Miracle {W} <i>(You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)</i>|Avacyn Restored|Rare|James Paick|38|Put all creatures on the bottom of their owners' libraries.<br>Miracle {W} <i>(You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)</i>|
240066|Terrifying Presence|{1}{G}|Instant|||Prevent all combat damage that would be dealt by creatures other than target creature this turn.|Avacyn Restored|Common|Jaime Jones|196|Prevent all combat damage that would be dealt by creatures other than target creature this turn.|
239959|Thatcher Revolt|{2}{R}|Sorcery|||Put three 1/1 red Human creature tokens with haste onto the battlefield. Sacrifice those tokens at the beginning of the next end step.|Avacyn Restored|Common|Ryan Pancoast|158|Put three 1/1 red Human creature tokens with haste onto the battlefield. Sacrifice those tokens at the beginning of the next end step.|
240099|Thraben Valiant|{1}{W}|Creature - Human Soldier|2|1|Vigilance|Avacyn Restored|Common|Jason Chan|39|Vigilance|
240001|Thunderbolt|{1}{R}|Instant|||Choose one- Thunderbolt deals 3 damage to target player; or Thunderbolt deals 4 damage to target creature with flying.|Avacyn Restored|Common|Anthony Francisco|159|Choose one- Thunderbolt deals 3 damage to target player; or Thunderbolt deals 4 damage to target creature with flying.|
239985|Thunderous Wrath|{4}{R}{R}|Instant|||Thunderous Wrath deals 5 damage to target creature or player.<br>Miracle {R} <i>(You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)</i>|Avacyn Restored|Uncommon|Adam Paquette|160|Thunderous Wrath deals 5 damage to target creature or player.<br>Miracle {R} <i>(You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)</i>|
276497|Tibalt, the Fiend-Blooded|{R}{R}|Planeswalker - Tibalt||2|+1: Draw a card, then discard a card at random.<br>-4: Tibalt, the Fiend-Blooded deals damage equal to the number of cards in target player's hand to that player.<br>-6: Gain control of all creatures until end of turn. Untap them. They gain haste until end of turn.|Avacyn Restored|Mythic Rare|Peter Mohrbacher|161|+1: Draw a card, then discard a card at random.<br>-4: Tibalt, the Fiend-Blooded deals damage equal to the number of cards in target player's hand to that player.<br>-6: Gain control of all creatures until end of turn. Untap them. They gain haste until end of turn.|
