ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
445970|Rowan Kenrith|{4}{R}{R}|Legendary Planeswalker - Rowan||4|+2: During target player's next turn, each creature that player controls attacks if able.<br>−2: Rowan Kenrith deals 3 damage to each tapped creature target player controls.<br>−8: Target player gets an emblem with "Whenever you activate an ability that isn't a mana ability, copy it. You may choose new targets for the copy."<br>Partner with Will Kenrith<br>Rowan Kenrith can be your commander.|Battlebond|Mythic Rare|Anna Steinbauer|2a|+2: During target player's next turn, each creature that player controls attacks if able.<br>−2: Rowan Kenrith deals 3 damage to each tapped creature target player controls.<br>−8: Target player gets an emblem with "Whenever you activate an ability that isn't a mana ability, copy it. You may choose new targets for the copy."<br>Partner with Will Kenrith<br>Rowan Kenrith can be your commander.|{FLIPID=445969}
445969|Will Kenrith|{4}{U}{U}|Legendary Planeswalker - Will||4|+2: Until your next turn, up to two target creatures each have base power and toughness 0/3 and lose all abilities.<br>−2: Target player draws two cards. Until your next turn, instant, sorcery, and planeswalker spells that player casts cost {2} less to cast.<br>−8: Target player gets an emblem with "Whenever you cast an instant or sorcery spell, copy it. You may choose new targets for the copy."<br>Partner with Rowan Kenrith<br>Will Kenrith can be your commander.|Battlebond|Mythic Rare|Anna Steinbauer|1a|+2: Until your next turn, up to two target creatures each have base power and toughness 0/3 and lose all abilities.<br>−2: Target player draws two cards. Until your next turn, instant, sorcery, and planeswalker spells that player casts cost {2} less to cast.<br>−8: Target player gets an emblem with "Whenever you cast an instant or sorcery spell, copy it. You may choose new targets for the copy."<br>Partner with Rowan Kenrith<br>Will Kenrith can be your commander.|{FLIPID=445970}
446157|Aim High|{1}{G}|Instant|||Untap target creature. It gets +2/+2 and gains reach until end of turn. <i>(It can block creatures with flying.)</i>|Battlebond|Uncommon|Steve Prescott|189|Untap target creature. It gets +2/+2 and gains reach until end of turn. <i>(It can block creatures with flying.)</i>|
446054|Angel of Retribution|{6}{W}|Creature - Angel|5|5|Flying, first strike|Battlebond|Uncommon|rk post|86|Flying, first strike|
446055|Angelic Chorus|{3}{W}{W}|Enchantment|||Whenever a creature enters the battlefield under your control, you gain life equal to its toughness.|Battlebond|Rare|Jim Murray|87|Whenever a creature enters the battlefield under your control, you gain life equal to its toughness.|
446056|Angelic Gift|{1}{W}|Enchantment - Aura|||Enchant creature<br>When Angelic Gift enters the battlefield, draw a card.<br>Enchanted creature has flying.|Battlebond|Common|Josu Hernaiz|88|Enchant creature<br>When Angelic Gift enters the battlefield, draw a card.<br>Enchanted creature has flying.|
446185|Apocalypse Hydra|{X}{R}{G}|Creature - Hydra|0|0|Apocalypse Hydra enters the battlefield with X +1/+1 counters on it. If X is 5 or more, it enters the battlefield with an additional X +1/+1 counters on it.<br>{1}{R}, Remove a +1/+1 counter from Apocalypse Hydra: Apocalypse Hydra deals 1 damage to any target.|Battlebond|Rare|Jason Chan|217|Apocalypse Hydra enters the battlefield with X +1/+1 counters on it. If X is 5 or more, it enters the battlefield with an additional X +1/+1 counters on it.<br>{1}{R}, Remove a +1/+1 counter from Apocalypse Hydra: Apocalypse Hydra deals 1 damage to any target.|
446001|Arcane Artisan|{2}{U}|Creature - Human Wizard|0|3|{2}{U}, {T}: Target player draws a card, then exiles a card from their hand. If a creature card is exiled this way, that player creates a token that's a copy of that card.<br>When Arcane Artisan leaves the battlefield, exile all tokens created with it at the beginning of the next end step.|Battlebond|Mythic Rare|Tommy Arnold|33|{2}{U}, {T}: Target player draws a card, then exiles a card from their hand. If a creature card is exiled this way, that player creates a token that's a copy of that card.<br>When Arcane Artisan leaves the battlefield, exile all tokens created with it at the beginning of the next end step.|
446012|Archfiend of Despair|{6}{B}{B}|Creature - Demon|6|6|Flying<br>Your opponents can't gain life.<br>At the beginning of each end step, each opponent loses life equal to the life that player lost this turn. <i>(Damage causes loss of life.)</i>|Battlebond|Mythic Rare|Josh Hass|44|Flying<br>Your opponents can't gain life.<br>At the beginning of each end step, each opponent loses life equal to the life that player lost this turn. <i>(Damage causes loss of life.)</i>|
446042|Archon of Valor's Reach|{4}{G}{W}|Creature - Archon|5|6|Flying, vigilance, trample<br>As Archon of Valor's Reach enters the battlefield, choose artifact, enchantment, instant, sorcery, or planeswalker.<br>Players can't cast spells of the chosen type.|Battlebond|Rare|Gabor Szikszai|74|Flying, vigilance, trample<br>As Archon of Valor's Reach enters the battlefield, choose artifact, enchantment, instant, sorcery, or planeswalker.<br>Players can't cast spells of the chosen type.|
445991|Arena Rector|{3}{W}|Creature - Human Cleric|1|2|When Arena Rector dies, you may exile it. If you do, search your library for a planeswalker card, put it onto the battlefield, then shuffle your library.|Battlebond|Mythic Rare|Ryan Pancoast|23|When Arena Rector dies, you may exile it. If you do, search your library for a planeswalker card, put it onto the battlefield, then shuffle your library.|
446107|Assassinate|{2}{B}|Sorcery|||Destroy target tapped creature.|Battlebond|Common|Kev Walker|139|Destroy target tapped creature.|
446106|Assassin's Strike|{4}{B}{B}|Sorcery|||Destroy target creature. Its controller discards a card.|Battlebond|Uncommon|Chase Stone|138|Destroy target creature. Its controller discards a card.|
446186|Auger Spree|{1}{B}{R}|Instant|||Target creature gets +4/-4 until end of turn.|Battlebond|Common|Raymond Swanland|218|Target creature gets +4/-4 until end of turn.|
445992|Aurora Champion|{2}{W}|Creature - Elf Warrior|3|2|Whenever Aurora Champion attacks, if your team controls another Warrior, tap target creature.|Battlebond|Common|Uriah Voth|24|Whenever Aurora Champion attacks, if your team controls another Warrior, tap target creature.|
446023|Azra Bladeseeker|{2}{R}|Creature - Azra Warrior|3|2|When Azra Bladeseeker enters the battlefield, each player on your team may discard a card, then each player who discarded a card this way draws a card.|Battlebond|Common|Joe Slucher|55|When Azra Bladeseeker enters the battlefield, each player on your team may discard a card, then each player who discarded a card this way draws a card.|
446043|Azra Oddsmaker|{1}{B}{R}|Creature - Azra Warrior|3|3|At the beginning of combat on your turn, you may discard a card. If you do, choose a creature. Whenever that creature deals combat damage to a player this turn, you draw two cards.|Battlebond|Uncommon|Josh Hass|75|At the beginning of combat on your turn, you may discard a card. If you do, choose a creature. Whenever that creature deals combat damage to a player this turn, you draw two cards.|
446132|Bathe in Dragonfire|{2}{R}|Sorcery|||Bathe in Dragonfire deals 4 damage to target creature.|Battlebond|Common|Chris Rallis|164|Bathe in Dragonfire deals 4 damage to target creature.|
446057|Battle Mastery|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has double strike. <i>(It deals both first-strike and regular combat damage.)</i>|Battlebond|Uncommon|Viktor Titov|89|Enchant creature<br>Enchanted creature has double strike. <i>(It deals both first-strike and regular combat damage.)</i>|
446133|Battle Rampart|{2}{R}|Creature - Wall|1|3|Defender<br>{T}: Target creature gains haste until end of turn.|Battlebond|Common|Steve Prescott|165|Defender<br>{T}: Target creature gains haste until end of turn.|
446134|Battle-Rattle Shaman|{3}{R}|Creature - Goblin Shaman|2|2|At the beginning of combat on your turn, you may have target creature get +2/+0 until end of turn.|Battlebond|Uncommon|Warren Mahy|166|At the beginning of combat on your turn, you may have target creature get +2/+0 until end of turn.|
