ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
26611|Shambling Strider|{4}{G}{G}|Creature - Yeti|5|5|{R}{G}: Shambling Strider gets +1/-1 until end of turn.|Beatdown Box Set|Common|0.0||2.4|Douglas Shuler|1||{R}{G}: Shambling Strider gets +1/-1 until end of turn.|0|
26613|Diabolic Vision|{U}{B}|Sorcery|||Look at the top five cards of your library. Put one of them into your hand and the rest on top of your library in any order.|Beatdown Box Set|Uncommon|0.0||4.265|Anthony S. Waters|2||Look at the top five cards of your library. Put one of them into your hand and the rest on top of your library in any order.|0|
26614|Quirion Elves|{1}{G}|Creature - Elf Druid|1|1|As Quirion Elves enters the battlefield, choose a color.<br>{T}: Add {G} to your mana pool.<br>{T}: Add one mana of the chosen color to your mana pool.|Beatdown Box Set|Common|0.0||3.906|Randy Gallegos|3||As Quirion Elves enters the battlefield, choose a color.<br>{T}: Add {G} to your mana pool.<br>{T}: Add one mana of the chosen color to your mana pool.|0|
26615|Tar Pit Warrior|{2}{B}|Creature - Cyclops Warrior|3|4|When Tar Pit Warrior becomes the target of a spell or ability, sacrifice it.|Beatdown Box Set|Common|0.0||2.778|George Pratt|4||When Tar Pit Warrior becomes the target of a spell or ability, sacrifice it.|0|
26616|Impulse|{1}{U}|Instant|||Look at the top four cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.|Beatdown Box Set|Common|0.0||4.5|Bryan Talbot|5||Look at the top four cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.|0|
26625|Cloud Djinn|{5}{U}|Creature - Djinn|5|4|Flying<br>Cloud Djinn can block only creatures with flying.|Beatdown Box Set|Uncommon|0.0||1.625|Mike Dringenberg|6||Flying<br>Cloud Djinn can block only creatures with flying.|0|
26627|Giant Crab|{4}{U}|Creature - Crab|3|3|{U}: Giant Crab gains shroud until end of turn. <i>(It can't be the target of spells or abilities.)</i>|Beatdown Box Set|Common|0.0||2.861|Tom Kyffin|7||{U}: Giant Crab gains shroud until end of turn. <i>(It can't be the target of spells or abilities.)</i>|0|
26628|Segmented Wurm|{3}{R}{G}|Creature - Wurm|5|5|Whenever Segmented Wurm becomes the target of a spell or ability, put a -1/-1 counter on it.|Beatdown Box Set|Uncommon|0.0||1.794|Jeff Miracola|8||Whenever Segmented Wurm becomes the target of a spell or ability, put a -1/-1 counter on it.|0|
26629|Death Stroke|{B}{B}|Sorcery|||Destroy target tapped creature.|Beatdown Box Set|Common|0.0||3.783|Colin MacNeil|9||Destroy target tapped creature.|0|
26635|Smoldering Crater||Land|||Smoldering Crater enters the battlefield tapped.<br>{T}: Add {R} to your mana pool.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|Beatdown Box Set|Common|0.0||3.1|Mark Tedin|10||Smoldering Crater enters the battlefield tapped.<br>{T}: Add {R} to your mana pool.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|0|
