ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
401885|Forest||Basic Land - Forest|||G|Battle for Zendikar|Land|Sam Burley|271|G|
401918|Island||Basic Land - Island|||U|Battle for Zendikar|Land|Sam Burley|256|U|
401957|Mountain||Basic Land - Mountain|||R|Battle for Zendikar|Land|Sam Burley|266|R|
401988|Plains||Basic Land - Plains|||W|Battle for Zendikar|Land|Sam Burley|251|W|
402053|Swamp||Basic Land - Swamp|||B|Battle for Zendikar|Land|Sam Burley|261|B|
401803|Adverse Conditions|{3}{U}|Instant|||Devoid <i>(This card has no color.)</i><br>Tap up to two target creatures. Those creatures don't untap during their controller's next untap step. Put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has "Sacrifice this creature: Add {1} to your mana pool."|Battle for Zendikar|Uncommon|Jason Rainville|54|Devoid <i>(This card has no color.)</i><br>Tap up to two target creatures. Those creatures don't untap during their controller's next untap step. Put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has "Sacrifice this creature: Add {1} to your mana pool."|
401804|Akoum Firebird|{2}{R}{R}|Creature - Phoenix|3|3|Flying, haste<br>Akoum Firebird attacks each turn if able.<br>Landfall- Whenever a land enters the battlefield under your control, you may pay {4}{R}{R}. If you do, return Akoum Firebird from your graveyard to the battlefield.|Battle for Zendikar|Mythic Rare|Chris Rahn|138|Flying, haste<br>Akoum Firebird attacks each turn if able.<br>Landfall- Whenever a land enters the battlefield under your control, you may pay {4}{R}{R}. If you do, return Akoum Firebird from your graveyard to the battlefield.|
401805|Akoum Hellkite|{4}{R}{R}|Creature - Dragon|4|4|Flying<br>Landfall- Whenever a land enters the battlefield under your control, Akoum Hellkite deals 1 damage to target creature or player. If that land is a Mountain, Akoum Hellkite deals 2 damage to that creature or player instead.|Battle for Zendikar|Rare|Jaime Jones|139|Flying<br>Landfall- Whenever a land enters the battlefield under your control, Akoum Hellkite deals 1 damage to target creature or player. If that land is a Mountain, Akoum Hellkite deals 2 damage to that creature or player instead.|
401806|Akoum Stonewaker|{1}{R}|Creature - Human Shaman|2|1|Landfall- Whenever a land enters the battlefield under your control, you may pay {2}{R}. If you do, put a 3/1 red Elemental creature token with trample and haste onto the battlefield. Exile that token at the beginning of the next end step.|Battle for Zendikar|Uncommon|Victor Adame Minguez|140|Landfall- Whenever a land enters the battlefield under your control, you may pay {2}{R}. If you do, put a 3/1 red Elemental creature token with trample and haste onto the battlefield. Exile that token at the beginning of the next end step.|
401807|Aligned Hedron Network|{4}|Artifact|||When Aligned Hedron Network enters the battlefield, exile all creatures with power 5 or greater until Aligned Hedron Network leaves the battlefield. <i>(Those creatures return under their owners' control.)</i>|Battle for Zendikar|Rare|Richard Wright|222|When Aligned Hedron Network enters the battlefield, exile all creatures with power 5 or greater until Aligned Hedron Network leaves the battlefield. <i>(Those creatures return under their owners' control.)</i>|
401808|Ally Encampment||Land|||{T}: Add {1} to your mana pool.<br>{T}: Add one mana of any color to your mana pool. Spend this mana only to cast an Ally spell.<br>{1}, {T}, Sacrifice Ally Encampment: Return target Ally you control to its owner's hand.|Battle for Zendikar|Rare|Jonas De Ro|228|{T}: Add {1} to your mana pool.<br>{T}: Add one mana of any color to your mana pool. Spend this mana only to cast an Ally spell.<br>{1}, {T}, Sacrifice Ally Encampment: Return target Ally you control to its owner's hand.|
401809|Altar's Reap|{1}{B}|Instant|||As an additional cost to cast Altar's Reap, sacrifice a creature.<br>Draw two cards.|Battle for Zendikar|Common|Tyler Jacobson|103|As an additional cost to cast Altar's Reap, sacrifice a creature.<br>Draw two cards.|
401810|Angel of Renewal|{5}{W}|Creature - Angel Ally|4|4|Flying<br>When Angel of Renewal enters the battlefield, you gain 1 life for each creature you control.|Battle for Zendikar|Uncommon|Todd Lockwood|18|Flying<br>When Angel of Renewal enters the battlefield, you gain 1 life for each creature you control.|
401811|Angelic Captain|{3}{R}{W}|Creature - Angel Ally|4|3|Flying<br>Whenever Angelic Captain attacks, it gets +1/+1 until end of turn for each other attacking Ally.|Battle for Zendikar|Rare|Volkan Baga|208|Flying<br>Whenever Angelic Captain attacks, it gets +1/+1 until end of turn for each other attacking Ally.|
401812|Angelic Gift|{1}{W}|Enchantment - Aura|||Enchant creature<br>When Angelic Gift enters the battlefield, draw a card.<br>Enchanted creature has flying.|Battle for Zendikar|Common|Josu Hernaiz|19|Enchant creature<br>When Angelic Gift enters the battlefield, draw a card.<br>Enchanted creature has flying.|
401813|Anticipate|{1}{U}|Instant|||Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.|Battle for Zendikar|Common|Tyler Jacobson|69|Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.|
401814|Bane of Bala Ged|{7}|Creature - Eldrazi|7|5|Whenever Bane of Bala Ged attacks, defending player exiles two permanents he or she controls.|Battle for Zendikar|Uncommon|Chase Stone|1|Whenever Bane of Bala Ged attacks, defending player exiles two permanents he or she controls.|
401815|Barrage Tyrant|{4}{R}|Creature - Eldrazi|5|3|Devoid <i>(This card has no color.)</i><br>{2}{R}, Sacrifice another colorless creature: Barrage Tyrant deals damage equal to the sacrificed creature's power to target creature or player.|Battle for Zendikar|Rare|Chris Rallis|127|Devoid <i>(This card has no color.)</i><br>{2}{R}, Sacrifice another colorless creature: Barrage Tyrant deals damage equal to the sacrificed creature's power to target creature or player.|
401816|Beastcaller Savant|{1}{G}|Creature - Elf Shaman Ally|1|1|Haste<br>{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a creature spell.|Battle for Zendikar|Rare|Anthony Palumbo|170|Haste<br>{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a creature spell.|
401817|Belligerent Whiptail|{3}{R}|Creature - Wurm|4|2|Landfall- Whenever a land enters the battlefield under your control, Belligerent Whiptail gains first strike until end of turn.|Battle for Zendikar|Common|Jakub Kasper|141|Landfall- Whenever a land enters the battlefield under your control, Belligerent Whiptail gains first strike until end of turn.|
401818|Benthic Infiltrator|{2}{U}|Creature - Eldrazi Drone|1|4|Devoid <i>(This card has no color.)</i><br>Ingest <i>(Whenever this creature deals combat damage to a player, that player exiles the top card of his or her library.)</i><br>Benthic Infiltrator can't be blocked.|Battle for Zendikar|Common|Mathias Kollros|55|Devoid <i>(This card has no color.)</i><br>Ingest <i>(Whenever this creature deals combat damage to a player, that player exiles the top card of his or her library.)</i><br>Benthic Infiltrator can't be blocked.|
401819|Blight Herder|{5}|Creature - Eldrazi Processor|4|5|When you cast Blight Herder, you may put two cards your opponents own from exile into their owners' graveyards. If you do, put three 1/1 colorless Eldrazi Scion creature tokens onto the battlefield. They have "Sacrifice this creature: Add {1} to your mana pool."|Battle for Zendikar|Rare|Todd Lockwood|2|When you cast Blight Herder, you may put two cards your opponents own from exile into their owners' graveyards. If you do, put three 1/1 colorless Eldrazi Scion creature tokens onto the battlefield. They have "Sacrifice this creature: Add {1} to your mana pool."|
401820|Blighted Cataract||Land|||{T}: Add {1} to your mana pool.<br>{5}{U}, {T}, Sacrifice Blighted Cataract: Draw two cards.|Battle for Zendikar|Uncommon|Vincent Proce|229|{T}: Add {1} to your mana pool.<br>{5}{U}, {T}, Sacrifice Blighted Cataract: Draw two cards.|
401821|Blighted Fen||Land|||{T}: Add {1} to your mana pool.<br>{4}{B}, {T}, Sacrifice Blighted Fen: Target opponent sacrifices a creature.|Battle for Zendikar|Uncommon|Jonas De Ro|230|{T}: Add {1} to your mana pool.<br>{4}{B}, {T}, Sacrifice Blighted Fen: Target opponent sacrifices a creature.|
401822|Blighted Gorge||Land|||{T}: Add {1} to your mana pool.<br>{4}{R}, {T}, Sacrifice Blighted Gorge: Blighted Gorge deals 2 damage to target creature or player.|Battle for Zendikar|Uncommon|Jung Park|231|{T}: Add {1} to your mana pool.<br>{4}{R}, {T}, Sacrifice Blighted Gorge: Blighted Gorge deals 2 damage to target creature or player.|
401823|Blighted Steppe||Land|||{T}: Add {1} to your mana pool.<br>{3}{W}, {T}, Sacrifice Blighted Steppe: You gain 2 life for each creature you control.|Battle for Zendikar|Uncommon|Yeong-Hao Han|232|{T}: Add {1} to your mana pool.<br>{3}{W}, {T}, Sacrifice Blighted Steppe: You gain 2 life for each creature you control.|
401824|Blighted Woodland||Land|||{T}: Add {1} to your mana pool.<br>{3}{G}, {T}, Sacrifice Blighted Woodland: Search your library for up to two basic land cards and put them onto the battlefield tapped. Then shuffle your library.|Battle for Zendikar|Uncommon|Jason Felix|233|{T}: Add {1} to your mana pool.<br>{3}{G}, {T}, Sacrifice Blighted Woodland: Search your library for up to two basic land cards and put them onto the battlefield tapped. Then shuffle your library.|
401825|Blisterpod|{G}|Creature - Eldrazi Drone|1|1|Devoid <i>(This card has no color.)</i><br>When Blisterpod dies, put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has "Sacrifice this creature: Add {1} to your mana pool."|Battle for Zendikar|Common|Ryan Barger|163|Devoid <i>(This card has no color.)</i><br>When Blisterpod dies, put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has "Sacrifice this creature: Add {1} to your mana pool."|
401826|Bloodbond Vampire|{2}{B}{B}|Creature - Vampire Shaman Ally|3|3|Whenever you gain life, put a +1/+1 counter on Bloodbond Vampire.|Battle for Zendikar|Uncommon|Anna Steinbauer|104|Whenever you gain life, put a +1/+1 counter on Bloodbond Vampire.|
401827|Boiling Earth|{1}{R}|Sorcery|||Boiling Earth deals 1 damage to each creature your opponents control.<br>Awaken 4—{6}{R} <i>(If you cast this spell for {6}{R}, also put four +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)</i>|Battle for Zendikar|Common|Titus Lunter|142|Boiling Earth deals 1 damage to each creature your opponents control.<br>Awaken 4—{6}{R} <i>(If you cast this spell for {6}{R}, also put four +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)</i>|
401828|Bone Splinters|{B}|Sorcery|||As an additional cost to cast Bone Splinters, sacrifice a creature.<br>Destroy target creature.|Battle for Zendikar|Common|Deruchenko Alexander|105|As an additional cost to cast Bone Splinters, sacrifice a creature.<br>Destroy target creature.|
401829|Breaker of Armies|{8}|Creature - Eldrazi|10|8|All creatures able to block Breaker of Armies do so.|Battle for Zendikar|Uncommon|Richard Wright|3|All creatures able to block Breaker of Armies do so.|
401830|Brilliant Spectrum|{3}{U}|Sorcery|||Converge- Draw X cards, where X is the number of colors of mana spent to cast Brilliant Spectrum. Then discard two cards.|Battle for Zendikar|Common|Winona Nelson|70|Converge- Draw X cards, where X is the number of colors of mana spent to cast Brilliant Spectrum. Then discard two cards.|
401831|Bring to Light|{3}{G}{U}|Sorcery|||Converge- Search your library for a creature, instant, or sorcery card with converted mana cost less than or equal to the number of colors of mana spent to cast Bring to Light, exile that card, then shuffle your library. You may cast that card without paying its mana cost.|Battle for Zendikar|Rare|Jonas De Ro|209|Converge- Search your library for a creature, instant, or sorcery card with converted mana cost less than or equal to the number of colors of mana spent to cast Bring to Light, exile that card, then shuffle your library. You may cast that card without paying its mana cost.|
401832|Brood Butcher|{3}{B}{G}|Creature - Eldrazi Drone|3|3|Devoid <i>(This card has no color.)</i><br>When Brood Butcher enters the battlefield, put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has "Sacrifice this creature: Add {1} to your mana pool."<br>{B}{G}, Sacrifice a creature: Target creature gets -2/-2 until end of turn.|Battle for Zendikar|Rare|Daarken|199|Devoid <i>(This card has no color.)</i><br>When Brood Butcher enters the battlefield, put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has "Sacrifice this creature: Add {1} to your mana pool."<br>{B}{G}, Sacrifice a creature: Target creature gets -2/-2 until end of turn.|
401833|Brood Monitor|{4}{G}{G}|Creature - Eldrazi Drone|3|3|Devoid <i>(This card has no color.)</i><br>When Brood Monitor enters the battlefield, put three 1/1 colorless Eldrazi Scion creature tokens onto the battlefield. They have "Sacrifice this creature: Add {1} to your mana pool."|Battle for Zendikar|Uncommon|Izzy|164|Devoid <i>(This card has no color.)</i><br>When Brood Monitor enters the battlefield, put three 1/1 colorless Eldrazi Scion creature tokens onto the battlefield. They have "Sacrifice this creature: Add {1} to your mana pool."|
401834|Broodhunter Wurm|{3}{G}|Creature - Wurm|4|3||Battle for Zendikar|Common|Svetlin Velinov|171||
401835|Brutal Expulsion|{2}{U}{R}|Instant|||Devoid <i>(This card has no color.)</i><br>Choose one or both-<br>• Return target spell or creature to its owner's hand.<br>• Brutal Expulsion deals 2 damage to target creature or planeswalker. If that permanent would be put into a graveyard this turn, exile it instead.|Battle for Zendikar|Rare|Victor Adame Minguez|200|Devoid <i>(This card has no color.)</i><br>Choose one or both-<br>• Return target spell or creature to its owner's hand.<br>• Brutal Expulsion deals 2 damage to target creature or planeswalker. If that permanent would be put into a graveyard this turn, exile it instead.|
401836|Call the Scions|{2}{G}|Sorcery|||Devoid <i>(This card has no color.)</i><br>Put two 1/1 colorless Eldrazi Scion creature tokens onto the battlefield. They have "Sacrifice this creature: Add {1} to your mana pool."|Battle for Zendikar|Common|Winona Nelson|165|Devoid <i>(This card has no color.)</i><br>Put two 1/1 colorless Eldrazi Scion creature tokens onto the battlefield. They have "Sacrifice this creature: Add {1} to your mana pool."|
