ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
378373|Acolyte's Reward|{1}{W}|Instant|||Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to target creature or player. <i>(Each {W} in the mana costs of permanents you control counts toward your devotion to white.)</i>|Born of the Gods|Uncommon|Slawomir Maniak|1|Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to target creature or player. <i>(Each {W} in the mana costs of permanents you control counts toward your devotion to white.)</i>|
378402|Aerie Worshippers|{3}{U}|Creature - Human Cleric|2|4|Inspired- Whenever Aerie Worshippers becomes untapped, you may pay {2}{U}. If you do, put a 2/2 blue Bird enchantment creature token with flying onto the battlefield.|Born of the Gods|Uncommon|Mike Sass|30|Inspired- Whenever Aerie Worshippers becomes untapped, you may pay {2}{U}. If you do, put a 2/2 blue Bird enchantment creature token with flying onto the battlefield.|
378459|Akroan Conscriptor|{4}{R}|Creature - Human Shaman|3|2|Heroic- Whenever you cast a spell that targets Akroan Conscriptor, gain control of another target creature until end of turn. Untap that creature. It gains haste until end of turn.|Born of the Gods|Uncommon|James Ryman|87|Heroic- Whenever you cast a spell that targets Akroan Conscriptor, gain control of another target creature until end of turn. Untap that creature. It gains haste until end of turn.|
378374|Akroan Phalanx|{3}{W}|Creature - Human Soldier|3|3|Vigilance<br>{2}{R}: Creatures you control get +1/+0 until end of turn.|Born of the Gods|Uncommon|Steve Prescott|2|Vigilance<br>{2}{R}: Creatures you control get +1/+0 until end of turn.|
378375|Akroan Skyguard|{1}{W}|Creature - Human Soldier|1|1|Flying<br>Heroic- Whenever you cast a spell that targets Akroan Skyguard, put a +1/+1 counter on Akroan Skyguard.|Born of the Gods|Common|Mark Winters|3|Flying<br>Heroic- Whenever you cast a spell that targets Akroan Skyguard, put a +1/+1 counter on Akroan Skyguard.|
378403|Arbiter of the Ideal|{4}{U}{U}|Creature - Sphinx|4|5|Flying<br>Inspired- Whenever Arbiter of the Ideal becomes untapped, reveal the top card of your library. If it's an artifact, creature, or land card, you may put it onto the battlefield with a manifestation counter on it. That permanent is an enchantment in addition to its other types.|Born of the Gods|Rare|Svetlin Velinov|31|Flying<br>Inspired- Whenever Arbiter of the Ideal becomes untapped, reveal the top card of your library. If it's an artifact, creature, or land card, you may put it onto the battlefield with a manifestation counter on it. That permanent is an enchantment in addition to its other types.|
378460|Archetype of Aggression|{1}{R}{R}|Enchantment Creature - Human Warrior|3|2|Creatures you control have trample.<br>Creatures your opponents control lose trample and can't have or gain trample.|Born of the Gods|Uncommon|Mathias Kollros|88|Creatures you control have trample.<br>Creatures your opponents control lose trample and can't have or gain trample.|
378376|Archetype of Courage|{1}{W}{W}|Enchantment Creature - Human Soldier|2|2|Creatures you control have first strike.<br>Creatures your opponents control lose first strike and can't have or gain first strike.|Born of the Gods|Uncommon|Willian Murai|4|Creatures you control have first strike.<br>Creatures your opponents control lose first strike and can't have or gain first strike.|
378488|Archetype of Endurance|{6}{G}{G}|Enchantment Creature - Boar|6|5|Creatures you control have hexproof.<br>Creatures your opponents control lose hexproof and can't have or gain hexproof.|Born of the Gods|Uncommon|Slawomir Maniak|116|Creatures you control have hexproof.<br>Creatures your opponents control lose hexproof and can't have or gain hexproof.|
378430|Archetype of Finality|{4}{B}{B}|Enchantment Creature - Gorgon|2|3|Creatures you control have deathtouch.<br>Creatures your opponents control lose deathtouch and can't have or gain deathtouch.|Born of the Gods|Uncommon|Chris Rahn|58|Creatures you control have deathtouch.<br>Creatures your opponents control lose deathtouch and can't have or gain deathtouch.|
378404|Archetype of Imagination|{4}{U}{U}|Enchantment Creature - Human Wizard|3|2|Creatures you control have flying.<br>Creatures your opponents control lose flying and can't have or gain flying.|Born of the Gods|Uncommon|Robbie Trevino|32|Creatures you control have flying.<br>Creatures your opponents control lose flying and can't have or gain flying.|
378431|Ashiok's Adept|{2}{B}|Creature - Human Wizard|1|3|Heroic- Whenever you cast a spell that targets Ashiok's Adept, each opponent discards a card.|Born of the Gods|Uncommon|Karla Ortiz|59|Heroic- Whenever you cast a spell that targets Ashiok's Adept, each opponent discards a card.|
378489|Aspect of Hydra|{G}|Instant|||Target creature gets +X/+X until end of turn, where X is your devotion to green. <i>(Each {G} in the mana costs of permanents you control counts toward your devotion to green.)</i>|Born of the Gods|Common|Mark Winters|117|Target creature gets +X/+X until end of turn, where X is your devotion to green. <i>(Each {G} in the mana costs of permanents you control counts toward your devotion to green.)</i>|
378432|Asphyxiate|{1}{B}{B}|Sorcery|||Destroy target untapped creature.|Born of the Gods|Common|Kev Walker|60|Destroy target untapped creature.|
378529|Astral Cornucopia|{X}{X}{X}|Artifact|||Astral Cornucopia enters the battlefield with X charge counters on it.<br>{T}: Choose a color. Add one mana of that color to your mana pool for each charge counter on Astral Cornucopia.|Born of the Gods|Rare|Aleksi Briclot|157|Astral Cornucopia enters the battlefield with X charge counters on it.<br>{T}: Choose a color. Add one mana of that color to your mana pool for each charge counter on Astral Cornucopia.|
378433|Bile Blight|{B}{B}|Instant|||Target creature and all other creatures with the same name as that creature get -3/-3 until end of turn.|Born of the Gods|Uncommon|Vincent Proce|61|Target creature and all other creatures with the same name as that creature get -3/-3 until end of turn.|
378434|Black Oak of Odunos|{2}{B}|Creature - Zombie Treefolk|0|5|Defender<br>{B}, Tap another untapped creature you control: Black Oak of Odunos gets +1/+1 until end of turn.|Born of the Gods|Uncommon|Chris Rahn|62|Defender<br>{B}, Tap another untapped creature you control: Black Oak of Odunos gets +1/+1 until end of turn.|
378461|Bolt of Keranos|{1}{R}{R}|Sorcery|||Bolt of Keranos deals 3 damage to target creature or player. Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>|Born of the Gods|Common|Karl Kopinski|89|Bolt of Keranos deals 3 damage to target creature or player. Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>|
378377|Brimaz, King of Oreskos|{1}{W}{W}|Legendary Creature - Cat Soldier|3|4|Vigilance<br>Whenever Brimaz, King of Oreskos attacks, put a 1/1 white Cat Soldier creature token with vigilance onto the battlefield attacking.<br>Whenever Brimaz blocks a creature, put a 1/1 white Cat Soldier creature token with vigilance onto the battlefield blocking that creature.|Born of the Gods|Mythic Rare|Peter Mohrbacher|5|Vigilance<br>Whenever Brimaz, King of Oreskos attacks, put a 1/1 white Cat Soldier creature token with vigilance onto the battlefield attacking.<br>Whenever Brimaz blocks a creature, put a 1/1 white Cat Soldier creature token with vigilance onto the battlefield blocking that creature.|
378435|Champion of Stray Souls|{4}{B}{B}|Creature - Skeleton Warrior|4|4|{3}{B}{B}, {T}, Sacrifice X other creatures: Return X target creature cards from your graveyard to the battlefield.<br>{5}{B}{B}: Put Champion of Stray Souls on top of your library from your graveyard.|Born of the Gods|Mythic Rare|Aleksi Briclot|63|{3}{B}{B}, {T}, Sacrifice X other creatures: Return X target creature cards from your graveyard to the battlefield.<br>{5}{B}{B}: Put Champion of Stray Souls on top of your library from your graveyard.|
378490|Charging Badger|{G}|Creature - Badger|1|1|Trample|Born of the Gods|Common|Raoul Vitale|118|Trample|
