ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
73995|Soratami Mindsweeper|{3}{U}|Creature - Moonfolk Wizard|1|4|Flying<br>{2}, Return a land you control to its owner's hand: Target player puts the top two cards of his or her library into his or her graveyard.|Betrayers of Kamigawa|Uncommon|Alex Horley-Orlandelli|52|Flying<br>{2}, Return a land you control to its owner's hand: Target player puts the top two cards of his or her library into his or her graveyard.|
73997|Stream of Consciousness|{1}{U}|Instant - Arcane|||Target player shuffles up to four target cards from his or her graveyard into his or her library.|Betrayers of Kamigawa|Uncommon|John Avon|53|Target player shuffles up to four target cards from his or her graveyard into his or her library.|
74006|Mark of the Oni|{2}{B}|Enchantment - Aura|||Enchant creature<br>You control enchanted creature.<br>At the beginning of the end step, if you control no Demons, sacrifice Mark of the Oni.|Betrayers of Kamigawa|Uncommon|Heather Hudson|73|Enchant creature<br>You control enchanted creature.<br>At the beginning of the end step, if you control no Demons, sacrifice Mark of the Oni.|
74023|Twist Allegiance|{6}{R}|Sorcery|||You and target opponent each gain control of all creatures the other controls until end of turn. Untap those creatures. Those creatures gain haste until end of turn.|Betrayers of Kamigawa|Rare|Wayne Reynolds|120|You and target opponent each gain control of all creatures the other controls until end of turn. Untap those creatures. Those creatures gain haste until end of turn.|
74027|Oyobi, Who Split the Heavens|{6}{W}|Legendary Creature - Spirit|3|6|Flying<br>Whenever you cast a Spirit or Arcane spell, put a 3/3 white Spirit creature token with flying onto the battlefield.|Betrayers of Kamigawa|Rare|Christopher Moeller|18|Flying<br>Whenever you cast a Spirit or Arcane spell, put a 3/3 white Spirit creature token with flying onto the battlefield.|
74028|Moonlit Strider|{3}{W}|Creature - Spirit|1|4|Sacrifice Moonlit Strider: Target creature you control gains protection from the color of your choice until end of turn.<br>Soulshift 3 <i>(When this creature dies, you may return target Spirit card with converted mana cost 3 or less from your graveyard to your hand.)</i>|Betrayers of Kamigawa|Common|John Avon|16|Sacrifice Moonlit Strider: Target creature you control gains protection from the color of your choice until end of turn.<br>Soulshift 3 <i>(When this creature dies, you may return target Spirit card with converted mana cost 3 or less from your graveyard to your hand.)</i>|
74032|Crawling Filth|{5}{B}|Creature - Spirit|2|2|Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i><br>Soulshift 5 <i>(When this creature dies, you may return target Spirit card with converted mana cost 5 or less from your graveyard to your hand.)</i>|Betrayers of Kamigawa|Common|Martina Pilcerova|64|Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i><br>Soulshift 5 <i>(When this creature dies, you may return target Spirit card with converted mana cost 5 or less from your graveyard to your hand.)</i>|
74033|Walker of Secret Ways|{2}{U}|Creature - Human Ninja|1|2|Ninjutsu {1}{U} <i>({1}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)</i><br>Whenever Walker of Secret Ways deals combat damage to a player, look at that player's hand.<br>{1}{U}: Return target Ninja you control to its owner's hand. Activate this ability only during your turn.|Betrayers of Kamigawa|Uncommon|Scott M. Fischer|60|Ninjutsu {1}{U} <i>({1}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)</i><br>Whenever Walker of Secret Ways deals combat damage to a player, look at that player's hand.<br>{1}{U}: Return target Ninja you control to its owner's hand. Activate this ability only during your turn.|
74034|Sway of the Stars|{8}{U}{U}|Sorcery|||Each player shuffles his or her hand, graveyard, and permanents he or she owns into his or her library, then draws seven cards. Each player's life total becomes 7.|Betrayers of Kamigawa|Rare|Randy Gallegos|54|Each player shuffles his or her hand, graveyard, and permanents he or she owns into his or her library, then draws seven cards. Each player's life total becomes 7.|
74035|Genju of the Fens|{B}|Enchantment - Aura|||Enchant Swamp<br>{2}: Until end of turn, enchanted Swamp becomes a 2/2 black Spirit creature with "{B}: This creature gets +1/+1 until end of turn." It's still a land.<br>When enchanted Swamp is put into a graveyard, you may return Genju of the Fens from your graveyard to your hand.|Betrayers of Kamigawa|Uncommon|Tsutomu Kawade|66|Enchant Swamp<br>{2}: Until end of turn, enchanted Swamp becomes a 2/2 black Spirit creature with "{B}: This creature gets +1/+1 until end of turn." It's still a land.<br>When enchanted Swamp is put into a graveyard, you may return Genju of the Fens from your graveyard to your hand.|
