ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
21097|Maniacal Rage|{1}{R}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2 and can't block.|Battle Royale Box Set|Common|Pete Venters|1|Enchant creature<br>Enchanted creature gets +2/+2 and can't block.|
21098|Village Elder|{G}|Creature - Human Druid|1|1|{G}, {T}, Sacrifice a Forest: Regenerate target creature.|Battle Royale Box Set|Common|Donato Giancola|2|{G}, {T}, Sacrifice a Forest: Regenerate target creature.|
21099|Broken Fall|{2}{G}|Enchantment|||Return Broken Fall to its owner's hand: Regenerate target creature.|Battle Royale Box Set|Common|Zina Saunders|3|Return Broken Fall to its owner's hand: Regenerate target creature.|
21101|Symbiosis|{1}{G}|Instant|||Two target creatures each get +2/+2 until end of turn.|Battle Royale Box Set|Common|Jeff Miracola|4|Two target creatures each get +2/+2 until end of turn.|
21102|Arc Lightning|{2}{R}|Sorcery|||Arc Lightning deals 3 damage divided as you choose among one, two, or three target creatures and/or players.|Battle Royale Box Set|Common|Andrew Goldhawk|5|Arc Lightning deals 3 damage divided as you choose among one, two, or three target creatures and/or players.|
21104|Shower of Sparks|{R}|Instant|||Shower of Sparks deals 1 damage to target creature and 1 damage to target player.|Battle Royale Box Set|Common|Christopher Moeller|6|Shower of Sparks deals 1 damage to target creature and 1 damage to target player.|
21106|Skyshroud Elite|{G}|Creature - Elf|1|1|Skyshroud Elite gets +1/+2 as long as an opponent controls a nonbasic land.|Battle Royale Box Set|Uncommon|Paolo Parente|7|Skyshroud Elite gets +1/+2 as long as an opponent controls a nonbasic land.|
21113|Spike Feeder|{1}{G}{G}|Creature - Spike|0|0|Spike Feeder enters the battlefield with two +1/+1 counters on it.<br>{2}, Remove a +1/+1 counter from Spike Feeder: Put a +1/+1 counter on target creature.<br>Remove a +1/+1 counter from Spike Feeder: You gain 2 life.|Battle Royale Box Set|Uncommon|Heather Hudson|8|Spike Feeder enters the battlefield with two +1/+1 counters on it.<br>{2}, Remove a +1/+1 counter from Spike Feeder: Put a +1/+1 counter on target creature.<br>Remove a +1/+1 counter from Spike Feeder: You gain 2 life.|
21114|Trumpeting Armodon|{3}{G}|Creature - Elephant|3|3|{1}{G}: Target creature blocks Trumpeting Armodon this turn if able.|Battle Royale Box Set|Uncommon|Gary Leach|9|{1}{G}: Target creature blocks Trumpeting Armodon this turn if able.|
21115|Wildfire Emissary|{3}{R}|Creature - Efreet|2|4|Protection from white<br>{1}{R}: Wildfire Emissary gets +1/+0 until end of turn.|Battle Royale Box Set|Uncommon|Richard Kane Ferguson|10|Protection from white<br>{1}{R}: Wildfire Emissary gets +1/+0 until end of turn.|
21116|Plated Rootwalla|{4}{G}|Creature - Lizard|3|3|{2}{G}: Plated Rootwalla gets +3/+3 until end of turn. Activate this ability only once each turn.|Battle Royale Box Set|Common|Randy Elliott|11|{2}{G}: Plated Rootwalla gets +3/+3 until end of turn. Activate this ability only once each turn.|
21117|Mogg Hollows||Land|||{T}: Add {1} to your mana pool.<br>{T}: Add {R} or {G} to your mana pool. Mogg Hollows doesn't untap during your next untap step.|Battle Royale Box Set|Uncommon|Jeff Laubenstein|12|{T}: Add {1} to your mana pool.<br>{T}: Add {R} or {G} to your mana pool. Mogg Hollows doesn't untap during your next untap step.|
21123|Disruptive Student|{2}{U}|Creature - Human Wizard|1|1|{T}: Counter target spell unless its controller pays {1}.|Battle Royale Box Set|Common|Randy Gallegos|13|{T}: Counter target spell unless its controller pays {1}.|
21125|Manta Riders|{U}|Creature - Merfolk|1|1|{U}: Manta Riders gains flying until end of turn.|Battle Royale Box Set|Common|Kaja Foglio|14|{U}: Manta Riders gains flying until end of turn.|
21134|Songstitcher|{W}|Creature - Human Cleric|1|1|{1}{W}: Prevent all combat damage that would be dealt this turn by target attacking creature with flying.|Battle Royale Box Set|Uncommon|Berry|15|{1}{W}: Prevent all combat damage that would be dealt this turn by target attacking creature with flying.|
21135|Windfall|{2}{U}|Sorcery|||Each player discards his or her hand, then draws cards equal to the greatest number of cards a player discarded this way.|Battle Royale Box Set|Uncommon|Pete Venters|16|Each player discards his or her hand, then draws cards equal to the greatest number of cards a player discarded this way.|
21137|Curfew|{U}|Instant|||Each player returns a creature he or she controls to its owner's hand.|Battle Royale Box Set|Common|Randy Gallegos|17|Each player returns a creature he or she controls to its owner's hand.|
21138|Man-o'-War|{2}{U}|Creature - Jellyfish|2|2|When Man-o'-War enters the battlefield, return target creature to its owner's hand.|Battle Royale Box Set|Common|Jon J Muth|18|When Man-o'-War enters the battlefield, return target creature to its owner's hand.|
21143|Catastrophe|{4}{W}{W}|Sorcery|||Destroy all lands or all creatures. Creatures destroyed this way can't be regenerated.|Battle Royale Box Set|Rare|Andrew Robinson|19|Destroy all lands or all creatures. Creatures destroyed this way can't be regenerated.|
21146|Thalakos Lowlands||Land|||{T}: Add {1} to your mana pool.<br>{T}: Add {W} or {U} to your mana pool. Thalakos Lowlands doesn't untap during your next untap step.|Battle Royale Box Set|Uncommon|Jeff A. Menges|20|{T}: Add {1} to your mana pool.<br>{T}: Add {W} or {U} to your mana pool. Thalakos Lowlands doesn't untap during your next untap step.|
21147|Wall of Heat|{2}{R}|Creature - Wall|2|6|Defender <i>(This creature can't attack.)</i>|Battle Royale Box Set|Common|Richard Thomas|21|Defender <i>(This creature can't attack.)</i>|
21148|Subversion|{3}{B}{B}|Enchantment|||At the beginning of your upkeep, each opponent loses 1 life. You gain life equal to the life lost this way.|Battle Royale Box Set|Rare|Rob Alexander|22|At the beginning of your upkeep, each opponent loses 1 life. You gain life equal to the life lost this way.|
21150|Sadistic Glee|{B}|Enchantment - Aura|||Enchant creature<br>Whenever a creature dies, put a +1/+1 counter on enchanted creature.|Battle Royale Box Set|Common|Pete Venters|23|Enchant creature<br>Whenever a creature dies, put a +1/+1 counter on enchanted creature.|
21153|Exhume|{1}{B}|Sorcery|||Each player puts a creature card from his or her graveyard onto the battlefield.|Battle Royale Box Set|Common|Carl Critchlow|24|Each player puts a creature card from his or her graveyard onto the battlefield.|
21155|Living Death|{3}{B}{B}|Sorcery|||Each player exiles all creature cards from his or her graveyard, then sacrifices all creatures he or she controls, then puts all cards he or she exiled this way onto the battlefield.|Battle Royale Box Set|Rare|Charles Gillespie|25|Each player exiles all creature cards from his or her graveyard, then sacrifices all creatures he or she controls, then puts all cards he or she exiled this way onto the battlefield.|
21156|Unnerve|{3}{B}|Sorcery|||Each opponent discards two cards.|Battle Royale Box Set|Common|Terese Nielsen|26|Each opponent discards two cards.|
21158|Rolling Thunder|{X}{R}{R}|Sorcery|||Rolling Thunder deals X damage divided as you choose among any number of target creatures and/or players.|Battle Royale Box Set|Common|Richard Thomas|27|Rolling Thunder deals X damage divided as you choose among any number of target creatures and/or players.|
21159|Heat Ray|{X}{R}|Instant|||Heat Ray deals X damage to target creature.|Battle Royale Box Set|Common|Brian Snoddy|28|Heat Ray deals X damage to target creature.|
21160|Reanimate|{B}|Sorcery|||Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to its converted mana cost.|Battle Royale Box Set|Uncommon|Robert Bliss|29|Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to its converted mana cost.|
21161|Sewer Rats|{B}|Creature - Rat|1|1|{B}, Pay 1 life: Sewer Rats gets +1/+0 until end of turn. Activate this ability no more than three times each turn.|Battle Royale Box Set|Common|Martin McKenna|30|{B}, Pay 1 life: Sewer Rats gets +1/+0 until end of turn. Activate this ability no more than three times each turn.|
21163|Fire Ants|{2}{R}|Creature - Insect|2|1|{T}: Fire Ants deals 1 damage to each other creature without flying.|Battle Royale Box Set|Uncommon|Tom Fleming|31|{T}: Fire Ants deals 1 damage to each other creature without flying.|
21164|Phyrexian Ghoul|{2}{B}|Creature - Zombie|2|2|Sacrifice a creature: Phyrexian Ghoul gets +2/+2 until end of turn.|Battle Royale Box Set|Common|Pete Venters|32|Sacrifice a creature: Phyrexian Ghoul gets +2/+2 until end of turn.|
21165|Crazed Skirge|{3}{B}|Creature - Imp|2|2|Flying, haste|Battle Royale Box Set|Uncommon|Ron Spencer|33|Flying, haste|
21168|Cackling Fiend|{2}{B}{B}|Creature - Zombie|2|1|When Cackling Fiend enters the battlefield, each opponent discards a card.|Battle Royale Box Set|Common|Brian Despain|34|When Cackling Fiend enters the battlefield, each opponent discards a card.|
