ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
12148|Treachery|{3}{U}{U}|Enchantment - Aura|||Enchant creature<br>When Treachery enters the battlefield, untap up to five lands.<br>You control enchanted creature.|Urza's Destiny|Rare|Matthew Wilson|50|Enchant creature<br>When Treachery enters the battlefield, untap up to five lands.<br>You control enchanted creature.|
12612|Æther Sting|{3}{R}|Enchantment|||Whenever an opponent casts a creature spell, Æther Sting deals 1 damage to that player.|Urza's Destiny|Uncommon|Pete Venters|76|Whenever an opponent casts a creature spell, Æther Sting deals 1 damage to that player.|
13087|Masticore|{4}|Artifact Creature - Masticore|4|4|At the beginning of your upkeep, sacrifice Masticore unless you discard a card.<br>{2}: Masticore deals 1 damage to target creature.<br>{2}: Regenerate Masticore.|Urza's Destiny|Rare|Paolo Parente|134|At the beginning of your upkeep, sacrifice Masticore unless you discard a card.<br>{2}: Masticore deals 1 damage to target creature.<br>{2}: Regenerate Masticore.|
13821|Landslide|{R}|Sorcery|||Sacrifice any number of Mountains. Landslide deals that much damage to target player.|Urza's Destiny|Uncommon|Jeff Laubenstein|92|Sacrifice any number of Mountains. Landslide deals that much damage to target player.|
14442|Apprentice Necromancer|{1}{B}|Creature - Zombie Wizard|1|1|{B}, {T}, Sacrifice Apprentice Necromancer: Return target creature card from your graveyard to the battlefield. That creature gains haste. At the beginning of the next end step, sacrifice it.|Urza's Destiny|Rare|Pete Venters|51|{B}, {T}, Sacrifice Apprentice Necromancer: Return target creature card from your graveyard to the battlefield. That creature gains haste. At the beginning of the next end step, sacrifice it.|
15120|Wall of Glare|{1}{W}|Creature - Wall|0|5|Defender <i>(This creature can't attack.)</i><br>Wall of Glare can block any number of creatures.|Urza's Destiny|Common|Patrick Ho|25|Defender <i>(This creature can't attack.)</i><br>Wall of Glare can block any number of creatures.|
15121|Field Surgeon|{1}{W}|Creature - Human Cleric|1|1|Tap an untapped creature you control: Prevent the next 1 damage that would be dealt to target creature this turn.|Urza's Destiny|Common|Heather Hudson|8|Tap an untapped creature you control: Prevent the next 1 damage that would be dealt to target creature this turn.|
15123|Reliquary Monk|{2}{W}|Creature - Human Monk Cleric|2|2|When Reliquary Monk dies, destroy target artifact or enchantment.|Urza's Destiny|Common|Thomas M. Baxa|14|When Reliquary Monk dies, destroy target artifact or enchantment.|
15124|Jasmine Seer|{3}{W}|Creature - Human Wizard|1|1|{2}{W}, {T}: Reveal any number of white cards in your hand. You gain 2 life for each card revealed this way.|Urza's Destiny|Uncommon|Donato Giancola|10|{2}{W}, {T}: Reveal any number of white cards in your hand. You gain 2 life for each card revealed this way.|
15125|Capashen Knight|{1}{W}|Creature - Human Knight|1|1|First strike<br>{1}{W}: Capashen Knight gets +1/+0 until end of turn.|Urza's Destiny|Common|Kev Walker|3|First strike<br>{1}{W}: Capashen Knight gets +1/+0 until end of turn.|
