ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|DBPRICE|LANG|RATING|ARTIST|COLLNUM|RULINGS|TEXT|ENID|PROPERTIES
2780|Bronze Horse|{7}|Artifact Creature - Horse|4|4|Trample<br>As long as you control another creature, prevent all damage that would be dealt to Bronze Horse by spells that target it.|Chronicles|Rare|0.0||2.182|Mark Poole|1||Trample<br>As long as you control another creature, prevent all damage that would be dealt to Bronze Horse by spells that target it.|0|
2784|Horn of Deafening|{4}|Artifact|||{2}, {T}: Prevent all combat damage that would be dealt by target creature this turn.|Chronicles|Rare|0.0||2.615|Dan Frazier|2||{2}, {T}: Prevent all combat damage that would be dealt by target creature this turn.|0|
2790|Runesword|{6}|Artifact|||{3}, {T}: Target attacking creature gets +2/+0 until end of turn. When that creature leaves the battlefield this turn, sacrifice Runesword. If the creature deals damage to a creature this turn, the creature dealt damage can't be regenerated this turn. If a creature dealt damage by the targeted creature would die this turn, exile that creature instead.|Chronicles|Common|0.0||0.951|Christopher Rush|3||{3}, {T}: Target attacking creature gets +2/+0 until end of turn. When that creature leaves the battlefield this turn, sacrifice Runesword. If the creature deals damage to a creature this turn, the creature dealt damage can't be regenerated this turn. If a creature dealt damage by the targeted creature would die this turn, exile that creature instead.|0|
2791|Sentinel|{4}|Artifact Creature - Shapeshifter|1|1|{0}: Sentinel's toughness becomes 1 plus the power of target creature blocking or blocked by Sentinel. <i>(This effect lasts indefinitely.)</i>|Chronicles|Rare|0.0||4.114|Randy Asplund-Faith|4||{0}: Sentinel's toughness becomes 1 plus the power of target creature blocking or blocked by Sentinel. <i>(This effect lasts indefinitely.)</i>|0|
2795|Voodoo Doll|{6}|Artifact|||At the beginning of your upkeep, put a pin counter on Voodoo Doll.<br>At the beginning of your end step, if Voodoo Doll is untapped, destroy Voodoo Doll and it deals damage to you equal to the number of pin counters on it.<br>{X}{X}, {T}: Voodoo Doll deals damage equal to the number of pin counters on it to target creature or player. X is the number of pin counters on Voodoo Doll.|Chronicles|Rare|0.0||2.088|Sandra Everingham|5||At the beginning of your upkeep, put a pin counter on Voodoo Doll.<br>At the beginning of your end step, if Voodoo Doll is untapped, destroy Voodoo Doll and it deals damage to you equal to the number of pin counters on it.<br>{X}{X}, {T}: Voodoo Doll deals damage equal to the number of pin counters on it to target creature or player. X is the number of pin counters on Voodoo Doll.|0|
2803|Enchantment Alteration|{U}|Instant|||Attach target Aura attached to a creature or land to another permanent of that type.|Chronicles|Uncommon|0.0||3.1|Brian Snoddy|6||Attach target Aura attached to a creature or land to another permanent of that type.|0|
2806|Flash Flood|{U}|Instant|||Choose one- Destroy target red permanent; or return target Mountain to its owner's hand.|Chronicles|Common|0.0||2.909|Tom Wänerstrand|7||Choose one- Destroy target red permanent; or return target Mountain to its owner's hand.|0|
2807|Giant Slug|{1}{B}|Creature - Slug|1|1|{5}: At the beginning of your next upkeep, choose a basic land type. Giant Slug gains landwalk of the chosen type until the end of that turn.|Chronicles|Common|0.0||0.958|Anson Maddocks|8||{5}: At the beginning of your next upkeep, choose a basic land type. Giant Slug gains landwalk of the chosen type until the end of that turn.|0|
2811|Puppet Master|{U}{U}{U}|Enchantment - Aura|||Enchant creature<br>When enchanted creature dies, return that card to its owner's hand. If that card is returned to its owner's hand this way, you may pay {U}{U}{U}. If you do, return Puppet Master to its owner's hand.|Chronicles|Uncommon|0.0||2.25|Sandra Everingham|9||Enchant creature<br>When enchanted creature dies, return that card to its owner's hand. If that card is returned to its owner's hand this way, you may pay {U}{U}{U}. If you do, return Puppet Master to its owner's hand.|0|
2814|Shimian Night Stalker|{3}{B}{B}|Creature - Nightstalker|4|4|{B}, {T}: All damage that would be dealt to you this turn by target attacking creature is dealt to Shimian Night Stalker instead.|Chronicles|Uncommon|0.0||2.688|Jesper Myrfors|10||{B}, {T}: All damage that would be dealt to you this turn by target attacking creature is dealt to Shimian Night Stalker instead.|0|
2815|Takklemaggot|{2}{B}{B}|Enchantment - Aura|||Enchant creature<br>At the beginning of the upkeep of enchanted creature's controller, put a -0/-1 counter on that creature.<br>When enchanted creature dies, that creature's controller chooses a creature that Takklemaggot could enchant. If he or she does, return Takklemaggot to the battlefield under your control attached to that creature. If he or she doesn't, return Takklemaggot to the battlefield under your control as a non-Aura enchantment. It loses "enchant creature" and gains "At the beginning of that player's upkeep, Takklemaggot deals 1 damage to him or her."|Chronicles|Uncommon|0.0||3.25|Daniel Gelon|11||Enchant creature<br>At the beginning of the upkeep of enchanted creature's controller, put a -0/-1 counter on that creature.<br>When enchanted creature dies, that creature's controller chooses a creature that Takklemaggot could enchant. If he or she does, return Takklemaggot to the battlefield under your control attached to that creature. If he or she doesn't, return Takklemaggot to the battlefield under your control as a non-Aura enchantment. It loses "enchant creature" and gains "At the beginning of that player's upkeep, Takklemaggot deals 1 damage to him or her."|0|
2816|Teleport|{U}{U}{U}|Instant|||Cast Teleport only during the declare attackers step.<br>Target creature is unblockable this turn.|Chronicles|Rare|0.0||1.576|Douglas Shuler|12||Cast Teleport only during the declare attackers step.<br>Target creature is unblockable this turn.|0|
2817|The Fallen|{1}{B}{B}{B}|Creature - Zombie|2|3|At the beginning of your upkeep, The Fallen deals 1 damage to each opponent it has dealt damage to this game.|Chronicles|Uncommon|0.0||2.7|Jesper Myrfors|13||At the beginning of your upkeep, The Fallen deals 1 damage to each opponent it has dealt damage to this game.|0|
2819|Transmutation|{1}{B}|Instant|||Switch target creature's power and toughness until end of turn.|Chronicles|Common|0.0||2.267|Susan Van Camp|14||Switch target creature's power and toughness until end of turn.|0|
2820|Wall of Shadows|{1}{B}{B}|Creature - Wall|0|1|Defender <i>(This creature can't attack.)</i><br>Prevent all damage that would be dealt to Wall of Shadows by creatures it's blocking.<br>Wall of Shadows can't be the target of spells that can target only Walls or of abilities that can target only Walls.|Chronicles|Common|0.0||3.194|Pete Venters|15||Defender <i>(This creature can't attack.)</i><br>Prevent all damage that would be dealt to Wall of Shadows by creatures it's blocking.<br>Wall of Shadows can't be the target of spells that can target only Walls or of abilities that can target only Walls.|0|
2821|Wall of Vapor|{3}{U}|Creature - Wall|0|1|Defender <i>(This creature can't attack.)</i><br>Prevent all damage that would be dealt to Wall of Vapor by creatures it's blocking.|Chronicles|Common|0.0||2.054|Richard Thomas|16||Defender <i>(This creature can't attack.)</i><br>Prevent all damage that would be dealt to Wall of Vapor by creatures it's blocking.|0|
