ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
50228|Kami of Twisted Reflection|{1}{U}{U}|Creature - Spirit|2|2|Sacrifice Kami of Twisted Reflection: Return target creature you control to its owner's hand.|Champions of Kamigawa|Common|Mark Tedin|71|Sacrifice Kami of Twisted Reflection: Return target creature you control to its owner's hand.|
50233|Cage of Hands|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack or block.<br>{1}{W}: Return Cage of Hands to its owner's hand.|Champions of Kamigawa|Common|Mark Tedin|3|Enchant creature<br>Enchanted creature can't attack or block.<br>{1}{W}: Return Cage of Hands to its owner's hand.|
50236|Feral Deceiver|{3}{G}|Creature - Spirit|3|2|{1}: Look at the top card of your library.<br>{2}: Reveal the top card of your library. If it's a land card, Feral Deceiver gets +2/+2 and gains trample until end of turn. Activate this ability only once each turn.|Champions of Kamigawa|Common|Arnie Swekel|208|{1}: Look at the top card of your library.<br>{2}: Reveal the top card of your library. If it's a land card, Feral Deceiver gets +2/+2 and gains trample until end of turn. Activate this ability only once each turn.|
50247|Jugan, the Rising Star|{3}{G}{G}{G}|Legendary Creature - Dragon Spirit|5|5|Flying<br>When Jugan, the Rising Star dies, you may distribute five +1/+1 counters among any number of target creatures.|Champions of Kamigawa|Rare|Shishizaru|217|Flying<br>When Jugan, the Rising Star dies, you may distribute five +1/+1 counters among any number of target creatures.|
50253|Marrow-Gnawer|{3}{B}{B}|Legendary Creature - Rat Rogue|2|3|Rat creatures have fear. <i>(They can't be blocked except by artifact creatures and/or black creatures.)</i><br>{T}, Sacrifice a Rat: Put X 1/1 black Rat creature tokens onto the battlefield, where X is the number of Rats you control.|Champions of Kamigawa|Rare|Wayne Reynolds|124|Rat creatures have fear. <i>(They can't be blocked except by artifact creatures and/or black creatures.)</i><br>{T}, Sacrifice a Rat: Put X 1/1 black Rat creature tokens onto the battlefield, where X is the number of Rats you control.|
50254|Petals of Insight|{4}{U}|Sorcery - Arcane|||Look at the top three cards of your library. You may put those cards on the bottom of your library in any order. If you do, return Petals of Insight to its owner's hand. Otherwise, draw three cards.|Champions of Kamigawa|Uncommon|Anthony S. Waters|79|Look at the top three cards of your library. You may put those cards on the bottom of your library in any order. If you do, return Petals of Insight to its owner's hand. Otherwise, draw three cards.|
50256|Otherworldly Journey|{1}{W}|Instant - Arcane|||Exile target creature. At the beginning of the next end step, return that card to the battlefield under its owner's control with a +1/+1 counter on it.|Champions of Kamigawa|Uncommon|Vance Kovacs|37|Exile target creature. At the beginning of the next end step, return that card to the battlefield under its owner's control with a +1/+1 counter on it.|
50261|Orbweaver Kumo|{4}{G}{G}|Creature - Spirit|3|4|Reach <i>(This creature can block creatures with flying.)</i><br>Whenever you cast a Spirit or Arcane spell, Orbweaver Kumo gains forestwalk until end of turn.|Champions of Kamigawa|Uncommon|Dan Scott|231|Reach <i>(This creature can block creatures with flying.)</i><br>Whenever you cast a Spirit or Arcane spell, Orbweaver Kumo gains forestwalk until end of turn.|
50262|Ronin Houndmaster|{2}{R}|Creature - Human Samurai|2|2|Haste<br>Bushido 1 <i>(When this blocks or becomes blocked, it gets +1/+1 until end of turn.)</i>|Champions of Kamigawa|Common|Edward P. Beard, Jr.|184|Haste<br>Bushido 1 <i>(When this blocks or becomes blocked, it gets +1/+1 until end of turn.)</i>|
50266|Pain Kami|{2}{R}|Creature - Spirit|2|2|{X}{R}, Sacrifice Pain Kami: Pain Kami deals X damage to target creature.|Champions of Kamigawa|Uncommon|Tomas Giorello|183|{X}{R}, Sacrifice Pain Kami: Pain Kami deals X damage to target creature.|
