ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
2780|Bronze Horse|{7}|Artifact Creature - Horse|4|4|Trample<br>As long as you control another creature, prevent all damage that would be dealt to Bronze Horse by spells that target it.|Chronicles|Rare|Mark Poole|1|Trample<br>As long as you control another creature, prevent all damage that would be dealt to Bronze Horse by spells that target it.|
2784|Horn of Deafening|{4}|Artifact|||{2}, {T}: Prevent all combat damage that would be dealt by target creature this turn.|Chronicles|Rare|Dan Frazier|2|{2}, {T}: Prevent all combat damage that would be dealt by target creature this turn.|
2790|Runesword|{6}|Artifact|||{3}, {T}: Target attacking creature gets +2/+0 until end of turn. When that creature leaves the battlefield this turn, sacrifice Runesword. If the creature deals damage to a creature this turn, the creature dealt damage can't be regenerated this turn. If a creature dealt damage by the targeted creature would die this turn, exile that creature instead.|Chronicles|Common|Christopher Rush|3|{3}, {T}: Target attacking creature gets +2/+0 until end of turn. When that creature leaves the battlefield this turn, sacrifice Runesword. If the creature deals damage to a creature this turn, the creature dealt damage can't be regenerated this turn. If a creature dealt damage by the targeted creature would die this turn, exile that creature instead.|
2791|Sentinel|{4}|Artifact Creature - Shapeshifter|1|1|{0}: Sentinel's toughness becomes 1 plus the power of target creature blocking or blocked by Sentinel. <i>(This effect lasts indefinitely.)</i>|Chronicles|Rare|Randy Asplund-Faith|4|{0}: Sentinel's toughness becomes 1 plus the power of target creature blocking or blocked by Sentinel. <i>(This effect lasts indefinitely.)</i>|
2795|Voodoo Doll|{6}|Artifact|||At the beginning of your upkeep, put a pin counter on Voodoo Doll.<br>At the beginning of your end step, if Voodoo Doll is untapped, destroy Voodoo Doll and it deals damage to you equal to the number of pin counters on it.<br>{X}{X}, {T}: Voodoo Doll deals damage equal to the number of pin counters on it to target creature or player. X is the number of pin counters on Voodoo Doll.|Chronicles|Rare|Sandra Everingham|5|At the beginning of your upkeep, put a pin counter on Voodoo Doll.<br>At the beginning of your end step, if Voodoo Doll is untapped, destroy Voodoo Doll and it deals damage to you equal to the number of pin counters on it.<br>{X}{X}, {T}: Voodoo Doll deals damage equal to the number of pin counters on it to target creature or player. X is the number of pin counters on Voodoo Doll.|
2803|Enchantment Alteration|{U}|Instant|||Attach target Aura attached to a creature or land to another permanent of that type.|Chronicles|Uncommon|Brian Snoddy|6|Attach target Aura attached to a creature or land to another permanent of that type.|
2806|Flash Flood|{U}|Instant|||Choose one- Destroy target red permanent; or return target Mountain to its owner's hand.|Chronicles|Common|Tom Wänerstrand|7|Choose one- Destroy target red permanent; or return target Mountain to its owner's hand.|
2807|Giant Slug|{1}{B}|Creature - Slug|1|1|{5}: At the beginning of your next upkeep, choose a basic land type. Giant Slug gains landwalk of the chosen type until the end of that turn.|Chronicles|Common|Anson Maddocks|8|{5}: At the beginning of your next upkeep, choose a basic land type. Giant Slug gains landwalk of the chosen type until the end of that turn.|
2811|Puppet Master|{U}{U}{U}|Enchantment - Aura|||Enchant creature<br>When enchanted creature dies, return that card to its owner's hand. If that card is returned to its owner's hand this way, you may pay {U}{U}{U}. If you do, return Puppet Master to its owner's hand.|Chronicles|Uncommon|Sandra Everingham|9|Enchant creature<br>When enchanted creature dies, return that card to its owner's hand. If that card is returned to its owner's hand this way, you may pay {U}{U}{U}. If you do, return Puppet Master to its owner's hand.|
2814|Shimian Night Stalker|{3}{B}{B}|Creature - Nightstalker|4|4|{B}, {T}: All damage that would be dealt to you this turn by target attacking creature is dealt to Shimian Night Stalker instead.|Chronicles|Uncommon|Jesper Myrfors|10|{B}, {T}: All damage that would be dealt to you this turn by target attacking creature is dealt to Shimian Night Stalker instead.|
