ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
338441|Chaos Warp|{2}{R}|Instant|||The owner of target permanent shuffles it into his or her library, then reveals the top card of his or her library. If it's a permanent card, he or she puts it onto the battlefield.|Commander's Arsenal|Rare|Trevor Claxton|1|The owner of target permanent shuffles it into his or her library, then reveals the top card of his or her library. If it's a permanent card, he or she puts it onto the battlefield.|
338442|Command Tower||Land|||{T}: Add to your mana pool one mana of any color in your commander's color identity.|Commander's Arsenal|Common|Adam Paquette|2|{T}: Add to your mana pool one mana of any color in your commander's color identity.|
338453|Decree of Pain|{6}{B}{B}|Sorcery|||Destroy all creatures. They can't be regenerated. Draw a card for each creature destroyed this way.<br>Cycling {3}{B}{B} <i>({3}{B}{B}, Discard this card: Draw a card.)</i><br>When you cycle Decree of Pain, all creatures get -2/-2 until end of turn.|Commander's Arsenal|Rare|Mathias Kollros|3|Destroy all creatures. They can't be regenerated. Draw a card for each creature destroyed this way.<br>Cycling {3}{B}{B} <i>({3}{B}{B}, Discard this card: Draw a card.)</i><br>When you cycle Decree of Pain, all creatures get -2/-2 until end of turn.|
338454|Desertion|{3}{U}{U}|Instant|||Counter target spell. If an artifact or creature spell is countered this way, put that card onto the battlefield under your control instead of into its owner's graveyard.|Commander's Arsenal|Rare|Richard Kane Ferguson|4|Counter target spell. If an artifact or creature spell is countered this way, put that card onto the battlefield under your control instead of into its owner's graveyard.|
338449|Diaochan, Artful Beauty|{3}{R}|Legendary Creature - Human Advisor|1|1|{T}: Destroy target creature of your choice, then destroy target creature of an opponent's choice. Activate this ability only during your turn, before attackers are declared.|Commander's Arsenal|Rare|Miao Aili|5|{T}: Destroy target creature of your choice, then destroy target creature of an opponent's choice. Activate this ability only during your turn, before attackers are declared.|
338446|Dragonlair Spider|{2}{R}{R}{G}{G}|Creature - Spider|5|6|Reach<br>Whenever an opponent casts a spell, put a 1/1 green Insect creature token onto the battlefield.|Commander's Arsenal|Rare|Carl Critchlow|6|Reach<br>Whenever an opponent casts a spell, put a 1/1 green Insect creature token onto the battlefield.|
338451|Duplicant|{6}|Artifact Creature - Shapeshifter|2|4|Imprint- When Duplicant enters the battlefield, you may exile target nontoken creature.<br>As long as the exiled card is a creature card, Duplicant has that card's power, toughness, and creature types. It's still a Shapeshifter.|Commander's Arsenal|Rare|Marco Nelor|7|Imprint- When Duplicant enters the battlefield, you may exile target nontoken creature.<br>As long as the exiled card is a creature card, Duplicant has that card's power, toughness, and creature types. It's still a Shapeshifter.|
338443|Edric, Spymaster of Trest|{1}{G}{U}|Legendary Creature - Elf Rogue|2|2|Whenever a creature deals combat damage to one of your opponents, its controller may draw a card.|Commander's Arsenal|Rare|Volkan Baga|8|Whenever a creature deals combat damage to one of your opponents, its controller may draw a card.|
338444|Kaalia of the Vast|{1}{W}{B}{R}|Legendary Creature - Human Cleric|2|2|Flying<br>Whenever Kaalia of the Vast attacks an opponent, you may put an Angel, Demon, or Dragon creature card from your hand onto the battlefield tapped and attacking that opponent.|Commander's Arsenal|Mythic Rare|Michael Komarck|9|Flying<br>Whenever Kaalia of the Vast attacks an opponent, you may put an Angel, Demon, or Dragon creature card from your hand onto the battlefield tapped and attacking that opponent.|
338450|Loyal Retainers|{2}{W}|Creature - Human Advisor|1|1|Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to the battlefield. Activate this ability only during your turn, before attackers are declared.|Commander's Arsenal|Uncommon|Solomon Au Yeung|10|Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to the battlefield. Activate this ability only during your turn, before attackers are declared.|
