ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
430531|Forest||Basic Land - Forest|||G|Commander Anthology|Land|Steven Belledin|312|G|
430513|Island||Basic Land - Island|||U|Commander Anthology|Land|Cliff Childs|294|U|
430525|Mountain||Basic Land - Mountain|||R|Commander Anthology|Land|John Avon|306|R|
430506|Plains||Basic Land - Plains|||W|Commander Anthology|Land|John Avon|287|W|
430518|Swamp||Basic Land - Swamp|||B|Commander Anthology|Land|Jonas De Ro|299|B|
430309|Acidic Slime|{3}{G}{G}|Creature - Ooze|2|2|Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i><br>When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.|Commander Anthology|Uncommon|Karl Kopinski|90|Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i><br>When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.|
430220|Aerie Mystics|{4}{W}|Creature - Bird Wizard|3|3|Flying<br>{1}{G}{U}: Creatures you control gain shroud until end of turn. <i>(They can't be the targets of spells or abilities.)</i>|Commander Anthology|Uncommon|Mark Zug|1|Flying<br>{1}{G}{U}: Creatures you control gain shroud until end of turn. <i>(They can't be the targets of spells or abilities.)</i>|
430391|Aethermage's Touch|{2}{W}{U}|Instant|||Reveal the top four cards of your library. You may put a creature card from among them onto the battlefield. It gains "At the beginning of your end step, return this creature to its owner's hand." Then put the rest of the cards revealed this way on the bottom of your library in any order.|Commander Anthology|Rare|Randy Gallegos|172|Reveal the top four cards of your library. You may put a creature card from among them onto the battlefield. It gains "At the beginning of your end step, return this creature to its owner's hand." Then put the rest of the cards revealed this way on the bottom of your library in any order.|
430457|Akoum Refuge||Land|||Akoum Refuge enters the battlefield tapped.<br>When Akoum Refuge enters the battlefield, you gain 1 life.<br>{T}: Add {B} or {R} to your mana pool.|Commander Anthology|Uncommon|Fred Fields|238|Akoum Refuge enters the battlefield tapped.<br>When Akoum Refuge enters the battlefield, you gain 1 life.<br>{T}: Add {B} or {R} to your mana pool.|
430294|Akroma, Angel of Fury|{5}{R}{R}{R}|Legendary Creature - Angel|6|6|Akroma, Angel of Fury can't be countered.<br>Flying, trample, protection from white and from blue<br>{R}: Akroma, Angel of Fury gets +1/+0 until end of turn.<br>Morph {3}{R}{R}{R} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|Commander Anthology|Rare|Daren Bader|75|Akroma, Angel of Fury can't be countered.<br>Flying, trample, protection from white and from blue<br>{R}: Akroma, Angel of Fury gets +1/+0 until end of turn.<br>Morph {3}{R}{R}{R} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|
430221|Akroma's Vengeance|{4}{W}{W}|Sorcery|||Destroy all artifacts, creatures, and enchantments.<br>Cycling {3} <i>({3}, Discard this card: Draw a card.)</i>|Commander Anthology|Rare|Greg & Tim Hildebrandt|2|Destroy all artifacts, creatures, and enchantments.<br>Cycling {3} <i>({3}, Discard this card: Draw a card.)</i>|
430264|Altar's Reap|{1}{B}|Instant|||As an additional cost to cast Altar's Reap, sacrifice a creature.<br>Draw two cards.|Commander Anthology|Common|Donato Giancola|45|As an additional cost to cast Altar's Reap, sacrifice a creature.<br>Draw two cards.|
430265|Ambition's Cost|{3}{B}|Sorcery|||You draw three cards and you lose 3 life.|Commander Anthology|Uncommon|Junko Taguchi|46|You draw three cards and you lose 3 life.|
430392|Angel of Despair|{3}{W}{W}{B}{B}|Creature - Angel|5|5|Flying<br>When Angel of Despair enters the battlefield, destroy target permanent.|Commander Anthology|Rare|Todd Lockwood|173|Flying<br>When Angel of Despair enters the battlefield, destroy target permanent.|
430222|Angel of Finality|{3}{W}|Creature - Angel|3|4|Flying<br>When Angel of Finality enters the battlefield, exile all cards from target player's graveyard.|Commander Anthology|Rare|Howard Lyon|3|Flying<br>When Angel of Finality enters the battlefield, exile all cards from target player's graveyard.|
