ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
416883|Absorb Vis|{6}{B}|Sorcery|||Target player loses 4 life and you gain 4 life.<br>Basic landcycling {1}{B} <i>({1}{B}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)</i>|Conspiracy: Take the Crown|Common|Brandon Kitkouski|126|Target player loses 4 life and you gain 4 life.<br>Basic landcycling {1}{B} <i>({1}{B}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)</i>|
416830|Adriana, Captain of the Guard|{3}{R}{W}|Legendary Creature - Human Knight|4|4|Melee <i>(Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked with a creature this combat.)</i><br>Other creatures you control have melee. <i>(If a creature has multiple instances of melee, each triggers separately.)</i>|Conspiracy: Take the Crown|Rare|Chris Rallis|73|Melee <i>(Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked with a creature this combat.)</i><br>Other creatures you control have melee. <i>(If a creature has multiple instances of melee, each triggers separately.)</i>|
416758|Adriana's Valor||Conspiracy|||Hidden agenda <i>(Start the game with this conspiracy face down in the command zone and secretly name a card. You may turn this conspiracy face up any time and reveal the chosen name.)</i><br>Whenever a creature you control with the chosen name attacks, you may pay {W}. If you do, that creature gains indestructible until end of turn. <i>(Damage and effects that say "destroy" don't destroy it.)</i>|Conspiracy: Take the Crown|Common|Lius Lasahido|1|Hidden agenda <i>(Start the game with this conspiracy face down in the command zone and secretly name a card. You may turn this conspiracy face up any time and reveal the chosen name.)</i><br>Whenever a creature you control with the chosen name attacks, you may pay {W}. If you do, that creature gains indestructible until end of turn. <i>(Damage and effects that say "destroy" don't destroy it.)</i>|
416838|Affa Guard Hound|{2}{W}|Creature - Hound|2|2|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>When Affa Guard Hound enters the battlefield, target creature gets +0/+3 until end of turn.|Conspiracy: Take the Crown|Uncommon|Ryan Pancoast|81|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>When Affa Guard Hound enters the battlefield, target creature gets +0/+3 until end of turn.|
416954|Akroan Hoplite|{R}{W}|Creature - Human Soldier|1|2|Whenever Akroan Hoplite attacks, it gets +X/+0 until end of turn, where X is the number of attacking creatures you control.|Conspiracy: Take the Crown|Uncommon|Igor Kieryluk|197|Whenever Akroan Hoplite attacks, it gets +X/+0 until end of turn, where X is the number of attacking creatures you control.|
416884|Altar's Reap|{1}{B}|Instant|||As an additional cost to cast Altar's Reap, sacrifice a creature.<br>Draw two cards.|Conspiracy: Take the Crown|Common|Donato Giancola|127|As an additional cost to cast Altar's Reap, sacrifice a creature.<br>Draw two cards.|
416817|Animus of Predation|{4}{G}|Creature - Avatar|4|4|Draft Animus of Predation face up.<br>As you draft a card, you may remove it from the draft face up. <i>(It isn't in your card pool.)</i><br>If you removed a creature card with flying from the draft with cards named Animus of Predation, Animus of Predation has flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, and vigilance.|Conspiracy: Take the Crown|Uncommon|Richard Wright|60|Draft Animus of Predation face up.<br>As you draft a card, you may remove it from the draft face up. <i>(It isn't in your card pool.)</i><br>If you removed a creature card with flying from the draft with cards named Animus of Predation, Animus of Predation has flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, and vigilance.|
416784|Arcane Savant|{3}{U}{U}|Creature - Human Wizard|3|3|Before you shuffle your deck to start the game, you may reveal this card from your deck and exile an instant or sorcery card you drafted that isn't in your deck.<br>When Arcane Savant enters the battlefield, copy a card you exiled with cards named Arcane Savant. You may cast the copy without paying its mana cost.|Conspiracy: Take the Crown|Rare|Chris Rallis|27|Before you shuffle your deck to start the game, you may reveal this card from your deck and exile an instant or sorcery card you drafted that isn't in your deck.<br>When Arcane Savant enters the battlefield, copy a card you exiled with cards named Arcane Savant. You may cast the copy without paying its mana cost.|
416796|Archdemon of Paliano|{2}{B}{B}|Creature - Demon|5|4|Draft Archdemon of Paliano face up. <br>As long as Archdemon of Paliano is face up during the draft, you can't look at booster packs and must draft cards at random. After you draft three cards this way, turn Archdemon of Paliano face down. <i>(You may look at cards as you draft them.)</i><br>Flying|Conspiracy: Take the Crown|Rare|Evan Shipard|39|Draft Archdemon of Paliano face up. <br>As long as Archdemon of Paliano is face up during the draft, you can't look at booster packs and must draft cards at random. After you draft three cards this way, turn Archdemon of Paliano face down. <i>(You may look at cards as you draft them.)</i><br>Flying|
416955|Ascended Lawmage|{2}{W}{U}|Creature - Vedalken Wizard|3|2|Flying<br>Hexproof <i>(This creature can't be the target of spells or abilities your opponents control.)</i>|Conspiracy: Take the Crown|Uncommon|Ryan Yee|198|Flying<br>Hexproof <i>(This creature can't be the target of spells or abilities your opponents control.)</i>|
416759|Assemble the Rank and Vile||Conspiracy|||Hidden agenda <i>(Start the game with this conspiracy face down in the command zone and secretly name a card. You may turn this conspiracy face up any time and reveal the chosen name.)</i><br>Creatures you control with the chosen name have "When this creature dies, you may pay {B}. If you do, put a 2/2 black Zombie creature token onto the battlefield tapped."|Conspiracy: Take the Crown|Common|Seb McKinnon|2|Hidden agenda <i>(Start the game with this conspiracy face down in the command zone and secretly name a card. You may turn this conspiracy face up any time and reveal the chosen name.)</i><br>Creatures you control with the chosen name have "When this creature dies, you may pay {B}. If you do, put a 2/2 black Zombie creature token onto the battlefield tapped."|
416885|Avatar of Woe|{6}{B}{B}|Creature - Avatar|6|5|If there are ten or more creature cards total in all graveyards, Avatar of Woe costs {6} less to cast.<br>Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i><br>{T}: Destroy target creature. It can't be regenerated.|Conspiracy: Take the Crown|Mythic Rare|rk post|128|If there are ten or more creature cards total in all graveyards, Avatar of Woe costs {6} less to cast.<br>Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i><br>{T}: Destroy target creature. It can't be regenerated.|
416770|Ballot Broker|{2}{W}|Creature - Human Advisor|2|3|While voting, you may vote an additional time. <i>(The votes can be for different choices or for the same choice.)</i>|Conspiracy: Take the Crown|Common|Magali Villeneuve|13|While voting, you may vote an additional time. <i>(The votes can be for different choices or for the same choice.)</i>|
416931|Beast Within|{2}{G}|Instant|||Destroy target permanent. Its controller puts a 3/3 green Beast creature token onto the battlefield.|Conspiracy: Take the Crown|Uncommon|Jesper Ejsing|174|Destroy target permanent. Its controller puts a 3/3 green Beast creature token onto the battlefield.|
416932|Berserk|{G}|Instant|||Cast Berserk only before the combat damage step.<br>Target creature gains trample and gets +X/+0 until end of turn, where X is its power. At the beginning of the next end step, destroy that creature if it attacked this turn.|Conspiracy: Take the Crown|Mythic Rare|Steve Prescott|175|Cast Berserk only before the combat damage step.<br>Target creature gains trample and gets +X/+0 until end of turn, where X is its power. At the beginning of the next end step, destroy that creature if it attacked this turn.|
416806|Besmirch|{1}{R}{R}|Sorcery|||Until end of turn, gain control of target creature and it gains haste. Untap and goad that creature. <i>(Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)</i>|Conspiracy: Take the Crown|Uncommon|Mathias Kollros|49|Until end of turn, gain control of target creature and it gains haste. Untap and goad that creature. <i>(Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)</i>|
416933|Birds of Paradise|{G}|Creature - Bird|0|1|Flying<br>{T}: Add one mana of any color to your mana pool.|Conspiracy: Take the Crown|Rare|Marcelo Vignali|176|Flying<br>{T}: Add one mana of any color to your mana pool.|
416886|Blood-Toll Harpy|{2}{B}|Creature - Harpy|2|1|Flying<br>When Blood-Toll Harpy enters the battlefield, each player loses 1 life.|Conspiracy: Take the Crown|Common|Kev Walker|129|Flying<br>When Blood-Toll Harpy enters the battlefield, each player loses 1 life.|
416859|Bonds of Quicksilver|{3}{U}|Enchantment - Aura|||Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Enchant creature<br>Enchanted creature doesn't untap during its controller's untap step.|Conspiracy: Take the Crown|Common|Steven Belledin|102|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Enchant creature<br>Enchanted creature doesn't untap during its controller's untap step.|
