ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
382205|Academy Elite|{3}{U}|Creature - Human Wizard|0|0|Academy Elite enters the battlefield with X +1/+1 counters on it, where X is the number of instant and sorcery cards in all graveyards.<br>{2}{U}, Remove a +1/+1 counter from Academy Elite: Draw a card, then discard a card.|Magic: The Gathering—Conspiracy|Rare|Volkan Baga|20|Academy Elite enters the battlefield with X +1/+1 counters on it, where X is the number of instant and sorcery cards in all graveyards.<br>{2}{U}, Remove a +1/+1 counter from Academy Elite: Draw a card, then discard a card.|
382206|Advantageous Proclamation||Conspiracy|||<i>(Start the game with this conspiracy face up in the command zone.)</i><br>Your minimum deck size is reduced by five.|Magic: The Gathering—Conspiracy|Uncommon|Izzy|1|<i>(Start the game with this conspiracy face up in the command zone.)</i><br>Your minimum deck size is reduced by five.|
382207|Æther Searcher|{7}|Artifact Creature - Construct|6|4|Reveal Æther Searcher as you draft it. Reveal the next card you draft and note its name. <br>When Æther Searcher enters the battlefield, you may search your hand and/or library for a card with a name noted as you drafted cards named Æther Searcher. You may cast it without paying its mana cost. If you searched your library this way, shuffle it.|Magic: The Gathering—Conspiracy|Rare|James Paick|53|Reveal Æther Searcher as you draft it. Reveal the next card you draft and note its name. <br>When Æther Searcher enters the battlefield, you may search your hand and/or library for a card with a name noted as you drafted cards named Æther Searcher. You may cast it without paying its mana cost. If you searched your library this way, shuffle it.|
382208|Æther Tradewinds|{2}{U}|Instant|||Return target permanent you control and target permanent you don't control to their owners' hands.|Magic: The Gathering—Conspiracy|Common|Kieran Yanner|89|Return target permanent you control and target permanent you don't control to their owners' hands.|
382209|Agent of Acquisitions|{2}|Artifact Creature - Construct|2|1|Draft Agent of Acquisitions face up.<br>Instead of drafting a card from a booster pack, you may draft each card in that booster pack, one at a time. If you do, turn Agent of Acquisitions face down and you can't draft cards for the rest of this draft round. <i>(You may look at booster packs passed to you.)</i>|Magic: The Gathering—Conspiracy|Uncommon|Eytan Zana|54|Draft Agent of Acquisitions face up.<br>Instead of drafting a card from a booster pack, you may draft each card in that booster pack, one at a time. If you do, turn Agent of Acquisitions face down and you can't draft cards for the rest of this draft round. <i>(You may look at booster packs passed to you.)</i>|
382210|Air Servant|{4}{U}|Creature - Elemental|4|3|Flying<br>{2}{U}: Tap target creature with flying.|Magic: The Gathering—Conspiracy|Uncommon|Lars Grant-West|90|Flying<br>{2}{U}: Tap target creature with flying.|
382211|Ajani's Sunstriker|{W}{W}|Creature - Cat Cleric|2|2|Lifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i>|Magic: The Gathering—Conspiracy|Common|Matt Stewart|66|Lifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i>|
382212|Altar of Dementia|{2}|Artifact|||Sacrifice a creature: Target player puts a number of cards equal to the sacrificed creature's power from the top of his or her library into his or her graveyard.|Magic: The Gathering—Conspiracy|Rare|Brom|196|Sacrifice a creature: Target player puts a number of cards equal to the sacrificed creature's power from the top of his or her library into his or her graveyard.|
382213|Altar's Reap|{1}{B}|Instant|||As an additional cost to cast Altar's Reap, sacrifice a creature.<br>Draw two cards.|Magic: The Gathering—Conspiracy|Common|Donato Giancola|112|As an additional cost to cast Altar's Reap, sacrifice a creature.<br>Draw two cards.|
382214|Apex Hawks|{2}{W}|Creature - Bird|2|2|Multikicker {1}{W} <i>(You may pay an additional {1}{W} any number of times as you cast this spell.)</i><br>Flying<br>Apex Hawks enters the battlefield with a +1/+1 counter on it for each time it was kicked.|Magic: The Gathering—Conspiracy|Common|David Palumbo|67|Multikicker {1}{W} <i>(You may pay an additional {1}{W} any number of times as you cast this spell.)</i><br>Flying<br>Apex Hawks enters the battlefield with a +1/+1 counter on it for each time it was kicked.|
382215|Assassinate|{2}{B}|Sorcery|||Destroy target tapped creature.|Magic: The Gathering—Conspiracy|Common|Kev Walker|113|Destroy target tapped creature.|
382216|Backup Plan||Conspiracy|||<i>(Start the game with this conspiracy face up in the command zone.)</i><br>Draw an additional hand of seven cards as the game begins. Before taking mulligans, shuffle all but one of your hands into your library.|Magic: The Gathering—Conspiracy|Rare|David Palumbo|2|<i>(Start the game with this conspiracy face up in the command zone.)</i><br>Draw an additional hand of seven cards as the game begins. Before taking mulligans, shuffle all but one of your hands into your library.|
382217|Barbed Shocker|{3}{R}|Creature - Insect|2|2|Trample, haste<br>Whenever Barbed Shocker deals damage to a player, that player discards all the cards in his or her hand, then draws that many cards.|Magic: The Gathering—Conspiracy|Uncommon|Tony Szczudlo|136|Trample, haste<br>Whenever Barbed Shocker deals damage to a player, that player discards all the cards in his or her hand, then draws that many cards.|
382218|Basandra, Battle Seraph|{3}{R}{W}|Legendary Creature - Angel|4|4|Flying<br>Players can't cast spells during combat.<br>{R}: Target creature attacks this turn if able.|Magic: The Gathering—Conspiracy|Rare|Terese Nielsen|184|Flying<br>Players can't cast spells during combat.<br>{R}: Target creature attacks this turn if able.|
382219|Bite of the Black Rose|{3}{B}|Sorcery|||Will of the council- Starting with you, each player votes for sickness or psychosis. If sickness gets more votes, creatures your opponents control get -2/-2 until end of turn. If psychosis gets more votes or the vote is tied, each opponent discards two cards.|Magic: The Gathering—Conspiracy|Uncommon|Franz Vohwinkel|26|Will of the council- Starting with you, each player votes for sickness or psychosis. If sickness gets more votes, creatures your opponents control get -2/-2 until end of turn. If psychosis gets more votes or the vote is tied, each opponent discards two cards.|
382220|Boldwyr Intimidator|{5}{R}{R}|Creature - Giant Warrior|5|5|Cowards can't block Warriors.<br>{R}: Target creature becomes a Coward until end of turn.<br>{2}{R}: Target creature becomes a Warrior until end of turn.|Magic: The Gathering—Conspiracy|Uncommon|Esad Ribic|137|Cowards can't block Warriors.<br>{R}: Target creature becomes a Coward until end of turn.<br>{2}{R}: Target creature becomes a Warrior until end of turn.|
382221|Brago, King Eternal|{2}{W}{U}|Legendary Creature - Spirit|2|4|Flying<br>When Brago, King Eternal deals combat damage to a player, exile any number of target nonland permanents you control, then return those cards to the battlefield under their owner's control.|Magic: The Gathering—Conspiracy|Rare|Karla Ortiz|41|Flying<br>When Brago, King Eternal deals combat damage to a player, exile any number of target nonland permanents you control, then return those cards to the battlefield under their owner's control.|
382222|Brago's Favor||Conspiracy|||Hidden agenda <i>(Start the game with this conspiracy face down in the command zone and secretly name a card. You may turn this conspiracy face up any time and reveal the chosen name.)</i><br>Spells with the chosen name you cast cost {1} less to cast.|Magic: The Gathering—Conspiracy|Common|Karla Ortiz|3|Hidden agenda <i>(Start the game with this conspiracy face down in the command zone and secretly name a card. You may turn this conspiracy face up any time and reveal the chosen name.)</i><br>Spells with the chosen name you cast cost {1} less to cast.|
382223|Brago's Representative|{2}{W}|Creature - Human Advisor|1|4|While voting, you get an additional vote. <i>(The votes can be for different choices or for the same choice.)</i>|Magic: The Gathering—Conspiracy|Common|Anthony Palumbo|14|While voting, you get an additional vote. <i>(The votes can be for different choices or for the same choice.)</i>|
382224|Brainstorm|{U}|Instant|||Draw three cards, then put two cards from your hand on top of your library in any order.|Magic: The Gathering—Conspiracy|Common|Willian Murai|91|Draw three cards, then put two cards from your hand on top of your library in any order.|
382225|Breakthrough|{X}{U}|Sorcery|||Draw four cards, then choose X cards in your hand and discard the rest.|Magic: The Gathering—Conspiracy|Uncommon|Raymond Swanland|92|Draw four cards, then choose X cards in your hand and discard the rest.|
382226|Brimstone Volley|{2}{R}|Instant|||Brimstone Volley deals 3 damage to target creature or player.<br>Morbid- Brimstone Volley deals 5 damage to that creature or player instead if a creature died this turn.|Magic: The Gathering—Conspiracy|Common|Eytan Zana|138|Brimstone Volley deals 3 damage to target creature or player.<br>Morbid- Brimstone Volley deals 5 damage to that creature or player instead if a creature died this turn.|
382227|Canal Dredger|{4}|Artifact Creature - Construct|1|5|Draft Canal Dredger face up.<br>Each player passes the last card from each booster pack to a player who drafted a card named Canal Dredger.<br>{T}: Put target card from your graveyard on the bottom of your library.|Magic: The Gathering—Conspiracy|Rare|John Avon|55|Draft Canal Dredger face up.<br>Each player passes the last card from each booster pack to a player who drafted a card named Canal Dredger.<br>{T}: Put target card from your graveyard on the bottom of your library.|
382228|Charging Rhino|{3}{G}{G}|Creature - Rhino|4|4|Charging Rhino can't be blocked by more than one creature.|Magic: The Gathering—Conspiracy|Common|Daren Bader|159|Charging Rhino can't be blocked by more than one creature.|
382229|Chartooth Cougar|{5}{R}|Creature - Cat Beast|4|4|{R}: Chartooth Cougar gets +1/+0 until end of turn.<br>Mountaincycling {2} <i>({2}, Discard this card: Search your library for a Mountain card, reveal it, and put it into your hand. Then shuffle your library.)</i>|Magic: The Gathering—Conspiracy|Common|Chase Stone|139|{R}: Chartooth Cougar gets +1/+0 until end of turn.<br>Mountaincycling {2} <i>({2}, Discard this card: Search your library for a Mountain card, reveal it, and put it into your hand. Then shuffle your library.)</i>|
382230|Cinder Wall|{R}|Creature - Wall|3|3|Defender<br>When Cinder Wall blocks, destroy it at end of combat.|Magic: The Gathering—Conspiracy|Common|Anthony S. Waters|140|Defender<br>When Cinder Wall blocks, destroy it at end of combat.|
382231|Coercive Portal|{4}|Artifact|||Will of the council- At the beginning of your upkeep, starting with you, each player votes for carnage or homage. If carnage gets more votes, sacrifice Coercive Portal and destroy all nonland permanents. If homage gets more votes or the vote is tied, draw a card.|Magic: The Gathering—Conspiracy|Mythic Rare|Yeong-Hao Han|56|Will of the council- At the beginning of your upkeep, starting with you, each player votes for carnage or homage. If carnage gets more votes, sacrifice Coercive Portal and destroy all nonland permanents. If homage gets more votes or the vote is tied, draw a card.|
382232|Cogwork Grinder|{6}|Artifact Creature - Construct|0|0|Draft Cogwork Grinder face up.<br>As you draft a card, you may remove it from the draft face down. <i>(Those cards aren't in your card pool.)</i><br>Cogwork Grinder enters the battlefield with X +1/+1 counters on it, where X is the number of cards you removed from the draft with cards named Cogwork Grinder.|Magic: The Gathering—Conspiracy|Rare|Jasper Sandner|57|Draft Cogwork Grinder face up.<br>As you draft a card, you may remove it from the draft face down. <i>(Those cards aren't in your card pool.)</i><br>Cogwork Grinder enters the battlefield with X +1/+1 counters on it, where X is the number of cards you removed from the draft with cards named Cogwork Grinder.|
382233|Cogwork Librarian|{4}|Artifact Creature - Construct|3|3|Draft Cogwork Librarian face up.<br>As you draft a card, you may draft an additional card from that booster pack. If you do, put Cogwork Librarian into that booster pack.|Magic: The Gathering—Conspiracy|Common|Dan Scott|58|Draft Cogwork Librarian face up.<br>As you draft a card, you may draft an additional card from that booster pack. If you do, put Cogwork Librarian into that booster pack.|
