ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
179513|Absorb Vis|{6}{B}|Sorcery|||Target player loses 4 life and you gain 4 life.<br>Basic landcycling {1}{B} <i>({1}{B}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)</i>|Conflux|Common|Brandon Kitkouski|40|Target player loses 4 life and you gain 4 life.<br>Basic landcycling {1}{B} <i>({1}{B}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)</i>|
153946|Aerie Mystics|{4}{W}|Creature - Bird Wizard|3|3|Flying<br>{1}{G}{U}: Creatures you control gain shroud until end of turn.|Conflux|Uncommon|Mark Zug|1|Flying<br>{1}{G}{U}: Creatures you control gain shroud until end of turn.|
189271|Ancient Ziggurat||Land|||{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a creature spell.|Conflux|Uncommon|John Avon|141|{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a creature spell.|
183068|Apocalypse Hydra|{X}{R}{G}|Creature - Hydra|0|0|Apocalypse Hydra enters the battlefield with X +1/+1 counters on it. If X is 5 or more, it enters the battlefield with an additional X +1/+1 counters on it.<br>{1}{R}, Remove a +1/+1 counter from Apocalypse Hydra: Apocalypse Hydra deals 1 damage to target creature or player.|Conflux|Mythic Rare|Jason Chan|98|Apocalypse Hydra enters the battlefield with X +1/+1 counters on it. If X is 5 or more, it enters the battlefield with an additional X +1/+1 counters on it.<br>{1}{R}, Remove a +1/+1 counter from Apocalypse Hydra: Apocalypse Hydra deals 1 damage to target creature or player.|
137936|Armillary Sphere|{2}|Artifact|||{2}, {T}, Sacrifice Armillary Sphere: Search your library for up to two basic land cards, reveal them, and put them into your hand. Then shuffle your library.|Conflux|Common|Franz Vohwinkel|134|{2}, {T}, Sacrifice Armillary Sphere: Search your library for up to two basic land cards, reveal them, and put them into your hand. Then shuffle your library.|
150826|Asha's Favor|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has flying, first strike, and vigilance.|Conflux|Common|Donato Giancola|2|Enchant creature<br>Enchanted creature has flying, first strike, and vigilance.|
184992|Aven Squire|{1}{W}|Creature - Bird Soldier|1|1|Flying<br>Exalted <i>(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)</i>|Conflux|Common|David Palumbo|3|Flying<br>Exalted <i>(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)</i>|
180278|Aven Trailblazer|{2}{W}|Creature - Bird Soldier|||Flying<br>Domain- Aven Trailblazer's toughness is equal to the number of basic land types among lands you control.|Conflux|Common|Chris Rahn|4|Flying<br>Domain- Aven Trailblazer's toughness is equal to the number of basic land types among lands you control.|
186613|Banefire|{X}{R}|Sorcery|||Banefire deals X damage to target creature or player.<br>If X is 5 or more, Banefire can't be countered by spells or abilities and the damage can't be prevented.|Conflux|Rare|Raymond Swanland|58|Banefire deals X damage to target creature or player.<br>If X is 5 or more, Banefire can't be countered by spells or abilities and the damage can't be prevented.|
177931|Beacon Behemoth|{3}{G}{G}|Creature - Beast|5|3|{1}: Target creature with power 5 or greater gains vigilance until end of turn.|Conflux|Common|Jesper Ejsing|78|{1}: Target creature with power 5 or greater gains vigilance until end of turn.|
180267|Blood Tyrant|{4}{U}{B}{R}|Creature - Vampire|5|5|Flying, trample<br>At the beginning of your upkeep, each player loses 1 life. Put a +1/+1 counter on Blood Tyrant for each 1 life lost this way.<br>Whenever a player loses the game, put five +1/+1 counters on Blood Tyrant.|Conflux|Rare|Karl Kopinski|99|Flying, trample<br>At the beginning of your upkeep, each player loses 1 life. Put a +1/+1 counter on Blood Tyrant for each 1 life lost this way.<br>Whenever a player loses the game, put five +1/+1 counters on Blood Tyrant.|
159610|Bloodhall Ooze|{R}|Creature - Ooze|1|1|At the beginning of your upkeep, if you control a black permanent, you may put a +1/+1 counter on Bloodhall Ooze.<br>At the beginning of your upkeep, if you control a green permanent, you may put a +1/+1 counter on Bloodhall Ooze.|Conflux|Rare|Jaime Jones|59|At the beginning of your upkeep, if you control a black permanent, you may put a +1/+1 counter on Bloodhall Ooze.<br>At the beginning of your upkeep, if you control a green permanent, you may put a +1/+1 counter on Bloodhall Ooze.|
189270|Bone Saw|{0}|Artifact - Equipment|||Equipped creature gets +1/+0.<br>Equip {1} <i>({1}: Attach to target creature you control. Equip only as a sorcery.)</i>|Conflux|Common|Pete Venters|135|Equipped creature gets +1/+0.<br>Equip {1} <i>({1}: Attach to target creature you control. Equip only as a sorcery.)</i>|
