ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
113542|Lovisa Coldeyes|{3}{R}{R}|Legendary Creature - Human Barbarian|3|3|Warrior, Berserker, and/or other Barbarian creatures get +2/+2 and have haste.|Coldsnap|Rare|Brian Snoddy|90|Warrior, Berserker, and/or other Barbarian creatures get +2/+2 and have haste.|
121121|Phyrexian Etchings|{B}{B}{B}|Enchantment|||Cumulative upkeep {B} <i>(At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)</i><br>At the beginning of your end step, draw a card for each age counter on Phyrexian Etchings.<br>When Phyrexian Etchings is put into a graveyard from the battlefield, you lose 2 life for each age counter on it.|Coldsnap|Rare|Ron Spears|67|Cumulative upkeep {B} <i>(At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)</i><br>At the beginning of your end step, draw a card for each age counter on Phyrexian Etchings.<br>When Phyrexian Etchings is put into a graveyard from the battlefield, you lose 2 life for each age counter on it.|
121123|Coldsteel Heart|{2}|Snow Artifact|||Coldsteel Heart enters the battlefield tapped.<br>As Coldsteel Heart enters the battlefield, choose a color.<br>{T}: Add one mana of the chosen color to your mana pool.|Coldsnap|Uncommon|Mark Romanoski|136|Coldsteel Heart enters the battlefield tapped.<br>As Coldsteel Heart enters the battlefield, choose a color.<br>{T}: Add one mana of the chosen color to your mana pool.|
121125|Tresserhorn Sinks||Snow Land|||Tresserhorn Sinks enters the battlefield tapped.<br>{T}: Add {B} or {R} to your mana pool.|Coldsnap|Uncommon|Darrell Riche|150|Tresserhorn Sinks enters the battlefield tapped.<br>{T}: Add {B} or {R} to your mana pool.|
121126|Garza Zol, Plague Queen|{4}{U}{B}{R}|Legendary Creature - Vampire|5|5|Flying, haste<br>Whenever a creature dealt damage by Garza Zol, Plague Queen this turn dies, put a +1/+1 counter on Garza Zol.<br>Whenever Garza Zol deals combat damage to a player, you may draw a card.|Coldsnap|Rare|Darrell Riche|129|Flying, haste<br>Whenever a creature dealt damage by Garza Zol, Plague Queen this turn dies, put a +1/+1 counter on Garza Zol.<br>Whenever Garza Zol deals combat damage to a player, you may draw a card.|
121127|Phyrexian Ironfoot|{3}|Snow Artifact Creature - Construct|3|4|Phyrexian Ironfoot doesn't untap during your untap step.<br>{1}{snow}: Untap Phyrexian Ironfoot. <i>({snow} can be paid with one mana from a snow permanent.)</i>|Coldsnap|Uncommon|Stephan Martiniere|139|Phyrexian Ironfoot doesn't untap during your untap step.<br>{1}{snow}: Untap Phyrexian Ironfoot. <i>({snow} can be paid with one mana from a snow permanent.)</i>|
121129|Void Maw|{4}{B}{B}|Creature - Horror|4|5|Trample<br>If another creature would die, exile it instead.<br>Put a card exiled with Void Maw into its owner's graveyard: Void Maw gets +2/+2 until end of turn.|Coldsnap|Rare|E. M. Gist|74|Trample<br>If another creature would die, exile it instead.<br>Put a card exiled with Void Maw into its owner's graveyard: Void Maw gets +2/+2 until end of turn.|
121130|Snow-Covered Island||Basic Snow Land - Island|||U|Coldsnap|Common|Franz Vohwinkel|152|U|
121131|Martyr of Bones|{B}|Creature - Human Wizard|1|1|{1}, Reveal X black cards from your hand, Sacrifice Martyr of Bones: Exile up to X target cards from a single graveyard.|Coldsnap|Common|E. M. Gist|65|{1}, Reveal X black cards from your hand, Sacrifice Martyr of Bones: Exile up to X target cards from a single graveyard.|
121132|Frost Raptor|{2}{U}|Snow Creature - Bird|2|2|Flying<br>{snow}{snow}: Frost Raptor gains shroud until end of turn. <i>({snow} can be paid with one mana from a snow permanent.)</i>|Coldsnap|Common|Lars Grant-West|34|Flying<br>{snow}{snow}: Frost Raptor gains shroud until end of turn. <i>({snow} can be paid with one mana from a snow permanent.)</i>|
