ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
189211|Æthersnipe|{5}{U}|Creature - Elemental|4|4|When Æthersnipe enters the battlefield, return target nonland permanent to its owner's hand.<br>Evoke {1}{U}{U} <i>(You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)</i>|Duel Decks: Jace vs. Chandra|Common|Zoltan Boros & Gabor Szikszai|17|When Æthersnipe enters the battlefield, return target nonland permanent to its owner's hand.<br>Evoke {1}{U}{U} <i>(You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)</i>|
189223|Air Elemental|{3}{U}{U}|Creature - Elemental|4|4|Flying|Duel Decks: Jace vs. Chandra|Uncommon|Kev Walker|13|Flying|
189244|Ancestral Vision||Sorcery|||Suspend 4—{U} <i>(Rather than cast this card from your hand, pay {U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)</i><br>Target player draws three cards.|Duel Decks: Jace vs. Chandra|Rare|Mark Poole|21|Suspend 4—{U} <i>(Rather than cast this card from your hand, pay {U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)</i><br>Target player draws three cards.|
189224|Bottle Gnomes|{3}|Artifact Creature - Gnome|1|3|Sacrifice Bottle Gnomes: You gain 3 life.|Duel Decks: Jace vs. Chandra|Uncommon|Ben Thompson|7|Sacrifice Bottle Gnomes: You gain 3 life.|
189245|Brine Elemental|{4}{U}{U}|Creature - Elemental|5|4|Morph {5}{U}{U} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br>When Brine Elemental is turned face up, each opponent skips his or her next untap step.|Duel Decks: Jace vs. Chandra|Uncommon|Stephen Tappin|18|Morph {5}{U}{U} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br>When Brine Elemental is turned face up, each opponent skips his or her next untap step.|
185815|Chandra Nalaar|{3}{R}{R}|Planeswalker - Chandra||6|+1: Chandra Nalaar deals 1 damage to target player.<br>-X: Chandra Nalaar deals X damage to target creature.<br>-8: Chandra Nalaar deals 10 damage to target player and each creature he or she controls.|Duel Decks: Jace vs. Chandra|Mythic Rare|Kev Walker|34|+1: Chandra Nalaar deals 1 damage to target player.<br>-X: Chandra Nalaar deals X damage to target creature.<br>-8: Chandra Nalaar deals 10 damage to target player and each creature he or she controls.|
189235|Chartooth Cougar|{5}{R}|Creature - Cat Beast|4|4|{R}: Chartooth Cougar gets +1/+0 until end of turn.<br>Mountaincycling {2} <i>({2}, Discard this card: Search your library for a Mountain card, reveal it, and put it into your hand. Then shuffle your library.)</i>|Duel Decks: Jace vs. Chandra|Common|Tony Szczudlo|47|{R}: Chartooth Cougar gets +1/+0 until end of turn.<br>Mountaincycling {2} <i>({2}, Discard this card: Search your library for a Mountain card, reveal it, and put it into your hand. Then shuffle your library.)</i>|
189237|Condescend|{X}{U}|Instant|||Counter target spell unless its controller pays {X}.<br>Scry 2. <i>(To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>|Duel Decks: Jace vs. Chandra|Common|Ron Spears|28|Counter target spell unless its controller pays {X}.<br>Scry 2. <i>(To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>|
189225|Cone of Flame|{3}{R}{R}|Sorcery|||Cone of Flame deals 1 damage to target creature or player, 2 damage to another target creature or player, and 3 damage to a third target creature or player.|Duel Decks: Jace vs. Chandra|Uncommon|Chippy|54|Cone of Flame deals 1 damage to target creature or player, 2 damage to another target creature or player, and 3 damage to a third target creature or player.|
185820|Counterspell|{U}{U}|Instant|||Counter target spell.|Duel Decks: Jace vs. Chandra|Common|Jason Chan|24|Counter target spell.|
189255|Daze|{1}{U}|Instant|||You may return an Island you control to its owner's hand rather than pay Daze's mana cost.<br><br>Counter target spell unless its controller pays {1}.|Duel Decks: Jace vs. Chandra|Common|Matthew D. Wilson|23|You may return an Island you control to its owner's hand rather than pay Daze's mana cost.<br><br>Counter target spell unless its controller pays {1}.|
189229|Demonfire|{X}{R}|Sorcery|||Demonfire deals X damage to target creature or player. If a creature dealt damage this way would die this turn, exile it instead.<br>Hellbent- If you have no cards in hand, Demonfire can't be countered by spells or abilities and the damage can't be prevented.|Duel Decks: Jace vs. Chandra|Rare|Greg Staples|57|Demonfire deals X damage to target creature or player. If a creature dealt damage this way would die this turn, exile it instead.<br>Hellbent- If you have no cards in hand, Demonfire can't be countered by spells or abilities and the damage can't be prevented.|
190199|Elemental Shaman||Creature- Elemental Shaman|3|1||Duel Decks: Jace vs. Chandra|Common|Jim Pavelec|1||
189246|Errant Ephemeron|{6}{U}|Creature - Illusion|4|4|Flying<br>Suspend 4—{1}{U} <i>(Rather than cast this card from your hand, you may pay {1}{U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)</i>|Duel Decks: Jace vs. Chandra|Common|Luca Zontini|20|Flying<br>Suspend 4—{1}{U} <i>(Rather than cast this card from your hand, you may pay {1}{U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)</i>|
185819|Fact or Fiction|{3}{U}|Instant|||Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.|Duel Decks: Jace vs. Chandra|Uncommon|Matt Cavotta|26|Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.|
189247|Fathom Seer|{1}{U}|Creature - Illusion|1|3|Morph—Return two Islands you control to their owner's hand. <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br>When Fathom Seer is turned face up, draw two cards.|Duel Decks: Jace vs. Chandra|Common|Ralph Horsley|3|Morph—Return two Islands you control to their owner's hand. <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br>When Fathom Seer is turned face up, draw two cards.|
189231|Fireball|{X}{R}|Sorcery|||Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.<br>Fireball costs {1} more to cast for each target beyond the first.|Duel Decks: Jace vs. Chandra|Uncommon|Dave Dorman|56|Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.<br>Fireball costs {1} more to cast for each target beyond the first.|
189239|Fireblast|{4}{R}{R}|Instant|||You may sacrifice two Mountains rather than pay Fireblast's mana cost.<br>Fireblast deals 4 damage to target creature or player.|Duel Decks: Jace vs. Chandra|Common|Michael Danza|55|You may sacrifice two Mountains rather than pay Fireblast's mana cost.<br>Fireblast deals 4 damage to target creature or player.|
189236|Firebolt|{R}|Sorcery|||Firebolt deals 2 damage to target creature or player.<br>Flashback {4}{R} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Duel Decks: Jace vs. Chandra|Common|Ron Spencer|49|Firebolt deals 2 damage to target creature or player.<br>Flashback {4}{R} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
189219|Fireslinger|{1}{R}|Creature - Human Wizard|1|1|{T}: Fireslinger deals 1 damage to target creature or player and 1 damage to you.|Duel Decks: Jace vs. Chandra|Common|Jeff Reitz|36|{T}: Fireslinger deals 1 damage to target creature or player and 1 damage to you.|
189220|Flame Javelin|{2/R}{2/R}{2/R}|Instant|||<i>({2/R} can be paid with any two mana or with {R}. This card's converted mana cost is 6.)</i><br>Flame Javelin deals 4 damage to target creature or player.|Duel Decks: Jace vs. Chandra|Uncommon|Trevor Hairsine|53|<i>({2/R} can be paid with any two mana or with {R}. This card's converted mana cost is 6.)</i><br>Flame Javelin deals 4 damage to target creature or player.|
189212|Flamekin Brawler|{R}|Creature - Elemental Warrior|0|2|{R}: Flamekin Brawler gets +1/+0 until end of turn.|Duel Decks: Jace vs. Chandra|Common|Daren Bader|35|{R}: Flamekin Brawler gets +1/+0 until end of turn.|
189234|Flametongue Kavu|{3}{R}|Creature - Kavu|4|2|When Flametongue Kavu enters the battlefield, it deals 4 damage to target creature.|Duel Decks: Jace vs. Chandra|Uncommon|Pete Venters|42|When Flametongue Kavu enters the battlefield, it deals 4 damage to target creature.|
189226|Flamewave Invoker|{2}{R}|Creature - Goblin Mutant|2|2|{7}{R}: Flamewave Invoker deals 5 damage to target player.|Duel Decks: Jace vs. Chandra|Uncommon|Dave Dorman|40|{7}{R}: Flamewave Invoker deals 5 damage to target player.|
189248|Fledgling Mawcor|{3}{U}|Creature - Beast|2|2|Flying<br>{T}: Fledgling Mawcor deals 1 damage to target creature or player.<br>Morph {U}{U} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|Duel Decks: Jace vs. Chandra|Uncommon|Kev Walker|10|Flying<br>{T}: Fledgling Mawcor deals 1 damage to target creature or player.<br>Morph {U}{U} <i>(You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|
189227|Furnace Whelp|{2}{R}{R}|Creature - Dragon|2|2|Flying<br>{R}: Furnace Whelp gets +1/+0 until end of turn.|Duel Decks: Jace vs. Chandra|Uncommon|Matt Cavotta|43|Flying<br>{R}: Furnace Whelp gets +1/+0 until end of turn.|
