ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
394043|Plains||Basic Land - Plains|||W|Duel Decks Anthology, Divine vs. Demonic|Land|Rob Alexander|27|W|
394059|Swamp||Basic Land - Swamp|||B|Duel Decks Anthology, Divine vs. Demonic|Land|Mark Tedin|60|B|
394003|Abyssal Gatekeeper|{1}{B}|Creature - Horror|1|1|When Abyssal Gatekeeper dies, each player sacrifices a creature.|Duel Decks Anthology, Divine vs. Demonic|Common|Mark Tedin|31|When Abyssal Gatekeeper dies, each player sacrifices a creature.|
394004|Abyssal Specter|{2}{B}{B}|Creature - Specter|2|3|Flying<br>Whenever Abyssal Specter deals damage to a player, that player discards a card.|Duel Decks Anthology, Divine vs. Demonic|Uncommon|Michael Sutfin|40|Flying<br>Whenever Abyssal Specter deals damage to a player, that player discards a card.|
394005|Akroma, Angel of Wrath|{5}{W}{W}{W}|Legendary Creature - Angel|6|6|Flying, first strike, vigilance, trample, haste, protection from black and from red|Duel Decks Anthology, Divine vs. Demonic|Mythic Rare|Chippy|1|Flying, first strike, vigilance, trample, haste, protection from black and from red|
394006|Angel of Mercy|{4}{W}|Creature - Angel|3|3|Flying<br>When Angel of Mercy enters the battlefield, you gain 3 life.|Duel Decks Anthology, Divine vs. Demonic|Uncommon|Volkan Baga|9|Flying<br>When Angel of Mercy enters the battlefield, you gain 3 life.|
394008|Angelic Benediction|{3}{W}|Enchantment|||Exalted <i>(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)</i><br>Whenever a creature you control attacks alone, you may tap target creature.|Duel Decks Anthology, Divine vs. Demonic|Uncommon|Michael Komarck|19|Exalted <i>(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)</i><br>Whenever a creature you control attacks alone, you may tap target creature.|
394009|Angelic Page|{1}{W}|Creature - Angel Spirit|1|1|Flying<br>{T}: Target attacking or blocking creature gets +1/+1 until end of turn.|Duel Decks Anthology, Divine vs. Demonic|Common|Marc Fishman|3|Flying<br>{T}: Target attacking or blocking creature gets +1/+1 until end of turn.|
394010|Angelic Protector|{3}{W}|Creature - Angel|2|2|Flying<br>Whenever Angelic Protector becomes the target of a spell or ability, Angelic Protector gets +0/+3 until end of turn.|Duel Decks Anthology, Divine vs. Demonic|Uncommon|DiTerlizzi|6|Flying<br>Whenever Angelic Protector becomes the target of a spell or ability, Angelic Protector gets +0/+3 until end of turn.|
394007|Angel's Feather|{2}|Artifact|||Whenever a player casts a white spell, you may gain 1 life.|Duel Decks Anthology, Divine vs. Demonic|Uncommon|Alan Pollack|23|Whenever a player casts a white spell, you may gain 1 life.|
394011|Angelsong|{1}{W}|Instant|||Prevent all combat damage that would be dealt this turn.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|Duel Decks Anthology, Divine vs. Demonic|Common|Sal Villagran|15|Prevent all combat damage that would be dealt this turn.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|
394012|Barren Moor||Land|||Barren Moor enters the battlefield tapped.<br>{T}: Add {B} to your mana pool.<br>Cycling {B} <i>({B}, Discard this card: Draw a card.)</i>|Duel Decks Anthology, Divine vs. Demonic|Common|Heather Hudson|58|Barren Moor enters the battlefield tapped.<br>{T}: Add {B} to your mana pool.<br>Cycling {B} <i>({B}, Discard this card: Draw a card.)</i>|
394013|Barter in Blood|{2}{B}{B}|Sorcery|||Each player sacrifices two creatures.|Duel Decks Anthology, Divine vs. Demonic|Uncommon|Parente|52|Each player sacrifices two creatures.|
394014|Breeding Pit|{3}{B}|Enchantment|||At the beginning of your upkeep, sacrifice Breeding Pit unless you pay {B}{B}.<br>At the beginning of your end step, put a 0/1 black Thrull creature token onto the battlefield.|Duel Decks Anthology, Divine vs. Demonic|Uncommon|Adrian Smith|53|At the beginning of your upkeep, sacrifice Breeding Pit unless you pay {B}{B}.<br>At the beginning of your end step, put a 0/1 black Thrull creature token onto the battlefield.|
394015|Cackling Imp|{2}{B}{B}|Creature - Imp|2|2|Flying<br>{T}: Target player loses 1 life.|Duel Decks Anthology, Divine vs. Demonic|Common|Matt Thompson|41|Flying<br>{T}: Target player loses 1 life.|
394016|Charging Paladin|{2}{W}|Creature - Human Knight|2|2|Whenever Charging Paladin attacks, it gets +0/+3 until end of turn.|Duel Decks Anthology, Divine vs. Demonic|Common|Ciruelo|4|Whenever Charging Paladin attacks, it gets +0/+3 until end of turn.|
394017|Consume Spirit|{X}{1}{B}|Sorcery|||Spend only black mana on X.<br>Consume Spirit deals X damage to target creature or player and you gain X life.|Duel Decks Anthology, Divine vs. Demonic|Uncommon|Matt Thompson|56|Spend only black mana on X.<br>Consume Spirit deals X damage to target creature or player and you gain X life.|
394018|Corrupt|{5}{B}|Sorcery|||Corrupt deals damage equal to the number of Swamps you control to target creature or player. You gain life equal to the damage dealt this way.|Duel Decks Anthology, Divine vs. Demonic|Uncommon|Dave Allsop|55|Corrupt deals damage equal to the number of Swamps you control to target creature or player. You gain life equal to the damage dealt this way.|
394019|Cruel Edict|{1}{B}|Sorcery|||Target opponent sacrifices a creature.|Duel Decks Anthology, Divine vs. Demonic|Uncommon|Michael Sutfin|48|Target opponent sacrifices a creature.|
394020|Daggerclaw Imp|{2}{B}|Creature - Imp|3|1|Flying<br>Daggerclaw Imp can't block.|Duel Decks Anthology, Divine vs. Demonic|Uncommon|Pete Venters|33|Flying<br>Daggerclaw Imp can't block.|
394021|Dark Banishing|{2}{B}|Instant|||Destroy target nonblack creature. It can't be regenerated.|Duel Decks Anthology, Divine vs. Demonic|Common|Dermot Power|50|Destroy target nonblack creature. It can't be regenerated.|
394022|Dark Ritual|{B}|Instant|||Add {B}{B}{B} to your mana pool.|Duel Decks Anthology, Divine vs. Demonic|Common|Clint Langley|45|Add {B}{B}{B} to your mana pool.|
394025|Demonic Tutor|{1}{B}|Sorcery|||Search your library for a card and put that card into your hand. Then shuffle your library.|Duel Decks Anthology, Divine vs. Demonic|Uncommon|Scott Chou|49|Search your library for a card and put that card into your hand. Then shuffle your library.|
394023|Demon's Horn|{2}|Artifact|||Whenever a player casts a black spell, you may gain 1 life.|Duel Decks Anthology, Divine vs. Demonic|Uncommon|Alan Pollack|57|Whenever a player casts a black spell, you may gain 1 life.|
394024|Demon's Jester|{3}{B}|Creature - Imp|2|2|Flying<br>Hellbent- Demon's Jester gets +2/+1 as long as you have no cards in hand.|Duel Decks Anthology, Divine vs. Demonic|Common|Pete Venters|38|Flying<br>Hellbent- Demon's Jester gets +2/+1 as long as you have no cards in hand.|
394026|Duress|{B}|Sorcery|||Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card.|Duel Decks Anthology, Divine vs. Demonic|Common|Steven Belledin|46|Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card.|
394027|Dusk Imp|{2}{B}|Creature - Imp|2|1|Flying|Duel Decks Anthology, Divine vs. Demonic|Common|Pete Venters|34|Flying|
394028|Faith's Fetters|{3}{W}|Enchantment - Aura|||Enchant permanent<br>When Faith's Fetters enters the battlefield, you gain 4 life.<br>Enchanted permanent can't attack or block, and its activated abilities can't be activated unless they're mana abilities.|Duel Decks Anthology, Divine vs. Demonic|Common|Brian Despain|20|Enchant permanent<br>When Faith's Fetters enters the battlefield, you gain 4 life.<br>Enchanted permanent can't attack or block, and its activated abilities can't be activated unless they're mana abilities.|
394029|Fallen Angel|{3}{B}{B}|Creature - Angel|3|3|Flying<br>Sacrifice a creature: Fallen Angel gets +2/+1 until end of turn.|Duel Decks Anthology, Divine vs. Demonic|Uncommon|Matthew D. Wilson|42|Flying<br>Sacrifice a creature: Fallen Angel gets +2/+1 until end of turn.|
394030|Foul Imp|{B}{B}|Creature - Imp|2|2|Flying<br>When Foul Imp enters the battlefield, you lose 2 life.|Duel Decks Anthology, Divine vs. Demonic|Common|Kev Walker|32|Flying<br>When Foul Imp enters the battlefield, you lose 2 life.|
394031|Healing Salve|{W}|Instant|||Choose one-<br>• Target player gains 3 life.<br>• Prevent the next 3 damage that would be dealt to target creature or player this turn.|Duel Decks Anthology, Divine vs. Demonic|Common|Greg & Tim Hildebrandt|14|Choose one-<br>• Target player gains 3 life.<br>• Prevent the next 3 damage that would be dealt to target creature or player this turn.|
394032|Icatian Priest|{W}|Creature - Human Cleric|1|1|{1}{W}{W}: Target creature gets +1/+1 until end of turn.|Duel Decks Anthology, Divine vs. Demonic|Uncommon|Stephen Tappin|2|{1}{W}{W}: Target creature gets +1/+1 until end of turn.|
394033|Kuro, Pitlord|{6}{B}{B}{B}|Legendary Creature - Demon Spirit|9|9|At the beginning of your upkeep, sacrifice Kuro, Pitlord unless you pay {B}{B}{B}{B}.<br>Pay 1 life: Target creature gets -1/-1 until end of turn.|Duel Decks Anthology, Divine vs. Demonic|Rare|Jon Foster|44|At the beginning of your upkeep, sacrifice Kuro, Pitlord unless you pay {B}{B}{B}{B}.<br>Pay 1 life: Target creature gets -1/-1 until end of turn.|
