ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
393953|Forest||Basic Land - Forest|||G|Duel Decks Anthology, Elves vs. Goblins|Land|John Avon|29|G|
393976|Mountain||Basic Land - Mountain|||R|Duel Decks Anthology, Elves vs. Goblins|Land|Jeff Miracola|60|R|
393941|Akki Coalflinger|{1}{R}{R}|Creature - Goblin Shaman|2|2|First strike<br>{R}, {T}: Attacking creatures gain first strike until end of turn.|Duel Decks Anthology, Elves vs. Goblins|Uncommon|Nottsuo|33|First strike<br>{R}, {T}: Attacking creatures gain first strike until end of turn.|
393942|Allosaurus Rider|{5}{G}{G}|Creature - Elf Warrior|1+*|1+*|You may exile two green cards from your hand rather than pay Allosaurus Rider's mana cost.<br>Allosaurus Rider's power and toughness are each equal to 1 plus the number of lands you control.|Duel Decks Anthology, Elves vs. Goblins|Rare|Daren Bader|2|You may exile two green cards from your hand rather than pay Allosaurus Rider's mana cost.<br>Allosaurus Rider's power and toughness are each equal to 1 plus the number of lands you control.|
393943|Ambush Commander|{3}{G}{G}|Creature - Elf|2|2|Forests you control are 1/1 green Elf creatures that are still lands.<br>{1}{G}, Sacrifice an Elf: Target creature gets +3/+3 until end of turn.|Duel Decks Anthology, Elves vs. Goblins|Rare|Lucio Parrillo|1|Forests you control are 1/1 green Elf creatures that are still lands.<br>{1}{G}, Sacrifice an Elf: Target creature gets +3/+3 until end of turn.|
393944|Boggart Shenanigans|{2}{R}|Tribal Enchantment - Goblin|||Whenever another Goblin you control is put into a graveyard from the battlefield, you may have Boggart Shenanigans deal 1 damage to target player.|Duel Decks Anthology, Elves vs. Goblins|Uncommon|Warren Mahy|54|Whenever another Goblin you control is put into a graveyard from the battlefield, you may have Boggart Shenanigans deal 1 damage to target player.|
393945|Clickslither|{1}{R}{R}{R}|Creature - Insect|3|3|Haste<br>Sacrifice a Goblin: Clickslither gets +2/+2 and gains trample until end of turn.|Duel Decks Anthology, Elves vs. Goblins|Rare|Kev Walker|34|Haste<br>Sacrifice a Goblin: Clickslither gets +2/+2 and gains trample until end of turn.|
393946|Elvish Eulogist|{G}|Creature - Elf Shaman|1|1|Sacrifice Elvish Eulogist: You gain 1 life for each Elf card in your graveyard.|Duel Decks Anthology, Elves vs. Goblins|Common|Ben Thompson|3|Sacrifice Elvish Eulogist: You gain 1 life for each Elf card in your graveyard.|
393947|Elvish Harbinger|{2}{G}|Creature - Elf Druid|1|2|When Elvish Harbinger enters the battlefield, you may search your library for an Elf card, reveal it, then shuffle your library and put that card on top of it.<br>{T}: Add one mana of any color to your mana pool.|Duel Decks Anthology, Elves vs. Goblins|Uncommon|Larry MacDougall|4|When Elvish Harbinger enters the battlefield, you may search your library for an Elf card, reveal it, then shuffle your library and put that card on top of it.<br>{T}: Add one mana of any color to your mana pool.|
393948|Elvish Promenade|{3}{G}|Tribal Sorcery - Elf|||Put a 1/1 green Elf Warrior creature token onto the battlefield for each Elf you control.|Duel Decks Anthology, Elves vs. Goblins|Uncommon|Steve Ellis|20|Put a 1/1 green Elf Warrior creature token onto the battlefield for each Elf you control.|
393949|Elvish Warrior|{G}{G}|Creature - Elf Warrior|2|3||Duel Decks Anthology, Elves vs. Goblins|Common|Christopher Moeller|5||
393950|Emberwilde Augur|{1}{R}|Creature - Goblin Shaman|2|1|Sacrifice Emberwilde Augur: Emberwilde Augur deals 3 damage to target player. Activate this ability only during your upkeep.|Duel Decks Anthology, Elves vs. Goblins|Common|Brandon Kitkouski|35|Sacrifice Emberwilde Augur: Emberwilde Augur deals 3 damage to target player. Activate this ability only during your upkeep.|
393951|Flamewave Invoker|{2}{R}|Creature - Goblin Mutant|2|2|{7}{R}: Flamewave Invoker deals 5 damage to target player.|Duel Decks Anthology, Elves vs. Goblins|Uncommon|Dave Dorman|36|{7}{R}: Flamewave Invoker deals 5 damage to target player.|
393956|Forgotten Cave||Land|||Forgotten Cave enters the battlefield tapped.<br>{T}: Add {R} to your mana pool.<br>Cycling {R} <i>({R}, Discard this card: Draw a card.)</i>|Duel Decks Anthology, Elves vs. Goblins|Common|Tony Szczudlo|57|Forgotten Cave enters the battlefield tapped.<br>{T}: Add {R} to your mana pool.<br>Cycling {R} <i>({R}, Discard this card: Draw a card.)</i>|
393957|Gempalm Incinerator|{2}{R}|Creature - Goblin|2|1|Cycling {1}{R} <i>({1}{R}, Discard this card: Draw a card.)</i><br>When you cycle Gempalm Incinerator, you may have it deal X damage to target creature, where X is the number of Goblins on the battlefield.|Duel Decks Anthology, Elves vs. Goblins|Uncommon|Luca Zontini|37|Cycling {1}{R} <i>({1}{R}, Discard this card: Draw a card.)</i><br>When you cycle Gempalm Incinerator, you may have it deal X damage to target creature, where X is the number of Goblins on the battlefield.|
393958|Gempalm Strider|{1}{G}|Creature - Elf|2|2|Cycling {2}{G}{G} <i>({2}{G}{G}, Discard this card: Draw a card.)</i><br>When you cycle Gempalm Strider, Elf creatures get +2/+2 until end of turn.|Duel Decks Anthology, Elves vs. Goblins|Uncommon|Tim Hildebrandt|6|Cycling {2}{G}{G} <i>({2}{G}{G}, Discard this card: Draw a card.)</i><br>When you cycle Gempalm Strider, Elf creatures get +2/+2 until end of turn.|
393959|Giant Growth|{G}|Instant|||Target creature gets +3/+3 until end of turn.|Duel Decks Anthology, Elves vs. Goblins|Common|Matt Cavotta|21|Target creature gets +3/+3 until end of turn.|
393960|Goblin Burrows||Land|||{T}: Add {1} to your mana pool.<br>{1}{R}, {T}: Target Goblin creature gets +2/+0 until end of turn.|Duel Decks Anthology, Elves vs. Goblins|Uncommon|David Martin|58|{T}: Add {1} to your mana pool.<br>{1}{R}, {T}: Target Goblin creature gets +2/+0 until end of turn.|
393961|Goblin Cohort|{R}|Creature - Goblin Warrior|2|2|Goblin Cohort can't attack unless you've cast a creature spell this turn.|Duel Decks Anthology, Elves vs. Goblins|Common|Darrell Riche|38|Goblin Cohort can't attack unless you've cast a creature spell this turn.|
393962|Goblin Matron|{2}{R}|Creature - Goblin|1|1|When Goblin Matron enters the battlefield, you may search your library for a Goblin card, reveal that card, and put it into your hand. If you do, shuffle your library.|Duel Decks Anthology, Elves vs. Goblins|Uncommon|Daniel Gelon|39|When Goblin Matron enters the battlefield, you may search your library for a Goblin card, reveal that card, and put it into your hand. If you do, shuffle your library.|
393963|Goblin Ringleader|{3}{R}|Creature - Goblin|2|2|Haste<br>When Goblin Ringleader enters the battlefield, reveal the top four cards of your library. Put all Goblin cards revealed this way into your hand and the rest on the bottom of your library in any order.|Duel Decks Anthology, Elves vs. Goblins|Uncommon|Mark Romanoski|40|Haste<br>When Goblin Ringleader enters the battlefield, reveal the top four cards of your library. Put all Goblin cards revealed this way into your hand and the rest on the bottom of your library in any order.|
393964|Goblin Sledder|{R}|Creature - Goblin|1|1|Sacrifice a Goblin: Target creature gets +1/+1 until end of turn.|Duel Decks Anthology, Elves vs. Goblins|Common|Ron Spencer|41|Sacrifice a Goblin: Target creature gets +1/+1 until end of turn.|
393965|Goblin Warchief|{1}{R}{R}|Creature - Goblin Warrior|2|2|Goblin spells you cast cost {1} less to cast.<br>Goblin creatures you control have haste.|Duel Decks Anthology, Elves vs. Goblins|Uncommon|Greg & Tim Hildebrandt|42|Goblin spells you cast cost {1} less to cast.<br>Goblin creatures you control have haste.|
393966|Harmonize|{2}{G}{G}|Sorcery|||Draw three cards.|Duel Decks Anthology, Elves vs. Goblins|Uncommon|Rob Alexander|22|Draw three cards.|
393967|Heedless One|{3}{G}|Creature - Elf Avatar|*|*|Trample<br>Heedless One's power and toughness are each equal to the number of Elves on the battlefield.|Duel Decks Anthology, Elves vs. Goblins|Uncommon|Mark Zug|7|Trample<br>Heedless One's power and toughness are each equal to the number of Elves on the battlefield.|
393968|Ib Halfheart, Goblin Tactician|{3}{R}|Legendary Creature - Goblin Advisor|3|2|Whenever another Goblin you control becomes blocked, sacrifice it. If you do, it deals 4 damage to each creature blocking it.<br>Sacrifice two Mountains: Put two 1/1 red Goblin creature tokens onto the battlefield.|Duel Decks Anthology, Elves vs. Goblins|Rare|Wayne Reynolds|43|Whenever another Goblin you control becomes blocked, sacrifice it. If you do, it deals 4 damage to each creature blocking it.<br>Sacrifice two Mountains: Put two 1/1 red Goblin creature tokens onto the battlefield.|
393969|Imperious Perfect|{2}{G}|Creature - Elf Warrior|2|2|Other Elf creatures you control get +1/+1.<br>{G}, {T}: Put a 1/1 green Elf Warrior creature token onto the battlefield.|Duel Decks Anthology, Elves vs. Goblins|Uncommon|Scott M. Fischer|8|Other Elf creatures you control get +1/+1.<br>{G}, {T}: Put a 1/1 green Elf Warrior creature token onto the battlefield.|
393970|Llanowar Elves|{G}|Creature - Elf Druid|1|1|{T}: Add {G} to your mana pool.|Duel Decks Anthology, Elves vs. Goblins|Common|Kev Walker|9|{T}: Add {G} to your mana pool.|
393971|Lys Alana Huntmaster|{2}{G}{G}|Creature - Elf Warrior|3|3|Whenever you cast an Elf spell, you may put a 1/1 green Elf Warrior creature token onto the battlefield.|Duel Decks Anthology, Elves vs. Goblins|Common|Pete Venters|10|Whenever you cast an Elf spell, you may put a 1/1 green Elf Warrior creature token onto the battlefield.|
393972|Mogg Fanatic|{R}|Creature - Goblin|1|1|Sacrifice Mogg Fanatic: Mogg Fanatic deals 1 damage to target creature or player.|Duel Decks Anthology, Elves vs. Goblins|Uncommon|Brom|44|Sacrifice Mogg Fanatic: Mogg Fanatic deals 1 damage to target creature or player.|
393973|Mogg War Marshal|{1}{R}|Creature - Goblin Warrior|1|1|Echo {1}{R} <i>(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)</i><br>When Mogg War Marshal enters the battlefield or dies, put a 1/1 red Goblin creature token onto the battlefield.|Duel Decks Anthology, Elves vs. Goblins|Common|Wayne England|45|Echo {1}{R} <i>(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)</i><br>When Mogg War Marshal enters the battlefield or dies, put a 1/1 red Goblin creature token onto the battlefield.|
393974|Moonglove Extract|{3}|Artifact|||Sacrifice Moonglove Extract: Moonglove Extract deals 2 damage to target creature or player.|Duel Decks Anthology, Elves vs. Goblins|Common|Terese Nielsen|24|Sacrifice Moonglove Extract: Moonglove Extract deals 2 damage to target creature or player.|
393979|Mudbutton Torchrunner|{2}{R}|Creature - Goblin Warrior|1|1|When Mudbutton Torchrunner dies, it deals 3 damage to target creature or player.|Duel Decks Anthology, Elves vs. Goblins|Common|Steve Ellis|46|When Mudbutton Torchrunner dies, it deals 3 damage to target creature or player.|
393980|Raging Goblin|{R}|Creature - Goblin Berserker|1|1|Haste <i>(This creature can attack and {T} as soon as it comes under your control.)</i>|Duel Decks Anthology, Elves vs. Goblins|Common|Jeff Miracola|47|Haste <i>(This creature can attack and {T} as soon as it comes under your control.)</i>|
393981|Reckless One|{3}{R}|Creature - Goblin Avatar|*|*|Haste<br>Reckless One's power and toughness are each equal to the number of Goblins on the battlefield.|Duel Decks Anthology, Elves vs. Goblins|Uncommon|Ron Spencer|48|Haste<br>Reckless One's power and toughness are each equal to the number of Goblins on the battlefield.|
393982|Siege-Gang Commander|{3}{R}{R}|Creature - Goblin|2|2|When Siege-Gang Commander enters the battlefield, put three 1/1 red Goblin creature tokens onto the battlefield.<br>{1}{R}, Sacrifice a Goblin: Siege-Gang Commander deals 2 damage to target creature or player.|Duel Decks Anthology, Elves vs. Goblins|Rare|Lucio Parrillo|32|When Siege-Gang Commander enters the battlefield, put three 1/1 red Goblin creature tokens onto the battlefield.<br>{1}{R}, Sacrifice a Goblin: Siege-Gang Commander deals 2 damage to target creature or player.|
