ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
393892|Forest||Basic Land - Forest|||G|Duel Decks Anthology, Garruk vs. Liliana|Land|Glen Angus|29|G|
393927|Swamp||Basic Land - Swamp|||B|Duel Decks Anthology, Garruk vs. Liliana|Land|Christopher Moeller|61|B|
393878|Albino Troll|{1}{G}|Creature - Troll|3|3|Echo {1}{G} <i>(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)</i><br>{1}{G}: Regenerate Albino Troll.|Duel Decks Anthology, Garruk vs. Liliana|Uncommon|Parente|3|Echo {1}{G} <i>(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)</i><br>{1}{G}: Regenerate Albino Troll.|
393879|Bad Moon|{1}{B}|Enchantment|||Black creatures get +1/+1.|Duel Decks Anthology, Garruk vs. Liliana|Rare|Gary Leach|48|Black creatures get +1/+1.|
393880|Basking Rootwalla|{G}|Creature - Lizard|1|1|{1}{G}: Basking Rootwalla gets +2/+2 until end of turn. Activate this ability only once each turn.<br>Madness {0} <i>(If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)</i>|Duel Decks Anthology, Garruk vs. Liliana|Common|Heather Hudson|2|{1}{G}: Basking Rootwalla gets +2/+2 until end of turn. Activate this ability only once each turn.<br>Madness {0} <i>(If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)</i>|
393881|Beast Attack|{2}{G}{G}{G}|Instant|||Put a 4/4 green Beast creature token onto the battlefield.<br>Flashback {2}{G}{G}{G} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Duel Decks Anthology, Garruk vs. Liliana|Uncommon|Ciruelo|23|Put a 4/4 green Beast creature token onto the battlefield.<br>Flashback {2}{G}{G}{G} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
393882|Blastoderm|{2}{G}{G}|Creature - Beast|5|5|Shroud <i>(This creature can't be the target of spells or abilities.)</i><br>Fading 3 <i>(This creature enters the battlefield with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)</i>|Duel Decks Anthology, Garruk vs. Liliana|Common|Nils Hamm|7|Shroud <i>(This creature can't be the target of spells or abilities.)</i><br>Fading 3 <i>(This creature enters the battlefield with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)</i>|
393883|Corrupt|{5}{B}|Sorcery|||Corrupt deals damage equal to the number of Swamps you control to target creature or player. You gain life equal to the damage dealt this way.|Duel Decks Anthology, Garruk vs. Liliana|Uncommon|Dave Allsop|57|Corrupt deals damage equal to the number of Swamps you control to target creature or player. You gain life equal to the damage dealt this way.|
393884|Deathgreeter|{B}|Creature - Human Shaman|1|1|Whenever another creature dies, you may gain 1 life.|Duel Decks Anthology, Garruk vs. Liliana|Common|Dominick Domingo|33|Whenever another creature dies, you may gain 1 life.|
393885|Drudge Skeletons|{1}{B}|Creature - Skeleton|1|1|{B}: Regenerate Drudge Skeletons. <i>(The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)</i>|Duel Decks Anthology, Garruk vs. Liliana|Common|Daarken|36|{B}: Regenerate Drudge Skeletons. <i>(The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)</i>|
393886|Elephant Guide|{2}{G}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +3/+3.<br>When enchanted creature dies, put a 3/3 green Elephant creature token onto the battlefield.|Duel Decks Anthology, Garruk vs. Liliana|Uncommon|Jim Nelson|18|Enchant creature<br>Enchanted creature gets +3/+3.<br>When enchanted creature dies, put a 3/3 green Elephant creature token onto the battlefield.|
393887|Enslave|{4}{B}{B}|Enchantment - Aura|||Enchant creature<br>You control enchanted creature.<br>At the beginning of your upkeep, enchanted creature deals 1 damage to its owner.|Duel Decks Anthology, Garruk vs. Liliana|Uncommon|Zoltan Boros & Gabor Szikszai|58|Enchant creature<br>You control enchanted creature.<br>At the beginning of your upkeep, enchanted creature deals 1 damage to its owner.|
393888|Faerie Macabre|{1}{B}{B}|Creature - Faerie Rogue|2|2|Flying<br>Discard Faerie Macabre: Exile up to two target cards from graveyards.|Duel Decks Anthology, Garruk vs. Liliana|Common|rk post|42|Flying<br>Discard Faerie Macabre: Exile up to two target cards from graveyards.|
393889|Fleshbag Marauder|{2}{B}|Creature - Zombie Warrior|3|1|When Fleshbag Marauder enters the battlefield, each player sacrifices a creature.|Duel Decks Anthology, Garruk vs. Liliana|Uncommon|Pete Venters|38|When Fleshbag Marauder enters the battlefield, each player sacrifices a creature.|
393894|Garruk Wildspeaker|{2}{G}{G}|Planeswalker - Garruk||3|+1: Untap two target lands.<br>−1: Put a 3/3 green Beast creature token onto the battlefield.<br>−4: Creatures you control get +3/+3 and gain trample until end of turn.|Duel Decks Anthology, Garruk vs. Liliana|Mythic Rare|Terese Nielsen|1|+1: Untap two target lands.<br>−1: Put a 3/3 green Beast creature token onto the battlefield.<br>−4: Creatures you control get +3/+3 and gain trample until end of turn.|
393895|Genju of the Cedars|{G}|Enchantment - Aura|||Enchant Forest<br>{2}: Enchanted Forest becomes a 4/4 green Spirit creature until end of turn. It's still a land.<br>When enchanted Forest is put into a graveyard, you may return Genju of the Cedars from your graveyard to your hand.|Duel Decks Anthology, Garruk vs. Liliana|Uncommon|Arnie Swekel|13|Enchant Forest<br>{2}: Enchanted Forest becomes a 4/4 green Spirit creature until end of turn. It's still a land.<br>When enchanted Forest is put into a graveyard, you may return Genju of the Cedars from your graveyard to your hand.|
393896|Genju of the Fens|{B}|Enchantment - Aura|||Enchant Swamp<br>{2}: Until end of turn, enchanted Swamp becomes a 2/2 black Spirit creature with "{B}: This creature gets +1/+1 until end of turn." It's still a land.<br>When enchanted Swamp is put into a graveyard, you may return Genju of the Fens from your graveyard to your hand.|Duel Decks Anthology, Garruk vs. Liliana|Uncommon|Tsutomu Kawade|47|Enchant Swamp<br>{2}: Until end of turn, enchanted Swamp becomes a 2/2 black Spirit creature with "{B}: This creature gets +1/+1 until end of turn." It's still a land.<br>When enchanted Swamp is put into a graveyard, you may return Genju of the Fens from your graveyard to your hand.|
393897|Ghost-Lit Stalker|{B}|Creature - Spirit|1|1|{4}{B}, {T}: Target player discards two cards. Activate this ability only any time you could cast a sorcery.<br>Channel- {5}{B}{B}, Discard Ghost-Lit Stalker: Target player discards four cards. Activate this ability only any time you could cast a sorcery.|Duel Decks Anthology, Garruk vs. Liliana|Uncommon|Hideaki Takamura|34|{4}{B}, {T}: Target player discards two cards. Activate this ability only any time you could cast a sorcery.<br>Channel- {5}{B}{B}, Discard Ghost-Lit Stalker: Target player discards four cards. Activate this ability only any time you could cast a sorcery.|
393898|Giant Growth|{G}|Instant|||Target creature gets +3/+3 until end of turn.|Duel Decks Anthology, Garruk vs. Liliana|Common|Matt Cavotta|14|Target creature gets +3/+3 until end of turn.|
393899|Harmonize|{2}{G}{G}|Sorcery|||Draw three cards.|Duel Decks Anthology, Garruk vs. Liliana|Uncommon|Paul Lee|21|Draw three cards.|
393900|Hideous End|{1}{B}{B}|Instant|||Destroy target nonblack creature. Its controller loses 2 life.|Duel Decks Anthology, Garruk vs. Liliana|Common|Zoltan Boros & Gabor Szikszai|52|Destroy target nonblack creature. Its controller loses 2 life.|
393901|Howling Banshee|{2}{B}{B}|Creature - Spirit|3|3|Flying<br>When Howling Banshee enters the battlefield, each player loses 3 life.|Duel Decks Anthology, Garruk vs. Liliana|Uncommon|Andrew Robinson|43|Flying<br>When Howling Banshee enters the battlefield, each player loses 3 life.|
393902|Ichor Slick|{2}{B}|Sorcery|||Target creature gets -3/-3 until end of turn.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i><br>Madness {3}{B} <i>(If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)</i>|Duel Decks Anthology, Garruk vs. Liliana|Common|Zoltan Boros & Gabor Szikszai|51|Target creature gets -3/-3 until end of turn.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i><br>Madness {3}{B} <i>(If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)</i>|
393903|Indrik Stomphowler|{4}{G}|Creature - Beast|4|4|When Indrik Stomphowler enters the battlefield, destroy target artifact or enchantment.|Duel Decks Anthology, Garruk vs. Liliana|Uncommon|Carl Critchlow|10|When Indrik Stomphowler enters the battlefield, destroy target artifact or enchantment.|
393904|Invigorate|{2}{G}|Instant|||If you control a Forest, rather than pay Invigorate's mana cost, you may have an opponent gain 3 life.<br>Target creature gets +4/+4 until end of turn.|Duel Decks Anthology, Garruk vs. Liliana|Common|Dan Frazier|19|If you control a Forest, rather than pay Invigorate's mana cost, you may have an opponent gain 3 life.<br>Target creature gets +4/+4 until end of turn.|
393905|Keening Banshee|{2}{B}{B}|Creature - Spirit|2|2|Flying<br>When Keening Banshee enters the battlefield, target creature gets -2/-2 until end of turn.|Duel Decks Anthology, Garruk vs. Liliana|Uncommon|Robert Bliss|44|Flying<br>When Keening Banshee enters the battlefield, target creature gets -2/-2 until end of turn.|
393906|Krosan Tusker|{5}{G}{G}|Creature - Boar Beast|6|5|Cycling {2}{G} <i>({2}{G}, Discard this card: Draw a card.)</i><br>When you cycle Krosan Tusker, you may search your library for a basic land card, reveal that card, put it into your hand, then shuffle your library.|Duel Decks Anthology, Garruk vs. Liliana|Common|Kev Walker|11|Cycling {2}{G} <i>({2}{G}, Discard this card: Draw a card.)</i><br>When you cycle Krosan Tusker, you may search your library for a basic land card, reveal that card, put it into your hand, then shuffle your library.|
393907|Lignify|{1}{G}|Tribal Enchantment - Treefolk Aura|||Enchant creature<br>Enchanted creature is a Treefolk with base power and toughness 0/4 and loses all abilities.|Duel Decks Anthology, Garruk vs. Liliana|Common|Jesper Ejsing|16|Enchant creature<br>Enchanted creature is a Treefolk with base power and toughness 0/4 and loses all abilities.|
393908|Liliana Vess|{3}{B}{B}|Planeswalker - Liliana||5|+1: Target player discards a card.<br>−2: Search your library for a card, then shuffle your library and put that card on top of it.<br>−8: Put all creature cards from all graveyards onto the battlefield under your control.|Duel Decks Anthology, Garruk vs. Liliana|Mythic Rare|Terese Nielsen|32|+1: Target player discards a card.<br>−2: Search your library for a card, then shuffle your library and put that card on top of it.<br>−8: Put all creature cards from all graveyards onto the battlefield under your control.|
393909|Mutilate|{2}{B}{B}|Sorcery|||All creatures get -1/-1 until end of turn for each Swamp you control.|Duel Decks Anthology, Garruk vs. Liliana|Rare|Zoltan Boros & Gabor Szikszai|55|All creatures get -1/-1 until end of turn for each Swamp you control.|
393910|Nature's Lore|{1}{G}|Sorcery|||Search your library for a Forest card and put that card onto the battlefield. Then shuffle your library.|Duel Decks Anthology, Garruk vs. Liliana|Common|Terese Nielsen|17|Search your library for a Forest card and put that card onto the battlefield. Then shuffle your library.|
393911|Overrun|{2}{G}{G}{G}|Sorcery|||Creatures you control get +3/+3 and gain trample until end of turn.|Duel Decks Anthology, Garruk vs. Liliana|Uncommon|Carl Critchlow|24|Creatures you control get +3/+3 and gain trample until end of turn.|
393912|Phyrexian Rager|{2}{B}|Creature - Horror|2|2|When Phyrexian Rager enters the battlefield, you draw a card and you lose 1 life.|Duel Decks Anthology, Garruk vs. Liliana|Common|Mark Tedin|39|When Phyrexian Rager enters the battlefield, you draw a card and you lose 1 life.|
