ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
393849|Island||Basic Land - Island|||U|Duel Decks Anthology, Jace vs. Chandra|Land|Scott Bailey|31|U|
393860|Mountain||Basic Land - Mountain|||R|Duel Decks Anthology, Jace vs. Chandra|Land|Christopher Moeller|60|R|
393816|Æthersnipe|{5}{U}|Creature - Elemental|4|4|When Æthersnipe enters the battlefield, return target nonland permanent to its owner's hand.<br>Evoke {1}{U}{U} <i>(You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)</i>|Duel Decks Anthology, Jace vs. Chandra|Common|Zoltan Boros & Gabor Szikszai|17|When Æthersnipe enters the battlefield, return target nonland permanent to its owner's hand.<br>Evoke {1}{U}{U} <i>(You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)</i>|
393817|Air Elemental|{3}{U}{U}|Creature - Elemental|4|4|Flying|Duel Decks Anthology, Jace vs. Chandra|Uncommon|Kev Walker|13|Flying|
393818|Ancestral Vision||Sorcery|||Suspend 4—{U} <i>(Rather than cast this card from your hand, pay {U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)</i><br>Target player draws three cards.|Duel Decks Anthology, Jace vs. Chandra|Rare|Mark Poole|21|Suspend 4—{U} <i>(Rather than cast this card from your hand, pay {U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)</i><br>Target player draws three cards.|
393819|Bottle Gnomes|{3}|Artifact Creature - Gnome|1|3|Sacrifice Bottle Gnomes: You gain 3 life.|Duel Decks Anthology, Jace vs. Chandra|Uncommon|Ben Thompson|7|Sacrifice Bottle Gnomes: You gain 3 life.|
393820|Brine Elemental|{4}{U}{U}|Creature - Elemental|5|4|Morph {5}{U}{U} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br>When Brine Elemental is turned face up, each opponent skips his or her next untap step.|Duel Decks Anthology, Jace vs. Chandra|Uncommon|Stephen Tappin|18|Morph {5}{U}{U} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br>When Brine Elemental is turned face up, each opponent skips his or her next untap step.|
393821|Chandra Nalaar|{3}{R}{R}|Planeswalker - Chandra||6|+1: Chandra Nalaar deals 1 damage to target player.<br>−X: Chandra Nalaar deals X damage to target creature.<br>−8: Chandra Nalaar deals 10 damage to target player and each creature he or she controls.|Duel Decks Anthology, Jace vs. Chandra|Mythic Rare|Kev Walker|34|+1: Chandra Nalaar deals 1 damage to target player.<br>−X: Chandra Nalaar deals X damage to target creature.<br>−8: Chandra Nalaar deals 10 damage to target player and each creature he or she controls.|
393822|Chartooth Cougar|{5}{R}|Creature - Cat Beast|4|4|{R}: Chartooth Cougar gets +1/+0 until end of turn.<br>Mountaincycling {2} <i>({2}, Discard this card: Search your library for a Mountain card, reveal it, and put it into your hand. Then shuffle your library.)</i>|Duel Decks Anthology, Jace vs. Chandra|Common|Tony Szczudlo|47|{R}: Chartooth Cougar gets +1/+0 until end of turn.<br>Mountaincycling {2} <i>({2}, Discard this card: Search your library for a Mountain card, reveal it, and put it into your hand. Then shuffle your library.)</i>|
393823|Condescend|{X}{U}|Instant|||Counter target spell unless its controller pays {X}. Scry 2. <i>(Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>|Duel Decks Anthology, Jace vs. Chandra|Common|Ron Spears|28|Counter target spell unless its controller pays {X}. Scry 2. <i>(Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>|
