ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
197037|Abyssal Gatekeeper|{1}{B}|Creature - Horror|1|1|When Abyssal Gatekeeper dies, each player sacrifices a creature.|Duel Decks: Divine vs. Demonic|Common|Mark Tedin|31|When Abyssal Gatekeeper dies, each player sacrifices a creature.|
197008|Abyssal Specter|{2}{B}{B}|Creature - Specter|2|3|Flying<br>Whenever Abyssal Specter deals damage to a player, that player discards a card.|Duel Decks: Divine vs. Demonic|Uncommon|Michael Sutfin|40|Flying<br>Whenever Abyssal Specter deals damage to a player, that player discards a card.|
193871|Akroma, Angel of Wrath|{5}{W}{W}{W}|Legendary Creature - Angel|6|6|Flying, first strike, vigilance, trample, haste, protection from black and from red|Duel Decks: Divine vs. Demonic|Mythic Rare|Chippy|1|Flying, first strike, vigilance, trample, haste, protection from black and from red|
196990|Angel of Mercy|{4}{W}|Creature - Angel|3|3|Flying<br>When Angel of Mercy enters the battlefield, you gain 3 life.|Duel Decks: Divine vs. Demonic|Uncommon|Volkan Baga|9|Flying<br>When Angel of Mercy enters the battlefield, you gain 3 life.|
197013|Angelic Benediction|{3}{W}|Enchantment|||Exalted <i>(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)</i><br>Whenever a creature you control attacks alone, you may tap target creature.|Duel Decks: Divine vs. Demonic|Uncommon|Michael Komarck|19|Exalted <i>(Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)</i><br>Whenever a creature you control attacks alone, you may tap target creature.|
197009|Angelic Page|{1}{W}|Creature - Angel Spirit|1|1|Flying<br>{T}: Target attacking or blocking creature gets +1/+1 until end of turn.|Duel Decks: Divine vs. Demonic|Common|Marc Fishman|3|Flying<br>{T}: Target attacking or blocking creature gets +1/+1 until end of turn.|
197035|Angelic Protector|{3}{W}|Creature - Angel|2|2|Flying<br>Whenever Angelic Protector becomes the target of a spell or ability, Angelic Protector gets +0/+3 until end of turn.|Duel Decks: Divine vs. Demonic|Uncommon|DiTerlizzi|6|Flying<br>Whenever Angelic Protector becomes the target of a spell or ability, Angelic Protector gets +0/+3 until end of turn.|
196991|Angel's Feather|{2}|Artifact|||Whenever a player casts a white spell, you may gain 1 life.|Duel Decks: Divine vs. Demonic|Uncommon|Alan Pollack|23|Whenever a player casts a white spell, you may gain 1 life.|
197014|Angelsong|{1}{W}|Instant|||Prevent all combat damage that would be dealt this turn.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|Duel Decks: Divine vs. Demonic|Common|Sal Villagran|15|Prevent all combat damage that would be dealt this turn.<br>Cycling {2} <i>({2}, Discard this card: Draw a card.)</i>|
197029|Barren Moor||Land|||Barren Moor enters the battlefield tapped.<br>{T}: Add {B} to your mana pool.<br>Cycling {B} <i>({B}, Discard this card: Draw a card.)</i>|Duel Decks: Divine vs. Demonic|Common|Heather Hudson|58|Barren Moor enters the battlefield tapped.<br>{T}: Add {B} to your mana pool.<br>Cycling {B} <i>({B}, Discard this card: Draw a card.)</i>|
197025|Barter in Blood|{2}{B}{B}|Sorcery|||Each player sacrifices two creatures.|Duel Decks: Divine vs. Demonic|Uncommon|Parente|52|Each player sacrifices two creatures.|
197024|Breeding Pit|{3}{B}|Enchantment|||At the beginning of your upkeep, sacrifice Breeding Pit unless you pay {B}{B}.<br>At the beginning of your end step, put a 0/1 black Thrull creature token onto the battlefield.|Duel Decks: Divine vs. Demonic|Uncommon|Adrian Smith|53|At the beginning of your upkeep, sacrifice Breeding Pit unless you pay {B}{B}.<br>At the beginning of your end step, put a 0/1 black Thrull creature token onto the battlefield.|
197003|Cackling Imp|{2}{B}{B}|Creature - Imp|2|2|Flying<br>{T}: Target player loses 1 life.|Duel Decks: Divine vs. Demonic|Common|Matt Thompson|41|Flying<br>{T}: Target player loses 1 life.|
197021|Charging Paladin|{2}{W}|Creature - Human Knight|2|2|Whenever Charging Paladin attacks, it gets +0/+3 until end of turn.|Duel Decks: Divine vs. Demonic|Common|Ciruelo|4|Whenever Charging Paladin attacks, it gets +0/+3 until end of turn.|
