ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
209148|Allied Strategies|{4}{U}|Sorcery|||Domain- Target player draws a card for each basic land type among lands he or she controls.|Duel Decks: Phyrexia vs. the Coalition|Uncommon|Parente|63|Domain- Target player draws a card for each basic land type among lands he or she controls.|
207890|Armadillo Cloak|{1}{G}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2 and has trample.<br>Whenever enchanted creature deals damage, you gain that much life.|Duel Decks: Phyrexia vs. the Coalition|Common|Wayne Reynolds|58|Enchant creature<br>Enchanted creature gets +2/+2 and has trample.<br>Whenever enchanted creature deals damage, you gain that much life.|
209123|Bone Shredder|{2}{B}|Creature - Minion|1|1|Flying<br>Echo {2}{B} <i>(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)</i><br>When Bone Shredder enters the battlefield, destroy target nonartifact, nonblack creature.|Duel Decks: Phyrexia vs. the Coalition|Uncommon|Ron Spencer|5|Flying<br>Echo {2}{B} <i>(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)</i><br>When Bone Shredder enters the battlefield, destroy target nonartifact, nonblack creature.|
210133|Carrion Feeder|{B}|Creature - Zombie|1|1|Carrion Feeder can't block.<br>Sacrifice a creature: Put a +1/+1 counter on Carrion Feeder.|Duel Decks: Phyrexia vs. the Coalition|Common|Brian Snoddy|2|Carrion Feeder can't block.<br>Sacrifice a creature: Put a +1/+1 counter on Carrion Feeder.|
210556|Charging Troll|{2}{G}{W}|Creature - Troll|3|3|Vigilance<br>{G}: Regenerate Charging Troll.|Duel Decks: Phyrexia vs. the Coalition|Uncommon|Dave Dorman|45|Vigilance<br>{G}: Regenerate Charging Troll.|
209158|Coalition Relic|{3}|Artifact|||{T}: Add one mana of any color to your mana pool.<br>{T}: Put a charge counter on Coalition Relic.<br>At the beginning of your precombat main phase, remove all charge counters from Coalition Relic. Add one mana of any color to your mana pool for each charge counter removed this way.|Duel Decks: Phyrexia vs. the Coalition|Rare|Donato Giancola|54|{T}: Add one mana of any color to your mana pool.<br>{T}: Put a charge counter on Coalition Relic.<br>At the beginning of your precombat main phase, remove all charge counters from Coalition Relic. Add one mana of any color to your mana pool for each charge counter removed this way.|
209111|Darigaaz, the Igniter|{3}{B}{R}{G}|Legendary Creature - Dragon|6|6|Flying<br>Whenever Darigaaz, the Igniter deals combat damage to a player, you may pay {2}{R}. If you do, choose a color, then that player reveals his or her hand and Darigaaz deals damage to the player equal to the number of cards of that color revealed this way.|Duel Decks: Phyrexia vs. the Coalition|Rare|Mark Zug|47|Flying<br>Whenever Darigaaz, the Igniter deals combat damage to a player, you may pay {2}{R}. If you do, choose a color, then that player reveals his or her hand and Darigaaz deals damage to the player equal to the number of cards of that color revealed this way.|
209149|Darigaaz's Charm|{B}{R}{G}|Instant|||Choose one- Return target creature card from your graveyard to your hand; or Darigaaz's Charm deals 3 damage to target creature or player; or target creature gets +3/+3 until end of turn.|Duel Decks: Phyrexia vs. the Coalition|Uncommon|David Martin|59|Choose one- Return target creature card from your graveyard to your hand; or Darigaaz's Charm deals 3 damage to target creature or player; or target creature gets +3/+3 until end of turn.|
209137|Dark Ritual|{B}|Instant|||Add {B}{B}{B} to your mana pool.|Duel Decks: Phyrexia vs. the Coalition|Common|Tom Fleming|18|Add {B}{B}{B} to your mana pool.|
209112|Elfhame Palace||Land|||Elfhame Palace enters the battlefield tapped.<br>{T}: Add {G} or {W} to your mana pool.|Duel Decks: Phyrexia vs. the Coalition|Uncommon|Jerry Tiritilli|64|Elfhame Palace enters the battlefield tapped.<br>{T}: Add {G} or {W} to your mana pool.|
210153|Evasive Action|{1}{U}|Instant|||Domain- Counter target spell unless its controller pays {1} for each basic land type among lands you control.|Duel Decks: Phyrexia vs. the Coalition|Uncommon|Brian Snoddy|50|Domain- Counter target spell unless its controller pays {1} for each basic land type among lands you control.|
210143|Exotic Curse|{2}{B}|Enchantment - Aura|||Enchant creature<br>Domain- Enchanted creature gets -1/-1 for each basic land type among lands you control.|Duel Decks: Phyrexia vs. the Coalition|Common|Dany Orizio|56|Enchant creature<br>Domain- Enchanted creature gets -1/-1 for each basic land type among lands you control.|
209113|Fertile Ground|{1}{G}|Enchantment - Aura|||Enchant land<br>Whenever enchanted land is tapped for mana, its controller adds one mana of any color to his or her mana pool <i>(in addition to the mana the land produces)</i>.|Duel Decks: Phyrexia vs. the Coalition|Common|Carl Critchlow|52|Enchant land<br>Whenever enchanted land is tapped for mana, its controller adds one mana of any color to his or her mana pool <i>(in addition to the mana the land produces)</i>.|
210509|Forest||Basic Land - Forest|||G|Duel Decks: Phyrexia vs. the Coalition|Land|John Avon|70|G|
210510|Forest||Basic Land - Forest|||G|Duel Decks: Phyrexia vs. the Coalition|Land|Alan Pollack|71|G|
209157|Gerrard Capashen|{3}{W}{W}|Legendary Creature - Human Soldier|3|4|At the beginning of your upkeep, you gain 1 life for each card in target opponent's hand.<br>{3}{W}: Tap target creature. Activate this ability only if Gerrard Capashen is attacking.|Duel Decks: Phyrexia vs. the Coalition|Rare|Brom|46|At the beginning of your upkeep, you gain 1 life for each card in target opponent's hand.<br>{3}{W}: Tap target creature. Activate this ability only if Gerrard Capashen is attacking.|
210559|Gerrard's Command|{G}{W}|Instant|||Untap target creature. It gets +3/+3 until end of turn.|Duel Decks: Phyrexia vs. the Coalition|Common|Roger Raupp|53|Untap target creature. It gets +3/+3 until end of turn.|
