ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
243435|Alaborn Cavalier|{2}{W}{W}|Creature - Human Knight|2|2|Whenever Alaborn Cavalier attacks, you may tap target creature.|Duel Decks: Knights vs. Dragons|Uncommon|Kev Walker|18|Whenever Alaborn Cavalier attacks, you may tap target creature.|
243480|Armillary Sphere|{2}|Artifact|||{2}, {T}, Sacrifice Armillary Sphere: Search your library for up to two basic land cards, reveal them, and put them into your hand. Then shuffle your library.|Duel Decks: Knights vs. Dragons|Common|Franz Vohwinkel|62|{2}, {T}, Sacrifice Armillary Sphere: Search your library for up to two basic land cards, reveal them, and put them into your hand. Then shuffle your library.|
243429|Benalish Lancer|{2}{W}|Creature - Human Knight|2|2|Kicker {2}{W} <i>(You may pay an additional {2}{W} as you cast this spell.)</i><br>If Benalish Lancer was kicked, it enters the battlefield with two +1/+1 counters on it and with first strike.|Duel Decks: Knights vs. Dragons|Common|Parente|12|Kicker {2}{W} <i>(You may pay an additional {2}{W} as you cast this spell.)</i><br>If Benalish Lancer was kicked, it enters the battlefield with two +1/+1 counters on it and with first strike.|
243467|Bloodmark Mentor|{1}{R}|Creature - Goblin Warrior|1|1|Red creatures you control have first strike.|Duel Decks: Knights vs. Dragons|Uncommon|Dave Allsop|50|Red creatures you control have first strike.|
243464|Bogardan Hellkite|{6}{R}{R}|Creature - Dragon|5|5|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Flying<br>When Bogardan Hellkite enters the battlefield, it deals 5 damage divided as you choose among any number of target creatures and/or players.|Duel Decks: Knights vs. Dragons|Mythic Rare|Wayne Reynolds|47|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Flying<br>When Bogardan Hellkite enters the battlefield, it deals 5 damage divided as you choose among any number of target creatures and/or players.|
243475|Bogardan Rager|{5}{R}|Creature - Elemental|3|4|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>When Bogardan Rager enters the battlefield, target creature gets +4/+0 until end of turn.|Duel Decks: Knights vs. Dragons|Common|Clint Langley|57|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>When Bogardan Rager enters the battlefield, target creature gets +4/+0 until end of turn.|
243482|Breath of Darigaaz|{1}{R}|Sorcery|||Kicker {2} <i>(You may pay an additional {2} as you cast this spell.)</i><br>Breath of Darigaaz deals 1 damage to each creature without flying and each player. If Breath of Darigaaz was kicked, it deals 4 damage to each creature without flying and each player instead.|Duel Decks: Knights vs. Dragons|Uncommon|Greg & Tim Hildebrandt|64|Kicker {2} <i>(You may pay an additional {2} as you cast this spell.)</i><br>Breath of Darigaaz deals 1 damage to each creature without flying and each player. If Breath of Darigaaz was kicked, it deals 4 damage to each creature without flying and each player instead.|
243485|Captive Flame|{2}{R}|Enchantment|||{R}: Target creature gets +1/+0 until end of turn.|Duel Decks: Knights vs. Dragons|Uncommon|Keith Garletts|68|{R}: Target creature gets +1/+0 until end of turn.|
243418|Caravan Escort|{W}|Creature - Human Knight|1|1|Level up {2} <i>({2}: Put a level counter on this. Level up only as a sorcery.)</i><br>LEVEL 1-4<br>2/2<br><br>LEVEL 5+<br>5/5<br>First strike|Duel Decks: Knights vs. Dragons|Common|Goran Josic|2|Level up {2} <i>({2}: Put a level counter on this. Level up only as a sorcery.)</i><br>LEVEL 1-4<br>2/2<br><br>LEVEL 5+<br>5/5<br>First strike|
243466|Cinder Wall|{R}|Creature - Wall|3|3|Defender <i>(This creature can't attack.)</i><br>When Cinder Wall blocks, destroy it at end of combat.|Duel Decks: Knights vs. Dragons|Common|Anthony S. Waters|48|Defender <i>(This creature can't attack.)</i><br>When Cinder Wall blocks, destroy it at end of combat.|
