ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
249411|Ageless Entity|{3}{G}{G}|Creature - Elemental|4|4|Whenever you gain life, put that many +1/+1 counters on Ageless Entity.|Duel Decks: Ajani vs. Nicol Bolas|Rare|Jeff Miracola|18|Whenever you gain life, put that many +1/+1 counters on Ageless Entity.|
259268|Agonizing Demise|{3}{B}|Instant|||Kicker {1}{R} <i>(You may pay an additional {1}{R} as you cast this spell.)</i><br>Destroy target nonblack creature. It can't be regenerated. If Agonizing Demise was kicked, it deals damage equal to that creature's power to the creature's controller.|Duel Decks: Ajani vs. Nicol Bolas|Common|Mark Brill|66|Kicker {1}{R} <i>(You may pay an additional {1}{R} as you cast this spell.)</i><br>Destroy target nonblack creature. It can't be regenerated. If Agonizing Demise was kicked, it deals damage equal to that creature's power to the creature's controller.|
266299|Ajani Vengeant|{2}{R}{W}|Planeswalker - Ajani||3|+1: Target permanent doesn't untap during its controller's next untap step.<br>-2: Ajani Vengeant deals 3 damage to target creature or player and you gain 3 life.<br>-7: Destroy all lands target player controls.|Duel Decks: Ajani vs. Nicol Bolas|Mythic Rare|Izzy|1|+1: Target permanent doesn't untap during its controller's next untap step.<br>-2: Ajani Vengeant deals 3 damage to target creature or player and you gain 3 life.<br>-7: Destroy all lands target player controls.|
249398|Ajani's Mantra|{1}{W}|Enchantment|||At the beginning of your upkeep, you may gain 1 life.|Duel Decks: Ajani vs. Nicol Bolas|Common|James Paick|22|At the beginning of your upkeep, you may gain 1 life.|
249413|Ajani's Pridemate|{1}{W}|Creature - Cat Soldier|2|2|Whenever you gain life, you may put a +1/+1 counter on Ajani's Pridemate. <i>(For example, if an effect causes you to gain 3 life, you may put one +1/+1 counter on this creature.)</i>|Duel Decks: Ajani vs. Nicol Bolas|Uncommon|Svetlin Velinov|9|Whenever you gain life, you may put a +1/+1 counter on Ajani's Pridemate. <i>(For example, if an effect causes you to gain 3 life, you may put one +1/+1 counter on this creature.)</i>|
249396|Behemoth Sledge|{1}{G}{W}|Artifact - Equipment|||Equipped creature gets +2/+2 and has lifelink and trample.<br>Equip {3}|Duel Decks: Ajani vs. Nicol Bolas|Uncommon|Dave Allsop|28|Equipped creature gets +2/+2 and has lifelink and trample.<br>Equip {3}|
259274|Blazing Specter|{2}{B}{R}|Creature - Specter|2|2|Flying, haste<br>Whenever Blazing Specter deals combat damage to a player, that player discards a card.|Duel Decks: Ajani vs. Nicol Bolas|Rare|Marc Fishman|52|Flying, haste<br>Whenever Blazing Specter deals combat damage to a player, that player discards a card.|
249390|Brackwater Elemental|{2}{U}|Creature - Elemental|4|4|When Brackwater Elemental attacks or blocks, sacrifice it at the beginning of the next end step.<br>Unearth {2}{U} <i>({2}{U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)</i>|Duel Decks: Ajani vs. Nicol Bolas|Common|Thomas M. Baxa|46|When Brackwater Elemental attacks or blocks, sacrifice it at the beginning of the next end step.<br>Unearth {2}{U} <i>({2}{U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)</i>|
249383|Briarhorn|{3}{G}|Creature - Elemental|3|3|Flash<br>When Briarhorn enters the battlefield, target creature gets +3/+3 until end of turn.<br>Evoke {1}{G} <i>(You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)</i>|Duel Decks: Ajani vs. Nicol Bolas|Uncommon|Nils Hamm|14|Flash<br>When Briarhorn enters the battlefield, target creature gets +3/+3 until end of turn.<br>Evoke {1}{G} <i>(You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)</i>|
249412|Canyon Wildcat|{1}{R}|Creature - Cat|2|1|Mountainwalk|Duel Decks: Ajani vs. Nicol Bolas|Common|Gary Leach|6|Mountainwalk|
