ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
292964|Barren Moor||Land|||Barren Moor enters the battlefield tapped.<br>{T}: Add {B} to your mana pool.<br>Cycling {B} <i>({B}, Discard this card: Draw a card.)</i>|Duel Decks: Izzet vs. Golgari|Common|Heather Hudson|78|Barren Moor enters the battlefield tapped.<br>{T}: Add {B} to your mana pool.<br>Cycling {B} <i>({B}, Discard this card: Draw a card.)</i>|
338400|Boneyard Wurm|{1}{G}|Creature - Wurm|*|*|Boneyard Wurm's power and toughness are each equal to the number of creature cards in your graveyard.|Duel Decks: Izzet vs. Golgari|Uncommon|Jaime Jones|51|Boneyard Wurm's power and toughness are each equal to the number of creature cards in your graveyard.|
338401|Brain Weevil|{3}{B}|Creature - Insect|1|1|Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i><br>Sacrifice Brain Weevil: Target player discards two cards. Activate this ability only any time you could cast a sorcery.|Duel Decks: Izzet vs. Golgari|Common|Anthony Jones|58|Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i><br>Sacrifice Brain Weevil: Target player discards two cards. Activate this ability only any time you could cast a sorcery.|
292751|Brainstorm|{U}|Instant|||Draw three cards, then put two cards from your hand on top of your library in any order.|Duel Decks: Izzet vs. Golgari|Common|Willian Murai|13|Draw three cards, then put two cards from your hand on top of your library in any order.|
292748|Call to Heel|{1}{U}|Instant|||Return target creature to its owner's hand. Its controller draws a card.|Duel Decks: Izzet vs. Golgari|Common|Randy Gallegos|18|Return target creature to its owner's hand. Its controller draws a card.|
292984|Dakmor Salvage||Land|||Dakmor Salvage enters the battlefield tapped.<br>{T}: Add {B} to your mana pool.<br>Dredge 2 <i>(If you would draw a card, instead you may put exactly two cards from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)</i>|Duel Decks: Izzet vs. Golgari|Uncommon|John Avon|79|Dakmor Salvage enters the battlefield tapped.<br>{T}: Add {B} to your mana pool.<br>Dredge 2 <i>(If you would draw a card, instead you may put exactly two cards from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)</i>|
292976|Life // Death (Death)|{1}{B}|Sorcery|||<br>Return target creature card from your graveyard to the battlefield. You lose life equal to its converted mana cost.|Duel Decks: Izzet vs. Golgari|Uncommon|Ryan Barger|77|<br>Return target creature card from your graveyard to the battlefield. You lose life equal to its converted mana cost.|{PART=Death, OTHER_PART=Life}
292758|Dissipate|{1}{U}{U}|Instant|||Counter target spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.|Duel Decks: Izzet vs. Golgari|Uncommon|Tomasz Jedruszek|25|Counter target spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.|
292730|Djinn Illuminatus|{5}{U/R}{U/R}|Creature - Djinn|3|5|<i>({U/R} can be paid with either {U} or {R}.)</i><br>Flying<br>Each instant and sorcery spell you cast has replicate. The replicate cost is equal to its mana cost. <i>(When you cast it, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)</i>|Duel Decks: Izzet vs. Golgari|Rare|Carl Critchlow|12|<i>({U/R} can be paid with either {U} or {R}.)</i><br>Flying<br>Each instant and sorcery spell you cast has replicate. The replicate cost is equal to its mana cost. <i>(When you cast it, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)</i>|
292979|Doomgape|{4}{B/G}{B/G}{B/G}|Creature - Elemental|10|10|Trample<br>At the beginning of your upkeep, sacrifice a creature. You gain life equal to that creature's toughness.|Duel Decks: Izzet vs. Golgari|Rare|Dave Allsop|65|Trample<br>At the beginning of your upkeep, sacrifice a creature. You gain life equal to that creature's toughness.|
