ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
373396|Anax and Cymede|{1}{R}{W}|Legendary Creature - Human Soldier|3|2|First strike, vigilance<br>Heroic- Whenever you cast a spell that targets Anax and Cymede, creatures you control get +1/+1 and gain trample until end of turn.|Duel Decks: Heroes vs. Monsters|Rare|Willian Murai|11|First strike, vigilance<br>Heroic- Whenever you cast a spell that targets Anax and Cymede, creatures you control get +1/+1 and gain trample until end of turn.|
373415|Armory Guard|{3}{W}|Creature - Giant Soldier|2|5|Armory Guard has vigilance as long as you control a Gate.|Duel Decks: Heroes vs. Monsters|Common|Karl Kopinski|12|Armory Guard has vigilance as long as you control a Gate.|
373402|Auramancer|{2}{W}|Creature - Human Wizard|2|2|When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.|Duel Decks: Heroes vs. Monsters|Common|Rebecca Guay|9|When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.|
373358|Battle Mastery|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has double strike.|Duel Decks: Heroes vs. Monsters|Uncommon|Zoltan Boros & Gabor Szikszai|27|Enchant creature<br>Enchanted creature has double strike.|
373352|Beast Within|{2}{G}|Instant|||Destroy target permanent. Its controller puts a 3/3 green Beast creature token onto the battlefield.|Duel Decks: Heroes vs. Monsters|Uncommon|Jesper Ejsing|69|Destroy target permanent. Its controller puts a 3/3 green Beast creature token onto the battlefield.|
373383|Blood Ogre|{2}{R}|Creature - Ogre Warrior|2|2|Bloodthirst 1 <i>(If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)</i><br>First strike <i>(This creature deals combat damage before creatures without first strike.)</i>|Duel Decks: Heroes vs. Monsters|Common|Christopher Moeller|49|Bloodthirst 1 <i>(If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)</i><br>First strike <i>(This creature deals combat damage before creatures without first strike.)</i>|
373354|Bonds of Faith|{1}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2 as long as it's a Human. Otherwise, it can't attack or block.|Duel Decks: Heroes vs. Monsters|Common|Steve Argyle|24|Enchant creature<br>Enchanted creature gets +2/+2 as long as it's a Human. Otherwise, it can't attack or block.|
373389|Boros Guildgate||Land - Gate|||Boros Guildgate enters the battlefield tapped.<br>{T}: Add {R} or {W} to your mana pool.|Duel Decks: Heroes vs. Monsters|Common|Noah Bradley|33|Boros Guildgate enters the battlefield tapped.<br>{T}: Add {R} or {W} to your mana pool.|
373353|Cavalry Pegasus|{1}{W}|Creature - Pegasus|1|1|Flying<br>Whenever Cavalry Pegasus attacks, each attacking Human gains flying until end of turn.|Duel Decks: Heroes vs. Monsters|Common|Kev Walker|4|Flying<br>Whenever Cavalry Pegasus attacks, each attacking Human gains flying until end of turn.|
373407|Condemn|{W}|Instant|||Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.|Duel Decks: Heroes vs. Monsters|Uncommon|Daren Bader|17|Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.|
373366|Conquering Manticore|{4}{R}{R}|Creature - Manticore|5|5|Flying<br>When Conquering Manticore enters the battlefield, gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn.|Duel Decks: Heroes vs. Monsters|Rare|Chris Rahn|55|Flying<br>When Conquering Manticore enters the battlefield, gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn.|
373345|Crater Hellion|{4}{R}{R}|Creature - Hellion Beast|6|6|Echo {4}{R}{R} <i>(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)</i><br>When Crater Hellion enters the battlefield, it deals 4 damage to each other creature.|Duel Decks: Heroes vs. Monsters|Rare|Daren Bader|56|Echo {4}{R}{R} <i>(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)</i><br>When Crater Hellion enters the battlefield, it deals 4 damage to each other creature.|
373409|Crowned Ceratok|{3}{G}|Creature - Rhino|4|3|Trample<br>Each creature you control with a +1/+1 counter on it has trample.|Duel Decks: Heroes vs. Monsters|Uncommon|Steve Prescott|51|Trample<br>Each creature you control with a +1/+1 counter on it has trample.|
373360|Daily Regimen|{W}|Enchantment - Aura|||Enchant creature<br>{1}{W}: Put a +1/+1 counter on enchanted creature.|Duel Decks: Heroes vs. Monsters|Uncommon|Warren Mahy|18|Enchant creature<br>{1}{W}: Put a +1/+1 counter on enchanted creature.|
