ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
380236|Acidic Slime|{3}{G}{G}|Creature - Ooze|2|2|Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i><br>When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.|Duel Decks: Jace vs. Vraska|Uncommon|Karl Kopinski|64|Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i><br>When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.|
380272|Aeon Chronicler|{3}{U}{U}|Creature - Avatar|*|*|Aeon Chronicler's power and toughness are each equal to the number of cards in your hand.<br>Suspend X—{X}{3}{U}. X can't be 0.  <i>(Rather than cast this card from your hand, you may pay {X}{3}{U} and exile it with X time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)</i><br>Whenever a time counter is removed from Aeon Chronicler while it's exiled, draw a card.|Duel Decks: Jace vs. Vraska|Rare|Dan Dos Santos|17|Aeon Chronicler's power and toughness are each equal to the number of cards in your hand.<br>Suspend X—{X}{3}{U}. X can't be 0.  <i>(Rather than cast this card from your hand, you may pay {X}{3}{U} and exile it with X time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)</i><br>Whenever a time counter is removed from Aeon Chronicler while it's exiled, draw a card.|
380241|Æther Adept|{1}{U}{U}|Creature - Human Wizard|2|2|When Æther Adept enters the battlefield, return target creature to its owner's hand.|Duel Decks: Jace vs. Vraska|Common|Eric Deschamps|12|When Æther Adept enters the battlefield, return target creature to its owner's hand.|
380263|Æther Figment|{1}{U}|Creature - Illusion|1|1|Kicker {3} <i>(You may pay an additional {3} as you cast this spell.)</i><br>Æther Figment can't be blocked.<br>If Æther Figment was kicked, it enters the battlefield with two +1/+1 counters on it.|Duel Decks: Jace vs. Vraska|Uncommon|Thomas M. Baxa|5|Kicker {3} <i>(You may pay an additional {3} as you cast this spell.)</i><br>Æther Figment can't be blocked.<br>If Æther Figment was kicked, it enters the battlefield with two +1/+1 counters on it.|
380253|Agoraphobia|{1}{U}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets -5/-0.<br>{2}{U}: Return Agoraphobia to its owner's hand.|Duel Decks: Jace vs. Vraska|Uncommon|Jim Murray|22|Enchant creature<br>Enchanted creature gets -5/-0.<br>{2}{U}: Return Agoraphobia to its owner's hand.|
380252|Archaeomancer|{2}{U}{U}|Creature - Human Wizard|1|2|When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.|Duel Decks: Jace vs. Vraska|Common|Zoltan Boros|13|When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.|
380228|Body Double|{4}{U}|Creature - Shapeshifter|0|0|You may have Body Double enter the battlefield as a copy of any creature card in a graveyard.|Duel Decks: Jace vs. Vraska|Rare|Winona Nelson|15|You may have Body Double enter the battlefield as a copy of any creature card in a graveyard.|
380269|Chronomaton|{1}|Artifact Creature - Golem|1|1|{1}, {T}: Put a +1/+1 counter on Chronomaton.|Duel Decks: Jace vs. Vraska|Uncommon|Vincent Proce|2|{1}, {T}: Put a +1/+1 counter on Chronomaton.|
380259|Claustrophobia|{1}{U}{U}|Enchantment - Aura|||Enchant creature<br>When Claustrophobia enters the battlefield, tap enchanted creature.<br>Enchanted creature doesn't untap during its controller's untap step.|Duel Decks: Jace vs. Vraska|Common|Ryan Pancoast|27|Enchant creature<br>When Claustrophobia enters the battlefield, tap enchanted creature.<br>Enchanted creature doesn't untap during its controller's untap step.|
380246|Consume Strength|{1}{B}{G}|Instant|||Target creature gets +2/+2 until end of turn. Another target creature gets -2/-2 until end of turn.|Duel Decks: Jace vs. Vraska|Common|Adam Rex|74|Target creature gets +2/+2 until end of turn. Another target creature gets -2/-2 until end of turn.|
380201|Control Magic|{2}{U}{U}|Enchantment - Aura|||Enchant creature<br>You control enchanted creature.|Duel Decks: Jace vs. Vraska|Uncommon|Clint Cearley|30|Enchant creature<br>You control enchanted creature.|
