ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
386333|Island||Basic Land - Island|||U|Duel Decks: Speed vs. Cunning|Land|Rob Alexander|75|U|
386351|Mountain||Basic Land - Mountain|||R|Duel Decks: Speed vs. Cunning|Land|Karl Kopinski|36|R|
386357|Plains||Basic Land - Plains|||W|Duel Decks: Speed vs. Cunning|Land|Adam Paquette|79|W|
386372|Swamp||Basic Land - Swamp|||B|Duel Decks: Speed vs. Cunning|Land|Adam Paquette|39|B|
386299|Act of Treason|{2}{R}|Sorcery|||Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.|Duel Decks: Speed vs. Cunning|Common|Eric Deschamps|26|Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.|
386300|Aquamorph Entity|{2}{U}{U}|Creature - Shapeshifter|*|*|As Aquamorph Entity enters the battlefield or is turned face up, it becomes your choice of 5/1 or 1/5.<br>Morph {2}{U} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|Duel Decks: Speed vs. Cunning|Common|Brian Despain|54|As Aquamorph Entity enters the battlefield or is turned face up, it becomes your choice of 5/1 or 1/5.<br>Morph {2}{U} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i>|
386301|Arc Trail|{1}{R}|Sorcery|||Arc Trail deals 2 damage to target creature or player and 1 damage to another target creature or player.|Duel Decks: Speed vs. Cunning|Uncommon|Marc Simonetti|23|Arc Trail deals 2 damage to target creature or player and 1 damage to another target creature or player.|
386302|Arcanis the Omnipotent|{3}{U}{U}{U}|Legendary Creature - Wizard|3|4|{T}: Draw three cards.<br>{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.|Duel Decks: Speed vs. Cunning|Mythic Rare|Ryan Alexander Lee|42|{T}: Draw three cards.<br>{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.|
386303|Arrow Volley Trap|{3}{W}{W}|Instant - Trap|||If four or more creatures are attacking, you may pay {1}{W} rather than pay Arrow Volley Trap's mana cost.<br>Arrow Volley Trap deals 5 damage divided as you choose among any number of target attacking creatures.|Duel Decks: Speed vs. Cunning|Uncommon|Steve Argyle|71|If four or more creatures are attacking, you may pay {1}{W} rather than pay Arrow Volley Trap's mana cost.<br>Arrow Volley Trap deals 5 damage divided as you choose among any number of target attacking creatures.|
386304|Banefire|{X}{R}|Sorcery|||Banefire deals X damage to target creature or player.<br>If X is 5 or more, Banefire can't be countered by spells or abilities and the damage can't be prevented.|Duel Decks: Speed vs. Cunning|Rare|Raymond Swanland|31|Banefire deals X damage to target creature or player.<br>If X is 5 or more, Banefire can't be countered by spells or abilities and the damage can't be prevented.|
386305|Beetleback Chief|{2}{R}{R}|Creature - Goblin Warrior|2|2|When Beetleback Chief enters the battlefield, put two 1/1 red Goblin creature tokens onto the battlefield.|Duel Decks: Speed vs. Cunning|Uncommon|Wayne England|14|When Beetleback Chief enters the battlefield, put two 1/1 red Goblin creature tokens onto the battlefield.|
386306|Bone Splinters|{B}|Sorcery|||As an additional cost to cast Bone Splinters, sacrifice a creature.<br>Destroy target creature.|Duel Decks: Speed vs. Cunning|Common|Cole Eastburn|22|As an additional cost to cast Bone Splinters, sacrifice a creature.<br>Destroy target creature.|
386307|Coral Trickster|{1}{U}|Creature - Merfolk Rogue|2|1|Morph {U} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br>When Coral Trickster is turned face up, you may tap or untap target permanent.|Duel Decks: Speed vs. Cunning|Common|D. Alexander Gregory|44|Morph {U} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br>When Coral Trickster is turned face up, you may tap or untap target permanent.|
386308|Dauntless Onslaught|{2}{W}|Instant|||Up to two target creatures each get +2/+2 until end of turn.|Duel Decks: Speed vs. Cunning|Uncommon|Peter Mohrbacher|27|Up to two target creatures each get +2/+2 until end of turn.|
386309|Dregscape Zombie|{1}{B}|Creature - Zombie|2|1|Unearth {B} <i>({B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)</i>|Duel Decks: Speed vs. Cunning|Common|Lars Grant-West|5|Unearth {B} <i>({B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)</i>|
386310|Echo Tracer|{2}{U}|Creature - Human Wizard|2|2|Morph {2}{U} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br>When Echo Tracer is turned face up, return target creature to its owner's hand.|Duel Decks: Speed vs. Cunning|Common|Scott M. Fischer|51|Morph {2}{U} <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br>When Echo Tracer is turned face up, return target creature to its owner's hand.|
386311|Evolving Wilds||Land|||{T}, Sacrifice Evolving Wilds: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.|Duel Decks: Speed vs. Cunning|Common|Steven Belledin|32|{T}, Sacrifice Evolving Wilds: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.|
386312|Faerie Impostor|{U}|Creature - Faerie Rogue|2|1|Flying<br>When Faerie Impostor enters the battlefield, sacrifice it unless you return another creature you control to its owner's hand.|Duel Decks: Speed vs. Cunning|Uncommon|Johann Bodin|43|Flying<br>When Faerie Impostor enters the battlefield, sacrifice it unless you return another creature you control to its owner's hand.|
386313|Faerie Invaders|{4}{U}|Creature - Faerie Rogue|3|3|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Flying|Duel Decks: Speed vs. Cunning|Common|Ryan Pancoast|57|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Flying|
386314|Fathom Seer|{1}{U}|Creature - Illusion|1|3|Morph—Return two Islands you control to their owner's hand. <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br>When Fathom Seer is turned face up, draw two cards.|Duel Decks: Speed vs. Cunning|Common|Ralph Horsley|45|Morph—Return two Islands you control to their owner's hand. <i>(You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)</i><br>When Fathom Seer is turned face up, draw two cards.|
386315|Fiery Fall|{5}{R}|Instant|||Fiery Fall deals 5 damage to target creature.<br>Basic landcycling {1}{R} <i>({1}{R}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)</i>|Duel Decks: Speed vs. Cunning|Common|Daarken|29|Fiery Fall deals 5 damage to target creature.<br>Basic landcycling {1}{R} <i>({1}{R}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)</i>|
386316|Flame-Kin Zealot|{1}{R}{R}{W}|Creature - Elemental Berserker|2|2|When Flame-Kin Zealot enters the battlefield, creatures you control get +1/+1 and gain haste until end of turn.|Duel Decks: Speed vs. Cunning|Uncommon|Arnie Swekel|17|When Flame-Kin Zealot enters the battlefield, creatures you control get +1/+1 and gain haste until end of turn.|
