ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
401718|Eldrazi Spawn||Token Creature-- Eldrazi Spawn|0|1|Sacrifice this creature: Add {1} to your mana pool.|Duel Decks: Zendikar vs. Eldrazi|Common|Aleksi Briclot|76|Sacrifice this creature: Add {1} to your mana pool.|
401680|Forest||Basic Land - Forest|||G|Duel Decks: Zendikar vs. Eldrazi|Land|John Avon|38|G|
401715|Mountain||Basic Land - Mountain|||R|Duel Decks: Zendikar vs. Eldrazi|Land|James Paick|73|R|
401677|Plains||Basic Land - Plains|||W|Duel Decks: Zendikar vs. Eldrazi|Land|John Avon|35|W|
401712|Swamp||Basic Land - Swamp|||B|Duel Decks: Zendikar vs. Eldrazi|Land|Véronique Meignaud|70|B|
401644|Affa Guard Hound|{2}{W}|Creature - Hound|2|2|Flash<br>When Affa Guard Hound enters the battlefield, target creature gets +0/+3 until end of turn.|Duel Decks: Zendikar vs. Eldrazi|Uncommon|Ryan Pancoast|2|Flash<br>When Affa Guard Hound enters the battlefield, target creature gets +0/+3 until end of turn.|
401709|Akoum Refuge||Land|||Akoum Refuge enters the battlefield tapped.<br>When Akoum Refuge enters the battlefield, you gain 1 life.<br>{T}: Add {B} or {R} to your mana pool.|Duel Decks: Zendikar vs. Eldrazi|Uncommon|Fred Fields|67|Akoum Refuge enters the battlefield tapped.<br>When Akoum Refuge enters the battlefield, you gain 1 life.<br>{T}: Add {B} or {R} to your mana pool.|
401684|Artisan of Kozilek|{9}|Creature - Eldrazi|10|9|When you cast Artisan of Kozilek, you may return target creature card from your graveyard to the battlefield.<br>Annihilator 2 <i>(Whenever this creature attacks, defending player sacrifices two permanents.)</i>|Duel Decks: Zendikar vs. Eldrazi|Uncommon|Jason Felix|42|When you cast Artisan of Kozilek, you may return target creature card from your graveyard to the battlefield.<br>Annihilator 2 <i>(Whenever this creature attacks, defending player sacrifices two permanents.)</i>|
401643|Avenger of Zendikar|{5}{G}{G}|Creature - Elemental|5|5|When Avenger of Zendikar enters the battlefield, put a 0/1 green Plant creature token onto the battlefield for each land you control.<br>Landfall- Whenever a land enters the battlefield under your control, you may put a +1/+1 counter on each Plant creature you control.|Duel Decks: Zendikar vs. Eldrazi|Mythic Rare|Aleksi Briclot|1|When Avenger of Zendikar enters the battlefield, put a 0/1 green Plant creature token onto the battlefield for each land you control.<br>Landfall- Whenever a land enters the battlefield under your control, you may put a +1/+1 counter on each Plant creature you control.|
401652|Beastbreaker of Bala Ged|{1}{G}|Creature - Human Warrior|2|2|Level up {2}{G} <i>({2}{G}: Put a level counter on this. Level up only as a sorcery.)</i><br>LEVEL 1-3<br>4/4<br><br>LEVEL 4+<br>6/6<br>Trample|Duel Decks: Zendikar vs. Eldrazi|Uncommon|Karl Kopinski|10|Level up {2}{G} <i>({2}{G}: Put a level counter on this. Level up only as a sorcery.)</i><br>LEVEL 1-3<br>4/4<br><br>LEVEL 4+<br>6/6<br>Trample|
401687|Bloodrite Invoker|{2}{B}|Creature - Vampire Shaman|3|1|{8}: Target player loses 3 life and you gain 3 life.|Duel Decks: Zendikar vs. Eldrazi|Common|Svetlin Velinov|45|{8}: Target player loses 3 life and you gain 3 life.|
401688|Bloodthrone Vampire|{1}{B}|Creature - Vampire|1|1|Sacrifice a creature: Bloodthrone Vampire gets +2/+2 until end of turn.|Duel Decks: Zendikar vs. Eldrazi|Common|Steve Argyle|46|Sacrifice a creature: Bloodthrone Vampire gets +2/+2 until end of turn.|
401689|Butcher of Malakir|{5}{B}{B}|Creature - Vampire Warrior|5|4|Flying<br>Whenever Butcher of Malakir or another creature you control dies, each opponent sacrifices a creature.|Duel Decks: Zendikar vs. Eldrazi|Rare|Jason Chan|47|Flying<br>Whenever Butcher of Malakir or another creature you control dies, each opponent sacrifices a creature.|
401690|Cadaver Imp|{1}{B}{B}|Creature - Imp|1|1|Flying<br>When Cadaver Imp enters the battlefield, you may return target creature card from your graveyard to your hand.|Duel Decks: Zendikar vs. Eldrazi|Common|Dave Kendall|48|Flying<br>When Cadaver Imp enters the battlefield, you may return target creature card from your graveyard to your hand.|
