ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
409613|Island||Basic Land - Island|||U|Duel Decks: Blessed vs. Cursed|Land|Jung Park|37|U|
409614|Plains||Basic Land - Plains|||W|Duel Decks: Blessed vs. Cursed|Land|Adam Paquette|38|W|
409650|Swamp||Basic Land - Swamp|||B|Duel Decks: Blessed vs. Cursed|Land|James Paick|74|B|
409626|Abattoir Ghoul|{3}{B}|Creature - Zombie|3|2|First strike<br>Whenever a creature dealt damage by Abattoir Ghoul this turn dies, you gain life equal to that creature's toughness.|Duel Decks: Blessed vs. Cursed|Uncommon|Volkan Baga|50|First strike<br>Whenever a creature dealt damage by Abattoir Ghoul this turn dies, you gain life equal to that creature's toughness.|
409653|Angel||Token Creature-- Angel|4|4|Flying|Duel Decks: Blessed vs. Cursed|Common|Winona Nelson|77|Flying|
409627|Appetite for Brains|{B}|Sorcery|||Target opponent reveals his or her hand. You choose a card from it with converted mana cost 4 or greater and exile that card.|Duel Decks: Blessed vs. Cursed|Uncommon|Michael C. Hayes|51|Target opponent reveals his or her hand. You choose a card from it with converted mana cost 4 or greater and exile that card.|
409628|Barter in Blood|{2}{B}{B}|Sorcery|||Each player sacrifices two creatures.|Duel Decks: Blessed vs. Cursed|Uncommon|Eric Deschamps|52|Each player sacrifices two creatures.|
409578|Bonds of Faith|{1}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2 as long as it's a Human. Otherwise, it can't attack or block.|Duel Decks: Blessed vs. Cursed|Common|Steve Argyle|2|Enchant creature<br>Enchanted creature gets +2/+2 as long as it's a Human. Otherwise, it can't attack or block.|
409629|Butcher Ghoul|{1}{B}|Creature - Zombie|1|1|Undying <i>(When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)</i>|Duel Decks: Blessed vs. Cursed|Common|Christopher Moeller|53|Undying <i>(When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)</i>|
409607|Butcher's Cleaver|{3}|Artifact - Equipment|||Equipped creature gets +3/+0.<br>As long as equipped creature is a Human, it has lifelink.<br>Equip {3}|Duel Decks: Blessed vs. Cursed|Uncommon|Jason Felix|31|Equipped creature gets +3/+0.<br>As long as equipped creature is a Human, it has lifelink.<br>Equip {3}|
409600|Captain of the Mists|{2}{U}|Creature - Human Wizard|2|3|Whenever another Human enters the battlefield under your control, untap Captain of the Mists.<br>{1}{U}, {T}: You may tap or untap target permanent.|Duel Decks: Blessed vs. Cursed|Rare|Allen Williams|24|Whenever another Human enters the battlefield under your control, untap Captain of the Mists.<br>{1}{U}, {T}: You may tap or untap target permanent.|
