ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
417455|Forest| |Basic Land - Forest| | |G|Duel Decks: Nissa vs. Ob Nixilis|Land|Sam Burley|32|G|
417490|Swamp| |Basic Land - Swamp| | |B|Duel Decks: Nissa vs. Ob Nixilis|Land|Sam Burley|67|B|
417425|Abundance|{2}{G}{G}|Enchantment|||If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.|Duel Decks: Nissa vs. Ob Nixilis|Rare|Rebecca Guay|2|If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.|
417460|Altar's Reap|{1}{B}|Instant|||As an additional cost to cast Altar's Reap, sacrifice a creature.<br>Draw two cards.|Duel Decks: Nissa vs. Ob Nixilis|Common|Tyler Jacobson|37|As an additional cost to cast Altar's Reap, sacrifice a creature.<br>Draw two cards.|
417461|Ambition's Cost|{3}{B}|Sorcery|||You draw three cards and you lose 3 life.|Duel Decks: Nissa vs. Ob Nixilis|Uncommon|Zezhou Chen|38|You draw three cards and you lose 3 life.|
417462|Bala Ged Scorpion|{3}{B}|Creature - Scorpion|2|3|When Bala Ged Scorpion enters the battlefield, you may destroy target creature with power 1 or less.|Duel Decks: Nissa vs. Ob Nixilis|Common|Daarken|39|When Bala Ged Scorpion enters the battlefield, you may destroy target creature with power 1 or less.|
417463|Blistergrub|{2}{B}|Creature - Horror|2|2|Swampwalk <i>(This creature can't be blocked as long as defending player controls a Swamp.)</i><br>When Blistergrub dies, each opponent loses 2 life.|Duel Decks: Nissa vs. Ob Nixilis|Common|Daarken|40|Swampwalk <i>(This creature can't be blocked as long as defending player controls a Swamp.)</i><br>When Blistergrub dies, each opponent loses 2 life.|
417426|Briarhorn|{3}{G}|Creature - Elemental|3|3|Flash<br>When Briarhorn enters the battlefield, target creature gets +3/+3 until end of turn.<br>Evoke {1}{G} <i>(You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)</i>|Duel Decks: Nissa vs. Ob Nixilis|Uncommon|Nils Hamm|3|Flash<br>When Briarhorn enters the battlefield, target creature gets +3/+3 until end of turn.<br>Evoke {1}{G} <i>(You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)</i>|
417464|Cadaver Imp|{1}{B}{B}|Creature - Imp|1|1|Flying<br>When Cadaver Imp enters the battlefield, you may return target creature card from your graveyard to your hand.|Duel Decks: Nissa vs. Ob Nixilis|Common|Dave Kendall|41|Flying<br>When Cadaver Imp enters the battlefield, you may return target creature card from your graveyard to your hand.|
417465|Carrier Thrall|{1}{B}|Creature - Vampire|2|1|When Carrier Thrall dies, create a 1/1 colorless Eldrazi Scion creature token. It has "Sacrifice this creature: Add {C} to your mana pool."|Duel Decks: Nissa vs. Ob Nixilis|Uncommon|Lius Lasahido|42|When Carrier Thrall dies, create a 1/1 colorless Eldrazi Scion creature token. It has "Sacrifice this creature: Add {C} to your mana pool."|
