ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
426635|Forest||Basic Land - Forest|||G|Duel Decks: Mind vs. Might|Land|John Avon|63|G|
426600|Island||Basic Land - Island|||U|Duel Decks: Mind vs. Might|Land|Rob Alexander|28|U|
426605|Mountain||Basic Land - Mountain|||R|Duel Decks: Mind vs. Might|Land|Craig Mullins|33|R|
426614|Ambassador Oak|{3}{G}|Creature - Treefolk Warrior|3|3|When Ambassador Oak enters the battlefield, create a 1/1 green Elf Warrior creature token.|Duel Decks: Mind vs. Might|Common|Steve Prescott|42|When Ambassador Oak enters the battlefield, create a 1/1 green Elf Warrior creature token.|
426607|Beacon of Destruction|{3}{R}{R}|Instant|||Beacon of Destruction deals 5 damage to target creature or player. Shuffle Beacon of Destruction into its owner's library.|Duel Decks: Mind vs. Might|Rare|Greg Hildebrandt|35|Beacon of Destruction deals 5 damage to target creature or player. Shuffle Beacon of Destruction into its owner's library.|
426574|Beacon of Tomorrows|{6}{U}{U}|Sorcery|||Target player takes an extra turn after this one. Shuffle Beacon of Tomorrows into its owner's library.|Duel Decks: Mind vs. Might|Rare|Jeremy Jarvis|2|Target player takes an extra turn after this one. Shuffle Beacon of Tomorrows into its owner's library.|
426615|Beast Attack|{2}{G}{G}{G}|Instant|||Create a 4/4 green Beast creature token.<br>Flashback {2}{G}{G}{G} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Duel Decks: Mind vs. Might|Uncommon|Ciruelo|43|Create a 4/4 green Beast creature token.<br>Flashback {2}{G}{G}{G} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
426608|Boldwyr Intimidator|{5}{R}{R}|Creature - Giant Warrior|5|5|Cowards can't block Warriors.<br>{R}: Target creature becomes a Coward until end of turn.<br>{2}{R}: Target creature becomes a Warrior until end of turn.|Duel Decks: Mind vs. Might|Uncommon|Esad Ribic|36|Cowards can't block Warriors.<br>{R}: Target creature becomes a Coward until end of turn.<br>{2}{R}: Target creature becomes a Warrior until end of turn.|
426627|Burning-Tree Emissary|{R/G}{R/G}|Creature - Human Shaman|2|2|When Burning-Tree Emissary enters the battlefield, add {R}{G} to your mana pool.|Duel Decks: Mind vs. Might|Uncommon|Izzy|55|When Burning-Tree Emissary enters the battlefield, add {R}{G} to your mana pool.|
426616|Call of the Herd|{2}{G}|Sorcery|||Create a 3/3 green Elephant creature token.<br>Flashback {3}{G} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Duel Decks: Mind vs. Might|Rare|Carl Critchlow|44|Create a 3/3 green Elephant creature token.<br>Flashback {3}{G} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
426617|Cloudcrown Oak|{2}{G}{G}|Creature - Treefolk Warrior|3|4|Reach <i>(This creature can block creatures with flying.)</i>|Duel Decks: Mind vs. Might|Common|Rebecca Guay|45|Reach <i>(This creature can block creatures with flying.)</i>|
426630|Coat of Arms|{5}|Artifact|||Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. <i>(For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)</i>|Duel Decks: Mind vs. Might|Rare|Scott M. Fischer|58|Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. <i>(For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)</i>|
