ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
438469|Island||Basic Land-- Island|||U|Duel Decks: Merfolk vs. Goblins|Land|Steven Belledin|29|U|
438501|Mountain||Basic Land-- Mountain|||R|Duel Decks: Merfolk vs. Goblins|Land|Steven Belledin|61|R|
438442|Aquitect's Will|{U}|Tribal Sorcery - Merfolk|||Put a flood counter on target land. That land is an Island in addition to its other types for as long as it has a flood counter on it. If you control a Merfolk, draw a card.|Duel Decks: Merfolk vs. Goblins|Common|Dimitar|2|Put a flood counter on target land. That land is an Island in addition to its other types for as long as it has a flood counter on it. If you control a Merfolk, draw a card.|
438473|Battle Squadron|{3}{R}{R}|Creature - Goblin|*|*|Flying<br>Battle Squadron's power and toughness are each equal to the number of creatures you control.|Duel Decks: Merfolk vs. Goblins|Uncommon|Mark Tedin|33|Flying<br>Battle Squadron's power and toughness are each equal to the number of creatures you control.|
438466|Blighted Cataract||Land|||{T}: Add {C}.<br>{5}{U}, {T}, Sacrifice Blighted Cataract: Draw two cards.|Duel Decks: Merfolk vs. Goblins|Uncommon|Vincent Proce|26|{T}: Add {C}.<br>{5}{U}, {T}, Sacrifice Blighted Cataract: Draw two cards.|
438498|Blighted Gorge||Land|||{T}: Add {C}.<br>{4}{R}, {T}, Sacrifice Blighted Gorge: It deals 2 damage to any target.|Duel Decks: Merfolk vs. Goblins|Uncommon|Jung Park|58|{T}: Add {C}.<br>{4}{R}, {T}, Sacrifice Blighted Gorge: It deals 2 damage to any target.|
438474|Boggart Brute|{2}{R}|Creature - Goblin Warrior|3|2|Menace <i>(This creature can't be blocked except by two or more creatures.)</i>|Duel Decks: Merfolk vs. Goblins|Common|Igor Kieryluk|34|Menace <i>(This creature can't be blocked except by two or more creatures.)</i>|
438496|Brittle Effigy|{1}|Artifact|||{4}, {T}, Exile Brittle Effigy: Exile target creature.|Duel Decks: Merfolk vs. Goblins|Rare|John Avon|56|{4}, {T}, Exile Brittle Effigy: Exile target creature.|
438475|Brute Strength|{1}{R}|Instant|||Target creature gets +3/+1 and gains trample until end of turn.|Duel Decks: Merfolk vs. Goblins|Common|Wayne Reynolds|35|Target creature gets +3/+1 and gains trample until end of turn.|
438443|Claustrophobia|{1}{U}{U}|Enchantment - Aura|||Enchant creature<br>When Claustrophobia enters the battlefield, tap enchanted creature.<br>Enchanted creature doesn't untap during its controller's untap step.|Duel Decks: Merfolk vs. Goblins|Common|Ryan Pancoast|3|Enchant creature<br>When Claustrophobia enters the battlefield, tap enchanted creature.<br>Enchanted creature doesn't untap during its controller's untap step.|
438476|Cleaver Riot|{4}{R}|Sorcery|||Creatures you control gain double strike until end of turn. <i>(They deal both first-strike and regular combat damage.)</i>|Duel Decks: Merfolk vs. Goblins|Uncommon|Dave Kendall|36|Creatures you control gain double strike until end of turn. <i>(They deal both first-strike and regular combat damage.)</i>|
438465|Cold-Eyed Selkie|{1}{G/U}{G/U}|Creature - Merfolk Rogue|1|1|Islandwalk <i>(This creature can't be blocked as long as defending player controls an Island.)</i><br>Whenever Cold-Eyed Selkie deals combat damage to a player, you may draw that many cards.|Duel Decks: Merfolk vs. Goblins|Rare|Jaime Jones|25|Islandwalk <i>(This creature can't be blocked as long as defending player controls an Island.)</i><br>Whenever Cold-Eyed Selkie deals combat damage to a player, you may draw that many cards.|
438444|Concentrate|{2}{U}{U}|Sorcery|||Draw three cards.|Duel Decks: Merfolk vs. Goblins|Uncommon|rk post|4|Draw three cards.|
438477|Ember Hauler|{R}{R}|Creature - Goblin|2|2|{1}, Sacrifice Ember Hauler: Ember Hauler deals 2 damage to any target.|Duel Decks: Merfolk vs. Goblins|Uncommon|Steve Prescott|37|{1}, Sacrifice Ember Hauler: Ember Hauler deals 2 damage to any target.|
438445|Engulf the Shore|{3}{U}|Instant|||Return to their owners' hands all creatures with toughness less than or equal to the number of Islands you control.|Duel Decks: Merfolk vs. Goblins|Rare|Cliff Childs|5|Return to their owners' hands all creatures with toughness less than or equal to the number of Islands you control.|
438446|Essence Scatter|{1}{U}|Instant|||Counter target creature spell.|Duel Decks: Merfolk vs. Goblins|Common|Jon Foster|6|Counter target creature spell.|
438499|Forgotten Cave||Land|||Forgotten Cave enters the battlefield tapped.<br>{T}: Add {R}.<br>Cycling {R} <i>({R}, Discard this card: Draw a card.)</i>|Duel Decks: Merfolk vs. Goblins|Common|Noah Bradley|59|Forgotten Cave enters the battlefield tapped.<br>{T}: Add {R}.<br>Cycling {R} <i>({R}, Discard this card: Draw a card.)</i>|
438478|Foundry Street Denizen|{R}|Creature - Goblin Warrior|1|1|Whenever another red creature enters the battlefield under your control, Foundry Street Denizen gets +1/+0 until end of turn.|Duel Decks: Merfolk vs. Goblins|Common|Raoul Vitale|38|Whenever another red creature enters the battlefield under your control, Foundry Street Denizen gets +1/+0 until end of turn.|
438479|Gempalm Incinerator|{2}{R}|Creature - Goblin|2|1|Cycling {1}{R} <i>({1}{R}, Discard this card: Draw a card.)</i><br>When you cycle Gempalm Incinerator, you may have it deal X damage to target creature, where X is the number of Goblins on the battlefield.|Duel Decks: Merfolk vs. Goblins|Uncommon|Mark Behm|39|Cycling {1}{R} <i>({1}{R}, Discard this card: Draw a card.)</i><br>When you cycle Gempalm Incinerator, you may have it deal X damage to target creature, where X is the number of Goblins on the battlefield.|
438480|Ghostfire|{2}{R}|Instant|||Ghostfire is colorless.<br>Ghostfire deals 3 damage to any target.|Duel Decks: Merfolk vs. Goblins|Common|Cyril Van Der Haegen|40|Ghostfire is colorless.<br>Ghostfire deals 3 damage to any target.|
438497|Goblin Charbelcher|{4}|Artifact|||{3}, {T}: Reveal cards from the top of your library until you reveal a land card. Goblin Charbelcher deals damage equal to the number of nonland cards revealed this way to any target. If the revealed land card was a Mountain, Goblin Charbelcher deals double that damage instead. Put the revealed cards on the bottom of your library in any order.|Duel Decks: Merfolk vs. Goblins|Rare|Jesper Ejsing|57|{3}, {T}: Reveal cards from the top of your library until you reveal a land card. Goblin Charbelcher deals damage equal to the number of nonland cards revealed this way to any target. If the revealed land card was a Mountain, Goblin Charbelcher deals double that damage instead. Put the revealed cards on the bottom of your library in any order.|
438481|Goblin Chieftain|{1}{R}{R}|Creature - Goblin|2|2|Haste <i>(This creature can attack and {T} as soon as it comes under your control.)</i><br>Other Goblin creatures you control get +1/+1 and have haste.|Duel Decks: Merfolk vs. Goblins|Rare|Sam Wood|41|Haste <i>(This creature can attack and {T} as soon as it comes under your control.)</i><br>Other Goblin creatures you control get +1/+1 and have haste.|
438482|Goblin Diplomats|{1}{R}|Creature - Goblin|2|1|{T}: Each creature attacks this turn if able.|Duel Decks: Merfolk vs. Goblins|Rare|Izzy|42|{T}: Each creature attacks this turn if able.|
438483|Goblin Glory Chaser|{R}|Creature - Goblin Warrior|1|1|Renown 1 <i>(When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)</i><br>As long as Goblin Glory Chaser is renowned, it has menace. <i>(It can't be blocked except by two or more creatures.)</i>|Duel Decks: Merfolk vs. Goblins|Uncommon|Greg Staples|43|Renown 1 <i>(When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)</i><br>As long as Goblin Glory Chaser is renowned, it has menace. <i>(It can't be blocked except by two or more creatures.)</i>|
