ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
442768|Forest||Basic Land-- Forest|||G|Duel Decks: Elves vs. Inventors|Land|Volkan Baga|32|G|
442809|Island||Basic Land-- Island|||U|Duel Decks: Elves vs. Inventors|Land|Jung Park|73|U|
442811|Mountain||Basic Land-- Mountain|||R|Duel Decks: Elves vs. Inventors|Land|Tomasz Jedruszek|75|R|
442772|Artificer's Epiphany|{2}{U}|Instant|||Draw two cards. If you control no artifacts, discard a card.|Duel Decks: Elves vs. Inventors|Common|Kieran Yanner|36|Draw two cards. If you control no artifacts, discard a card.|
442780|Barrage Ogre|{3}{R}{R}|Creature - Ogre Warrior|3|3|{T}, Sacrifice an artifact: Barrage Ogre deals 2 damage to any target.|Duel Decks: Elves vs. Inventors|Uncommon|David Rapoza|44|{T}, Sacrifice an artifact: Barrage Ogre deals 2 damage to any target.|
442801|Darksteel Citadel||Artifact Land|||Indestructible<br>{T}: Add {C}.|Duel Decks: Elves vs. Inventors|Uncommon|John Avon|65|Indestructible<br>{T}: Add {C}.|
442788|Darksteel Plate|{3}|Artifact - Equipment|||Indestructible<br>Equipped creature has indestructible.<br>Equip {2}|Duel Decks: Elves vs. Inventors|Rare|Daniel Ljunggren|52|Indestructible<br>Equipped creature has indestructible.<br>Equip {2}|
442738|Dwynen, Gilt-Leaf Daen|{2}{G}{G}|Legendary Creature - Elf Warrior|3|4|Reach<br>Other Elf creatures you control get +1/+1.<br>Whenever Dwynen, Gilt-Leaf Daen attacks, you gain 1 life for each attacking Elf you control.|Duel Decks: Elves vs. Inventors|Rare|Johannes Voss|2|Reach<br>Other Elf creatures you control get +1/+1.<br>Whenever Dwynen, Gilt-Leaf Daen attacks, you gain 1 life for each attacking Elf you control.|
442739|Dwynen's Elite|{1}{G}|Creature - Elf Warrior|2|2|When Dwynen's Elite enters the battlefield, if you control another Elf, create a 1/1 green Elf Warrior creature token.|Duel Decks: Elves vs. Inventors|Uncommon|Volkan Baga|3|When Dwynen's Elite enters the battlefield, if you control another Elf, create a 1/1 green Elf Warrior creature token.|
442740|Elvish Aberration|{5}{G}|Creature - Elf Mutant|4|5|{T}: Add {G}{G}{G}.<br>Forestcycling {2} <i>({2}, Discard this card: Search your library for a Forest card, reveal it, put it into your hand, then shuffle your library.)</i>|Duel Decks: Elves vs. Inventors|Common|Johann Bodin|4|{T}: Add {G}{G}{G}.<br>Forestcycling {2} <i>({2}, Discard this card: Search your library for a Forest card, reveal it, put it into your hand, then shuffle your library.)</i>|
442741|Elvish Archdruid|{1}{G}{G}|Creature - Elf Druid|2|2|Other Elf creatures you control get +1/+1.<br>{T}: Add {G} for each Elf you control.|Duel Decks: Elves vs. Inventors|Rare|Raymond Swanland|5|Other Elf creatures you control get +1/+1.<br>{T}: Add {G} for each Elf you control.|
442742|Elvish Branchbender|{2}{G}|Creature - Elf Druid|2|2|{T}: Until end of turn, target Forest becomes an X/X Treefolk creature in addition to its other types, where X is the number of Elves you control.|Duel Decks: Elves vs. Inventors|Common|Ralph Horsley|6|{T}: Until end of turn, target Forest becomes an X/X Treefolk creature in addition to its other types, where X is the number of Elves you control.|
442743|Elvish Mystic|{G}|Creature - Elf Druid|1|1|{T}: Add {G}.|Duel Decks: Elves vs. Inventors|Common|Wesley Burt|7|{T}: Add {G}.|
442744|Elvish Vanguard|{1}{G}|Creature - Elf Warrior|1|1|Whenever another Elf enters the battlefield, put a +1/+1 counter on Elvish Vanguard.|Duel Decks: Elves vs. Inventors|Common|Steve Prescott|8|Whenever another Elf enters the battlefield, put a +1/+1 counter on Elvish Vanguard.|
442773|Etherium Sculptor|{1}{U}|Artifact Creature - Vedalken Artificer|1|2|Artifact spells you cast cost {1} less to cast.|Duel Decks: Elves vs. Inventors|Common|Steven Belledin|37|Artifact spells you cast cost {1} less to cast.|
