ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
369036|Advent of the Wurm|{1}{G}{G}{W}|Instant|||Put a 5/5 green Wurm creature token with trample onto the battlefield.|Dragon's Maze|Rare|Lucas Graciano|51|Put a 5/5 green Wurm creature token with trample onto the battlefield.|
368961|Ætherling|{4}{U}{U}|Creature - Shapeshifter|4|5|{U}: Exile Ætherling. Return it to the battlefield under its owner's control at the beginning of the next end step.<br>{U}: Ætherling can't be blocked this turn.<br>{1}: Ætherling gets +1/-1 until end of turn.<br>{1}: Ætherling gets -1/+1 until end of turn.|Dragon's Maze|Rare|Tyler Jacobson|11|{U}: Exile Ætherling. Return it to the battlefield under its owner's control at the beginning of the next end step.<br>{U}: Ætherling can't be blocked this turn.<br>{1}: Ætherling gets +1/-1 until end of turn.<br>{1}: Ætherling gets -1/+1 until end of turn.|
369041|Alive // Well (Alive)|{3}{G}|Sorcery|||Put a 3/3 green Centaur creature token onto the battlefield.<br>Fuse <i>(You may cast one or both halves of this card from your hand.)</i>|Dragon's Maze|Uncommon|Nils Hamm|121|Put a 3/3 green Centaur creature token onto the battlefield.<br>Fuse <i>(You may cast one or both halves of this card from your hand.)</i>|{PART=Alive, OTHER_PART=Well}
368989|Armed // Dangerous (Armed)|{1}{R}|Sorcery|||Target creature gets +1/+1 and gains double strike until end of turn.<br>Fuse <i>(You may cast one or both halves of this card from your hand.)</i>|Dragon's Maze|Uncommon|David Palumbo|122|Target creature gets +1/+1 and gains double strike until end of turn.<br>Fuse <i>(You may cast one or both halves of this card from your hand.)</i>|{PART=Armed, OTHER_PART=Dangerous}
369082|Armored Wolf-Rider|{3}{G}{W}|Creature - Elf Knight|4|6||Dragon's Maze|Common|Matt Stewart|52||
369016|Ascended Lawmage|{2}{W}{U}|Creature - Vedalken Wizard|3|2|Flying, hexproof|Dragon's Maze|Uncommon|Ryan Yee|53|Flying, hexproof|
369042|Far // Away (Away)|{2}{B}|Instant|||Target player sacrifices a creature.<br>Fuse <i>(You may cast one or both halves of this card from your hand.)</i>|Dragon's Maze|Uncommon|Greg Staples|127|Target player sacrifices a creature.<br>Fuse <i>(You may cast one or both halves of this card from your hand.)</i>|{PART=Away, OTHER_PART=Far}
369053|Awe for the Guilds|{2}{R}|Sorcery|||Monocolored creatures can't block this turn.|Dragon's Maze|Common|Mathias Kollros|31|Monocolored creatures can't block this turn.|
369017|Azorius Cluestone|{3}|Artifact|||{T}: Add {W} or {U} to your mana pool.<br>{W}{U}, {T}, Sacrifice Azorius Cluestone: Draw a card.|Dragon's Maze|Common|Raoul Vitale|136|{T}: Add {W} or {U} to your mana pool.<br>{W}{U}, {T}, Sacrifice Azorius Cluestone: Draw a card.|
368974|Azorius Guildgate||Land - Gate|||Azorius Guildgate enters the battlefield tapped.<br>{T}: Add {W} or {U} to your mana pool.|Dragon's Maze|Common|Drew Baker|146|Azorius Guildgate enters the battlefield tapped.<br>{T}: Add {W} or {U} to your mana pool.|
