ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
107252|Demonfire|{X}{R}|Sorcery|||Demonfire deals X damage to target creature or player. If a creature dealt damage this way would die this turn, exile it instead.<br>Hellbent- If you have no cards in hand, Demonfire can't be countered by spells or abilities and the damage can't be prevented.|Dissension|Rare|Greg Staples|60|Demonfire deals X damage to target creature or player. If a creature dealt damage this way would die this turn, exile it instead.<br>Hellbent- If you have no cards in hand, Demonfire can't be countered by spells or abilities and the damage can't be prevented.|
107253|Freewind Equenaut|{2}{W}|Creature - Human Archer|2|2|Flying<br>As long as Freewind Equenaut is enchanted, it has "{T}: Freewind Equenaut deals 2 damage to target attacking or blocking creature."|Dissension|Common|Rebecca Guay|9|Flying<br>As long as Freewind Equenaut is enchanted, it has "{T}: Freewind Equenaut deals 2 damage to target attacking or blocking creature."|
107254|Psychic Possession|{2}{U}{U}|Enchantment - Aura|||Enchant opponent<br>Skip your draw step.<br>Whenever enchanted opponent draws a card, you may draw a card.|Dissension|Rare|Mark Tedin|30|Enchant opponent<br>Skip your draw step.<br>Whenever enchanted opponent draws a card, you may draw a card.|
107258|Cackling Flames|{3}{R}|Instant|||Cackling Flames deals 3 damage to target creature or player.<br>Hellbent- Cackling Flames deals 5 damage to that creature or player instead if you have no cards in hand.|Dissension|Common|Shishizaru|59|Cackling Flames deals 3 damage to target creature or player.<br>Hellbent- Cackling Flames deals 5 damage to that creature or player instead if you have no cards in hand.|
107260|Mistral Charger|{1}{W}|Creature - Pegasus|2|1|Flying|Dissension|Uncommon|Terese Nielsen|13|Flying|
107263|Sporeback Troll|{3}{G}|Creature - Troll Mutant|0|0|Graft 2 <i>(This creature enters the battlefield with two +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)</i><br>{1}{G}: Regenerate target creature with a +1/+1 counter on it.|Dissension|Common|Dan Scott|94|Graft 2 <i>(This creature enters the battlefield with two +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)</i><br>{1}{G}: Regenerate target creature with a +1/+1 counter on it.|
107264|Flash Foliage|{2}{G}|Instant|||Cast Flash Foliage only during combat after blockers are declared.<br>Put a 1/1 green Saproling creature token onto the battlefield blocking target creature attacking you. <br>Draw a card.|Dissension|Uncommon|Ron Spears|85|Cast Flash Foliage only during combat after blockers are declared.<br>Put a 1/1 green Saproling creature token onto the battlefield blocking target creature attacking you. <br>Draw a card.|
107265|Court Hussar|{2}{U}|Creature - Vedalken Knight|1|3|Vigilance<br>When Court Hussar enters the battlefield, look at the top three cards of your library, then put one of them into your hand and the rest on the bottom of your library in any order.<br>When Court Hussar enters the battlefield, sacrifice it unless {W} was spent to cast it.|Dissension|Uncommon|Ron Spears|22|Vigilance<br>When Court Hussar enters the battlefield, look at the top three cards of your library, then put one of them into your hand and the rest on the bottom of your library in any order.<br>When Court Hussar enters the battlefield, sacrifice it unless {W} was spent to cast it.|
107272|Haazda Shield Mate|{2}{W}|Creature - Human Soldier|1|1|At the beginning of your upkeep, sacrifice Haazda Shield Mate unless you pay {W}{W}.<br>{W}: The next time a source of your choice would deal damage to you this turn, prevent that damage.|Dissension|Rare|Ron Spears|12|At the beginning of your upkeep, sacrifice Haazda Shield Mate unless you pay {W}{W}.<br>{W}: The next time a source of your choice would deal damage to you this turn, prevent that damage.|
107273|Ratcatcher|{4}{B}{B}|Creature - Ogre Rogue|4|4|Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i><br>At the beginning of your upkeep, you may search your library for a Rat card, reveal it, and put it into your hand. If you do, shuffle your library.|Dissension|Rare|Dan Scott|52|Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i><br>At the beginning of your upkeep, you may search your library for a Rat card, reveal it, and put it into your hand. If you do, shuffle your library.|
107276|Utvara Scalper|{1}{R}|Creature - Goblin Scout|1|2|Flying<br>Utvara Scalper attacks each turn if able.|Dissension|Common|Christopher Rush|76|Flying<br>Utvara Scalper attacks each turn if able.|
107277|Biomantic Mastery|{4}{G/U}{G/U}{G/U}|Sorcery|||<i>({G/U} can be paid with either {G} or {U}.)</i><br>Draw a card for each creature target player controls, then draw a card for each creature another target player controls.|Dissension|Rare|Dan Scott|142|<i>({G/U} can be paid with either {G} or {U}.)</i><br>Draw a card for each creature target player controls, then draw a card for each creature another target player controls.|
107279|Pillar of the Paruns||Land|||{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a multicolored spell.|Dissension|Rare|Dany Orizio|176|{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a multicolored spell.|
107281|Spell Snare|{U}|Instant|||Counter target spell with converted mana cost 2.|Dissension|Uncommon|Hideaki Takamura|33|Counter target spell with converted mana cost 2.|
107284|Swift Silence|{2}{W}{U}{U}|Instant|||Counter all other spells. Draw a card for each spell countered this way.|Dissension|Rare|Greg Staples|132|Counter all other spells. Draw a card for each spell countered this way.|
107286|Plaxmanta|{1}{U}|Creature - Beast|2|2|Flash<br>When Plaxmanta enters the battlefield, creatures you control gain shroud until end of turn. <i>(They can't be the targets of spells or abilities.)</i><br>When Plaxmanta enters the battlefield, sacrifice it unless {G} was spent to cast it.|Dissension|Uncommon|Alan Pollack|29|Flash<br>When Plaxmanta enters the battlefield, creatures you control gain shroud until end of turn. <i>(They can't be the targets of spells or abilities.)</i><br>When Plaxmanta enters the battlefield, sacrifice it unless {G} was spent to cast it.|
107293|Vigean Hydropon|{1}{G}{U}|Creature - Plant Mutant|0|0|Graft 5 <i>(This creature enters the battlefield with five +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)</i><br>Vigean Hydropon can't attack or block.|Dissension|Common|Anthony S. Waters|135|Graft 5 <i>(This creature enters the battlefield with five +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)</i><br>Vigean Hydropon can't attack or block.|
107300|Stormscale Anarch|{2}{R}{R}|Creature - Viashino Shaman|2|2|{2}{R}, Discard a card at random: Stormscale Anarch deals 2 damage to target creature or player. If the discarded card was multicolored, Stormscale Anarch deals 4 damage to that creature or player instead.|Dissension|Rare|Ralph Horsley|74|{2}{R}, Discard a card at random: Stormscale Anarch deals 2 damage to target creature or player. If the discarded card was multicolored, Stormscale Anarch deals 4 damage to that creature or player instead.|
107301|Stalking Vengeance|{5}{R}{R}|Creature - Avatar|5|5|Haste<br>Whenever another creature you control dies, it deals damage equal to its power to target player.|Dissension|Rare|Anthony S. Waters|73|Haste<br>Whenever another creature you control dies, it deals damage equal to its power to target player.|
107303|Squealing Devil|{1}{R}|Creature - Devil|2|1|Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i><br>When Squealing Devil enters the battlefield, you may pay {X}. If you do, target creature gets +X/+0 until end of turn.<br>When Squealing Devil enters the battlefield, sacrifice it unless {B} was spent to cast it.|Dissension|Uncommon|Matt Cavotta|72|Fear <i>(This creature can't be blocked except by artifact creatures and/or black creatures.)</i><br>When Squealing Devil enters the battlefield, you may pay {X}. If you do, target creature gets +X/+0 until end of turn.<br>When Squealing Devil enters the battlefield, sacrifice it unless {B} was spent to cast it.|
107306|Bond of Agony|{X}{B}|Sorcery|||As an additional cost to cast Bond of Agony, pay X life.<br>Each other player loses X life.|Dissension|Uncommon|Luca Zontini|38|As an additional cost to cast Bond of Agony, pay X life.<br>Each other player loses X life.|
107307|Blessing of the Nephilim|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +1/+1 for each of its colors.|Dissension|Uncommon|Greg Hildebrandt|4|Enchant creature<br>Enchanted creature gets +1/+1 for each of its colors.|
107308|Infernal Tutor|{1}{B}|Sorcery|||Reveal a card from your hand. Search your library for a card with the same name as that card, reveal it, put it into your hand, then shuffle your library.<br>Hellbent- If you have no cards in hand, instead search your library for a card, put it into your hand, then shuffle your library.|Dissension|Rare|Kev Walker|46|Reveal a card from your hand. Search your library for a card with the same name as that card, reveal it, put it into your hand, then shuffle your library.<br>Hellbent- If you have no cards in hand, instead search your library for a card, put it into your hand, then shuffle your library.|
107310|Carom|{1}{W}|Instant|||The next 1 damage that would be dealt to target creature this turn is dealt to another target creature instead.<br>Draw a card.|Dissension|Common|Alex Horley-Orlandelli|6|The next 1 damage that would be dealt to target creature this turn is dealt to another target creature instead.<br>Draw a card.|
107312|Cytospawn Shambler|{6}{G}|Creature - Elemental Mutant|0|0|Graft 6 <i>(This creature enters the battlefield with six +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)</i><br>{G}: Target creature with a +1/+1 counter on it gains trample until end of turn.|Dissension|Common|Anthony S. Waters|82|Graft 6 <i>(This creature enters the battlefield with six +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)</i><br>{G}: Target creature with a +1/+1 counter on it gains trample until end of turn.|
107313|Silkwing Scout|{2}{U}|Creature - Faerie Scout|2|1|Flying<br>{G}, Sacrifice Silkwing Scout: Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.|Dissension|Common|Rebecca Guay|31|Flying<br>{G}, Sacrifice Silkwing Scout: Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.|
107317|Celestial Ancient|{3}{W}{W}|Creature - Elemental|3|3|Flying<br>Whenever you cast an enchantment spell, put a +1/+1 counter on each creature you control.|Dissension|Rare|Mark Tedin|7|Flying<br>Whenever you cast an enchantment spell, put a +1/+1 counter on each creature you control.|
107320|Might of the Nephilim|{1}{G}|Instant|||Target creature gets +2/+2 until end of turn for each of its colors.|Dissension|Uncommon|Parente|88|Target creature gets +2/+2 until end of turn for each of its colors.|
107321|Vigean Graftmage|{2}{U}|Creature - Vedalken Wizard Mutant|0|0|Graft 2 <i>(This creature enters the battlefield with two +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)</i><br>{1}{U}: Untap target creature with a +1/+1 counter on it.|Dissension|Uncommon|Alan Pollack|35|Graft 2 <i>(This creature enters the battlefield with two +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)</i><br>{1}{U}: Untap target creature with a +1/+1 counter on it.|
107322|Dread Slag|{3}{B}{R}|Creature - Horror|9|9|Trample<br>Dread Slag gets -4/-4 for each card in your hand.|Dissension|Rare|Anthony S. Waters|109|Trample<br>Dread Slag gets -4/-4 for each card in your hand.|
107326|Skullmead Cauldron|{4}|Artifact|||{T}: You gain 1 life.<br>{T}, Discard a card: You gain 3 life.|Dissension|Uncommon|Martina Pilcerova|167|{T}: You gain 1 life.<br>{T}, Discard a card: You gain 3 life.|
107327|Bronze Bombshell|{4}|Artifact Creature - Construct|4|1|When a player other than Bronze Bombshell's owner controls it, that player sacrifices it. If the player does, Bronze Bombshell deals 7 damage to him or her.|Dissension|Rare|Martina Pilcerova|160|When a player other than Bronze Bombshell's owner controls it, that player sacrifices it. If the player does, Bronze Bombshell deals 7 damage to him or her.|
107328|Ocular Halo|{3}{U}|Enchantment - Aura|||Enchant creature<br>Enchanted creature has "{T}: Draw a card."<br>{W}: Enchanted creature gains vigilance until end of turn.|Dissension|Common|Ralph Horsley|28|Enchant creature<br>Enchanted creature has "{T}: Draw a card."<br>{W}: Enchanted creature gains vigilance until end of turn.|
107329|Grand Arbiter Augustin IV|{2}{W}{U}|Legendary Creature - Human Advisor|2|3|White spells you cast cost {1} less to cast.<br>Blue spells you cast cost {1} less to cast.<br>Spells your opponents cast cost {1} more to cast.|Dissension|Rare|Zoltan Boros & Gabor Szikszai|112|White spells you cast cost {1} less to cast.<br>Blue spells you cast cost {1} less to cast.<br>Spells your opponents cast cost {1} more to cast.|
107336|Crypt Champion|{3}{B}|Creature - Zombie|2|2|Double strike<br>When Crypt Champion enters the battlefield, each player puts a creature card with converted mana cost 3 or less from his or her graveyard onto the battlefield.<br>When Crypt Champion enters the battlefield, sacrifice it unless {R} was spent to cast it.|Dissension|Uncommon|Pete Venters|40|Double strike<br>When Crypt Champion enters the battlefield, each player puts a creature card with converted mana cost 3 or less from his or her graveyard onto the battlefield.<br>When Crypt Champion enters the battlefield, sacrifice it unless {R} was spent to cast it.|
107337|Flame-Kin War Scout|{3}{R}|Creature - Elemental Scout|2|4|When another creature enters the battlefield, sacrifice Flame-Kin War Scout. If you do, Flame-Kin War Scout deals 4 damage to that creature.|Dissension|Uncommon|Fred Hooper|61|When another creature enters the battlefield, sacrifice Flame-Kin War Scout. If you do, Flame-Kin War Scout deals 4 damage to that creature.|
107338|Psychotic Fury|{1}{R}|Instant|||Target multicolored creature gains double strike until end of turn.<br>Draw a card.|Dissension|Common|Kev Walker|68|Target multicolored creature gains double strike until end of turn.<br>Draw a card.|
107340|Brain Pry|{1}{B}|Sorcery|||Name a nonland card. Target player reveals his or her hand. That player discards a card with that name. If he or she can't, you draw a card.|Dissension|Uncommon|Jim Nelson|39|Name a nonland card. Target player reveals his or her hand. That player discards a card with that name. If he or she can't, you draw a card.|
107341|Proclamation of Rebirth|{2}{W}|Sorcery|||Return up to three target creature cards with converted mana cost 1 or less from your graveyard to the battlefield.<br>Forecast- {5}{W}, Reveal Proclamation of Rebirth from your hand: Return target creature card with converted mana cost 1 or less from your graveyard to the battlefield. <i>(Activate this ability only during your upkeep and only once each turn.)</i>|Dissension|Rare|William Simpson|15|Return up to three target creature cards with converted mana cost 1 or less from your graveyard to the battlefield.<br>Forecast- {5}{W}, Reveal Proclamation of Rebirth from your hand: Return target creature card with converted mana cost 1 or less from your graveyard to the battlefield. <i>(Activate this ability only during your upkeep and only once each turn.)</i>|
107342|Enemy of the Guildpact|{4}{B}|Creature - Spirit|4|2|Protection from multicolored|Dissension|Common|Fred Hooper|44|Protection from multicolored|
107346|Cytoshape|{1}{G}{U}|Instant|||Choose a nonlegendary creature on the battlefield. Target creature becomes a copy of that creature until end of turn.|Dissension|Rare|Alan Pollack|108|Choose a nonlegendary creature on the battlefield. Target creature becomes a copy of that creature until end of turn.|
107347|Simic Basilisk|{4}{G}{G}|Creature - Basilisk Mutant|0|0|Graft 3 <i>(This creature enters the battlefield with three +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)</i><br>{1}{G}: Until end of turn, target creature with a +1/+1 counter on it gains "Whenever this creature deals combat damage to a creature, destroy that creature at end of combat."|Dissension|Uncommon|Luca Zontini|91|Graft 3 <i>(This creature enters the battlefield with three +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)</i><br>{1}{G}: Until end of turn, target creature with a +1/+1 counter on it gains "Whenever this creature deals combat damage to a creature, destroy that creature at end of combat."|
107353|Cytoplast Manipulator|{2}{U}{U}|Creature - Human Wizard Mutant|0|0|Graft 2 <i>(This creature enters the battlefield with two +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)</i><br>{U}, {T}: Gain control of target creature with a +1/+1 counter on it for as long as Cytoplast Manipulator remains on the battlefield.|Dissension|Rare|Dan Scott|23|Graft 2 <i>(This creature enters the battlefield with two +1/+1 counters on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)</i><br>{U}, {T}: Gain control of target creature with a +1/+1 counter on it for as long as Cytoplast Manipulator remains on the battlefield.|
107358|Rain of Gore|{B}{R}|Enchantment|||If a spell or ability would cause its controller to gain life, that player loses that much life instead.|Dissension|Rare|Fred Hooper|126|If a spell or ability would cause its controller to gain life, that player loses that much life instead.|
107362|Transguild Courier|{4}|Artifact Creature - Golem|3|3|Transguild Courier is all colors <i>(even if this card isn't in play)</i>.|Dissension|Uncommon|John Avon|168|Transguild Courier is all colors <i>(even if this card isn't in play)</i>.|
107363|Lyzolda, the Blood Witch|{1}{B}{R}|Legendary Creature - Human Cleric|3|1|{2}, Sacrifice a creature: Lyzolda, the Blood Witch deals 2 damage to target creature or player if the sacrificed creature was red. Draw a card if the sacrificed creature was black.|Dissension|Rare|Jim Nelson|117|{2}, Sacrifice a creature: Lyzolda, the Blood Witch deals 2 damage to target creature or player if the sacrificed creature was red. Draw a card if the sacrificed creature was black.|
107369|Elemental Resonance|{2}{G}{G}|Enchantment - Aura|||Enchant permanent<br>At the beginning of your precombat main phase, add mana equal to enchanted permanent's mana cost to your mana pool. <i>(Mana cost includes color. If a mana symbol has multiple colors, choose one.)</i>|Dissension|Rare|Mark Tedin|83|Enchant permanent<br>At the beginning of your precombat main phase, add mana equal to enchanted permanent's mana cost to your mana pool. <i>(Mana cost includes color. If a mana symbol has multiple colors, choose one.)</i>|
