ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
1709|Bone Flute|{3}|Artifact|||{2}, {T}: All creatures get -1/-0 until end of turn.|The Dark|Uncommon|Christopher Rush|1|{2}, {T}: All creatures get -1/-0 until end of turn.|
1710|Book of Rass|{6}|Artifact|||{2}, Pay 2 life: Draw a card.|The Dark|Uncommon|Sandra Everingham|2|{2}, Pay 2 life: Draw a card.|
1711|Coal Golem|{5}|Artifact Creature - Golem|3|3|{3}, Sacrifice Coal Golem: Add {R}{R}{R} to your mana pool.|The Dark|Uncommon|Christopher Rush|3|{3}, Sacrifice Coal Golem: Add {R}{R}{R} to your mana pool.|
1712|Dark Sphere|{0}|Artifact|||{T}, Sacrifice Dark Sphere: The next time a source of your choice would deal damage to you this turn, it deals half that damage, rounded up, to you instead.|The Dark|Uncommon|Mark Tedin|4|{T}, Sacrifice Dark Sphere: The next time a source of your choice would deal damage to you this turn, it deals half that damage, rounded up, to you instead.|
1716|Living Armor|{4}|Artifact|||{T}, Sacrifice Living Armor: Put X +0/+1 counters on target creature, where X is that creature's converted mana cost.|The Dark|Uncommon|Anson Maddocks|5|{T}, Sacrifice Living Armor: Put X +0/+1 counters on target creature, where X is that creature's converted mana cost.|
1717|Necropolis|{5}|Artifact Creature - Wall|0|1|Defender <i>(This creature can't attack.)</i><br>Exile a creature card from your graveyard: Put X +0/+1 counters on Necropolis, where X is the exiled card's converted mana cost.|The Dark|Uncommon|NéNé Thomas|6|Defender <i>(This creature can't attack.)</i><br>Exile a creature card from your graveyard: Put X +0/+1 counters on Necropolis, where X is the exiled card's converted mana cost.|
1718|Reflecting Mirror|{4}|Artifact|||{X}, {T}: Change the target of target spell with a single target if that target is you. The new target must be a player. X is twice the converted mana cost of that spell.|The Dark|Uncommon|Mark Poole|7|{X}, {T}: Change the target of target spell with a single target if that target is you. The new target must be a player. X is twice the converted mana cost of that spell.|
1720|Scarecrow|{5}|Artifact Creature - Scarecrow|2|2|{6}, {T}: Prevent all damage that would be dealt to you this turn by creatures with flying.|The Dark|Uncommon|Anson Maddocks|8|{6}, {T}: Prevent all damage that would be dealt to you this turn by creatures with flying.|
1722|Standing Stones|{3}|Artifact|||{1}, {T}, Pay 1 life: Add one mana of any color to your mana pool.|The Dark|Uncommon|Sandra Everingham|9|{1}, {T}, Pay 1 life: Add one mana of any color to your mana pool.|
1723|Stone Calendar|{5}|Artifact|||Spells you cast cost up to {1} less to cast.|The Dark|Rare|Amy Weber|10|Spells you cast cost up to {1} less to cast.|
1724|Tormod's Crypt|{0}|Artifact|||{T}, Sacrifice Tormod's Crypt: Exile all cards from target player's graveyard.|The Dark|Uncommon|Christopher Rush|11|{T}, Sacrifice Tormod's Crypt: Exile all cards from target player's graveyard.|
