ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
262675|Afflicted Deserter|{3}{R}|Creature - Human Werewolf|3|2|At the beginning of each upkeep, if no spells were cast last turn, transform Afflicted Deserter.|Dark Ascension|Uncommon|David Palumbo|81|At the beginning of each upkeep, if no spells were cast last turn, transform Afflicted Deserter.|{FLIPID=262698}
262657|Alpha Brawl|{6}{R}{R}|Sorcery|||Target creature an opponent controls deals damage equal to its power to each other creature that player controls, then each of those creatures deals damage equal to its power to that creature.|Dark Ascension|Rare|Randy Gallegos|82|Target creature an opponent controls deals damage equal to its power to each other creature that player controls, then each of those creatures deals damage equal to its power to that creature.|
262846|Altar of the Lost|{3}|Artifact|||Altar of the Lost enters the battlefield tapped.<br>{T}: Add two mana in any combination of colors to your mana pool. Spend this mana only to cast spells with flashback from a graveyard.|Dark Ascension|Uncommon|Daarken|144|Altar of the Lost enters the battlefield tapped.<br>{T}: Add two mana in any combination of colors to your mana pool. Spend this mana only to cast spells with flashback from a graveyard.|
244691|Archangel's Light|{7}{W}|Sorcery|||You gain 2 life for each card in your graveyard, then shuffle your graveyard into your library.|Dark Ascension|Mythic Rare|Volkan Baga|1|You gain 2 life for each card in your graveyard, then shuffle your graveyard into your library.|
227405|Archdemon of Greed||Creature - Demon|9|9|Flying, trample<br>At the beginning of your upkeep, sacrifice a Human. If you can't, tap Archdemon of Greed and it deals 9 damage to you.|Dark Ascension|Rare|Igor Kieryluk|71|Flying, trample<br>At the beginning of your upkeep, sacrifice a Human. If you can't, tap Archdemon of Greed and it deals 9 damage to you.|{FLIPID=227417}
262840|Artful Dodge|{U}|Sorcery|||Target creature can't be blocked this turn.<br>Flashback {U} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Dark Ascension|Common|Tomasz Jedruszek|27|Target creature can't be blocked this turn.<br>Flashback {U} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
262863|Avacyn's Collar|{1}|Artifact - Equipment|||Equipped creature gets +1/+0 and has vigilance.<br>Whenever equipped creature dies, if it was a Human, put a 1/1 white Spirit creature token with flying onto the battlefield.<br>Equip {2}|Dark Ascension|Uncommon|James Paick|145|Equipped creature gets +1/+0 and has vigilance.<br>Whenever equipped creature dies, if it was a Human, put a 1/1 white Spirit creature token with flying onto the battlefield.<br>Equip {2}|
262858|Bar the Door|{2}{W}|Instant|||Creatures you control get +0/+4 until end of turn.|Dark Ascension|Common|Ryan Pancoast|2|Creatures you control get +0/+4 until end of turn.|
227080|Beguiler of Wills|{3}{U}{U}|Creature - Human Wizard|1|1|{T}: Gain control of target creature with power less than or equal to the number of creatures you control.|Dark Ascension|Mythic Rare|Eric Deschamps|28|{T}: Gain control of target creature with power less than or equal to the number of creatures you control.|
262862|Black Cat|{1}{B}|Creature - Zombie Cat|1|1|When Black Cat dies, target opponent discards a card at random.|Dark Ascension|Common|David Palumbo|54|When Black Cat dies, target opponent discards a card at random.|
244731|Blood Feud|{4}{R}{R}|Sorcery|||Target creature fights another target creature. <i>(Each deals damage equal to its power to the other.)</i>|Dark Ascension|Uncommon|Winona Nelson|83|Target creature fights another target creature. <i>(Each deals damage equal to its power to the other.)</i>|
262845|Bone to Ash|{2}{U}{U}|Instant|||Counter target creature spell.<br>Draw a card.|Dark Ascension|Common|Clint Cearley|29|Counter target creature spell.<br>Draw a card.|
262702|Break of Day|{1}{W}|Instant|||Creatures you control get +1/+1 until end of turn.<br>Fateful hour- If you have 5 or less life, those creatures gain indestructible until end of turn. <i>(Damage and effects that say "destroy" don't destroy them.)</i>|Dark Ascension|Common|Karl Kopinski|3|Creatures you control get +1/+1 until end of turn.<br>Fateful hour- If you have 5 or less life, those creatures gain indestructible until end of turn. <i>(Damage and effects that say "destroy" don't destroy them.)</i>|
262664|Briarpack Alpha|{3}{G}|Creature - Wolf|3|3|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>When Briarpack Alpha enters the battlefield, target creature gets +2/+2 until end of turn.|Dark Ascension|Uncommon|Daarken|108|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>When Briarpack Alpha enters the battlefield, target creature gets +2/+2 until end of turn.|
262873|Burden of Guilt|{W}|Enchantment - Aura|||Enchant creature<br>{1}: Tap enchanted creature.|Dark Ascension|Common|John Stanko|4|Enchant creature<br>{1}: Tap enchanted creature.|
262705|Burning Oil|{1}{R}|Instant|||Burning Oil deals 3 damage to target attacking or blocking creature.<br>Flashback {3}{W} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Dark Ascension|Uncommon|Trevor Claxton|84|Burning Oil deals 3 damage to target attacking or blocking creature.<br>Flashback {3}{W} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
262706|Call to the Kindred|{3}{U}|Enchantment - Aura|||Enchant creature<br>At the beginning of your upkeep, you may look at the top five cards of your library. If you do, you may put a creature card that shares a creature type with enchanted creature from among them onto the battlefield, then you put the rest of those cards on the bottom of your library in any order.|Dark Ascension|Rare|Jason A. Engle|30|Enchant creature<br>At the beginning of your upkeep, you may look at the top five cards of your library. If you do, you may put a creature card that shares a creature type with enchanted creature from among them onto the battlefield, then you put the rest of those cards on the bottom of your library in any order.|
226721|Chalice of Death||Artifact|||{T}: Target player loses 5 life.|Dark Ascension|Uncommon|Ryan Yee|146|{T}: Target player loses 5 life.|{FLIPID=226735}
226735|Chalice of Life|{3}|Artifact|||{T}: You gain 1 life. Then if you have at least 10 life more than your starting life total, transform Chalice of Life.|Dark Ascension|Uncommon|Ryan Yee|146|{T}: You gain 1 life. Then if you have at least 10 life more than your starting life total, transform Chalice of Life.|{FLIPID=226721}
262829|Chant of the Skifsang|{2}{U}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets -13/-0.|Dark Ascension|Common|Nils Hamm|31|Enchant creature<br>Enchanted creature gets -13/-0.|
242511|Chill of Foreboding|{2}{U}|Sorcery|||Each player puts the top five cards of his or her library into his or her graveyard.<br>Flashback {7}{U} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|Dark Ascension|Uncommon|Terese Nielsen|32|Each player puts the top five cards of his or her library into his or her graveyard.<br>Flashback {7}{U} <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>|
243229|Chosen of Markov|{2}{B}|Creature - Human|2|2|{T}, Tap an untapped Vampire you control: Transform Chosen of Markov.|Dark Ascension|Common|Steve Argyle|55|{T}, Tap an untapped Vampire you control: Transform Chosen of Markov.|{FLIPID=244712}
262844|Clinging Mists|{2}{G}|Instant|||Prevent all combat damage that would be dealt this turn.<br>Fateful hour- If you have 5 or less life, tap all attacking creatures. Those creatures don't untap during their controller's next untap step.|Dark Ascension|Common|Anthony Francisco|109|Prevent all combat damage that would be dealt this turn.<br>Fateful hour- If you have 5 or less life, tap all attacking creatures. Those creatures don't untap during their controller's next untap step.|
262830|Counterlash|{4}{U}{U}|Instant|||Counter target spell. You may cast a nonland card in your hand that shares a card type with that spell without paying its mana cost.|Dark Ascension|Rare|Austin Hsu|33|Counter target spell. You may cast a nonland card in your hand that shares a card type with that spell without paying its mana cost.|
262867|Crushing Vines|{2}{G}|Instant|||Choose one- Destroy target creature with flying; or destroy target artifact.|Dark Ascension|Common|Scott Chou|110|Choose one- Destroy target creature with flying; or destroy target artifact.|
