ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
443155|Forest||Basic Land-- Forest|||G|Dominaria|Land|Titus Lunter|267|G|
443143|Island||Basic Land-- Island|||U|Dominaria|Land|Titus Lunter|255|U|
443151|Mountain||Basic Land-- Mountain|||R|Dominaria|Land|Titus Lunter|263|R|
443139|Plains||Basic Land-- Plains|||W|Dominaria|Land|Titus Lunter|251|W|
443147|Swamp||Basic Land-- Swamp|||B|Dominaria|Land|Titus Lunter|259|B|
442928|Academy Drake|{2}{U}|Creature - Drake|2|2|Kicker {4} <i>(You may pay an additional {4} as you cast this spell.)</i><br>Flying<br>If Academy Drake was kicked, it enters the battlefield with two +1/+1 counters on it.|Dominaria|Common|Svetlin Velinov|40|Kicker {4} <i>(You may pay an additional {4} as you cast this spell.)</i><br>Flying<br>If Academy Drake was kicked, it enters the battlefield with two +1/+1 counters on it.|
442929|Academy Journeymage|{4}{U}|Creature - Human Wizard|3|2|This spell costs {1} less to cast if you control a Wizard.<br>When Academy Journeymage enters the battlefield, return target creature an opponent controls to its owner's hand.|Dominaria|Common|Magali Villeneuve|41|This spell costs {1} less to cast if you control a Wizard.<br>When Academy Journeymage enters the battlefield, return target creature an opponent controls to its owner's hand.|
442890|Adamant Will|{1}{W}|Instant|||Target creature gets +2/+2 and gains indestructible until end of turn. <i>(Damage and effects that say "destroy" don't destroy it.)</i>|Dominaria|Common|Alex Konstad|2|Target creature gets +2/+2 and gains indestructible until end of turn. <i>(Damage and effects that say "destroy" don't destroy it.)</i>|
443078|Adeliz, the Cinder Wind|{1}{U}{R}|Legendary Creature - Human Wizard|2|2|Flying, haste<br>Whenever you cast an instant or sorcery spell, Wizards you control get +1/+1 until end of turn.|Dominaria|Uncommon|Zezhou Chen|190|Flying, haste<br>Whenever you cast an instant or sorcery spell, Wizards you control get +1/+1 until end of turn.|
443041|Adventurous Impulse|{G}|Sorcery|||Look at the top three cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in any order.|Dominaria|Common|Titus Lunter|153|Look at the top three cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in any order.|
443097|Aesthir Glider|{3}|Artifact Creature - Bird Construct|2|1|Flying<br>Aesthir Glider can't block.|Dominaria|Common|James Paick|209|Flying<br>Aesthir Glider can't block.|
443098|Amaranthine Wall|{4}|Artifact Creature - Wall|0|6|Defender<br>{2}: Amaranthine Wall gains indestructible until end of turn. <i>(Damage and effects that say "destroy" don't destroy it.)</i>|Dominaria|Uncommon|Jason Felix|210|Defender<br>{2}: Amaranthine Wall gains indestructible until end of turn. <i>(Damage and effects that say "destroy" don't destroy it.)</i>|
