ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|ARTIST|COLLNUM|TEXT|PROPERTIES
178014|Bladewing the Risen|{3}{B}{B}{R}{R}|Legendary Creature - Zombie Dragon|4|4|Flying<br>When Bladewing the Risen enters the battlefield, you may return target Dragon permanent card from your graveyard to the battlefield.<br>{B}{R}: Dragon creatures get +1/+1 until end of turn.|From the Vault: Dragons|Rare|Kev Walker|1|Flying<br>When Bladewing the Risen enters the battlefield, you may return target Dragon permanent card from your graveyard to the battlefield.<br>{B}{R}: Dragon creatures get +1/+1 until end of turn.|
178017|Bogardan Hellkite|{6}{R}{R}|Creature - Dragon|5|5|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Flying<br>When Bogardan Hellkite enters the battlefield, it deals 5 damage divided as you choose among any number of target creatures and/or players.|From the Vault: Dragons|Rare|Scott M. Fischer|2|Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Flying<br>When Bogardan Hellkite enters the battlefield, it deals 5 damage divided as you choose among any number of target creatures and/or players.|
178018|Draco|{16}|Artifact Creature - Dragon|9|9|Domain- Draco costs {2} less to cast for each basic land type among lands you control.<br>Flying<br>Domain- At the beginning of your upkeep, sacrifice Draco unless you pay {1}0. This cost is reduced by {2} for each basic land type among lands you control.|From the Vault: Dragons|Rare|Sam Wood|3|Domain- Draco costs {2} less to cast for each basic land type among lands you control.<br>Flying<br>Domain- At the beginning of your upkeep, sacrifice Draco unless you pay {1}0. This cost is reduced by {2} for each basic land type among lands you control.|
178019|Dragon Whelp|{2}{R}{R}|Creature - Dragon|2|3|Flying<br>{R}: Dragon Whelp gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Dragon Whelp at the beginning of the next end step.|From the Vault: Dragons|Rare|Steven Belledin|4|Flying<br>{R}: Dragon Whelp gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Dragon Whelp at the beginning of the next end step.|
178015|Dragonstorm|{8}{R}|Sorcery|||Search your library for a Dragon permanent card and put it onto the battlefield. Then shuffle your library.<br>Storm <i>(When you cast this spell, copy it for each spell cast before it this turn.)</i>|From the Vault: Dragons|Rare|Kev Walker|5|Search your library for a Dragon permanent card and put it onto the battlefield. Then shuffle your library.<br>Storm <i>(When you cast this spell, copy it for each spell cast before it this turn.)</i>|
178021|Ebon Dragon|{5}{B}{B}|Creature - Dragon|5|4|Flying<br>When Ebon Dragon enters the battlefield, you may have target opponent discard a card.|From the Vault: Dragons|Rare|Donato Giancola|6|Flying<br>When Ebon Dragon enters the battlefield, you may have target opponent discard a card.|
178016|Form of the Dragon|{4}{R}{R}{R}|Enchantment|||At the beginning of your upkeep, Form of the Dragon deals 5 damage to target creature or player.<br>At the beginning of each end step, your life total becomes 5.<br>Creatures without flying can't attack you.|From the Vault: Dragons|Rare|Daarken|7|At the beginning of your upkeep, Form of the Dragon deals 5 damage to target creature or player.<br>At the beginning of each end step, your life total becomes 5.<br>Creatures without flying can't attack you.|
178028|Hellkite Overlord|{4}{B}{R}{R}{G}|Creature - Dragon|8|8|Flying, trample, haste<br>{R}: Hellkite Overlord gets +1/+0 until end of turn.<br>{B}{G}: Regenerate Hellkite Overlord.|From the Vault: Dragons|Rare|Justin Sweet|8|Flying, trample, haste<br>{R}: Hellkite Overlord gets +1/+0 until end of turn.<br>{B}{G}: Regenerate Hellkite Overlord.|
178022|Kokusho, the Evening Star|{4}{B}{B}|Legendary Creature - Dragon Spirit|5|5|Flying<br>When Kokusho, the Evening Star dies, each opponent loses 5 life. You gain life equal to the life lost this way.|From the Vault: Dragons|Rare|Tsutomu Kawade|9|Flying<br>When Kokusho, the Evening Star dies, each opponent loses 5 life. You gain life equal to the life lost this way.|
178020|Nicol Bolas|{2}{U}{U}{B}{B}{R}{R}|Legendary Creature - Elder Dragon|7|7|Flying<br>At the beginning of your upkeep, sacrifice Nicol Bolas unless you pay {U}{B}{R}.<br>Whenever Nicol Bolas deals damage to an opponent, that player discards his or her hand.|From the Vault: Dragons|Rare|D. Alexander Gregory|10|Flying<br>At the beginning of your upkeep, sacrifice Nicol Bolas unless you pay {U}{B}{R}.<br>Whenever Nicol Bolas deals damage to an opponent, that player discards his or her hand.|
178023|Niv-Mizzet, the Firemind|{2}{U}{U}{R}{R}|Legendary Creature - Dragon Wizard|4|4|Flying<br>Whenever you draw a card, Niv-Mizzet, the Firemind deals 1 damage to target creature or player.<br>{T}: Draw a card.|From the Vault: Dragons|Rare|Todd Lockwood|11|Flying<br>Whenever you draw a card, Niv-Mizzet, the Firemind deals 1 damage to target creature or player.<br>{T}: Draw a card.|
178024|Rith, the Awakener|{3}{R}{G}{W}|Legendary Creature - Dragon|6|6|Flying<br>Whenever Rith, the Awakener deals combat damage to a player, you may pay {2}{G}. If you do, choose a color, then put a 1/1 green Saproling creature token onto the battlefield for each permanent of that color.|From the Vault: Dragons|Rare|Todd Lockwood|12|Flying<br>Whenever Rith, the Awakener deals combat damage to a player, you may pay {2}{G}. If you do, choose a color, then put a 1/1 green Saproling creature token onto the battlefield for each permanent of that color.|
178025|Shivan Dragon|{4}{R}{R}|Creature - Dragon|5|5|Flying<br>{R}: Shivan Dragon gets +1/+0 until end of turn.|From the Vault: Dragons|Rare|Justin Sweet|13|Flying<br>{R}: Shivan Dragon gets +1/+0 until end of turn.|
178026|Thunder Dragon|{5}{R}{R}|Creature - Dragon|5|5|Flying<br>When Thunder Dragon enters the battlefield, it deals 3 damage to each creature without flying.|From the Vault: Dragons|Rare|Chris Rahn|14|Flying<br>When Thunder Dragon enters the battlefield, it deals 3 damage to each creature without flying.|
